row_index,workflow_history,subject_as_recorded,subject_fast,source_authority_uri
24,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Artillery--History.,http://id.worldcat.org/fast/817490|http://id.worldcat.org/fast/1411628,
25,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Astrolabes--Early works to 1800.,http://id.worldcat.org/fast/819392,
26,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Astrolabes--Islamic Empire.,http://id.worldcat.org/fast/819392|http://id.worldcat.org/fast/1244134,
27,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Astrology, Arab--Early works to 1800.",http://id.worldcat.org/fast/819451,
28,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Astrology--Early works to 1800.,http://id.worldcat.org/fast/819398,
29,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Astronomical instruments--Early works to 1800.,http://id.worldcat.org/fast/819641,
30,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Astronomy, Arab--Early works to 1800.",http://id.worldcat.org/fast/819764,
31,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Astronomy, Arab--History.",http://id.worldcat.org/fast/819764|http://id.worldcat.org/fast/1411628,
32,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.512Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Astronomy, Arab--Tables--Early works to 1800.",http://id.worldcat.org/fast/819766,
33,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.512Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Astronomy, Medieval.",http://id.worldcat.org/fast/819781,
