row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_value
63,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Devotional literature.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/892015
64,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Isrāʼ and Miʻrāj.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/994487
66,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Nabi,--1641 or 1642-1712--Correspondence.",,http://id.worldcat.org/fast/1836668|http://id.worldcat.org/fast/2003288
69,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Peter Lombard,--Bishop of Paris,--approximately 1100-1160.--Sententiarum libri II.",,http://id.worldcat.org/fast/1841039|http://id.worldcat.org/fast/1356925
73,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Qazwīnī, ʻAlī ibn ʻUmar,--1203 or 1204-1276 or 1277.--Shamsīyah.",,http://id.worldcat.org/fast/1842683|http://id.worldcat.org/fast/1916868
79,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn,--969 or 970-1016.--Nahj al-balāghah.",,http://id.worldcat.org/fast/1847026|http://id.worldcat.org/fast/1368261
55,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.002Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Kharrāz, Muḥammad ibn Muḥammad,---1318 or 1319.--Mawrid al-ẓamʼān.",,http://id.worldcat.org/fast/1915240
70,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Philip--II,--King of Spain,--1527-1598--Portraits.",,http://id.worldcat.org/fast/26669|http://id.worldcat.org/fast/1423831
2,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.664Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle--Criticism and interpretation--Early works to 1800.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1198648
7,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--Posterior analytics--Early works to 1800.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356595
8,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--Posterior analytics.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356595
5,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.664Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--Physics--Early works to 1800.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356964
6,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.664Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--Physics.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356964
3,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.664Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--Categoriae.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1357313
4,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.664Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z",Aristotle.--De interpretatione.,,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1359296
24,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cicero, Marcus Tullius",,http://id.worldcat.org/fast/32861
26,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cicero, Marcus Tullius.--Speeches--Early works to 1800.",,http://id.worldcat.org/fast/32861|http://id.worldcat.org/fast/1357310
