genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
Drawings,aat,,drawings (visual works),http://vocab.getty.edu/aat/300033973
Drawings (visual works),aat,,drawings (visual works),http://vocab.getty.edu/aat/300033973
Early works,fast,,Early works,http://id.worldcat.org/fast/1411636
Early works to 1800,,,Early works,http://id.worldcat.org/fast/1411636
Encyclopedias,aat,,encyclopedias,http://vocab.getty.edu/aat/300129439
Endleaves,lobt,,endleaves,http://w3id.org/lob/concept/1317
Envelope flaps (features),lobt,,envelope flaps (features),http://w3id.org/lob/concept/1343
Epic poetry,gsafd,,Epic poetry,http://id.worldcat.org/fast/1726596
Etymological dictionaries,aat,,etymological dictionaries,http://vocab.getty.edu/aat/300026200
Excerpts,aat,,excerpts,http://vocab.getty.edu/aat/300026939
Facsimiles,aat,,facsimiles (reproductions),http://vocab.getty.edu/aat/300121391
Fiction,fast,,Fiction,http://id.worldcat.org/fast/1423787
Fragments,aat,,fragments (object portions),http://vocab.getty.edu/aat/300117130
Frame covers,lobt,,frame covers,http://w3id.org/lob/concept/1345
Full covers,lobt,,full covers,http://w3id.org/lob/concept/1348
Genealogies,aat,,genealogies (histories),http://vocab.getty.edu/aat/300027015
Glossaries,aat,,glossaries,http://vocab.getty.edu/aat/300026189
Glosses (annotations),aat,,glosses (annotations),http://vocab.getty.edu/aat/300211708
Gothic scripts,aat,,Gothic scripts,http://vocab.getty.edu/aat/300195226
Grotesques,aat,,grotesques,http://vocab.getty.edu/aat/300010211
Hagiographies (works),aat,,hagiographies (works),http://vocab.getty.edu/aat/300201063
Half covers,lobt,,half covers,http://w3id.org/lob/concept/1382
Herbals,aat,,herbals (reference sources),http://vocab.getty.edu/aat/300185352
Historiated initials,aat,,historiated initials,http://vocab.getty.edu/aat/300194390
Histories,aat,,histories (literary works),http://vocab.getty.edu/aat/300026358
History,fast,,History,http://id.worldcat.org/fast/1411628
Humanistic scripts,aat,,humanistic scripts,http://vocab.getty.edu/aat/300210204
Hymns,aat,,hymns,http://vocab.getty.edu/aat/300167054
Hymns (documents),aat,,hymns,http://vocab.getty.edu/aat/300167054
Illuminated initials (layout features),aat,,decorated initials,http://vocab.getty.edu/aat/300417548
Illuminated manuscripts,aat,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483
Illuminations,aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
Illuminations (painting),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
Illuminations (visual works),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
Indentures,aat,,indentures,http://vocab.getty.edu/aat/300027753
Laws (documents),aat,,laws (documents),http://vocab.getty.edu/aat/300027894
Legal documents,aat,,legal documents,http://vocab.getty.edu/aat/300027590
Letters (correspondence),aat,,letters (correspondence),http://vocab.getty.edu/aat/300026879
Letters patent,aat,,letters patent,http://vocab.getty.edu/aat/300027820
Limp covers,lobt,,limp covers,http://w3id.org/lob/concept/1423
Manuals (instructional materials),aat,,manuals (instructional materials),http://vocab.getty.edu/aat/300026395
Manuscripts,aat,,manuscripts (documents),http://vocab.getty.edu/aat/300028569
Manuscripts,fast,,Manuscripts,http://id.worldcat.org/fast/1424060
Manuscripts (documents),aat,,manuscripts (documents),http://vocab.getty.edu/aat/300028569
"Manuscripts, 14th century",lcsh,,Manuscripts;Fourteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/933420
"Manuscripts, 15th century",lcsh,,Manuscripts;Fifteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/923962
"Manuscripts, 16th century",lcsh,,Manuscripts;Sixteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1119851
"Manuscripts, Arabic",lcsh,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278
"Manuscripts, Arabic,--17th century",local,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663
"Manuscripts, Arabic,--18th century",local,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058
"Manuscripts, Arabic--14th century",lcsh,,"Manuscripts, Arabic;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/933420
"Manuscripts, Arabic--15th century",lcsh,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962
"Manuscripts, Arabic--16th century",local,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851
"Manuscripts, Arabic--16th century",lcsh,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851
