name_as_recorded,role,name_agr,source_authority_uri,authorized_label,instance_of,structured_value
Marco Polo,author,,,,human,Q6101
"Mariano, del Buono di Jacopo, 1433-1504",artist,,,,human,Q16138117
Martial,author,,,,human,Q2098
Martin of Tours,author,,,,human,Q133704
"Masson, Irvine, 1887-1962",former owner.,,,,human,Q15441871
Master of the Burgundian Prelates,illuminator.,,,,human,Q1918472
"McRoberts, David",former owner.,,,,human,Q95002340
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731",author,,http://id.loc.gov/authorities/names/n83198301,,human,Q4164547
Nene,author,,,,organization,Q10287372
Nicholas of Gorran,author,,,,human,Q3340931
Nicholas of Lyra,author,,,,human,Q1969164
"Nicholas, of Lyra, approximately 1270-1349",author,,http://id.loc.gov/authorities/names/n81077197.html,,human,Q1969164
"North, Frederick, Earl of Guilford, 1766-1827",former owner.,,,,human,Q333623
"Nugent, Elliott",former owner.,,,,human,Q1332362
Origen,author,,,,human,Q170472
"Page-Turner, Gregory Osborne, Sir, 1785-1843",former owner,,,,human,Q75874518
"Parsons, Edward Alexander, 1878-1962",former owner.,,,,human,Q59631299
Paul the Deacon,author,,,,human,Q160424
Pedro de Valencia,author,,,,human,Q3374154
"Pegge, Samuel, 1704-1796",former owner.,,,,human,Q7412374
"Pennypacker, Samuel W. (Samuel Whitaker), 1843-1916",former owner,,,,human,Q540418
Peter Comestor,author,,,,human,Q785250
Peter Damian,author,,,,human,Q258369
Peter Lombard,author,,,,human,Q315347
Peter Riga (Petrus Riga),author,,,,human,Q556117
Peter of Bergamo,author,,,,human,Q7177913
Petrus Placentinus,author,,,,human,Q974126
"Phillipps, Thomas, Sir, 1792-1872",former owner,,,,human,Q2147709
"Phillipps, Thomas, Sir, 1792-1872",former owner.,,,,human,Q2147709
"Phillips, Thomas, Sir, 1792-1872",former owner,,,,human,Q2147709
"Pirie, Robert S",former owner.,,,,human,Q7349496
"Pistrucci, Benedetto, 1783-1855",former owner,,,,human,Q327504
Pius II,author,,,,human,Q101437
"Pius VI, Pope, 1717-1799",former owner.,,,,human,Q128019
Plato,author.,,,,human,Q859
Pliny the Younger,author,,,,human,Q168707
"Pliny, the Elder",author,,,,human,Q82778
Poblet (Monastery),former owner.,,,,organization,Q645157
Priscian,author,,,,human,Q356433
Pseudo Abdias,author,,,,human,Q7254393
Pseudo Aristotle,author,,,,human,Q1783131
Pseudo Augustine of Hippo,author,,,,human,Q1241114
Pseudo Aurelius Victor,author,,,,human,Q98588079
Pseudo Cicero,author,,,,human,Q67405713
Pseudo Phalaris,author,,,,human,Q101173400
Pseudo-Cicero,author,,,,human,Q67405713
Pseudo-Cyprian,author,,,,human,Q66134384
"Quaritch, Bernard",former owner,,,,human,Q119818
"Quodvultdeus, Bishop of Carthage, -454?",author,,https://viaf.org/viaf/250796368,,human,Q608506
Rabanus Maurus,author,,,,human,Q160441
Raymond of Pennafort,author,,,,human,Q318980
Rāmānandasarasvatī,author,,,,human,Q94635099
"Regiomontanus, Joannes, 1436-1476",author,,,,human,Q76365
Richard Rolle,author,,,,human,Q2345308
"Richard, of St. Victor, -1173",author,,,,human,Q1344799
"Richard, of St. Victor, -1173",author,,http://id.loc.gov/authorities/names/n79076053.html,,human,Q1344799
Roberto Caraccioli,author,,,,human,Q15430545
Roffredus Beneventanus,author,,,,human,Q3940064
"Rosenbach, A. S. W. (Abraham Simon Wolf), 1876-1952",former owner,,,,human,Q3663160
Saint-Benoît-sur-Loire (Abbey),former owner.,,,Fleury Abbey,organization,Q956741
Saint-Bénigne of Dijon,former owner,,,,human,Q652797
Santa María de Benevívere (Monastery : Spain),former owner,,,,organization,Q6898311
"Sassoon, David Solomon, 1880-1942",former owner.,,,,human,Q31762617
"Scarella, Stefano",former owner.,,,,human,Q64752134
"Schoenberg, Lawrence J",former owner.,,,,human,Q107542788
"Schöner, Johann, 1477-1547",author,,,,human,Q62770
Sedulius (Caelius Sedulius),author,,,,human,Q538564
Seneca,author,,,,human,Q2054
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",author,,http://viaf.org/viaf/90637919,,human,Q2054
"Sessler, Charles",former owner,,,,human,Q99399771
"Seton, Walter",former owner.,,,,human,Q96007459
Simone Serdini,author,,,,human,Q27681105
"Smith, David Eugene, 1860-1944",former owner.,,,,human,Q1174369
"Smith, Edgar F. 1854-1928",former owner.,,,,human,Q3047451
"Sohoni, Pushkar",former owner.,,,,human,Q42666530
Spain. Sovereign (1516-1556 : Charles I),author,,,,organization,Q29
Spain. Sovereign (1556-1598 : Philip II),author,,,,organization,Q29
"St. Audries, Alexander Fuller-Acland-Hood, Baron, 1853-1917",former owner,,,,human,Q4718909
"Stark, William Henry, 1851-1936",former owner.,,,,human,Q8012173
"Stuart, William, 1798-1874",former owner,,,,human,Q8018938
Suetonius,author,,,,human,Q10133
Suetonius (Gaius Suetonius Tranquillus),author,,,,human,Q10133
Sulpicius Severus,author,,,,human,Q336704
"Sutherland, George Granville Leveson-Gower, Duke of, 1758-1833",former owner,,,,human,Q332722
"Suyūṭī, 1445-1505",author,,http://id.loc.gov/authorities/names/n80081636,,human,Q468432
Swarthmore College,former owner.,,,,organization,Q1378320
Śaṅkarācārya,author,,,,human,Q180967
Terence,author.,,,,human,Q172048
Terence,author,,,,human,Q172048
Thomas Aquinas,author,,,,human,Q9438
Thomas Aquinas (Thomas de Aquino),author,,,,human,Q9438
Thomas of Cantimpré,author,,,,human,Q572799
Thomas of Hibernia,author,,,,human,Q7795478
"Thomas, George C. (George Clifford), 1839-1909",former owner,,,,human,Q76520101
"Thoresby, Ralph, 1658-1725",former owner,,,,human,Q7288161
"Tollemache, Bentley Lyonel John Tollemache, Baron, 1883-1955",former owner.,,,,human,Q18109261
Tristano Caracciolo,author,,,,human,Q1324187
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسي، نصير الدين محمد بن محمد، 1201-1274,,,human,Q302835
Valerius Maximus,author,,,,human,Q379991
"Varchi, Benedetto, 1503-1565",author,,,,human,Q176833
"Vegio, Maffeo. Poems. Selections. f.202v-204r",author,,,,human,Q1372875
Vergil,author,,,,human,Q1398
Vergil (Publius Vergilius Maro),author,,,,human,Q1398
"Vollbehr, Otto H. F. 1869-1946",former owner.,,,,human,Q23906104
Walter of Mortagne,author,,,,human,Q583077
"William, de Brailes, active 13th century",artist,,,,human,Q8020766
"William, of Saint-Thierry, Abbot of Saint-Thierry, approximately 1085-1148?",author,,http://viaf.org/viaf/5724165,,human,Q1628129
"Williams, Talcott, 1849-1928",former owner.,,,,human,Q7679087
"Williams, Theodore, Rev",former owner.,,,,human,Q96075278
"Wix, Edward",former owner,,,,human,Q5345964
"Wix, Hooker Edward",former owner,,,,human,Q94365138
"Wix, Samuel",former owner,,,,human,Q17030345
"Wix, William",former owner,,,,human,Q21166886
Xenophon,author,,,,human,Q129772
"van Ess, Leander, 1772-1847",former owner,,,,human,Q1810643
Ælfric,author,,,,human,Q271377
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,,human,Q2658411
"ʻIyāḍ ibn Mūsá, 1083-1149",author,عياض بن موسى، 1083-1149,,,human,Q3101035
