language_as_recorded,language_code,authorized_label,structured_value
Chiefly Ottoman Turkish with Persian and Arabic vocabulary and headings in Arabic,ota;ara;per,Persian|Arabic|Ottoman Turkish,Q9168|Q13955|Q36730
Church Slavonic,,Church Slavonic,Q33251
Czech,,Czech,Q9056
dan,dan,Danish,Q9035
Danish,,Danish,Q9035
dut,dut,Dutch,Q7411
Dutch,,Dutch,Q7411
Dutch; Latin,,Dutch|Latin,Q7411|Q397
Dutch; Latin; French,,Dutch|Latin|French,Q7411|Q397|Q150
East Middle Dutch,,Middle Dutch,Q178806
eng,eng,English,Q1860
eng;dut;gre;lat,eng;dut;gre;lat,English|Dutch|Greek|Latin,Q1860|Q7411|Q9129|Q397
eng;fre,eng;fre,English|French,Q1860|Q150
eng;fre;ger;lat,eng;fre;ger;lat,English|French|German|Latin,Q1860|Q150|Q188|Q397
eng;fre;gre;heb;lat,eng;fre;gre;heb;lat,English|French|Greek|Hebrew|Latin,Q1860|Q150|Q9129|Q9288|Q397
eng;gre;lat,eng;gre;lat,English|Greek|Latin,Q1860|Q9129|Q397
eng;ita,eng;ita,English|Italian,Q1860|Q652
eng;ita;lat,eng;ita;lat,English|Italian|Latin,Q1860|Q652|Q397
eng;lat,eng;lat,English|Latin,Q1860|Q397
eng;lat;spa,eng;lat;spa,English|Latin|Spanish,Q1860|Q397|Q1321
eng;spa,eng;spa,English|Spanish,Q1860|Q1321
English,,English,Q1860
English (Northern dialect),,Northern English,Q1321639
English; French,,English|French,Q1860|Q150
English; Latin,,English|Latin,Q1860|Q397
English; Latin; French,,English|Latin|French,Q1860|Q397|Q150
English; Old French; Latin,,English|Old French|Latin,Q1860|Q35222|Q397
enm,enm,Middle English,Q36395
Flemish,,Flemish,Q34147
fre,fre,French,Q150
French,,French,Q150
French and Latin,,French|Latin,Q150|Q397
French; English; Italian; Latin; Spanish,,French|English|Italian|Latin|Spanish,Q150|Q1860|Q652|Q397|Q1321
French; German,,French|German,Q150|Q188
French; Italian,,French|Italian,Q150|Q652
French; Latin,,French|Latin,Q150|Q397
frm,frm,Middle French,Q1473289
frm;lat,frm;lat,Middle French|Latin,Q1473289|Q397
fro,fro,Old French,Q35222
Ge'ez (Ethopic),,Ge'ez,Q35667
ger,ger,German,Q188
German,ger,German,Q188
German,,German,Q188
German (Middle High German),,Middle High German,Q837985
German; French; Spanish; Flemish; Italian,,German|French|Spanish|Flemish|Italian,Q188|Q150|Q1321|Q34147|Q652
German; Italian; Latin,,German|Italian|Latin,Q188|Q652|Q397
German; Latin,,German|Latin,Q188|Q397
gmh,gmh,Middle High German,Q837985
gre,gre,Greek,Q9129
Greek,,Greek,Q9129
Greek (modern),,Modern Greek,Q36510
Greek; Latin,,Greek|Latin,Q9129|Q397
heb,heb,Hebrew,Q9288
Hebrew,heb,Hebrew,Q9288
Hebrew,,Hebrew,Q9288
Hebrew; Aramaic,,Hebrew|Aramaic,Q9288|Q28602
Hebrew; Latin,,Hebrew|Latin,Q9288|Q397
ice,ice,Icelandic,Q294
Icelandic,,Icelandic,Q294
In Danish,dan,Danish,Q9035
In Dutch,dut,Dutch,Q7411
In Flemish,lat,Flemish,Q34147
In German,eng,German,Q188
In Icelandic,ice,Icelandic,Q294
In Italian,ita,Italian,Q652
In Latin,dut,Latin,Q397
In Latin,eng,Latin,Q397
In Latin,lat,Latin,Q397
In Latin (highly abbreviated),lat,Latin,Q397
In Middle French,frm,Middle French,Q1473289
In Old Norse,non,Old Norse,Q35505
In Persian,per,Persian,Q9168
In Persian; written in a professional nastaʻlīq script in black ink; ʻunwān and illustrations in colors and gold ; text rubricated,per,Persian,Q9168
In Sanskrit,san,Sanskrit,Q11059
ita,ita,Italian,Q652
Italian,,Italian,Q652
Italian,ita,Italian,Q652
Italian (Venetian dialect),,Italian,Q652
Italian and Latin,ita;lat,Italian|Latin,Q652|Q397
Italian with a short section in Latin (f. 49r-49v),ita;lat,Italian|Latin,Q652|Q397
"Italian, Latin",,Italian|Latin,Q652|Q397
"Italian, Latin, Spanish",,Italian|Latin|Spanish,Q652|Q397|Q1321
Italian; English,,Italian|English,Q652|Q1860
Italian; French,,Italian|French,Q652|Q150
Italian; Latin,,Italian|Latin,Q652|Q397
Italian; Latin; Hebrew (some notes),,Italian|Latin|Hebrew,Q652|Q397|Q9288
Italian; Latin; Spanish,,Italian|Latin|Spanish,Q652|Q397|Q1321
Italian; Sicilian dialect; Latin; Spanish,,Italian|Sicilian|Latin|Spanish,Q652|Q33973|Q397|Q1321
Japanese,,Japanese,Q5287
Javanese,,Javanese,Q33549
Language: Latin. Cover flyleaf and rear board contain notes written in Italian,lat,Italian|Latin,Q652|Q397
lat,lat,Latin,Q397
lat;eng,lat;eng,Latin|English,Q397|Q1860
lat;frm,lat;frm,Latin|Middle French,Q397|Q1473289
lat;ita,lat;ita,Latin|Italian,Q397|Q652
lat;xno;frm,lat;xno;frm,Latin|Anglo-Norman|Middle French,Q397|Q35214|Q1473289
Latin,lat,Latin,Q397
Latin,,Latin,Q397
LAtin,,Latin,Q397
Latin (f. 1r-5r) and Italian with rubrics in Latin (f. 5v-20r),lat;ita,Latin|Italian,Q397|Q652
Latin and French,,Latin|French,Q397|Q150
Latin and Greek,,Latin|Greek,Q397|Q9129
Latin and Italian,,Latin|Italian,Q397|Q652
Latin with extensive rubrics in German,,Latin|German,Q397|Q188
"Latin, French",,Latin|French,Q397|Q150
"Latin, German",,Latin|German,Q397|Q188
"Latin, Italian",,Latin|Italian,Q397|Q652
"Latin, with a few poems in Italian (f. 106r-108v)",lat;ita,Latin|Italian,Q397|Q652
"Latin, with a few words in Spanish (f. 7r)",lat;spa,Latin|Spanish,Q397|Q1321
"Latin, with Italian on f. 2r",,Latin|Italian,Q397|Q652
"Latin, with one section (f. 267r-272r) and some recipes, notes, and names in Italian",lat,Latin|Italian,Q397|Q652
"Latin, with several items in Italian",lat;ita,Latin|Italian,Q397|Q652
"Latin, with some French translations in the first conjugation table (f. 8r-9r)",lat;fre,Latin|French,Q397|Q150
Latin; Anglo-Norman,,Latin|Anglo-Norman,Q397|Q35214
Latin; Anglo-Norman French,,Latin|Anglo-Norman,Q397|Q35214
Latin; Anglo-Norman; Middle English,,Latin|Anglo-Norman|Middle English,Q397|Q35214|Q36395
Latin; Anglo-Norman; Middle French (ca. 1400-1600),lat;xno;frm,Latin|Anglo-Norman|Middle French,Q397|Q35214|Q1473289
Latin; Anglo-Saxon,,Latin|Old English,Q397|Q42365
Latin; Calendar and prayers on ff. 240r-248v in French,,Latin|French,Q397|Q150
"Latin; Calendar, some rubrics and prayers in French",,Latin|French,Q397|Q150
Latin; Catalan,,Latin|Catalan,Q397|Q7026
Latin; Czech; German; Arabic; Polish,,Latin|Czech|German|Arabic|Polish,Q397|Q9056|Q188|Q13955|Q809
Latin; Czech; German; Hebrew,,Latin|Czech|German|Hebrew,Q397|Q9056|Q188|Q9288
Latin; Dutch,,Latin|Dutch,Q397|Q7411
Latin; English,lat;eng,Latin|English,Q397|Q1860
Latin; English,,Latin|English,Q397|Q1860
Latin; English; Czech,,Latin|English|Czech,Q397|Q1860|Q9056
Latin; English; French,,Latin|English|French,Q397|Q1860|Q150
Latin; English; Welsh,,Latin|English|Welsh,Q397|Q1860|Q9309
Latin; Flemish,,Latin|Flemish,Q397|Q34147
Latin; French,,Latin|French,Q397|Q150
Latin; French (calendar and rubrics),,Latin|French,Q397|Q150
"Latin; French (calendar, prayers ff. 156r-165v, and rubrics)",,Latin|French,Q397|Q150
Latin; French; Dutch,,Latin|French|Dutch,Q397|Q150|Q7411
Latin; French; English,,Latin|French|English,Q397|Q150|Q1860
Latin; French; Italian,,Latin|French|Italian,Q397|Q150|Q652
Latin; French; Middle English,,Latin|French|Middle English,Q397|Q150|Q36395
Latin; German,,Latin|German,Q397|Q188
Latin; German; French,,Latin|German|French,Q397|Q188|Q150
Latin; German; French; English,,Latin|German|French|English,Q397|Q188|Q150|Q1860
Latin; Greek,,Latin|Greek,Q397|Q9129
Latin; Greek; Dutch,,Latin|Greek|Dutch,Q397|Q9129|Q7411
Latin; Greek; Hebrew; English,,Latin|Greek|Hebrew|English,Q397|Q9129|Q9288|Q1860
Latin; Greek; Italian,,Latin|Greek|Italian,Q397|Q9129|Q652
Latin; Hebrew (some notes),,Latin|Hebrew,Q397|Q9288
Latin; Hebrew in added note,,Latin|Hebrew,Q397|Q9288
Latin; Hebrew; Greek,,Latin|Hebrew|Greek,Q397|Q9288|Q9129
Latin; Icelandic,,Latin|Icelandic,Q397|Q294
Latin; Italian,lat;ita,Latin|Italian,Q397|Q652
Latin; Italian,,Latin|Italian,Q397|Q652
Latin; Italian; French; Greek,,Latin|Italian|French|Greek,Q397|Q652|Q150|Q9129
Latin; Italian; French; Greek; Hebrew,,Latin|Italian|French|Greek|Hebrew,Q397|Q652|Q150|Q9129|Q9288
Latin; Italian; French; Spanish,,Latin|Italian|French|Spanish,Q397|Q652|Q150|Q1321
Latin; Italian; Spanish,,Latin|Italian|Spanish,Q397|Q652|Q1321
Latin; Law French,,Latin|Law French,Q397|Q2044323
Latin; Law French; Middle English,,Latin|Law French|Middle English,Q397|Q2044323|Q36395
Latin; Low German,,Latin|Low German,Q397|Q25433
Latin; Middle English,,Latin|Middle English,Q397|Q36395
Latin; Middle French,,Latin|Middle French,Q397|Q1473289
Latin; Middle French (ca. 1400-1600),lat;frm,Latin|Middle French,Q397|Q1473289
Latin; Middle-French,,Latin|Middle French,Q397|Q1473289
Latin; Occitan,,Latin|Occitan,Q397|Q14185
Latin; Old English,,Latin|Old English,Q397|Q42365
Latin; Old High German,,Latin|Old High German,Q397|Q35218
Latin; Rhenish,,Latin|Rhine Franconian,Q397|Q707007
Latin; Spanish,,Latin|Spanish,Q397|Q1321
Law French,,Law French,Q2044323
Low German,,Low German,Q25433
Middle Dutch,,Middle Dutch,Q178806
Middle English,eng;enm,Middle English,Q36395
Middle English,enm,Middle English,Q36395
Middle English,,Middle English,Q36395
"Middle English, Latin",,Middle English|Latin,Q36395|Q397
Middle English; Latin,,Middle English|Latin,Q36395|Q397
Middle English; Latin; French,,Middle English|Latin|French,Q36395|Q397|Q150
Middle French,frm,Middle French,Q1473289
Middle French,,Middle French,Q1473289
Middle French (ca. 1400-1600); Latin,frm;lat,Middle French|Latin,Q1473289|Q397
Middle French and Latin,frm,Middle French|Latin,Q1473289|Q397
"Middle French, with some sections in Latin (f. 77r-81v, 85v-87r, 93r-98r, 137v, 141r)",frm;lat,Middle French|Latin,Q1473289|Q397
Middle High German,,Middle High German,Q837985
Middle High German (ca. 1050-1500),gmh,Middle High German,Q837985
"Middle High German, with some Latin",gmh;lat,Middle High German|Latin,Q837985|Q397
Middle Scots,,Middle Scots,Q3327000
Nahuatl; Spanish,,Nahuatl|Spanish,Q13300|Q1321
"No linguistic content, Not applicable",zxx,no linguistic content,Q22282939
non,non,Old Norse,Q35505
Occitan,,Occitan,Q14185
Old Church Slavonic,,Old Church Slavonic,Q35499
Old English,,Old English,Q42365
Old English; Latin,,Old English|Latin,Q42365|Q397
Old French,,Old French,Q35222
Old French (842-ca. 1400),fro,Old French,Q35222
ota,ota,Ottoman Turkish,Q36730
Ottoman Turkish,ota,Ottoman Turkish,Q36730
Ottoman Turkish and Persian,ota;per,Ottoman Turkish|Persian,Q36730|Q9168
Ottoman Turkish and Persian with some Arabic quotations and headings,ota;per;ara,Ottoman Turkish|Persian|Arabic,Q36730|Q9168|Q13955|
Ottoman with translations from Arabic; inserts in Persian laid in,ota;ara,Ottoman Turkish|Arabic|Persian,Q36730|Q13955|Q9168
Pali,,Pali,Q36727
Patois du pays de caux,,Cauchois,Q2943069
per,per,Persian,Q9168
Persian,per,Persian,Q9168
Persian,,Persian,Q9168
Persian translations and commentary with Arabic source-text,per,Persian|Arabic,Q9168|Q13955
Persian with Arabic source-text,per;ara,Persian|Arabic,Q9168|Q13955
Persian with Arabic source-text,per,Persian|Arabic,Q9168|Q13955
Persian with source-text in Arabic; some glosses and notes in Chinese,per;chi,Persian|Arabic|Chinese,Q9168|Q13955|Q7850
Persian with two pages in Arabic (f. 1v-2r),per,Persian|Arabic,Q9168|Q13955
Persian with two pages in Arabic (f. 23r/v),per,Persian|Arabic,Q9168|Q13955
Portuguese,,Portuguese,Q5146
Portuguese; Latin,,Portuguese|Latin,Q5146|Q397
Provençal,,Provençal,Q241243
"Provençal, Middle French",,Provençal|Middle French,Q241243|Q1473289
san,san,Sanskrit,Q11059
Sanskrit,,Sanskrit,Q11059
Serbian Slavonic,,Slavonic-Serbian,Q1639124
Sicilian,,Sicilian,Q33973
spa,spa,Spanish,Q1321
Spanish,spa,Spanish,Q1321
Spanish,,Spanish,Q1321
Spanish (Valencian dialect),,Valencian,Q32641
Spanish; Latin,,Spanish|Latin,Q1321|Q397
Spanish; Nahuatl,,Spanish|Nahuatl,Q1321|Q13300
Syriac,,Syriac,Q33538
Tamil,,Tamil,Q5885
Tashelhit / Shilha,ber,Shilha,Q34152
Text in Latin,lat,Latin,Q397
Text in Old French,fro,Old French,Q35222
und,und,undetermined language,Q22282914
und;eng,und;eng,undetermined language|English,Q22282914|Q1860
Unidentified Cipher,,undetermined language,Q22282914
xno,xno,Anglo-Norman,Q35214
zxx,zxx,no linguistic content,Q22282939
