subject_as_recorded,source_authority_uri,authorized_label,structured_value
Angels,,Angels,http://id.worldcat.org/fast/808746
Angels--Early works to 1800,,Angels|Early works,http://id.worldcat.org/fast/808746|http://id.worldcat.org/fast/1411636
Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
Animal culture--Early works to 1800,,Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636
Annecy (France)--History,,France--Annecy|History,http://id.worldcat.org/fast/1208990|http://id.worldcat.org/fast/1411628
Antichrist,,Antichrist,http://id.worldcat.org/fast/810461
Antichrist--Early works to 1800,,Antichrist|Early works,http://id.worldcat.org/fast/810461|http://id.worldcat.org/fast/1411636
Antiphonaries,,Antiphonaries,http://id.worldcat.org/fast/810657
Antiphonaries--Specimens,,Antiphonaries|Specimens,http://id.worldcat.org/fast/810657|http://id.worldcat.org/fast/1423861
Antiphons (Music),,Antiphons (Music),http://id.worldcat.org/fast/810660
Antiphons (Music)--Early works to 1800,,Antiphons (Music)|Early works,http://id.worldcat.org/fast/810660|http://id.worldcat.org/fast/1411636
Antiquities,,Antiquities,http://id.worldcat.org/fast/810745
Apostles in art,,Apostles in art,http://id.worldcat.org/fast/811486
Aqueducts,,Aqueducts,http://id.worldcat.org/fast/812149
Aqueducts--Italy--Rome--Early works to 1800,,Aqueducts;Italy;Italy--Rome;Early works,http://id.worldcat.org/fast/812149;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411636
Aquileia (Italy)--History--To 1500,,Italy--Aquileia|History,http://id.worldcat.org/fast/1202897|http://id.worldcat.org/fast/1411628
Arab countries,,Arab countries,http://id.worldcat.org/fast/1240128
Arab logic--Early works to 1800,,Arab logic;Early works,http://id.worldcat.org/fast/1748003;http://id.worldcat.org/fast/1411636
Arabic language,,Arabic language,http://id.worldcat.org/fast/812287
Arabic language--Dictionaries,,Arabic language|Dictionaries,http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423826
Arabic language--Dictionaries--Turkish,,Arabic language;Dictionaries;Turkish language,http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423826;http://id.worldcat.org/fast/1159411
"Arabic language--Glossaries, vocabularies, etc.--Early works to 1800",,"Arabic language;Glossaries, vocabularies, etc.;Early works",http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423786;http://id.worldcat.org/fast/1411636
Arabic language--Grammar,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Grammar--Early works to 1800,,Arabic language--Grammar;Early works,http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636
Arabic language--Syntax,,Arabic language--Syntax,http://id.worldcat.org/fast/812441
Arabic language--Versification--Early works to 1800,,Arabic language--Versification;Early works,http://id.worldcat.org/fast/812458;http://id.worldcat.org/fast/1411636
Arabic literature--Miscellanea--Early works to 1800,,Arabic literature;Miscellanea;Early works,http://id.worldcat.org/fast/812478;http://id.worldcat.org/fast/1353832;http://id.worldcat.org/fast/1411636
Arabic poetry,,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry--622-750,,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry--750-1258,,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry--Early works to 1800,,Arabic poetry;Early works,http://id.worldcat.org/fast/812533;http://id.worldcat.org/fast/1411636
Aragon (Spain)--History--Poetry,,Spain--Aragon|History|Poetry,http://id.worldcat.org/fast/1227604|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423828
Aragon (Spain)--History--Sources,,Spain--Aragon|History|Sources,http://id.worldcat.org/fast/1227604|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423900
Architecture--Orders,,Architecture--Orders,http://id.worldcat.org/fast/813493
Architecture--Orders--Early works to 1800,,Architecture--Orders|Early works,http://id.worldcat.org/fast/813493|http://id.worldcat.org/fast/1411636
Ardennes--History,,Europe--Ardennes|History,http://id.worldcat.org/fast/1240231|http://id.worldcat.org/fast/1411628
Arezzo (Italy : Province)--History--14th century,,Italy--Arezzo (Province)|History|Fourteenth century,http://id.worldcat.org/fast/1330646|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
Arezzo (Italy)--History,,Italy--Arezzo|History,http://id.worldcat.org/fast/1209394|http://id.worldcat.org/fast/1411628
Arithmetic,,Arithmetic,http://id.worldcat.org/fast/814484
Arithmetic--Early works to 1800,,Arithmetic|Early works,http://id.worldcat.org/fast/814484|http://id.worldcat.org/fast/1411636
Arithmetic--Early works to 1900,,Arithmetic;Early works,http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636
Arles (France)--History,,France--Arles|History,http://id.worldcat.org/fast/1206034|http://id.worldcat.org/fast/1411628
Armagnac (France),,France--Armagnac,http://id.worldcat.org/fast/1211502
Armenia,,Armenia,http://id.worldcat.org/fast/1206470
"Armenia--History--Turkic Mongol Domination, 1045-1522",,Armenia|History|Turkic Mongol Domination (Armenia : 1045-1522),http://id.worldcat.org/fast/1206470|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1907635
Art--Forgeries,,Art--Forgeries,http://id.worldcat.org/fast/815252
Artillery,,Artillery,http://id.worldcat.org/fast/817490
Artillery--Early works to 1800,,Artillery;Early works,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411636
Artillery--History,,Artillery;History,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411628
Asceticism,,Asceticism,http://id.worldcat.org/fast/818425
Asceticism--Early works to 1800,,Asceticism|Early works,http://id.worldcat.org/fast/818425|http://id.worldcat.org/fast/1411636
"Asceticism--History--Early church, ca. 30-600",,Asceticism|History|30-600,http://id.worldcat.org/fast/818425|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355906
Ascoli Piceno (Italy)--History,,Italy--Ascoli Piceno|History,http://id.worldcat.org/fast/1232850|http://id.worldcat.org/fast/1411628
Assisi (Italy),,Italy--Assisi,http://id.worldcat.org/fast/1206046
Astrolabes,,Astrolabes,http://id.worldcat.org/fast/819392
Astrolabes--Early works to 1800,,Astrolabes;Early works,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1411636
Astrolabes--Islamic Empire,,Astrolabes;Islamic Empire,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1244134
Astrology,,Astrology,http://id.worldcat.org/fast/819398
"Astrology, Arab",,"Astrology, Arab",http://id.worldcat.org/fast/819451
"Astrology, Arab--Early works to 1800",,"Astrology, Arab;Early works",http://id.worldcat.org/fast/819451;http://id.worldcat.org/fast/1411636
Astrology--Early works to 1800,,Astrology;Early works,http://id.worldcat.org/fast/819398;http://id.worldcat.org/fast/1411636
Astronomical instruments,,Astronomical instruments,http://id.worldcat.org/fast/819641
Astronomical instruments--Early works to 1800,,Astronomical instruments;Early works,http://id.worldcat.org/fast/819641;http://id.worldcat.org/fast/1411636
Astronomy,,Astronomy,http://id.worldcat.org/fast/819673
"Astronomy, Arab",,"Astronomy, Arab",http://id.worldcat.org/fast/819764
"Astronomy, Arab--Early works to 1800",,"Astronomy, Arab;Early works",http://id.worldcat.org/fast/819764;http://id.worldcat.org/fast/1411636
"Astronomy, Arab--History",,"Astronomy, Arab;History",http://id.worldcat.org/fast/819764;http://id.worldcat.org/fast/1411628
"Astronomy, Arab--Tables--Early works to 1800",,"Astronomy, Arab--Tables;Early works",http://id.worldcat.org/fast/819766;http://id.worldcat.org/fast/1411636
"Astronomy, Greek",,"Astronomy, Greek",http://id.worldcat.org/fast/819774
"Astronomy, Medieval",,"Astronomy, Medieval",http://id.worldcat.org/fast/819781
Astronomy--Early works to 1800,,Astronomy;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636
Astronomy--Germany--History--16th century,,Astronomy|Germany|History|Sixteenth century,http://id.worldcat.org/fast/819673|http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Astronomy--Islamic countries--History,,Astronomy;Islamic countries;History,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1411628
Astronomy--Tables,,Astronomy--Tables,http://id.worldcat.org/fast/819745
Austria,,Austria,http://id.worldcat.org/fast/1204901
Austria--History--1519-1740,,Austria|History,http://id.worldcat.org/fast/1204901|http://id.worldcat.org/fast/1411628
Austria--Lambach (Upper Austria),,Austria--Lambach (Upper Austria),http://id.worldcat.org/fast/1319007
Austria--Vienna,,Austria--Vienna,http://id.worldcat.org/fast/1204516
Autos-da-fé,,Autos-da-fé,http://id.worldcat.org/fast/824207
Autos-da-fé--Spain,,Autos-da-fé|Spain,http://id.worldcat.org/fast/824207|http://id.worldcat.org/fast/1204303
Avatars (Religion),,Avatars (Religion),http://id.worldcat.org/fast/1429828
Aveyron (France)--History--Sources,,France--Aveyron|History|Sources,http://id.worldcat.org/fast/1202975|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423900
Bakers,,Bakers,http://id.worldcat.org/fast/1431877
Bakers--England--Early works to 1800,,Bakers;England;Early works,http://id.worldcat.org/fast/1431877;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
Bakers--France--Early works to 1800,,Bakers|France|Early works,http://id.worldcat.org/fast/1431877|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411636
Balances (Weighing instruments),,Balances (Weighing instruments),http://id.worldcat.org/fast/825699
Balances (Weighing instruments)--Early works to 1800,,Balances (Weighing instruments)|Early works,http://id.worldcat.org/fast/825699|http://id.worldcat.org/fast/1411636
Banks and banking,,Banks and banking,http://id.worldcat.org/fast/826867
Banks and banking--France--Lyon--Early works to 1800,,Banks and banking|France|France--Lyon|Early works,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1214593|http://id.worldcat.org/fast/1411636
Banks and banking--Italy,,Banks and banking|Italy,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204565
Banks and banking--Italy--Florence--Early works to 1800,,Banks and banking|Italy|Italy--Florence|Early works,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1411636
Banks and banking--Italy--Mantua,,Banks and banking|Italy|Italy--Mantua,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204700
Banks and banking--Italy--Rome--Early works to 1800,,Banks and banking|Italy|Italy--Rome|Early works,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411636
Banks and banking--Italy--Siena--History,,Banks and banking|Italy|Italy--Siena|History,http://id.worldcat.org/fast/826867|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409|http://id.worldcat.org/fast/1411628
Baptism,,Baptism,http://id.worldcat.org/fast/827229
Baptism of Jesus Christ,,Baptism of Jesus Christ,http://id.worldcat.org/fast/1351993
Baptism--Catholic Church,,Baptism--Catholic Church,http://id.worldcat.org/fast/1766653
Barberino di Val d'Elsa (Italy)--History--15th century,,Italy--Barberino di Val d'Elsa|History|Fifteenth century,http://id.worldcat.org/fast/1284815|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
"Barcelona (Spain)--Charters, grants, privileges--12th century",,Spain--Barcelona|Charters and articles of incorporation|Twelfth century,http://id.worldcat.org/fast/1204531|http://id.worldcat.org/fast/1774239|http://id.worldcat.org/fast/1159791
Barga (Italy)--History,,Italy--Barga;History,http://id.worldcat.org/fast/1235479;http://id.worldcat.org/fast/1411628
Basel-Landschaft (Switzerland : Canton)--History,,Switzerland--Basel-Landschaft (Canton)|History,http://id.worldcat.org/fast/1336641|http://id.worldcat.org/fast/1411628
Bavaria (Germany)--History--Sources,,Germany--Bavaria|History|Sources,http://id.worldcat.org/fast/1211843|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423900
Belgium--Liège,,Belgium--Liège,http://id.worldcat.org/fast/1207176
Benedictine monasteries,,Benedictine monasteries,http://id.worldcat.org/fast/830310
Benedictine monasteries--Italy,,Benedictine monasteries|Italy,http://id.worldcat.org/fast/830310|http://id.worldcat.org/fast/1204565
Berber poetry--Morocco--Texts,,Berber poetry;Morocco;Texts,http://id.worldcat.org/fast/830649;http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/1423705
Beverages--Religious aspects--Islam,,Drinking of alcoholic beverages--Religious aspects--Islam,http://id.worldcat.org/fast/898231
Beverages--Religious aspects--Islam--Early works to 1800,,Beverages;Islam;Early works,http://id.worldcat.org/fast/831042;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636
Biography,,Biographies,http://id.worldcat.org/fast/1919896
Bishops,,Bishops,http://id.worldcat.org/fast/833378
"Bishops--Appointment, call, and election",,"Bishops--Appointment, call, and election",http://id.worldcat.org/fast/833379
"Bishops--Appointment, call, and election--Early works to 1800",,"Bishops--Appointment, call, and election|Early works",http://id.worldcat.org/fast/833379|http://id.worldcat.org/fast/1411636
Bishops--Early works to 1800,,Bishops;Early works,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636
Bishops--Temporal power,,Bishops--Temporal power,http://id.worldcat.org/fast/833391
Bishops--Temporal power--Early works to 1800,,Bishops--Temporal power|Early works,http://id.worldcat.org/fast/833391|http://id.worldcat.org/fast/1411636
Blois (France : County)--History,,France--Blois (County)|History,http://id.worldcat.org/fast/1335052|http://id.worldcat.org/fast/1411628
Bohemia (Czech Republic)--Church history,,Czech Republic--Bohemia|Church history,http://id.worldcat.org/fast/1243096|http://id.worldcat.org/fast/1411629
Bologna (Italy),,Italy--Bologna,http://id.worldcat.org/fast/1204551
Books and reading,,Books and reading,http://id.worldcat.org/fast/836454
Books and reading--History--16th century,,Books and reading|History|Sixteenth century,http://id.worldcat.org/fast/836454|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Books of hours,,Books of hours,http://id.worldcat.org/fast/836484
Books of hours.,,Books of hours,http://id.worldcat.org/fast/836484
Books of hours--France.,,Books of hours|France,http://id.worldcat.org/fast/836484|http://id.worldcat.org/fast/1204289
Books of hours--Germany,,Books of hours;Germany,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1210272
Booksellers and bookselling,,Booksellers and bookselling,http://id.worldcat.org/fast/836492
Booksellers and bookselling--Early works to 1800,,Booksellers and bookselling;Early works,http://id.worldcat.org/fast/836492;http://id.worldcat.org/fast/1411636
Booksellers and bookselling--Italy,,Booksellers and bookselling|Italy,http://id.worldcat.org/fast/836492|http://id.worldcat.org/fast/1204565
Bosco Marengo (Italy)--History,,Italy--Bosco Marengo|History,http://id.worldcat.org/fast/1235135|http://id.worldcat.org/fast/1411628
Bosco Marengo (Italy)--Politics and government,,Italy--Bosco Marengo|Politics and government,http://id.worldcat.org/fast/1235135|http://id.worldcat.org/fast/1919741
Bosco Marengo (Italy)--Statutes,,Italy--Bosco Marengo|Statutes,http://id.worldcat.org/fast/1235135|http://id.worldcat.org/fast/1132185
Botany,,Botany,http://id.worldcat.org/fast/836869
"Botany, Medical",,"Botany, Medical",http://id.worldcat.org/fast/836961
"Botany, Medical--Early works to 1800",,"Botany, Medical;Early works",http://id.worldcat.org/fast/836961;http://id.worldcat.org/fast/1411636
Botany--Pictorial works--Early works to 1800,,Botany;Pictorial works;Early works,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1423874;http://id.worldcat.org/fast/1411636
Botany--Pre-Linnean works,,Botany,http://id.worldcat.org/fast/836869
Bread,,Bread,http://id.worldcat.org/fast/1198482
Bread--England--Early works to 1800,,Bread;England;Early works,http://id.worldcat.org/fast/1198482;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
Bread--France--Early works to 1800,,Bread|France|Early works,http://id.worldcat.org/fast/1198482|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411636
Brescia (Italy)--History--15th century--Economic aspects,,Italy--Brescia|History|Fifteenth century|Economics,http://id.worldcat.org/fast/1204883|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/902116
Brescia (Italy)--History--16th century--Economic aspects,,Italy--Brescia|History|Sixteenth century|Economics,http://id.worldcat.org/fast/1204883|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851|http://id.worldcat.org/fast/902116
Brescia (Italy)--Politics and government,,Italy--Brescia|Politics and government,http://id.worldcat.org/fast/1204883|http://id.worldcat.org/fast/1919741
Breviaries,,Breviaries,http://id.worldcat.org/fast/838495
Breviaries--Specimens,,Breviaries|Specimens,http://id.worldcat.org/fast/838495|http://id.worldcat.org/fast/1423861
Breviaries--Texts--Early works to 1800,,Breviaries|Texts|Early works,http://id.worldcat.org/fast/838495|http://id.worldcat.org/fast/1423705|http://id.worldcat.org/fast/1411636
Breviary--Texts.,,Breviaries|Texts,http://id.worldcat.org/fast/838495|http://id.worldcat.org/fast/1423705
Bridles,,Bridles,http://id.worldcat.org/fast/838967
Bridles--Early works to 1800,,Bridles;Early works,http://id.worldcat.org/fast/838967;http://id.worldcat.org/fast/1411636
British,,British,http://id.worldcat.org/fast/839044
British--Ireland--History--16th century,,British|Ireland|History|Sixteenth century,http://id.worldcat.org/fast/839044|http://id.worldcat.org/fast/1205427|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Brondolo (Italy),,Italy--Brondolo,http://id.worldcat.org/fast/1238730
Buildings,,Buildings,http://id.worldcat.org/fast/840962
Buildings--Italy--Verona,,Buildings|Italy|Italy--Verona,http://id.worldcat.org/fast/840962|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204568
"Bulls, Papal",,Papal documents,http://id.worldcat.org/fast/1423838
"Bulls, Papal--Early works to 1800",,Papal documents|Early works,http://id.worldcat.org/fast/1423838|http://id.worldcat.org/fast/1411636
"Bulls, Papal--Specimens",,Papal documents|Specimens,http://id.worldcat.org/fast/1423838|http://id.worldcat.org/fast/1423861
Burgos (Spain : Province),,Spain--Burgos (Province),http://id.worldcat.org/fast/1330567
Burgundy (County)--History--14th century,,France--Burgundy (County)|History|Fourteenth century,http://id.worldcat.org/fast/1223900|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/933420
"Burgundy (France)--History--House of Valois, 1363-1477",,France--Burgundy|History,http://id.worldcat.org/fast/1206081|http://id.worldcat.org/fast/1411628
Business mathematics,,Business mathematics,http://id.worldcat.org/fast/842780
Business mathematics--Early works to 1800,,Business mathematics|Early works,http://id.worldcat.org/fast/842780|http://id.worldcat.org/fast/1411636
Byzantine Empire,,Byzantine Empire,http://id.worldcat.org/fast/1209292
Byzantine Empire--History,,Byzantine Empire|History,http://id.worldcat.org/fast/1209292|http://id.worldcat.org/fast/1411628
Byzantine literature,,Byzantine literature,http://id.worldcat.org/fast/843235
Cabala,,Cabala,http://id.worldcat.org/fast/843481
Cabala--Early works to 1800,,Cabala;Early works,http://id.worldcat.org/fast/843481;http://id.worldcat.org/fast/1411636
Caen (France),,France--Caen,http://id.worldcat.org/fast/1207313
Caen (France)--History--Economic conditions--14th century,,France--Caen|History|Economic history|Fourteenth century,http://id.worldcat.org/fast/1207313|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/901974|http://id.worldcat.org/fast/933420
Cahors (France),,France--Cahors,http://id.worldcat.org/fast/1214020
Calendar,,Calendar,http://id.worldcat.org/fast/844160
Calendar--Armenia--Early works to 1800,,Calendar|Armenia|Early works,http://id.worldcat.org/fast/844160|http://id.worldcat.org/fast/1206470|http://id.worldcat.org/fast/1411636
Cancon (France)--Economic conditions--15th century,,Economic history|Fifteenth century,http://id.worldcat.org/fast/901974|http://id.worldcat.org/fast/923962
Cancon (France)--Social conditions--15th century,,Social conditions|Fifteenth century,http://id.worldcat.org/fast/1919811|http://id.worldcat.org/fast/923962
Canon law,,Canon law,http://id.worldcat.org/fast/845910
Canon law--Early works to 1800,,Canon law;Early works,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/1411636
"Canon law--Handbooks, manuals, etc.--Early works to 1800",,Canon law|Handbooks and manuals|Early works,http://id.worldcat.org/fast/845910|http://id.worldcat.org/fast/1423877|http://id.worldcat.org/fast/1411636
Canonists,,Canonists,http://id.worldcat.org/fast/845942
Canonists--Early works to 1800,,Canonists|Early works,http://id.worldcat.org/fast/845942|http://id.worldcat.org/fast/1411636
Canticles,,Canticles,http://id.worldcat.org/fast/846126
Capranica (Italy),,Italy--Capranica,http://id.worldcat.org/fast/1291418
Cardinal virtues,,Cardinal virtues,http://id.worldcat.org/fast/847092
Cardinal virtues--Early works to 1800,,Cardinal virtues|Early works,http://id.worldcat.org/fast/847092|http://id.worldcat.org/fast/1411636
Cartularies,,Cartularies,http://id.worldcat.org/fast/848097
Cartularies--Specimens,,Cartularies|Specimens,http://id.worldcat.org/fast/848097|http://id.worldcat.org/fast/1423861
Caserta (Italy)--History--16th century,,Italy--Caserta|History|Sixteenth century,http://id.worldcat.org/fast/1206468|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
Castelfranco di Sotto (Italy),,Italy--Castelfranco di Sotto,http://id.worldcat.org/fast/1285824
"Castello (Florence, Italy)--History--16th century",,Italy--Castello (Florence)|History|Sixteenth century,http://id.worldcat.org/fast/1318902|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
