genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Calligraphy--Iran--19th century,aat,,calligraphy (visual works);Iran;Nineteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,,
Calligraphy--Iran--20th century,aat,,calligraphy (visual works);Iran;Twentieth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1159810,,
Calligraphy--Nigeria--19th century,aat,,calligraphy (visual works);Nigeria;Nineteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1205229;http://id.worldcat.org/fast/1037841,,
Calligraphy--Turkey--16th century,aat,,calligraphy (visual works);Turkey;Sixteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1119851,,
Charters and articles of incorporation,fast,(OCoLC)fst01774239,Charters and articles of incorporation,http://id.worldcat.org/fast/1774239,,
Coats of arms--Spain--Valladolid--16th century,aat,,coats of arms;Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300126352;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Collective biographies--Afghanistan--15th century,aat,,collective biographies;Afghanistan;Fifteenth century,http://vocab.getty.edu/aat/300080111;http://id.worldcat.org/fast/1205406;http://id.worldcat.org/fast/923962,,
Dated and datable manuscripts,local,,,,,
Dated and datable manuscripts,,,,,,
Decorated initials (Layout features)--Spain--16th century,aat,,decorated initials;Spain;Sixteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Detached leaves--Afghanistan--15th century,aat,,detached leaves;Afghanistan;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1205406;http://id.worldcat.org/fast/923962,,
Detached leaves--Armenia--18th century,aat,,detached leaves;Armenia;Eighteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/904058,,
Detached leaves--Belgium--15th century,aat,,detached leaves;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,,
Detached leaves--Burma--18th century,aat,,detached leaves;Burma;Eighteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1207835;http://id.worldcat.org/fast/904058,,
Detached leaves--Egypt--17th century,aat,,detached leaves;Egypt;Seventeenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1113663,,
Detached leaves--Egypt--19th century,aat,,detached leaves;Egypt;Nineteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1037841,,
Detached leaves--France--13th century,aat,,detached leaves;France;Thirteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Detached leaves--France--14th century,aat,,detached leaves;France;Fourteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Detached leaves--France--15th century,aat,,detached leaves;France;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Detached leaves--France--16th century,aat,,detached leaves;France;Sixteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Detached leaves--Germany--15th century,aat,,detached leaves;Germany;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
Detached leaves--India--17th century,aat,,detached leaves;India;Seventeenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,,
Detached leaves--India--18th century,aat,,detached leaves;India;Eighteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,,
Detached leaves--India--19th century,aat,,detached leaves;India;Nineteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841,,
Detached leaves--Indonesia--19th century,aat,,detached leaves;Indonesia;Nineteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1209242;http://id.worldcat.org/fast/1037841,,
Detached leaves--Iran--16th century,aat,,detached leaves;Iran;Sixteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,,
Detached leaves--Iran--19th century,aat ,,detached leaves;Iran;Nineteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,,
Detached leaves--Iran--20th century,aat,,detached leaves;Iran;Twentieth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1159810,,
Detached leaves--Italy--13th century,aat,,detached leaves;Italy;Thirteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Detached leaves--Italy--14th century,aat,,detached leaves;Italy;Fourteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Detached leaves--Italy--15th century,aat,,detached leaves;Italy;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Detached leaves--Italy--Bologna--14th century,aat,,detached leaves;Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,,
Detached leaves--Japan--15th century,aat,,detached leaves;Japan;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/923962,,
Detached leaves--Japan--17th century,aat,,detached leaves;Japan;Seventeenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1113663,,
Detached leaves--Nigeria--19th century,aat,,detached leaves;Nigeria;Nineteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1205229;http://id.worldcat.org/fast/1037841,,
Detached leaves--Spain--15th century,aat,,detached leaves;Spain;Fifteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,,
Detached leaves--Spain--16th century,aat,,detached leaves;Spain;Sixteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Detached leaves--Spain--17th century,aat,,detached leaves;Spain;Seventeenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Detached leaves--Sri Lanka--18th century,aat,,detached leaves;Sri Lanka;Eighteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1208730;http://id.worldcat.org/fast/904058,,
Detached leaves--Syria--16th century,aat,,detached leaves;Syria;Sixteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1119851,,
Detached leaves--Turkey--16th century,aat,,detached leaves;Turkey;Sixteenth century,http://vocab.getty.edu/aat/300379890;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1119851,,
Documentary scripts--England--14th century,aat,,documentary scripts;England;Fourteenth century,http://vocab.getty.edu/aat/300200828;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Documentary scripts--France--14th century,aat,,documentary scripts;France;Fourteenth century,http://vocab.getty.edu/aat/300200828;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Early works,fast,(OCoLC)fst01411636,,,Early works,http://id.worldcat.org/fast/1411636
Fukuro-toji--Japan--15th century,aat,,fukuro-toji;Japan;Fifteenth century,http://vocab.getty.edu/aat/300263594;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/923962,,
Fukuro-toji--Japan--17th century,aat,,fukuro-toji;Japan;Seventeenth century,http://vocab.getty.edu/aat/300263594;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1113663,,
Furniture,rbbin,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,,
Furniture (Binding)--Spain--17th century,rbbin,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,,
Gauffered edges (Binding),rbbin,,,,Gauffered edges,http://id.loc.gov/vocabulary/rbmscv/cv00745
Ge'ez--Ethiopia--20th century,aat,,Geez (language);Ethiopia;Twentieth century,http://vocab.getty.edu/aat/300388341;http://id.worldcat.org/fast/1205830;http://id.worldcat.org/fast/1159810,,
Gilt edges (Binding),rbbin,,,,Gilt edges,http://id.loc.gov/vocabulary/rbmscv/cv00748
Gold tooled bindings (Binding)--Spain--16th century,rbbin,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,,
Gothic scripts,aat,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226
Gothic scripts--Belgium--15th century,aat,,Gothic scripts;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,,
Gothic scripts--England--13th century,aat,,Gothic scripts;England;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,,
Gothic scripts--France--13th century,aat,,Gothic scripts;France;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Gothic scripts--France--14th century,aat,,Gothic scripts;France;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Gothic scripts--France--15th century,aat,,Gothic scripts;France;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Gothic scripts--France--16th century,aat,,Gothic scripts;France;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Gothic scripts--Germany--15th century,aat,,Gothic scripts;Germany;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
Gothic scripts--Italy--13th century,aat,,Gothic scripts;Italy;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Gothic scripts--Italy--14th century,aat,,Gothic scripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Gothic scripts--Italy--15th century,aat,,Gothic scripts;Italy;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Gothic scripts--Italy--Bologna--14th century,aat,,Gothic scripts;Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,,
Gothic scripts--Italy--Ferrara--15th century,aat,,Gothic scripts;Italy--Ferrara;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/923962,,
Gothic scripts--Spain--15th century,aat,,Gothic scripts;Spain;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,,
Gothic scripts--Spain--16th century,aat,,Gothic scripts;Spain;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Gothic scripts--Spain--17th century,aat,,Gothic scripts;Spain;Seventeenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Gothic scripts--Spain--18th century,aat,,Gothic scripts;Spain;Eighteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,,
Gothic scripts--Spain--Valladolid--16th century,aat,,Gothic scripts;Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Gothic scripts.--Italy--14th century,aat,,Gothic scripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Gregorian chant--France--14th century,aat,,Gregorian chants;France;Fourteenth century,http://vocab.getty.edu/aat/300265207;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Historiated initials (Layout features)--France--16th century,aat,,historiated initials;France;Sixteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Historiated initials (Layout features)--Italy--15th century,aat,,historiated initials;Italy;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Humanistic scripts--Italy--Florence--15th century,aat,,humanistic scripts;Italy--Florence;Fifteenth century,http://vocab.getty.edu/aat/300210204;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962,,
Illuminated initials (Layout features)--Italy--13th century,aat,,decorated initials;Italy;Thirteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Illuminated initials (Layout features)--Italy--14th century,aat,,decorated initials;Italy;Fourteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Illuminated initials (Layout features)--Italy--15th century,aat,,decorated initials;Italy;Fifteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Illuminated initials (Layout features)--Italy--Bologna--14th century,aat,,decorated initials;Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,,
Illuminated initials (Layout features)--Spain--15th century,aat,,decorated initials;Spain;Fifteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,,
Illuminated initials (Layout features)--Spain--17th century,aat,,decorated initials;Spain;Seventeenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Illuminated initials (Layout features)--Spain--Valladolid--16th century,aat,,decorated initials;Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Illuminated manuscripts--15th century,aat,,illuminated manuscripts;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Belgium--15th century,aat,,illuminated manuscripts;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--England--13th century,aat,,illuminated manuscripts;England;Thirteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,,
Illuminated manuscripts--France--13th century,aat,,,,illuminated manuscripts;France;Thirteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138
Illuminated manuscripts--France--15th century,aat,,illuminated manuscripts;France;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--France--16th century,aat,,illuminated manuscripts;France;Sixteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Illuminated manuscripts--India--17th century,aat,,illuminated manuscripts;India;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,,
Illuminated manuscripts--India--18th century,aat,,illuminated manuscripts;India;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,,
Illuminated manuscripts--India--19th century,aat,,illuminated manuscripts;India;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841,,
Illuminated manuscripts--Iran--19th century,aat,,illuminated manuscripts;Iran;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,,
Illuminated manuscripts--Italy--13th century,aat,,illuminated manuscripts;Italy;Thirteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Illuminated manuscripts--Italy--14th century,aat,,,,illuminated manuscripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420
Illuminated manuscripts--Italy--15th century,aat,,,,illuminated manuscripts;Italy;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962
Illuminated manuscripts--Italy--Bologna--14th century,aat,,illuminated manuscripts;Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,,
Illuminated manuscripts--Italy--Ferrara--15th century,aat,,illuminated manuscripts;Italy--Ferrara;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Italy--Florence--15th century,aat,,,,illuminated manuscripts;Italy--Florence;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962
Illuminated manuscripts--Spain--15th century,aat,,illuminated manuscripts;Spain;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Spain--16th century,aat,,illuminated manuscripts;Spain;Sixteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Illuminated manuscripts--Spain--17th century,aat,,illuminated manuscripts;Spain;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Illuminated manuscripts--Spain--Valladolid--16th century,aat,,illuminated manuscripts;Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,,
Indentures--England--14th century,aat,,indentures;England;Fourteenth century,http://vocab.getty.edu/aat/300027753;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Initials (Layout features)--France--15th century,aat,,initials (layout features);France;Fifteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Korans--India--17th century,aat,,Qur'ans;India;Seventeenth century,http://vocab.getty.edu/aat/300265128;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,,
Korans--India--18th century,aat,,Qur'ans;India;Eighteenth century,http://vocab.getty.edu/aat/300265128;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,,
Korans--Iran--19th century,aat,,Qur'ans;Iran;Nineteenth century,http://vocab.getty.edu/aat/300265128;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,,
Leather bindings,rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
Leather bindings (Binding),rbbin,,,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455
Leather bindings (Binding)--Ethiopia--20th century,rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
Leather bindings (Binding)--Spain--16th century,rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
Leather bindings (Binding)--Spain--17th century,rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
Leaves--England--14th century,aat,,leaves (gathered matter);England;Fourteenth century,http://vocab.getty.edu/aat/300115833;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Leaves--France--14th century,aat,,leaves (gathered matter);France;Fourteenth century,http://vocab.getty.edu/aat/300115833;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Manuscripts,aat,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569
Manuscripts,fast,(OCoLC)fst01424060,,,Manuscripts,http://id.worldcat.org/fast/1424060
Manuscripts--Afghanistan--15th century,aat,,manuscripts (documents);Afghanistan;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205406;http://id.worldcat.org/fast/923962,,
Manuscripts--Armenia--18th century,aat,,manuscripts (documents);Armenia;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/904058,,
Manuscripts--Belgium--15th century,aat,,manuscripts (documents);Belgium;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,,
Manuscripts--Burma--18th century,aat,,manuscripts (documents);Burma;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1207835;http://id.worldcat.org/fast/904058,,
Manuscripts--Egypt--17th century,aat,,manuscripts (documents);Egypt;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1113663,,
Manuscripts--Egypt--19th century,aat,,manuscripts (documents);Egypt;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1037841,,
Manuscripts--England--13th century,aat,,,,manuscripts (documents);England;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138
Manuscripts--England--14th century,aat,,,,manuscripts (documents);England;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420
Manuscripts--Ethiopia--20th century,aat,,manuscripts (documents);Ethiopia;Twentieth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205830;http://id.worldcat.org/fast/1159810,,
Manuscripts--France--13th century,aat,,,,manuscripts (documents);France;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138
Manuscripts--France--14th century,aat,,manuscripts (documents);France;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Manuscripts--France--15th century,aat,,manuscripts (documents);France;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,,
Manuscripts--France--16th century,aat,,manuscripts (documents);France;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Manuscripts--Germany--15th century,aat,,,,manuscripts (documents);Germany;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962
Manuscripts--India--17th century,aat,,manuscripts (documents);India;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,,
Manuscripts--India--18th century,aat,,manuscripts (documents);India;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,,
