row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649743Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524268Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169543Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010184Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390081Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763064Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397869Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890649Z","Pasti, Matteo de', approximately 1420-approximately 1467",illuminator,,,Matteo di Andrea de' Pasti,human,Q3367126,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649747Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524273Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169548Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010188Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390086Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763073Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397895Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890652Z","Petrarca, Francesco, 1304-1374",author,,,,,,human,Petrarch,Q1401
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649752Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524283Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169552Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010190Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390093Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763077Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397902Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890662Z","Ruffo, Giordano, -1256",author,,,,,,human,Giordano Ruffo,Q3106874
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649759Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524288Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169556Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010199Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390106Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763082Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397921Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890666Z","Savage, John A., Jr., approximately 1832-1864",former owner,,,John A. Savage Jr.,human,Q124629906,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649764Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524292Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169562Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010203Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390111Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763100Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397924Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890671Z",Saʻdī,author,,,,,,human,Saadi,Q170302
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649768Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524300Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169566Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010206Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390119Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763104Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397927Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890678Z","Slotkin, Stanley S",former owner,,,Stanley Slotkin,human,Q7599952,,,
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649781Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524305Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169568Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010208Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390127Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763109Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397933Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890682Z",Society of Foliophiles,former owner,,,Foliophiles,organization,Q124515306,,,
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649786Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524309Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169608Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010212Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390131Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763120Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397935Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890686Z",Spain. Sovereign (1556-1598 : Philip II),author,,,,,,organization,Spain,Q29
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649791Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524326Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169614Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010214Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390141Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763124Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397937Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890694Z","St. Mary's College (Saint Marys, Kan.), 1848-1968",former owner,,,St. Mary's College,organization,Q97400492,,,
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649798Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524330Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169616Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010217Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390152Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763129Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397942Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890698Z","Strouse, Norman H",former owner,,,Norman H. Strouse,human,Q56000538,,,
