row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Persian,per,,,Persian,Q9168
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Sanskrit,san,,,Sanskrit,Q11059
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Spanish,spa,,,Spanish,Q1321
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Syriac,syc,,,Syriac,Q33538
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Tamil,tam,Tamil,Q5885,,
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z","In modern Javanese, rendered from the original Kawi",jav,Javanese;Kawi,Q33549;Q49341,,
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",Latin,lat,,,Latin,Q397
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",ara,ara,,,Arabic,Q13955
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",arm,arm,,,Armenian,Q8785
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",fre,fre,,,French,Q150
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",fro,fro,,,Old French,Q35222
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",gez,gez,,,Ge'ez,Q35667
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",ita,ita,,,Italian,Q652
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",jav,jav,Javanese,Q33549,,
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",jpn,jpn,,,Japanese,Q5287
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",lat,lat,,,Latin,Q397
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",per,per,,,Persian,Q9168
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",pli,pli,,,Pali,Q36727
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",san,san,,,Sanskrit,Q11059
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",spa,spa,,,Spanish,Q1321
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",syc,syc,Syriac,Q33538,,
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.392829600Z",tam,tam,,,Tamil,Q5885
