row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
66,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236693Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726850Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146175Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144081Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823255Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522427Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086387Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470249Z",Peter Lombard,author,,,,,,human,Peter Lombard,Q315347
67,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236696Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726854Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146180Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144084Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823258Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522431Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086389Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470252Z",Peter Riga,author,,,,,,human,Petrus Riga,Q556117
68,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236698Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726857Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146182Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144086Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823262Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522435Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086391Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470269Z",Pierre de la Cypede,author,,,,,,human,Pierre de La Cépède,Q105742067
69,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236703Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726859Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146190Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144095Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823270Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522456Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086404Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470273Z",Priscian,author,,,,,,human,Priscian,Q356433
70,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236712Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726924Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146197Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144099Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823273Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522460Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086406Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470276Z","Produced at the Carthusian monastery of Buxheim. Sale of Graf Hugo von Waldbott-Bassenheim (Munich, 20 Sept 1883, lot 2756); Charles F. Gunter sale (NY, 11 Nov 1926, lot 268); broken up and sold by the Foliophiles, NY in 1926 from a codex of 242 leaves.",former owner,,,Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Charles F. Gunther;Foliophiles,organization;human;human;organization,Q460224;Q1682028;Q5077520;Q124515306,,,
71,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236716Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726930Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146201Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144103Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823276Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522465Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086412Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470284Z",Raymond of Penafort,author,,,,,,human,Raymond of Penyafort,Q318980
72,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236733Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726932Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146205Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144109Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823284Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522474Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086416Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470286Z","Robert Grosseteste, attributed to",other,,,Robert Grosseteste,human,Q256541,,,
73,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236736Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726936Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146210Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144112Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823287Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522479Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086418Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470289Z",Robert de Gretham,author,,,,,,human,Robert de Gretham,Q3436655
74,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236738Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726939Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146212Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144114Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823293Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522483Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086422Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470295Z","Said to be ""from a work of approximately 300 pages  in the collection of the late Lord Berwick of Shrewsbury, England."" Part of a collection of 159 leaves, Pages of the Past distributed by Foliophiles, Inc., of Washington D.C.; this set dated 1967.",former owner,,,"Thomas Noel-Hill, 8th Baron Berwick;Foliophiles",human;organization,Q26273043;Q124515306,,,
75,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236743Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726942Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146219Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144125Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823300Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522489Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086426Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470297Z",Simon de Cremona,author,,,,,,human,Simon of Cremona,Q16205160
76,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236745Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726945Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146223Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144128Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823303Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522494Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086428Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470300Z",Stamp of a black Maltese cross on the first text page.,former owner,,,,,,,,
77,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236747Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726949Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146227Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144131Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823306Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522498Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086431Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470306Z",Thomas Aquinas,author,,,,,,human,Thomas Aquinas,Q9438
78,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236751Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726952Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146232Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144137Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823314Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522506Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086437Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470309Z",Usuardus,author,,,,,,human,Usuard,Q3552715
79,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236753Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726956Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146235Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144139Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823320Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522510Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086441Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470311Z",William Redman,other,,,William Redman,human,Q8017426,,,
80,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236756Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726959Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146239Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144142Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823323Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522515Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086443Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470320Z",William Skrene,other,,,William Skrene,human,Q17479488,,,
