row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236536Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726674Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145798Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143377Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823009Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522167Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086200Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469950Z",Caesarius of Arles,author,,,,,,human,Caesarius of Arles,Q304832
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236539Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726679Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145802Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143380Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823014Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522171Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086210Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469955Z",Caspar Misnensis,scribe,,,Caspar Misnensis,human,Q124515268,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236548Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726683Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145807Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143386Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823019Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522179Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086215Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469961Z",Cassian?,author,,,,,,human,John Cassian,Q313795
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236552Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726686Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145822Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143389Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823021Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522184Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086217Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469964Z",Cassiodorus,author,,,,,,human,Cassiodorus,Q192365
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236554Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726690Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145841Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143395Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823024Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522188Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086219Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469970Z","Copied at the Benedictine house of Lambach, in upper Austria. Armorial bookplate of Sir Joseph Radcliffe, Bart., of Rudding Park, Harrogate, Yorkshire. Acquired from H. P. Kraus, New York, in 1967.",former owner,,,"Lambach Abbey;Sir Joseph Radcliffe, 2nd Bt.;Hans P. Kraus",organization;human;human,Q315889;Q75411938;Q85506,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236559Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726698Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145847Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143400Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823033Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522196Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086225Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469973Z",Dionysius the Areopagite,other,,,Dionysius the Areopagite,human,Q310686,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236561Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145851Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143407Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823036Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522200Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086227Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469976Z",Edward III (court of),other,,,Edward III of England,human,Q129247,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236563Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726704Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145853Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143409Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823039Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522204Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086229Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469981Z",From a codex disassembled and distributed to various libraries by Stanley S. Slotkin.,former owner,,,Stanley Slotkin,human,Q7599952,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236567Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726708Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145864Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143413Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823044Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522211Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086233Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469987Z",Galen,author,,,,,,human,Galen,Q8778
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236571Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726710Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145872Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143425Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823052Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522216Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086241Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469990Z",Galen?,other,,,,,,human,Galen,Q8778
