subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Accounting--Italy--17th century,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Italy--17th century.,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Spain--16th century,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounting--Spain--16th century.,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounts,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts.,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
"Acre (Israel)--History--Siege, 1799",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
"Acre (Israel)--History--Siege, 1799.",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
Acrostics,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics.,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics--Early works to 1800,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Acrostics--Early works to 1800.,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Actes formalistes--France--Manuscrits--Ouvrages avant 1800,a--z--x--v,6,(CaQQLa)201-0081310--(CaQQLa)201-0452039--(CaQQLa)201-0379055--(CaQQLa)201-0377050,Deeds;France;Manuscripts;Early works,http://id.worldcat.org/fast/889460;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1411636,Q38803;Q152;Q38609;Q300
Actions and defenses,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses.,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses--Italy--Milan--15th century,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Actions and defenses--Italy--Milan--15th century.,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Acupuncture--Early works to 1800,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture--Early works to 1800.,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture points--Early works to 1800,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Acupuncture points--Early works to 1800.,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Adhan,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan.,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan--Early works to 1800,a--v,0,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
Adhan--Early works to 1800.,a--v,0,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
Administration,a,fast,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
Administration.,a,fast,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
Adriatic Sea,a,0,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
Adriatic Sea.,a,0,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
Advaita,a,0,,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita,a,0,http://id.loc.gov/authorities/subjects/sh85001058,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita,a,fast,http://id.worldcat.org/fast/797410,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita--Early works to 1800,a--x,0,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
Advaita--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100676,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
Aesthetics,a,fast,http://id.worldcat.org/fast/798702,Aesthetics,http://id.worldcat.org/fast/798702,Q27340
"Aesthetics, Indic",a,fast,http://id.worldcat.org/fast/798781,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,Q26715
"Aesthetics, Indic",a,0,http://id.loc.gov/authorities/subjects/sh85001462,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,Q26715
Aesthetics--Poetry,a--v,0,,Aesthetics;Poetry,http://id.worldcat.org/fast/798702;http://id.worldcat.org/fast/1423828,Q27340;Q247
Affinity (Law)--Early works to 1800,a--v,0,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636,Q5900;Q300
Affinity (Law)--Early works to 1800.,a--v,0,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636,Q5900;Q300
Africa,a,fast,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509,Q11337
"Africa, North--Description and travel",a--x,0,,North Africa;Voyages and travels,http://id.worldcat.org/fast/1239515;http://id.worldcat.org/fast/1169308,Q26769;Q3600
Africa.,a,fast,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509,Q11337
Africa--Description and travel--Early works to 1800,a--x--v,0,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11337;Q3600;Q300
Africa--Description and travel--Early works to 1800.,a--x--v,0,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11337;Q3600;Q300
Agama,a,fast,http://id.worldcat.org/fast/800080,Agama,http://id.worldcat.org/fast/800080,Q27315
Agama,a,0,http://id.loc.gov/authorities/subjects/sh85002033,Agama,http://id.worldcat.org/fast/800080,Q27315
Aggada--Commentaries--Early works to 1800,a--v--v,0,,Aggada;Commentaries;Early works,http://id.worldcat.org/fast/800216;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q38804;Q2812;Q300
Aghorīs,a,0,http://id.loc.gov/authorities/subjects/sh86001295,Aghorīs,http://id.worldcat.org/fast/800288,Q26757
Aghorīs,a,fast,http://id.worldcat.org/fast/800288,Aghorīs,http://id.worldcat.org/fast/800288,Q26757
Agni (Hindu deity),a,0,,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
Agnihotra (Hindu rite),a,fast,http://id.worldcat.org/fast/800396,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396,Q26993
Agnihotra (Hindu rite),a,0,http://id.loc.gov/authorities/subjects/sh85002227,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396,Q26993
Agnihotra (Hindu rite)--Early works to 1800,a--v,0,,Agnihotra (Hindu rite);Early works,http://id.worldcat.org/fast/800396;http://id.worldcat.org/fast/1411636,Q26993;Q300
Agniṣṭoma (Hindu rite),a,fast,http://id.worldcat.org/fast/1737600,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600,Q27230
Agniṣṭoma (Hindu rite),a,0,http://id.loc.gov/authorities/subjects/sh2003007140,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600,Q27230
Agriculture,a,fast,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355,Q326
Agriculture.,a,fast,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355,Q326
Agriculture--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,Q326;Q300
Agriculture--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,Q326;Q300
Agriculture--Economic aspects,a--x,fast,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415,Q7951
Agriculture--Economic aspects.,a--x,fast,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415,Q7951
Agriculture--Economic aspects--France--History,a--x--z--x,0,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,Q7951;Q152;Q6879
Agriculture--Economic aspects--France--History.,a--x--z--x,0,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,Q7951;Q152;Q6879
Agriculture--Economic aspects--Italy,a--x--z,0,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565,Q7951;Q249
Agriculture--Economic aspects--Italy.,a--x--z,0,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565,Q7951;Q249
Agriculture--Religious aspects--Hinduism,a--x--x,0,http://id.loc.gov/authorities/subjects/sh2019001010,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291,Q26979
Agriculture--Religious aspects--Hinduism,a--x--x,fast,http://id.worldcat.org/fast/2004291,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291,Q26979
Agriculture--Rome--Poetry,a--z--v,0,,Agriculture;Rome (Empire);Poetry,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1423828,Q326;Q3038;Q247
Alassio (Italy),a,0,http://id.loc.gov/authorities/names/n85039139,Italy--Alassio,http://id.worldcat.org/fast/1232716,Q8026
Albenga (Italy),a,0,http://id.loc.gov/authorities/names/n80001314,Italy--Albenga,http://id.worldcat.org/fast/1207333,Q7999
Albi (France),a,0,http://id.loc.gov/authorities/names/n81043405,France--Albi,http://id.worldcat.org/fast/1213039,Q5479
Albigenses,a,0,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195,Q7687
Albigenses,a,fast,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195,Q7687
Albigenses.,a,0,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195,Q7687
Albigenses.,a,fast,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195,Q7687
Albums--Italy,a--z,0,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565,Q5869;Q249
Albums--Italy.,a--z,0,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565,Q5869;Q249
Alchemy,a,fast,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245,Q3005
Alchemy.,a,fast,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245,Q3005
Alchemy--Bibliography,a--x,0,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
Alchemy--Bibliography,a--x,fast,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
Alchemy--Bibliography.,a--x,fast,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
Alchemy--Bibliography.,a--x,0,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
Alchemy--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,Q3005;Q300
Alchemy--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,Q3005;Q300
Alchemy--France--Early works to 1800,a--z--v,0,,Alchemy;France;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q3005;Q152;Q300
Alchemy--India,a--z,0,,Alchemy;India,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1210276,Q3005;Q26595
Alchemy--Manuscripts,a--v,0,,Alchemy--Manuscripts,http://id.worldcat.org/fast/804250,Q27138
Alchemy--Poetry--Early works to 1800,a--v--v,0,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3005;Q247;Q300
Alchemy--Poetry--Early works to 1800.,a--v--v,0,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3005;Q247;Q300
Alcoholism--Religious aspects--Islam,a--x--x,fast,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537,Q11560
Alcoholism--Religious aspects--Islam.,a--x--x,fast,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537,Q11560
Alcoholism--Religious aspects--Islam--Early works to 1800,a--x--x--v,0,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11144;Q3549;Q300
Alcoholism--Religious aspects--Islam--Early works to 1800.,a--x--x--v,0,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11144;Q3549;Q300
Algebra,a,fast,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885,Q2815
Algebra.,a,fast,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885,Q2815
Algebra--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,Q2815;Q300
Algebra--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,Q2815;Q300
Aljamía,a,fast,(OCoLC)fst00805361,Aljamía,http://id.worldcat.org/fast/805361,Q27260
Aljamía--Texts--Early works to 1800,a--v--v,0,,Aljamía;Texts;Early works,http://id.worldcat.org/fast/805361;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q27260;Q3066;Q300
Allahabad (India),a,0,http://id.loc.gov/authorities/names/n80049520,India--Allahabad,http://id.worldcat.org/fast/1278576,Q27331
Allahabad (India)--Early works to 1800,a--v,0,,India--Allahabad;Early works,http://id.worldcat.org/fast/1278576;http://id.worldcat.org/fast/1411636,Q27331;Q300
Allegories,a,fast,http://id.worldcat.org/fast/805512,Allegories,http://id.worldcat.org/fast/805512,Q26910
Allegories,a,0,http://id.loc.gov/authorities/subjects/sh85003641,Allegories,http://id.worldcat.org/fast/805512,Q26910
Allegories--Early works to 1800,a--v,0,,Allegories;Early works,http://id.worldcat.org/fast/805512;http://id.worldcat.org/fast/1411636,Q26910;Q300
Allegories--Poetry,a--v,0,,Allegories;Poetry,http://id.worldcat.org/fast/805512;http://id.worldcat.org/fast/1423828,Q26910;Q247
Allegory,,openn-subjects,,Allegory,http://id.worldcat.org/fast/805516,Q19862
Allersberg (Germany),a,0,http://id.loc.gov/authorities/names/n78042928,Germany--Allersberg,http://id.worldcat.org/fast/1203587,Q6959
"Almanacs, German--Early works to 1800",a--v,0,,"Almanacs, German;Early works",http://id.worldcat.org/fast/805806;http://id.worldcat.org/fast/1411636,Q38805;Q300
Almucantar--Early works to 1800,a--v,0,,Almucantar;Early works,http://id.worldcat.org/fast/805884;http://id.worldcat.org/fast/1411636,Q11223;Q300
Almucantar--Early works to 1800.,a--v,0,,Almucantar;Early works,http://id.worldcat.org/fast/805884;http://id.worldcat.org/fast/1411636,Q11223;Q300
Alphabet books,a,fast,(OCoLC)fst00805964,Alphabet books,http://id.worldcat.org/fast/805964,Q27178
Alphabet books,a,0,,Alphabet books,http://id.worldcat.org/fast/805964,Q27178
Alphabet--Religious aspects--Hinduism,a--x--x,fast,http://id.worldcat.org/fast/805954,Alphabet--Religious aspects--Hinduism,http://id.worldcat.org/fast/805954,Q26840
Alphabet--Religious aspects--Hinduism,a--x--x,0,http://id.loc.gov/authorities/subjects/sh85003823,Alphabet--Religious aspects--Hinduism,http://id.worldcat.org/fast/805954,Q26840
Alphabet--Religious aspects--Islam,a--x--x,0,,Alphabet--Religious aspects--Islam,http://id.worldcat.org/fast/805955,Q38806
Alphabets,a,fast,http://id.worldcat.org/fast/805974,Alphabets,http://id.worldcat.org/fast/805974,Q3534
Alphabets.,a,fast,http://id.worldcat.org/fast/805974,Alphabets,http://id.worldcat.org/fast/805974,Q3534
Alphabets--Early works to 1800,a--v,0,,Alphabets;Early works,http://id.worldcat.org/fast/805974;http://id.worldcat.org/fast/1411636,Q3534;Q300
Alphabets--Specimens,a--v,0,,Alphabets;Specimens,http://id.worldcat.org/fast/805974;http://id.worldcat.org/fast/1423861,Q3534;Q239
Alphabets--Specimens.,a--v,0,,Alphabets;Specimens,http://id.worldcat.org/fast/805974;http://id.worldcat.org/fast/1423861,Q3534;Q239
Altars,a,fast,http://id.worldcat.org/fast/806095,Altars,http://id.worldcat.org/fast/806095,Q26739
Altars--India,a--z,0,,Altars;India,http://id.worldcat.org/fast/806095;http://id.worldcat.org/fast/1210276,Q26739;Q26595
Amalfi (Italy)--History--15th century,a--x--y,0,,Italy--Amalfi;History;Fifteenth century,http://id.worldcat.org/fast/1204570;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Q8013;Q6879;Q154
Amalfi (Italy)--History--15th century.,a--x--y,0,,Italy--Amalfi;History;Fifteenth century,http://id.worldcat.org/fast/1204570;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Q8013;Q6879;Q154
Ambassadors,a,fast,http://id.worldcat.org/fast/806713,Ambassadors,http://id.worldcat.org/fast/806713,Q4224
Ambassadors.,a,fast,http://id.worldcat.org/fast/806713,Ambassadors,http://id.worldcat.org/fast/806713,Q4224
Ambassadors--France--16th century,a--z--y,0,,Ambassadors;France;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q4224;Q152;Q335
Ambassadors--France--16th century.,a--z--y,0,,Ambassadors;France;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q4224;Q152;Q335
Ambassadors--Italy--Florence--16th century,a--z--z--y,0,,Ambassadors;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851,Q4224;Q3604;Q335
Ambassadors--Italy--Florence--16th century.,a--z--z--y,0,,Ambassadors;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851,Q4224;Q3604;Q335
Ambassadors--Italy--Venice--16th century,a--z--z--y,0,,Ambassadors;Italy--Venice;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1119851,Q4224;Q2814;Q335
Ambassadors--Italy--Venice--16th century.,a--z--z--y,0,,Ambassadors;Italy--Venice;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1119851,Q4224;Q2814;Q335
Ameglia (Italy),a,0,http://id.loc.gov/authorities/names/nr94037511,Italy--Ameglia,http://id.worldcat.org/fast/1270599,Q4871
America,a,fast,http://id.worldcat.org/fast/1239786,America,http://id.worldcat.org/fast/1239786,Q6860
America.,a,fast,http://id.worldcat.org/fast/1239786,America,http://id.worldcat.org/fast/1239786,Q6860
