name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Simon, de Lenis, active 1281-1295",author,,,human,Simon de Lenis,Q131623260,DSNAME7229,Q67475,,,,
Henricus de Ratisbona,author,,,human,Henricus de Ratisbona,Q131623261,DSNAME7230,Q67476,,,,
Garsten Abbey,former owner,,,organization,Garsten Abbey,Q2348599,DSNAME7437,Q67683,,,,
"Stamler, Peter, active 1570",author,,,human,Peter Stamler,Q131623262,DSNAME7231,Q67477,,,,
Spain. Consejo de Estado,author,,,organization,Spanish Council of State,Q21547736,DSNAME7438,Q67684,,,,
"Strobell, Adam",author,,,human,Adam Strobell,Q131623263,DSNAME7232,Q67478,,,,
Mucius Venetus,author,,,human,Mucius Venetus,Q131623264,DSNAME7233,Q67479,,,,
"Philip, Duke of Burgundy, 1396-1467",former owner,,,human,Philip III the Good,Q239337,DSNAME7367,Q67613,,,,
"Holford, Robert Stayner, 1808-1892",former owner,,,human,Robert Stayner Holford,Q7350013,DSNAME7368,Q67614,,,,
"Holford, George Lindsay, 1860-1926",former owner,,,human,Sir George Holford,Q7526894,DSNAME7369,Q67615,,,,
"Rosenbach, A. S. W. 1876-1952",former owner,,,human,A. S. W. Rosenbach,Q3663160,DSNAME2769,Q20090,,,,
"Valentia, Ludovicus, de Ferraria, -1496",author,,,human,Ludovicus Valentia de Ferraria,Q131623265,DSNAME7234,Q67480,,,,
"Cestole, Henry",former owner,,,human,Henry Cestole,Q131623266,DSNAME7235,Q67481,,,,
"Varientius, Gulielmus",author,,,human,Gulielmus Varientius,Q131623267,DSNAME7236,Q67482,,,,
"Valla, Lorenzo, 1407-1457",author,,,,,,,,human,Lorenzo Valla,Q214115,Q41149
"Russo, Giovanni Francesco",author,,,human,Giovanni Francesco Russo,Q131623268,DSNAME7237,Q67483,,,,
"Vives, Juan Luis, 1492-1540",author,,,human,Juan Luis Vives,Q316357,DSNAME7370,Q67616,,,,
"Hamill, Alfred E. 1884-1953",former owner,,,human,Alfred E. Hamill,Q131575381,DSNAME7371,Q67617,,,,
