name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Dādah, Ḥasan ibn ʻUmar, active 19th century",scribe,دادة، حسن بن عمر، active 19th century,,human,Ḥasan ibn ʻUmar Dādah,Q131690033,DSNAME7467,Q67753,,,,
"Ibn ʻAllān, Muḥammad ʻAlī ibn Muḥammad, 1588-1648",author,ابن علان، محمد علي بن محمد، 1588-1648,,,,,,,human,Muḥammad ʻAlī ibn Muḥammad Ibn ʻAllān,Q16126562,Q12391
"Mīqātī, Abū Bakr ibn Ibrāhīm, active 18th century",scribe,ميقاتي، ابو بكر بن ابراهيم، active 18th century,,human,Abū Bakr ibn Ibrāhīm Mīqātī,Q131690034,DSNAME7468,Q67754,,,,
"Ankirawī, ʻAbd al-Ḥamīd ibn ʻAbd al-Raḥmān, -1362",author,انكروي، عبد الحميد بن عبد الرحمن، -1362؟,,human,ʻAbd al-Ḥamīd ibn ʻAbd al-Raḥmān Ankirawī,Q131690035,DSNAME7469,Q67755,,,,
"Muttaqī, ʻAlī ibn ʻAbd al-Malik, -1567",author,متقي، علي بن عبد الملك، -1567,http://id.loc.gov/authorities/names/n88099511,,,,,,human,Ali ibn Abd-al-Malik al-Hindi,Q12192249,Q12461
"Qādirī, Ibrāhīm ʻAlī, active 16th century",scribe,قادري، ابراهيم علي، active 16th century,,human,Ibrāhīm ibn ʻAlī Qādirī,Q131579927,DSNAME7519,Q67805,,,,
"Kharpūtī, ʻAbd al-Raḥmān ibn Ibrāhīm, active 19th century",author,خرپوتي، عبد الرحمن بن ابراهيم، active 19th century,,human,ʻAbd al-Raḥmān ibn Ibrāhīm Kharpūtī,Q131575228,DSNAME7520,Q67806,,,,
"Ibn al-Mibrad, Yūsuf ibn Ḥasan, 1436 or 1437-1503",author,ابن المبرد، يوسف بن حسن، 1436 or 1437-1503,,human,Yūsuf Ibn-al-Ḥasan Ibn-al-Mibrad,Q60842460,DSNAME7521,Q67807,,,,
"Ḥamawī, Aḥmad ibn Muḥammad, -1686 or 1687",author,,http://id.loc.gov/authorities/names/n86099939 http://id.loc.gov/authorities/names/n86099939 http://viaf.org/viaf/sourceID/LC%7cn86099939,,,,,,human,Aḥmad ibn Muḥammad Ḥamawī,Q122946986,Q12477
"Mīrghanī, Muḥammad ʻUthmān, 1794-1852",author,,,human,Mohammed Uthman al-Mirghani al-Khatim,Q12240775,DSNAME7522,Q67808,,,,
"Ibn Ḥamzah, Ibrāhīm ibn Muḥammad, 1644 or 1645-1708",author,,,human,Ibrāhīm ibn Muḥammad Ibn Ḥamzah,Q131575229,DSNAME7523,Q67809,,,,
"Bukhārī, Muḥammad ibn Ismāʻīl, 810-870",author,,http://id.loc.gov/authorities/names/n81055666,,,,,,human,Muḥammad ibn Ismaeel al-Bukhārī,Q241026,Q12270
"Bukhārī, Muḥammad ibn Ismāʻīl, 810-870",author,,http://id.loc.gov/authorities/names/n81055666,,,,,,human,Muḥammad ibn Ismaeel al-Bukhārī,Q241026,Q12270
"Kirmānī, Muḥammad ibn Yūsuf, 1317 or 1318-1384 or 1385",author,,,human,Shams-ud-Din Kermani,Q7487680,DSNAME7513,Q67799,,,,
"Zarkashī, Muḥammad ibn Bahādur, 1344 or 1345-1392",author,,,human,Zarkashi,Q4322459,DSNAME7524,Q67810,,,,
"Birmāwī, Muḥammad ibn ʻAbd al-Dāʼim, 1362-1428",author,,http://id.loc.gov/authorities/names/nr98020759,,,,,,human,Muḥammad ibn ʻAbd al-Dāʼim Birmāwī,Q25453593,Q12469
"Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449",author,,http://id.loc.gov/authorities/names/n82108960,,,,,,human,Ibn Hajar al-Asqalani,Q471116,Q12295
"Būnī, Aḥmad ibn Qāsim, d. 1726",author,,,human,Aḥmad ibn Qāsim Būnī,Q131690036,DSNAME7470,Q67756,,,,
"ʻAbd Allāh ibn Abī Jamrah, -1300",author,,,human,ʻAbd Allāh ibn Abī Jamrah,Q131690037,DSNAME7471,Q67757,,,,
"ʻAbd Allāh ibn Abī Jamrah, -1300",author,,,human,ʻAbd Allāh ibn Abī Jamrah,Q131690037,DSNAME7471,Q67757,,,,
