place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Crimea,,,,Crimea,http://vocab.getty.edu/tgn/7010345,Q42494
Lisbon,,,,Lisbon,http://vocab.getty.edu/tgn/7010978,Q38230
Brody,Brody,http://vocab.getty.edu/tgn/1053087,Q74815,,,
Yemen?,Yemen,http://vocab.getty.edu/tgn/7000261,Q2825,,,
Sl.l,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
ʼAsṭi,Asti,http://vocab.getty.edu/tgn/7005610,Q74816,,,
"Pitigliano, Italy",Pitigliano;Italy,http://vocab.getty.edu/tgn/7006177;http://vocab.getty.edu/tgn/1000080,Q74817;Q134,,,
"Cairo Montenotte, Italy",Cairo Montenotte;Italy,http://vocab.getty.edu/tgn/1043712;http://vocab.getty.edu/tgn/1000080,Q74818;Q134,,,
Prague,,,,Prague,http://vocab.getty.edu/tgn/7006464,Q135
Netherlands?,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
"Venice, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
"Venice, Italy and Kerkyra, Greece",Venice;Italy;Corfu;Greece,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/7010883;http://vocab.getty.edu/tgn/7010883;http://vocab.getty.edu/tgn/1000074,Q2823;Q134;Q74795;Q16421,,,
"Hague, Netherlands","Hague, The;Netherlands",http://vocab.getty.edu/tgn/7006810;http://vocab.getty.edu/tgn/7016845,Q74820;Q651,,,
