subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Luria, Isaac ben Solomon, 1534-1572--Selection",0,a;d--x,,"Luria, Isaac ben Solomon, 1534-1572;Excerpts",http://id.worldcat.org/fast/58739;http://id.worldcat.org/fast/1692837,Q74935;Q3547,,,
Joseph (Son of Jacob),0,a;c,http://id.loc.gov/authorities/names/n79097427,,,,Joseph (Son of Jacob),http://id.worldcat.org/fast/41708,Q3550
"Anatoli, Jacob ben Abba Mari ben Samson, active 13th century",0,a;d,http://id.loc.gov/authorities/names/nr96024988,"Anatoli, Jacob ben Abba Mari ben Samson, active 13th century",http://id.worldcat.org/fast/1804542,Q74907,,,
Bible. Ecclesiastes--Commentaries--Early works to 1800,0,a;p--v--v,,Bible. Ecclesiastes;Commentaries;Early works,http://id.worldcat.org/fast/1892894;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q38590;Q2812;Q300,,,
Haftarot--Commentaries--History and criticism,0,a--x--x,,"Haftarot;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1358225;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75129;Q2812;Q177,,,
Bible. Prophets--Commentaries--History and criticism,0,a;p--x--x,,"Bible. Prophets;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1892941;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q12524;Q2812;Q177,,,
Haftarot--Commentaries--Early works to 1800,0,a--v--v,,Haftarot;Commentaries;Early works,http://id.worldcat.org/fast/1358225;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q75129;Q2812;Q300,,,
"Karo, Joseph ben Ephraim, 1488-1575. Even ha-ʻezer--Early works to 1800",0,a;d;t--v,,"Even ha-ʻezer (Karo, Joseph ben Ephraim);Early works",http://id.worldcat.org/fast/1359366;http://id.worldcat.org/fast/1411636,Q75353;Q300,,,
"Duran, Profiat, approximately 1350-approximately 1415",0,a;d,http://id.loc.gov/authorities/names/n83014051,"Duran, Profiat, approximately 1350-approximately 1415",http://id.worldcat.org/fast/1816724,Q74908,,,
"Azar, Menaḥem ben Natan",4,a,,,,,,,
"Karo, Joseph ben Ephraim, 1488-1575. Ḥoshen mishpaṭ--Criticism and interpretation--History and criticism",0,a;d;t--x--x,,"Ḥoshen mishpaṭ (Karo, Joseph ben Ephraim);Criticism and interpretation;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1367854;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411635,Q75343;Q292;Q177,,,
"Ibn Ezra, Abraham ben Meïr, 1089-1164. Perush ha-Torah--Criticism and interpretation--History and criticism",0,a;d;t--x--x,,"Perush ha-Torah (Ibn Ezra, Abraham ben Meïr);Criticism and interpretation;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1376950;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411635,Q74914;Q292;Q177,,,
"Jacob ben Asher, approximately 1269-approximately 1340. Ḥoshen mishpaṭ--Criticism and interpretation--History and criticism",0,a;d;t--x--x,,"Ḥoshen mishpaṭ (Jacob ben Asher);Criticism and interpretation;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1368326;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411635,Q75393;Q292;Q177,,,
Zohar.--Selections--Early works to 1800,0,a--k--v,,Zohar;Excerpts;Early works,http://id.worldcat.org/fast/1357178;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1411636,Q55282;Q3547;Q300,,,
"Rashi, 1040-1105. Perush Rashi ʻal ha-Torah--Selection--Early works to 1800",0,a;d;t--x--v,,Perush Rashi ʻal ha-Torah (Rashi);Excerpts;Early works,http://id.worldcat.org/fast/1360547;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1411636,Q74932;Q3547;Q300,,,
"Ibn Ezra, Abraham ben Meïr, 1089-1164. Perush ha-Torah--Selection--Early works to 1800",0,a;d;t--x--v,,"Perush ha-Torah (Ibn Ezra, Abraham ben Meïr);Excerpts;Early works",http://id.worldcat.org/fast/1376950;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1411636,Q74914;Q3547;Q300,,,
"Maria Theresa, Empress of Austria, 1717-1780",0,a;c;d,http://id.loc.gov/authorities/names/n80046737,"Maria Theresa, Empress of Austria, 1717-1780",http://id.worldcat.org/fast/53662,Q74909,,,
Levy family,0,a,http://id.loc.gov/authorities/subjects/sh88001240,Levy family,http://id.worldcat.org/fast/229139,Q74910,,,
"Emden, Jacob, 1697-1776",0,a;d,http://id.loc.gov/authorities/names/n85177222,"Emden, Jacob, 1697-1776",http://id.worldcat.org/fast/170691,Q74911,,,
"Meʼir, me-Husaḳov, -1780 or 1781--Correspondence",0,a;c;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
Bible. Esther.--Italian--Versions,0,a;p--l--x,,Bible. Esther;Italian language,http://id.worldcat.org/fast/1892901;http://id.worldcat.org/fast/980480,Q16347;Q48274,,,
Bible. Esther--Commentaries,0,a;p--v,,Bible. Esther;Commentaries,http://id.worldcat.org/fast/1892901;http://id.worldcat.org/fast/1423723,Q16347;Q2812,,,
Targum sheni,0,a,http://id.loc.gov/authorities/names/n83155512,Targum sheni,http://id.worldcat.org/fast/1378100,Q74912,,,
Bible. Pentateuch--Commentaries,0,a;p--v,,,,,Bible. Pentateuch;Commentaries,http://id.worldcat.org/fast/1808093;http://id.worldcat.org/fast/1423723,Q7949;Q2812
"Wessely, Naphtali Herz, 1725-1805",0,a;d,http://id.loc.gov/authorities/names/n82235504,"Wessely, Naphtali Herz, 1725-1805",http://id.worldcat.org/fast/154859,Q74913,,,
"Luria, Isaac ben Solomon, 1534-1572",fast,a;d,(OCoLC)fst00058739,"Luria, Isaac ben Solomon, 1534-1572",http://id.worldcat.org/fast/58739,Q74935,,,
Sifra di-tseniʻuta--Commentaries--Early works to 1800,0,a--x--v,,Sifra di-tseniʻuta;Commentaries;Early works,http://id.worldcat.org/fast/1358065;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q74940;Q2812;Q300,,,
Bible. Pentateuch,fast,a;p,(OCoLC)fst01808093,,,,Bible. Pentateuch,http://id.worldcat.org/fast/1808093,Q7949
Sifra di-tseniʻuta,fast,a,(OCoLC)fst01358065,Sifra di-tseniʻuta,http://id.worldcat.org/fast/1358065,Q74940,,,
"Ibn Ezra, Abraham ben Meïr, 1089-1164. Perush ha-Torah",0,a;d;t,http://id.loc.gov/authorities/names/n78090637,"Perush ha-Torah (Ibn Ezra, Abraham ben Meïr)",http://id.worldcat.org/fast/1376950,Q74914,,,
"Bible. Pentateuch--Criticism, interpretation, etc.--Early works to 1800",0,a;p--x--v,,,,,Bible. Pentateuch;Criticism and interpretation;Early works,http://id.worldcat.org/fast/1808093;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q7949;Q292;Q300
"Bible--Criticism, interpretation, etc.--History--Middle Ages, 600-1500--Early works to 1800",0,a--x--x--y--v,,"Bible;Criticism, interpretation, etc.;History;500-1500;Early works",http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355938;http://id.worldcat.org/fast/1411636,Q4267;Q177;Q6879;Q4252;Q300,,,
