title_as_recorded,titles-cluster,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb Uṣū̄l al-handasah wa-al-ḥisāb /,Kitāb Uṣū̄l al-handasah wa-al-ḥisāb,كتاب اصول الهندسة والحساب \,Elements,,Elements,Q3121,,
Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb,,پنجاه باب سلطانى بعلم اسطرلاب,,,,,Bi-ʻilm-i usṭurlāb,Q27690
Majmūʻah,,مجموعه,,,,,Majmūʻah,Q18453
Dīwān Tāj al-ʻārifīn wa-sulṭān al-ʻāshiqīn min al-shuʻarāʼ bi-lā muʻāriḍ ʻUmar ibn Fāriḍ,,ديوان تاج العارفين وسلطان العاشقين من الشعراء بلا معارض عمر بن فارض,Poems,,,,Poetry,Q1330
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,,الجزء الرابع والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
Sharḥ Qaṭr al-nadā wa-ball al-ṣadā,,شرح قطر الندا وبل الصدا,,,,,Sharh Qatr al-Nada,Q27696
Qurʼān selections and prayers,,,Qurʼan,,,,Qurʼan,Q3697
Taʻlīq al-durrah al-Shanawānīyah ʻalá Sharḥ al-Ajurrūmīyah fī ʻilm al-ʻArabīyah,,تعليق الدرة الشنوانية على شرح الاجرومية في علم العربية,,,,,Taʻlīq al-durrah al-Shanawānīyah ʻalá Sharḥ al-Ajurrūmīyah fī ʻilm al-ʻArabīyah,Q27764
al-Risālah fī al-uṣūl al-ʻasharah min al-taṣawwuf. Risālat al-Taḥdhīr,,الرسالة في الأصول العشرة من التصوف. رسالة التحذير,,,,,al-Risālah fī al-uṣūl al-ʻasharah min al-taṣawwuf,Q27644
Risālah fī al-hayʼah al-falakīyah,,رسالة في الهيئة الفلكية,,,,,Risālah fī al-hayʼah al-falakīyah,Q27620
Dhakhīrat al-Iskandar al-Malik ibn Fīliqs Dhī al-Qarnayn,,ذخيرة الاسكندر الملك بن فيلقس ذي القرنين,,,,,Dhakhīrat al-Iskandar al-Malik ibn Fīliqs Dhī al-Qarnayn,Q27852
al-Abjad,,الأبجد,,,,,al-Abjad,Q27651
Kitāb al-ukar,,كتاب الأكر,De sphaericis,,,,De sphaericis,Q27777
Kitāb Nasīm al-ṣabā ...,,كتاب نسيم الصبا ...,,,,,Kitāb Nasīm al-ṣabā,Q27576
Sharḥ ʻalá Nuzʹhat al-nuẓẓār fī ʻilm al-ghubār,,شرح على نزهة النظار في علم الغبار,,,,,Sharḥ fī ʻilm al-ghubār,Q27557
Risālah dar hayʼat. [Sharḥ-i Risālah dar hayʼat,,رساله در هيئت. شرح رساله در هيئت,,,,,Sharḥ-i Risālah dar hayʼat,Q27610
Hādhihi risālah fī al-ḥisāb ...,,هذه رسالة في الحساب ...,,,,,Risālah fī al-ḥisāb,Q12002
Hadhā kitāb Tuḥfah-ʼi Vahbī Sünbülʹzade,,هذا کتاب تحفۀ وهبى سنبل‌زاده,,,,,Hadhā kitāb Tuḥfah-ʼi Vahbī Sünbülʹzade,Q27568
Incomplete text on letter magic,,,,,,,Incomplete text on letter magic,Q27601
Painted manuscript leaves,,,,,,,Painted manuscript leaves,Q27673
Single leaf with illustration,,,,,,,Illustrated leaf,Q27784
al-Qurʼān,,القرآن,,,,,Qurʼan,Q3697
Sharḥ mukhtaṣar ʻalá Alfīyat Ibn Mālik,Sharḥ mukhtaṣar ʻalá Alfīyat Ibn Mālik,شرح مختصر على ألفية ابن مالك,,,Sharḥ mukhtaṣar ʻalá Alfīyat,Q75939,,
Qaṭr al-nadā wa-ball al-ṣadā,Qaṭr al-nadā wa-ball al-ṣadā,قطر الندا وبل الصدا,Qaṭr al-nadá wa-ball al-ṣadá,قطر الندى وبل الصدى,Sharh Qatr al-Nada,Q27696,,
Hādhā Kitāb Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,,هذا كتاب حصن الحصين من كلام سيد المرسلين,Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,,,,Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,Q39956
Ṭūṭīʹnāmah,Ṭūṭīʹnāmah,طوطى‌نامه,Ṭūṭīʹnāmah,طوطى‌نامه,Ṭūṭīʹnāmah,Q48573,,
