title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Keter shem tov,כתר שם טוב,,,Hebrew texts,Q44123,,
Derush nishmat ha-adam; ve-hu derush maṭi ve-lo maṭi /,דרוש נשמת אדם,,,Sermons,Q1400,,
Sefer ha-ʻasis,ספר העסיס,,,Hebrew texts,Q44123,,
Keter shem ṭov /,כתר שם טוב,,,Hebrew texts,Q44123,,
Sefer yetsirah,ספר יצירה,Sefer Yeẓirah,ספר יצירה,Sefer Yeẓirah,Q76007,,
Masoret ha-ḥokhmah /,מסורת החכמה,,,Hebrew texts,Q44123,,
Megilat Amrafel /,מגלת אמרפל,,,Megillot,Q76008,,
Migdol yeshuʻot,מגדול ישועות,,,Hebrew texts,Q44123,,
Horaʼah; le]-Yitsḥak ha-Kohen /,הוראה,,,Letter;Hebrew text,Q1454;Q75984,,
Sefer ohel moʻed,ספר אהל מועד,,,Hebrew texts,Q44123,,
Ḥidushim /,חדושים,,,Hebrew commentary,Q75988,,
ʻEt Sofer,עט סופר,,,Hebrew texts,Q44123,,
Pesaḳ; be-ʻinyan hasagat gevul,פסק,Pesaḳ din,פסק דין,Legal texts;Hebrew texts,Q6030;Q44123,,
Tiḳun; sh-natan Mori le-baḥur she-raʼah ḳeri be-lel yom ha-kipurim,תקון,Tiḳun ḳeri,תקון קרי,Hebrew text,Q75984,,
Sheṭar pesharah; be-ʻenyan yerushah shel ha-aḥim Masʹtro,שטר פשרה,,,Hebrew texts,Q44123,,
Reshimat noladin ṿe-nifṭarim; be-shanim 1709-1724,רשימת נולדים ונפטרים,,,List;Hebrew text,Q3116;Q75984,,
Teʻudot me-kehilat Iṭalyanah be-Korfu be-ʻIvrit ṿe-Italḳit; ben ha-shanim 1629-1704,תעודות מקהלת איטליאנה בקורפו בעברית ואיטלקית,,,Hebrew texts,Q44123,,
Pinḳas ḥavurat Anshe maʻasʹe be-Korfu; asher yasad Yisʹrael Mizraḥi,פנקס חבורת אנשי מעשה בקורפו,,,Pinkas;Records,Q76009;Q8300,,
