language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Ladino and Hebrew,,Judaeo-Spanish;Hebrew,Q36196;Q9288,Q7217;Q117,,,
"Hebrew, with two words in Judeo-Arabic (f. 78r)",,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
Hebrew; text of the Scroll of Antiochus in the original Aramaic (f. 1r-v),,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
"Hebrew; one word in German (in Hebrew charachters, repeated twice)",,Hebrew;German,Q9288;Q188,Q117;Q112,,,
Portuguese,,,,,Portuguese,Q5146,Q38114
"Predominant work in Hebrew (p. 19-234), with shorter works in Judeo-Arabic",,,,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106
"In Hebrew, with a number of lines in Italian on items 1-5 and item 7",,Hebrew;Italian,Q9288;Q652,Q117;Q116,,,
"Yiddish, in Ashkenazi Hebrew characters, with a few words in Latin (f. 2r)",,Yiddish;Ashkenazi Hebrew,Q8641;Q2740724,Q74791;Q76103,,,
In Hebrew; single verse in Aramaic Targum (verso),,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
"Hebrew and Yiddish, with Yiddish notes at the end (f. 26v-28r) and a few words in German (f. 13r)",,Hebrew;Yiddish;German,Q9288;Q8641;Q188,Q117;Q74791;Q112,,,
"Italian, with some Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
Latin and German (lower Alemannic with middle German idioms),,,,,Latin;German;Central German,Q397;Q188;Q704841,Q113;Q112;Q3105
"Judeo-Arabic, Aramaic, and Hebrew",,Judeo-Arabic;Aramaic;Hebrew,Q37733;Q28602;Q9288,Q38106;Q3663;Q117,,,
In Samaritan characters (Paleo-Hebrew),,Samaritan Hebrew;Paleo-Hebrew,Q56502;Q440608,Q76107;Q76108,,,
