title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Consilium generale grant of plenary power,,,,,,Grant,Q5982
Sephardic Pentateuch,תורה ספרדית,Bible,"תנ""ך",Pentateuch,Q10847,,
Agreement,,,,,,Agreement,Q7276
Decretales a[b]breviate,,Decretales Gregorii IX,,Decretals of Gregory IX,Q2831,,
Camera della Biccherna legal document,,,,,,Legal document,Q3666
Giovanni de' Rossi power of attorney,,,,,,Power of attorney,Q8176
Antonio Cilli deed,,,,,,Deed,Q1319
Manresa legal documents,,,,,,Legal document,Q3666
Breviary,,,,,,Breviary,Q657
Monticchiello notarial document,,,,,,Notarial document,Q5065
Oculus sacerdotis,,,,,,Oculus sacerdotis,Q7533
Statuti della Dogana di Livorno etc.,,,,,,Statute,Q7024
Giovanni Battista di Lorenzo power of attorney,,,,,,Power of attorney,Q8176
Ledger of Detti accounts,,,,,,Ledger,Q5484
Viridarium consolationis,,,,,,Viridarium consolationis,Q7260
Pistoia notarial documents,,,,,,Notarial documents,Q8060
Guelf party affiliation excerpt,,,,,,Affiliation,Q8305
Piccolomini family land agreement,,,,,,Family documents,Q6997
Devotional book,,,,,,Devotional book,Q3720
Del Pero family deed,,,,,,Deed,Q1319
Commentary on Andria and Eunuch,,,,,,Commentary on Terence,Q7003
Ledger of Arrigucci debtors and creditors and memoranda,,,,,,Ledger,Q5484
Sermones anonymi,,,,,,Sermons,Q1400
Crestomazia di poeti italiani del Cinquecento,,,,,,Chrestomathy,Q7254
Meditationes in duodecim primos psalmos Davidis prophet[a]e in honorem 12 apostolorum,,,,Commentary on Psalms,Q20442,,
Simone di Nicholo Petroni petition,,,,,,Petition,Q8048
Appointment of legal representatives,,,,,,Appointment,Q8180
Alchemical miscellany,,,,,,Alchemical texts,Q3132
al-Thānī min al-ṣiḥāḥ,الثاني من الصحاح,Ṣiḥāḥ,صحاح,,,Sihah,Q3117
Florilegium,,,,,,Florilegium,Q1326
Payment receipt,,,,,,Receipt,Q5981
Illuminated leaf from a printed book of hours,,Penitential Psalms,,,,Book of hours,Q795
Eis ta Harmonika Ptolemaiou hypomnēma,,,,,,Commentarius in Claudii Ptolemaei Harmonica,Q3676
Miscellaneous manuscripts (Large),,Missal,,,,Missal,Q662
Masālik al-abṣār fī mamālik al-amṣār,مسالك الابصار في ممالك الامصار,Masālik al-abṣār fī mamālik al-amṣār,مسالك الابصار في ممالك الامصار,,,Masālik al-abṣār fī mamālik al-amṣār,Q3155
Joanna I grant of pension,,,,,,Grant,Q5982
Ledger of accounts,,,,,,Ledger,Q5484
Guida di Stefano power of attorney,,,,,,Power of attorney,Q8176
Ledger of Risaliti debtors and creditors,,,,,,Ledger,Q5484
Marʼeh ha-ofanim] ... [etc.,,Sphaera mundi,,Sphaera mundi,Q366,,
Īḍāḥ al-maqāṣid li-farāʼid al-fawāʼid,ايضاح المقاصد لفرائد الفوائد,,,,,Īḍāḥ al-maqāṣid li-farāʼid al-fawāʼid,Q39965
Commentaries on canon law,,Corpus juris canonici,,,,Corpus juris canonici,Q7512
Maqālah fī al-ʻamal bi-al-yad,مقالة في العمل باليد,,,,,Maqālah fī al-ʻamal bi-al-yad,Q3111
Pattern-books of bridles and harnesses,,,,,,Pattern-book,Q1341
A dream of bounden dutie; dedicated to Queen Elizabeth /,,,,A dream of bounden dutie,Q39169,,
Filofistea /,,,,,,Filofistea,Q7227
"Ad invictissimum Maximilianum II, el. Rom[anum] Imperatorem Augustum; Pro fide catholica, de non concedenda Confessione Augustana",,,,Orations,Q38343,,
Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,كتاب الشفا بتعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفا بتعريف حقوق المصطفى,,,Al-Shifa bi Ta'rif Huquq al-Mustafa,Q3687
"Ex lib[ris] Paris de Grassis Bonon[iensis; magistri ceremoniarum, qui pontif[icatum] Leonis [decimi] ab an[no] 1513 usq[ue] ad an[num] 1521 scripsit /",,,,Ex libris Paris de Grassis Bononiensis,Q39384,,
Contracti inter particula[s] personas,,,,Contract,Q39929,,
Regulae de longis et brevibus syllabis,,,,,,Regulae,Q7812
Manuscript leaf from a book of hours,,Book of hours,,,,Book of hours,Q795
Guerino Meschino,,Guerrino il Meschino,,,,Guerrin meschino,Q7228
"Processo [contra] Ysabel Rodriguez, natural dela Salceda en Portugal, muger de Manuel Diaz, mercader de Mexico ... [etc.",,,,Legal text,Q8041,,
De institutione musica,,,,,,De institutione musica,Q3719
Cosmographies,,,,,,De chorographia,Q3711
De planctu naturae,,,,,,De planctu naturae,Q7520
Lettere havute da Mon[signor] Zuccati,,,,Letters,Q5068,,
Stefano Orlandini power of attorney,,,,,,Power of attorney,Q8176
Bishop of Osma legal instrument,,,,,,Legal document,Q3666
Statuti del Bosco,,,,,,Statute,Q7024
Summula de Summa Raymundi,,,,,,Summa,Q7560
Conventio inter rectores ospitalis civitatis placentie et D. Ant[oniu]m Fran[cescu]m Finellu[m,,,,Notarial document,Q5065,,
Commonplace book and recipe book,,,,,,Commonplace book;Recipe book,Q7822;Q7824
Kitāb al-Majisṭī,كتاب المجسطي,Almagest,,,,Almagest,Q354
