title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Saṃjīvanī sarga 1,संजीवनी सर्ग १,,Sañjīvanī (Kumārasambhava),,,,Sañjīvanī (Kumārasambhava),Q27742
Pañcasūnādoṣaparihārārtha siddhānta,पञ्चसूनादोषपरिहारार्थसिद्धान्त,,,,,,,
Laghuśabdaratna,लघुशब्दरत्न,,,,,,,
Jānakīkavaca,जानकीकवच,,Puranas,,,,Puranas,Q27588
Phiṭsūtra,फिट्सूत्र,,,,,,,
Gaṇapatīgakārādi sahasranāmastotra,गणपतिगकारादिसहस्रनामस्तोत्र,,,,Stotras,Q76780,,
Maṇiparīkṣa,मणिपरीक्ष,,,,,,,
Dānaparibhāṣāprayoga,दानपरिभाषाप्रयोग,,,,Hindu religious law,Q76769,,
Tattvavivekadīpana,तत्त्वविवेकदीपन,,,,,,,
Śrīmahābhārate āraṇyaparvaṇi,श्रीमहाभारते आरण्यपर्वणि,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Muṇḍakopaniṣad,मुण्डकोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Mahālakṣmīhṛdayastotra,,,Atharvaṇarahasya,,,,Atharvaṇarahasya,Q27677
Kāśīprakaraṇa,काशीप्रकरण,,Tristhalīsetu,,,,Tristhalīsetu,Q27781
Nirvāṇaprakaraṇa,निर्वाणप्रकरण,,Mokṣopāya,,,,Mokṣopāya,Q27521
Lakṣahomapaddhatiprayoga,लक्षहोमपद्धतिप्रयोग,,,,Hindu religious law,Q76769,,
Ādhikaraṇaratnamālā,आधिकरणरत्नमाला,,Nyāyamālāvistara,,,,Nyāyamālāvistara,Q27840
Nāmaliṅgānuśāsana,নামলিংগানুশাসন,,Amarakośa,,,,Amarakośa,Q27725
Anubhūtileśa,अनुभूतिलेश,,,,,,,
Nirvāṇapañcakastotra,निर्वाणपञ्चकस्तोत्र,,,,Stotras,Q76780,,
Samarasāraṭīkā,समरसारटीका,,,,,,,
Spaṣṭakālabīja,स्पष्टकालबीज,,,,,,,
Pañcīkṛtavārttika,पञ्चीकृतवार्त्तिक,,,,,,,
Mṛtyulāṅgalopaniṣad,मृत्युलाङ्गलोपनिषद्,,Vedas,,,,Vedas,Q27715
Sāmānyapūjāvidhi,सामान्यपूजाविधि,,Vratārka,,,,Vratārka,Q27679
Mallārisahasranāmastotra,मल्लारिसहस्रनामस्तोत्र,,Puranas,,,,Puranas,Q27588
Naiṣadhīyaprakāśa,नैषधीयप्रकाश,,,,,,,
Pratyakṣapariccheda,प्रत्यक्षपरिच्छेद,,,,,,,
Vratārka,व्रतार्क,,,,Vratārka,Q27679,,
Śrībhāgavate mahāpurāṇe dvitīyāskandhe daśamodhyāyaḥ,श्रीभागवते महापुराणे द्वितीयास्कन्धे दशमोध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Praśnatilaka,प्रश्नतिलक,,,,,,,
Śrautasiddhānta,श्रौतसिद्धान्त,,,,,,,
Kumārasambhavalaghuṭīlā sarga 8,कुमारसम्भवलघुटीका सर्ग ८,,,,,,,
Subhāṣitasuradruma,सुभाषितसुरद्रुम,,,,,,,
Śītalāṣṭakastotra,शीतलाष्टकस्तोत्र,,Puranas,,,,Puranas,Q27588
Ātmārapaṇastuti,आत्मारपणस्तुति,,,,,,,
Mahābhārata udyogaparva,महाभारत उद्योगपर्व,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Aṣṭādaśaślokīgītāsāra,अष्टादशश्लोकीगीतासार,,,,,,,
Kāśīrahasya,काशीरहस्य,,Puranas,,,,Puranas,Q27588
Acyutāṣṭaka,अच्युताष्टक,,,,,,,
Three early upaniṣads,,,,,Upanishads,Q27718,,
Bhagavatīpadmapuṣpāñjali,,,,,,,,
Avadhūtāṣṭaka,अवधूताष्टक,,Avadhūtagītā,,,,Avadhūtagītā,Q27702
Prattadivākarapaṇḍita,प्रत्तदिवाकरपण्डित,,,,,,,
Kathitaikādaśīpauṣaśuklapakṣasya,कथितैकादशीपौषशुक्लपक्षस्य,,,,,,,
Sāvitrādiprayogavṛtti,सावित्रादिप्रयोगवृत्ति,,,,Hindu ritual text,Q76765,,
Śṛṅgāravilāsa,शृङ्गारविलास,,Bhāminīvilāsa,,,,Bhāminīvilāsa,Q27801
Āśvalāyanagṛhyasūtram,,,Āśvalāyanagr̥hyasūtra,,,,Āśvalāyanagr̥hyasūtra,Q27709
Pakṣatāṭippanī,पक्षताटिप्पनी,,Gādādharī,,,,Gādādharī,Q27605
Praśnopaniṣaddīpikā,प्रश्नोपनिषद्भाष्य,,,,Commentary on Upanishads,Q76788,,
Lalitāpūjā,ललितापूजा,,,,,,,
Lalitāsahasranāma,ललितासहस्रनाम,,,,,,,
Saṃjīvanī sarga 9,संजीवनी सर्ग ९,,Sañjīvanī (Raghuvaṃśa),,,,Sañjīvanī (Raghuvaṃśa),Q27685
Saṃdhyāprakaraṇa,संध्याप्रकरण,,,,,,,
Compendium of Vratas,,,,,,,,
Sūryanārāyaṇopaniṣad,सूर्यनारायणोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Prathama aṣṭaka prāraṃbhah asya nārāyaṇabhaṭṭa likhitam,,,Vedas,,,,Vedas,Q27715
Kālāgnirudropaniṣad,कालाग्निरुद्रोपनिषद्,Q27588,,,Puranas,Q27588,,
Vedasārābhidhaśivasahasranāman,वेदसाराभिधशिवसहस्रनामन्,,Puranas,,,,Puranas,Q27588
Māṇḍūkyabhāṣya,माण्डूक्यभाष्य,,,,,,,
Śivāparādhastotra,शिवापराधस्तोत्र,,,,Stotras,Q76780,,
Kāśīmahātmaya,काशीमाहात्म्य,,Tantras,,,,Tantras,Q27776
Sarvaprāyaścittasvīkāra,सर्वप्रायश्चित्तस्वीकार,,,,,,,
Vivāhaprayoga,विवाहप्रयोग,,,,Hindu religious law,Q76769,,
Aupāsanahoma,औपासनहोम,,,,,,,
Saṃjīvanī sarga 8,संजीवनी सर्ग ८,,Sañjīvanī (Raghuvaṃśa),,,,Sañjīvanī (Raghuvaṃśa),Q27685
Hotṛ rites,,,,,Hindu ritual text,Q76765,,
Mayūracitraka,मयूरचित्रक,,,,,,,
Prāṇābharaṇa,प्राणाभरण,,,,,,,
Mānasapūjākathana,मानसपूजाकथन,,Pāñcarātra,,,,Pāñcarātra,Q27765
Bhaktāmaraprabhava,भक्तामरप्रभव,,Bhaktāmarastotra,,,,Bhaktāmarastotra,Q27556
Kālikāsahasranāmastotra,कालिकासहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Rāmastavarājastotra,रामस्तवराजस्तोत्र,,Pāñcarātra,,,,Pāñcarātra,Q27765
Vedapādastotra,वेदपादस्तोत्र,,,,Stotras,Q76780,,
Sthālīpākaprayoga,स्थालीपाकप्रयोग,,,,Hindu ritual text,Q76765,,
Vyadhikaraṇadharmāvacchinnābhāvaṭīkā,व्यधिकरणधर्मावच्छिन्नाभावटीका,,,,,,,
Bādhabuddhivicāra,बाधबुद्धिविचार,,,,,,,
Sāmānyakroḍapattra,सामान्यक्रोडपत्त्र,,Tattvacintāmaṇi,,,,Tattvacintāmaṇi,Q27786
Mokṣaikādaśīmāhātmya,मोक्षैकादशीमाहात्म्य,,Puranas,,,,Puranas,Q27588
Grahasāriṇī,ग्रहसारिणी,,,,,,,
"Karavīramāhātmya, 1-19","करवीरमाहात्म्य, १-१९",,Puranas,,,,Puranas,Q27588
Śivastotra,शिवस्तोत्र,,,,Stotras,Q76780,,
Parāśaradharmaśāstra,पराशरधर्मशास्त्र,,Parāśarasmr̥ti,,,,Parāśarasmr̥ti,Q27580
Nārāyaṇātharvaśira,नारायणाथर्वशिर,,Upanishads,,,,Upanishads,Q27718
Śabdenduśekhara,शब्देन्दुशेखर,,,,,,,
Saṃdhyopāsana,संध्योपासन,,,,,,,
Atharvaśiras upaniṣad,अथर्वशिरस् उपनिषद्,,,,Upanishads,Q27188,,
iti prathamā aṣṭaka prārambhaḥ,,,Vedas,,,,Vedas,Q27715
Prātiśākhyabhāṣya,प्रातिशाख्यभाष्य,,,,,,,
Śrāvaṇakarmamantrārtha,श्रावणकर्ममन्त्रार्थ,,,,,,,
Kṛtyaratnāvalī,कृत्यरत्नावली,,,,,,,
Dhaumyakṛtastotra,धौम्यकृतस्तोत्र,,,,Stotras,Q76780,,
Śravaṇadvādaśīpūjā,श्रवणद्वादशीपूजा,,,,,,,
Jyotiṣasaṃgraha,ज्योतिषसंग्रह,,,,,,,
Bhojacarita,भोजचरित,,,,,,,
Dharmaśāstra,धर्मशास्त्र,,,,Dharmaśāstra,Q76806,,
Rātrinirṇaya,रात्रिनिर्णय,,,,,,,
Annapūrṇāstotra,अन्नपूर्णास्तोत्र,,,,Stotras,Q76780,,
Śreḍhīvyavahāra,श्रेढीव्यवहार,,Līlāvatī,,,,Līlāvatī,Q27705
Upāṅgalalitāvratakathā,उपाङ्गलिताव्रतकथा,,Puranas,,,,Puranas,Q27588
Anusmṛtiratna,अनुस्मृतिरत्न,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Kokilapūjana,कोकिलपूजन,,,,,,,
Kaṭhavupaniṣad,कठवुपनिषद्,,Upanishads,,,,Upanishads,Q27718
Āśaucatriṃśacchlokīṭīkā,आशौचत्रिंशच्छ्लोकीटीका,,,,,,,
Saṃjīvanī sarga 12,संजीवनी सर्ग १२,,Sañjīvanī (Raghuvaṃśa),,,,Sañjīvanī (Raghuvaṃśa),Q27685
Bhūśuddhi,,,Bhūtaśuddhiprāṇapratiṣṭhā,,,,Bhūtaśuddhiprāṇapratiṣṭhā,Q27583
Gaṇapatyaṣṭaka,,,,,,,,
Vāyustutistotra,वायुस्तुतिस्तोत्र,,,,Stotras,Q76780,,
Samāsavāda,समासवाद,,,,,,,
Vedāntaparibhāṣāṭīkā,वेदान्तपरिभाषाटीका,,,,,,,
Gaṅgāstavastotra,गङ्गास्तवस्तोत्र,,,,Stotras,Q76780,,
Nārāyaṇopaniṣad,नारायणोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Kāśīmāhātmya,काशीमाहात्म्य,,Puranas,,,,Puranas,Q27588
Āśvalāyanaśrautasūtra,,,,,Āśvalāyanaśrautasūtra,Q27534,,
Śivapaṭala,शिवपटल,,,,,,,
Rāmāryā,रामार्या,,,,,,,
Vratakaustubha,व्रतकौस्तुभ,,,,,,,
Daśarathalalitāvratakathā,दशरथललिताव्रतकथा,,Puranas,,,,Puranas,Q27588
Mahābhārata. Bhīṣmaparva,महाभारत. भीष्मपर्व,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Saṃketakaumudī,संकेतकौमुदी,,,,,,,
Ekādaśastotra,एकादशस्तोत्र,,,,Stotras,Q76780,,
Dvitīyaskandhasaṃbandhipadabhāvārthadīpikā,द्वितीयस्कन्धसंबन्धिपदभावार्थदीपिका,,Puranas,पुराण,,,Puranas,Q27588
Vividiṣasaṃnyāsa vidvatsaṃnyāsa,विविदिषसंन्यास विद्वत्संन्यास,,,,,,,
Itiśrīmahābhārateśāntiparvaṇimokṣadharmaparvaṇi aṣṭatriṃśadadhikatriśatamodhyāyaḥ,इतिश्रीमहाभारतेशान्तिपर्वणिमोक्षधर्मपर्वणि अष्टत्रिंशदद्यिकत्रिशतमोध्यायः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Nyāyamakaranda,न्यायमकरन्द,,,,,,,
Navagrahamantra,नवग्रहमन्त्र,,,,,,,
Adhyātmarāmāyaṇa uttarakāṇḍa,अध्यात्मरामायण उत्तरकण्ड,,Puranas,,,,Puranas,Q27588
Tṛcapaddhati,तृचपद्धति,,,,,,,
Vārttikasāra,वार्त्तिकसार,,,,,,,
Viṣṇusahasranāmāvalī,विष्णुसहस्रनामावली,,,,,,,
Siddhāntalakṣaṇa,सिद्धान्तलक्षण,,Jāgadīśī,,,,Jāgadīśī,Q27719
Vidyunmālavṛttastotra,विद्युन्मालवृत्तस्तोत्र,,,,Stotras,Q76780,,
Siddhāntaratnamālā,सिद्धान्तरत्नमाला,,,,,,,
Paśubandhaprayoga,पशुबन्धप्रयोग,,,,Hindu ritual text,Q76765,,
Sūryasahasranāmastotra,सूर्यसहस्रनामस्तोत्र,,Puranas,,,,Puranas,Q27588
Kaṭhavalyopaniṣad,कठवल्योपनिषद्,,Upanishads,,,,Upanishads,Q27718
Viṣṇusahasranāman,विष्णुसहस्रनामन्,,,,,,,
Chāndogyopaniṣadbhāṣya,छान्दोग्योपनिषद्भाष्य,,,,Commentary on Upanishads,Q76788,,
Laghuvākyavṛttiprakāśikā,लघुवाक्यवृत्तिप्रकाशिका,,,,,,,
Bhūtaśuddhiprāṇapratiṣṭhā Antaramātṛkābahirmātṛkāḥ,,,Bhūtaśuddhiprāṇapratiṣṭhā,,,,Bhūtaśuddhiprāṇapratiṣṭhā,Q27583
Vīreśvarastotra,वीरेश्वरस्तोत्र,,Puranas,,,,Puranas,Q27588
Pārāśarīdaśā,पाराशरीदशा,,,,,,,
Jābālopaniṣaddīpikā,जाबालोपनिषद्दीपिका,,,,Upanishads,Q27188,,
Yajurāraṇyaka,यजुरारण्यक,,Mādhavīyavedārthaprakāśa,,,,Mādhavīyavedārthaprakāśa,Q27782
Sāṃgītadarpaṇa,सांगीतदर्पण,,,,,,,
Somavatīpūjā,सोमवतीपूजा,,,,,,,
Tithikaustubha,तिथिकौस्तुभ,,,,,,,
Karavīramāhātmya,करवीरमाहात्म्य,,Puranas,,,,Puranas,Q27588
Mārkaṇḍeyapurāṇa,मार्कण्डेयपुराण,,Puranas,,,,Puranas,Q27588
Bhagavadbhakticandrikollāsa,भगवद्भक्तिचन्द्रिकोल्लास,,,,,,,
Ṣatślokī upadeśa,षत्श्लोकी उपदेश,,,,,,,
Prāyaścittapaddhati,प्रायश्चित्तपद्धति,,,,,,,
Anubhūtiprakāśakaṭhaṭīkā,अनुभूतिप्रकाशकठटीका,,,,,,,
Ghaṇṭāpatha,घण्टापथ,,Ghaṇṭāpatha,,,,Ghaṇṭāpatha,Q27639
Sāṃkhyapravacana,सांख्यप्रवचन,,,,,,,
Tattvabodhinī,तत्त्वबोधिनीकृदन्त,,,,,,,
Gajendramokṣa,गजेन्द्रमोक्ष,,Mahābhārata,,,,Mahabharata,Q27688
Dattātreyastotra,दत्तात्रेयस्तोत्र,,,,Stotras,Q76780,,
Yajñavaibhavakhaṇḍa,यज्ञवैभवखण्ड,,Puranas,,,,Puranas,Q27588
Amarakośa,अमरकोश,,,,Amarakośa,Q27725,,
Samādhiyoga,समाधियोग,,,,,,,
Praśnatantra,प्रश्नतन्त्र,,,,Praśnatantra,Q76807,,
Bhāminīvilāsaṭīkā,भामिनीविलासटीका,,,,,,,
Śrīmadbhāgavata,श्रीमद्भागवत,,Puranas,,,,Puranas,Q27588
Pāśakakevalī,पाशककेवली,,,,,,,
Vratodyāpanopanopayogī viṣaya,व्रतोद्यापनोपनोपयोगी विषय,,,,,,,
Satyanārāyaṇakathā,सत्यनारायणकथा,,Puranas,,,,Puranas,Q27588
Tattvacintāmaṇidīdhiti,तत्त्वचिन्तामणि दीधिति,,,,Tattvacintāmaṇidīdhiti,Q27835,,
Gopīcandanopaniṣad,गोपीचन्दनोपनिषद्,,,,Hindu religious manual,Q76774,,
Mahimnākhyastotra,महिम्नाख्यस्तोत्र,,,,Stotras,Q76780,,
Gaṇapatistotra,गणपतिस्तोत्र,,,,Stotras,Q76780,,
Anumānaprakāśa,अनुमानप्रकाश,,,,,,,
Śivasahasranāman,शिवसहस्रनामन्,,Puranas,,,,Puranas,Q27588
Bhṛguvidā upaniṣad,भृगुविदा उपनिषद्,,,,Upanishads,Q27188,,
Bhārūṇasāma,भारूणसाम,,,,,,,
"Sambhyaṅgaṭīkā, Aṭṭhakathā",,,,,,,,
Indrākṣīstotra,इन्द्राक्षीस्तोत्र,,Puranas,,,,Puranas,Q27588
Collection of sayings,,,,,Sayings,Q1334,,
Vidyāprakāśavārtika,विद्याप्रकाशवार्तिक,,Taittirīyakavidyāprakāśa,,,,Taittirīyakavidyāprakāśa,Q27755
Aṣṭakavargasṛṣṭi,अष्टकवर्गसृष्टि,,,,,,,
Grahyajña,ग्रहयज्ञ,,,,,,,
Ahnikaprakāśa,आह्निकप्रकाश,,,,,,,
Śārṅgadharapaddhati,शार्ङ्गधरपद्धति,,,,,,,
Viṣṇupañcāyatanapūjā,विष्णुपञ्चायतपूजा,,,,,,,
Āśvalāyanagr̥hyasūtra,आश्वलायनगृह्यसूत्र,,Āśvalāyanagr̥hyasūtra,,,,Āśvalāyanagr̥hyasūtra,Q27709
Nighantuḥ,,,,,,,,
Pañcamāraṇyaka,पञ्चमारण्यक,,Aranyakas,,,,Aranyakas,Q27607
Athaḥ utsarjanopākarmaprāraṁbhaḥ,,,,,,,,
Guruviṣayatāvādārtha,गुरुविषयतावादार्थ,,Gādādharī,,,,Gādādharī,Q27605
Sāmānyanirūpaṇa,सामान्यनिरूपण,,Gādādharī,,,,Gādādharī,Q27605
Praśnottararatnamālā,प्रश्नोत्तररत्नमाला,,Garland of jewels in the form of questions and answers,,,,Garland of jewels in the form of questions and answers,Q27754
Mantramañjūṣā,,,,,,,,
Prāyaścitta,प्रायश्चित्त,,,,Hindu text,Q76770,,
Viṣṇusahasranāmaprāmbhaḥ,विष्णुसहस्रनामस्तोत्रप्रारम्भः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Vyāsapūjāvidhi,व्यासपूजाविधि,,,,,,,
Savyabhicāra,सव्यभिचार,,Gādādharī,,,,Gādādharī,Q27605
Mātṛkānighaṇṭu,मातृकानिघण्टु,,,,,,,
Saṃhitopaniṣadvivaraṇa,संहितोपनिषद्विवरण,,,,Commentary on Upanishads,Q76788,,
Grahasaṃjñā,ग्रहसंज्ञा,,,,,,,
Mokṣopāya,मोक्षोपाय,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Vedāntaśikhāmaṇi,वेदान्तशिखामणि,,Vedāntaparibhāṣāśikhāmaṇi,,,,Vedāntaparibhāṣāśikhāmaṇi,Q27657
Janmāṣṭamīvratodyāpana,जन्माष्टमीव्रतोद्यापन,,Puranas,,,,Puranas,Q27588
Muhūrtacintāmaṇi ṭīka,मुहूर्तचिन्तामणि टीक,,,,,,,
Maṇimūla,मणिमूल,,Anumānakhaṇḍa,,,,Anumānakhaṇḍa,Q27622
Kadalīvratakathā,कदलीव्रतकथा,,Puranas,,,,Puranas,Q27588
Śarabhasahasranāman,,,Tantras,,,,Tantras,Q27776
Rudranyāsa,रुद्रन्यास,,,,,,,
Siddhāntakaumudī kṛdanta manoramā,सिद्धान्तकौमुदी कृदन्त मनोरमा,,,,,,,
Gaṇeśasahasranāma,गणेशसहस्रनाम,,Puranas,,,,Puranas,Q27588
Cikitsāmṛtasaṃgraha,चिकित्समृतसंग्रह,,,,,,,
Agnihotrahomaprayoga,अग्निहोत्रहोमप्रयोग,,,,,,Agnihotrahomaprayoga,Q27680
Tarkasaṃgrahadīpikā,तर्कसंग्रहदीपिका,,Tarkadīpikā,,,,Tarkadīpikā,Q27738
Vājapeya,वाजपेय,,,,,,,
Śrībādarāyaṇabūta bhāvādhyāya,श्रीबादरायणबूत भावाध्याय,,,,,,,
Tarkasaṃgrahaṭīkā,तर्कसंग्रहटीका,,Tarkadīpikā,,,,Tarkadīpikā,Q27738
Gaurīmantra,गौरीमन्त्र,,,,,,,
Veṅkaṭeśvarakavaca,वेङ्कटेश्वरकवच,,Puranas,,,,Puranas,Q27588
Hāyanaratna,हायनरत्न,,,,,,,
Kāśikāvṛtti,काशिकावृत्ति,,,,Kāśikāvṛtti,Q76808,,
Nāmasadda fragments,,,,,,,,
Rāmatriśatanāmastotra,गायत्रीसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Daśarathaśanaiścarastotra,शनिश्चरस्तोत्र,,Puranas,,,,Puranas,Q27588
Ārṣaparacitmahārāmāyaṇa,आर्षमहारामायण,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Collection of hymns and mantras,,,,,Mantras,Q76777,,
Rāmānandīya,रामानन्दीय,,,,,,,
Ākhyātaviveka,आख्यातविवेक,,Ākhyātavāda,,,,Ākhyātavāda,Q27733
Yajñopavītadhāraṇavidhi,यज्ञोपवीतधारणविधि,,,,,,,
Bhūṣaṇasāra,भूषणसार,,,,,,,
Aśvalāyanapavamānasaura,अश्वलायनपवमानसौर,,Vedas,,,,Vedas,Q27715
Liṅgopahitalaiṅgikabhānavicāra,लिङ्गोपहितलैङ्गिकभानविचार,,,,,,,
Makaranda,मकरन्द,Q27676,,,Makarandasāranī,Q27676,,
Viṣṇusmṛtivivṛtau,विष्णुस्मृतिविवृतौ,,,,,,,
Pratiṣṭhādevatāvisarjanamantra,प्रतिष्ठादेवताविसर्जनमन्त्र,,,,,,,
Śrāddhādhikāra,श्राद्धाधिकार,,,,,,,
Cāturmāsprāyaṣcitta,दर्शपूर्णमासप्रायश्चित्त,,,,,,,
Āryāṣṭottaraśataka,आर्याष्टोत्तरशतक,,,,,,,
Dravyaguṇaśataślokī,द्रव्यगुणशतश्लोकी,,Dravyaguṇaśataka,,,,Dravyaguṇaśataka,Q27609
Jyotisāgagrantha,ज्योतिसागग्रन्थ,,,,,,,
Lagnacandrikā,लग्नचन्द्रिका,,,,,,,
Annapūrṇāmūlamantra,अन्नपूर्णामूलमन्त्र,,,,,,,
Prayāgaprakaraṇa,प्रयागप्रकरण,,Tristhalīsetu,,,,Tristhalīsetu,Q27781
Cikitsāñjana,चिकित्साञ्जन,,,,,,,
Rasaratnākara,रसरत्नाकर,,,,Rasaratnākara,Q76809,,
Bṛhadṛgvidhāna,बृहदृग्विधान,,,,,,,
Bhairavasahasranāmastotra,,,Tantras,,,,Tantras,Q27776
Śivasahasranāmastotra,शिवसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Śāntisāra,शान्तिसार,,,,,,,
Triṃśacchlokī,त्रिंशच्छ्लोकी,,,,,,,
Varṣatantra,वर्षतन्त्र,,Tājikanīlakaṇṭhi,,,,Tājikanīlakaṇṭhi,Q27686
Zubdat al-raml,,,,,,,,
Śrīgaṇeśabhaja,श्रीगणेशभज,,,,,,,
Tithinirṇayasindhu,तिथिनिर्णयसिन्धु,,,,,,,
Śivarahasya dvādaśāṃśa,शिवरहस्य,,,,,,,
Varṣaphala,वर्षफल,,,,,,,
Śukradaśītarddaśāphalavibhāga,शुक्रदशीतर्द्दशाफलविभाग,,,,,,,
Yajñapārśvapariśiṣṭa,यज्ञपार्श्वपरिशिष्ट,,Kātyāyanaśrautasūtra,,,,Kātyāyanaśrautasūtra,Q27542
Triśatī,त्रिशती,,,,,,,
Dhanadākavaca,,,,,,,,
Janmāṣṭamīvratakathā,जन्माष्टमीव्रतकथा,,Puranas,,,,Puranas,Q27588
Vedanāsikāśikṣā,वेदनासिकाशिक्षा,,Pāṇinīyaśikṣā,,,,Pāṇinīyaśikṣā,Q27788
Carpaṭa pañjarikāstotra,चर्पटमञ्जरिकास्तोत्र,,,,Stotras,Q76780,,
Two Śaiva upaniṣads,,,,,Upanishads,Q27718,,
Śivāṣṭottaraśatanāmāvalī,शिवाष्टोत्तरशतनामावली,,,,,,,
Vāstuśāntiprayoga,वास्तुशान्तिप्रयोग,,Āśvalāyanagr̥hyasūtra,,,,Āśvalāyanagr̥hyasūtra,Q27709
Bhagavadgītā,بهگوت-گىتا,,Bhagavadgītā,,,,Bhagavad Gita,Q27759
Ghṛtatulādānaprayoga,घृततुलादानप्रयोग,,,,Hindu ritual text,Q76765,,
Rāmacandraprokta Lakṣmīstavarāja,रामचन्द्रप्रोक्त लक्ष्मीस्तवराज,,Puranas,,,,Puranas,Q27588
Naiṣadhacarita,नैषधचरित,,,,,,,
Śikṣopaniṣad,शिक्षोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Śrībhāgavate Mahāpurāṇe saptamaskandhe,श्रीभागवते महापुराणे सप्तमस्कन्धे,,Puranas,पुराण,,,Puranas,Q27588
Bodhāyanacayanaprayoga,भोधायनचयनप्रयोग,,,,Rituals,Q5071,,
Śivasahasranāmastotra,शिवसहस्रनामस्तोत्र,,Puranas,,,,Puranas,Q27588
Vyaṅkaṭācalamāhātmya,व्यङ्कटाचलमाहात्म्य,,Puranas,,,,Puranas,Q27588
Āhnikakaumudī,आह्निककौमुदी,,,,,,,
Ṛgvedasaṃdhyāvandanabhāṣya,ऋग्वेदसंध्यावन्दनभाष्य,,,,,,,
Navākṣaramantra,नवाक्षरमन्त्र,,,,,,,
Dakṣiṇakālikāpaddhati,,,,,,,,
Pañcalakṣaṇī,पञ्चलक्षणी,,Jāgadīśī,,,,Jāgadīśī,Q27719
Brahmopaniṣadādi dvāviṃśadupaniṣat,ब्रह्मोपनिषदादि द्वाविंशदुपनिषद्,,,,Upanishads,Q27188,,
Kārakaprakaraṇa,कारकप्रकरण,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Saṃjīvanī sarga 18,संजीवनी सर्ग १८,,Sañjīvanī (Raghuvaṃśa),,,,Sañjīvanī (Raghuvaṃśa),Q27685
Ādhānahautra,आधानहौत्र,,,,,,,
Āśvalāyanopayogī baudhāyanadarśapaurṇamāsaprayoga,आश्वलायनोपयोगी बौधायनदर्शपौर्णमासप्रयोग,,,,Hindu religious law,Q76769,,
Pañcapādikā,पञ्चपादिका,,,,Philosophical text;Pañcapādikā,Q5996;Q76805,,
Maṅgalaprokta,मङ्गलप्रोक्त,,Tantras,,,,Tantras,Q27776
Vedantasūtra,वेदन्तसूत्र,,Brahmasūtra,,,,Brahmasūtra,Q27662
Mahāsaṃkalpa,महासंकल्प,,,,,,,
Vedasāradivyasahasranāma,वेदसारदिव्यसहस्रनाम,,Puranas,,,,Puranas,Q27588
Kātyāyana proktā sarvānukramaṇikā,,,Vedas,,,,Vedas,Q27715
Vākyavṛttiprakaraṇa,वाक्यवृत्तिप्रकरण,,,,,,,
Avacchedakatvaṭippaṇī,अवच्छेदकत्वटिप्पणी,,Jāgādīśī,,,,Jāgadīśī,Q27719
Pañcakrośīmāhātmya,पञ्चक्रोशीमाहात्म्य,,Puranas,,,,Puranas,Q27588
Sarasvatīstotra,सरस्वतीस्तोत्र,,,,Stotras,Q76780,,
Pradhānaśāntanirṇaya,प्रधानशान्तनिर्णय,,,,,,,
Brāhmaṇa,ब्राह्मण,,Brahmanas,,,,Brahmanas,Q27806
Advaitānanda,अद्वैतानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Bhāṣyaratnaprabhā,भाष्यरत्नप्रभा,,,,,,,
Amaruśataka,अमरुशतक,,Amaruśataka,,,,Amaruśataka,Q27744
Kauṣītakibrāhmaṇopaniṣad,कौषीतकिब्राह्मणोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Dvādaśastotra,द्वादशस्तोत्र,,,,Stotras,Q76780,,
Vivaraṇopanyāsa,विवरणोपन्यास,,,,,,,
Darśādiśrāddhādhikāra,दर्शादिश्राधाधिकार,,,,,,,
Halaṣaṣṭhivratakathā,हलषष्ठिव्रतकथा,,Puranas,,,,Puranas,Q27588
Saṃkrāntīphaladīpikā,संक्रान्तीफलदीपिका,,,,,,,
Nadyāvartamahātantra,,,Tantras,,,,Tantras,Q27776
Tājaka,ताजक,,,,,,,
Dhvajāropaṇa,ध्वजारोपण,,,,,,,
Ṛgvedasvaśākhopaniṣad,ऋग्वेदस्वशाखोपनिषद्,,,,Hindu text,Q76770,,
Nirukta,,,,,Nirukta,Q27771,,
Prayogapārijāta,प्रयोगपारिजात,,,,Vedic text,Q76773,,
Naiṣadīyaprakāśa sarga 14,नैषदीयप्रकाश सर्ग १४,,,,,,,
