title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Śrībhāgavatabhāvārthadīpikāyāṃ Śrīśrīdharasvāmiviracitāyāṃ ṭīkāyāṃ saptamaskandhe pañcadaśo'dhyāyaḥ,श्रीभागतभावार्थदीपिकायां श्रीश्रीधरस्वामीविरचितायां टीकायां सप्तमस्कन्धे पञ्चदशो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Siddhāntabindu,सिद्धान्तबिन्दु,,,,Philosophical text,Q5996,,
Bālabodha,बालबोध,,,,Astrological text,Q20378,,
Viṣṇusahasranāma,विष्णुसहस्रनाम,,Mahābhārata,,,,Mahabharata,Q27688
Tantrasāra,তন্ত্রসার,,,,Hindu contemplative text,Q76778,,
Brahmānandayogānanda,ब्रह्मानन्दयोगानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Pitṛstava,पितृस्तव,,,,Hindu text,Q76770,,
Āśvalāyanadharmaśāstra,आश्वलायनधर्मशास्त्र,,,,Hindu ritual text,Q76765,,
Ṛṣipañcamī,ऋषिपञ्चमी,,Puranas,,,,Puranas,Q27588
Two upaniṣads,,,,,Upanishads,Q27718,,
Makarandasāriṇi,मकरन्दसारिणि,,Makarandasāranī,,,,Makarandasāranī,Q27676
Daśakumāracarita,दशकुमारचरित,,,,Daśakumāracarita,Q76779,,
Māhānyāsa,माहान्यास,,,,Mantras,Q76777,,
Collection of stotras,,,,,Stotras,Q76780,,
Ekādaśī,एकादशी,,,,Hindu ritual text,Q76765,,
Darśapūrṇamāsaprāyaścitta,दर्शपूर्णमासप्रायश्चित्त,,,,Hindu religious manual,Q76774,,
Yogaśataka,योगशतक,,,,Yogaśataka,Q76781,,
Raghuvaṃśa,रघुवंश,,Raghuvaṃśa,,,,Raghuvaṃśa,Q27666
Śivatāṇḍavanṛtya,शिवताण्डवनृत्य,,,,Hindu religious text,Q76775,,
Bittarāmāyaṇa,बित्तरामायण,,,,Ramayana,Q27562,,
Māṇḍūkyopaniṣad,माण्डूक्योपनिषद्,,Upanishads,,,,Upanishads,Q27718
Kāśīmahātma,काशीमहात्म,,Tantras,,,,Tantras,Q27776
Vaṭasāvitrīvrata,वटसावित्रीव्रत,,,,Hindu religious text,Q76775,,
Anumitigrantha,अनुमितिग्रन्थ,,,,Text on logic,Q20450,,
Rāmastavarājastotramantra,रामस्तवराजस्तोत्रमन्त्र,,,,Hindu religious text,Q76775,,
Sundarakāṇḍa,सुन्दरकाण्ड,,Rāmāyaṇa,,,,Ramayana,Q27562
Prayogaratnam,,,Prayogaratna,,,,Prayogaratna,Q27783
Kāmakalāvilāsa,,,,,,,,
Gajendramokṣaṇa,गजेन्द्रमोक्षण,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
S̄raṇī,सारणी,,,,Astrological text,Q20378,,
Śivagītā,शिवगीता,,Puranas,,,,Puranas,Q27588
Dānakhaṇḍa,दानखण्ड,,,,Hindu religious law,Q76769,,
Bhagavadgītāmāhātmya,भगवद्गीतामाहात्म्य,,Puranas,,,,Puranas,Q27588
Mādhavīyavedārthaprakāśa,माधवीयवेदार्थप्रकाश,,,,Mādhavīyavedārthaprakāśa,Q27782,,
Vaiśeṣikasūtra,वैशेषिकसूत्र,,,,Sutra,Q39398,,
Bilvaṣoḍaśakastotra,बिल्वषोडशकस्तोत्र,,Puranas,,,,Puranas,Q27588
Śārīrakabhāṣyabhagavatpādabhāṣyabhāga,शारीरकभाष्यभगवत्पादभाष्यभाग,,,,Hindu contemplative text,Q76778,,
Mahārudrajapavidhāna,महारुद्रजपविधान,,,,Hindu ritual text,Q76765,,
Adhyātmarāmāyaṇa,अध्यात्मरामायण,,Puranas,,,,Puranas,Q27588
Siddhāntamañjarīdīpikā,सिद्धान्तमञ्जरीदीपिका,,,,Text on logic,Q20450,,
Mahāvākyopaniṣad,महावाक्योपनिषद्,,,,Upanishads,Q27188,,
Raghuvaṃśaṭīkā,रघुवंशटीका,,Sañjīvanī (Raghuvaṃśa),,,,Sañjīvanī (Raghuvaṃśa),Q27685
Vande devam viṣṇum śeṣasthiti hetuṃ,वन्दे देवं विष्णुं शेषस्थिति हेतुं,,,,Devotional text,Q19956,,
Āśaucanirṇaya,आशौचनिर्णय,,,,Hindu religious manual,Q76774,,
Māghasnāna,माघस्नान,,,,Hindu ritual text,Q76765,,
Śabdakaustubha,शब्दकौस्तुभ,,,,Śabdakaustubha;Grammatical text,Q76782;Q6010,,
Prayogasāra,प्रयोगसार,,,,Hindu ritual text,Q76765,,
Indrākṣīstotra,इन्द्राक्षीस्तोत्र,Q27588,,,Puranas,Q27588,,
Nyāyabodhinī,न्यायबोधिनी,,,,Text on logic,Q20450,,
Kapilāṣaṣṭhīvidhāna,कपिलाषष्ठीविधान,,Puranas,,,,Puranas,Q27588
Kāmyeṣṭi,काम्येष्टि,,,,Hindu religious law,Q76769,,
Makaranda,मकरन्द,,Makarandasāranī,,,,Makarandasāranī,Q27676
Yogakuñjara,योगकुञ्जर,,,,Medical text,Q20372,,
Jñānamañjarī,ज्ञानमञ्जरी,,,,Astrological text,Q20378,,
Mahiṣīdānaprayoga,महिषीदानप्रयोग,,,,Hindu text,Q76770,,
Bṛhaspatiśānti,बृहस्पतिशान्ति,,,,Hindu ritual text,Q76765,,
Kālāmṛtivivṛti,कालामृतविवृति,,,,Astrological text,Q20378,,
Gurupaddhati natividhāna,गुरुपद्धति नतिविधान,,Puranas,,,,Puranas,Q27588
Śikṣā,शिक्षा,Q27788,,,Pāṇinīyaśikṣā,Q27788,,
Pañcaprakaraṇa,पञ्चप्रकरण,,,,Philosophical text,Q5996,,
Bṛhadāraṇyakopaniṣad,बृहदारण्यकोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Agastipurāṇa rāmanavamī vrata,अगस्तिपुराण रामनवमी व्रत,,,,Puranas,Q27588,,
Bṛhadāraṇyakārthadīpikā,बृहदारण्यकार्थदीपिका,,,,Upanishads,Q27718,,
Viṣṇusūkta,विष्णुसूक्त,,Vedas,,,,Vedas,Q27715
Dharmasindhu,धर्मसिन्धु,,,,Dharmasindhu,Q27761,,
Yajñaprāyaścittavivaraṇa,यज्ञप्रायश्चित्तविवरण,,,,Hindu ritual text,Q76765,,
Māṇḍūkyopaniṣadbhāṣyaṭīkā,माण्डूक्योपनिषद्भाष्यतीका,,,,Upanishads,Q27188,,
Pratiṣṭhāpaddhati,प्रतिष्ठापद्धति,,,,Hindu religious manual,Q76774,,
JayalakṣmīṭIkā,जयलक्ष्मीटीका,,,,Astrological text,Q20378,,
Cintāmaṇi,चिन्तामणि,,Tattvacintāmaṇi,,,,Tattvacintāmaṇi,Q27786
Athaviṣṇusahasranāmaprārambhaḥ,अथविष्णुसहरनामप्रारम्भः,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Harivaṃśoddyota,हरिवंशोद्द्योत,,,,Commentary on epic literature,Q76783,,
Hastāmalakastotra,हस्तामलकस्तोत्र,,,,Devotional text,Q19956,,
Āśvalāyanasmṛti,आश्वलायनस्मृति,,,,Hindu religious law,Q76769,,
Bulbul,बुलबुल,,,,Diagrams,Q76784,,
Śāstradīpikā,शास्त्रदीपिका,,,,Philosophical text,Q5996,,
Śrībhāvārthadīpikāyāṃ Śrīdharasvāmiviracitāyāṃ dvādaśaskandhe trayadaśo' dhyāyaḥ,श्रीभावार्थदीपिकायां श्रीधरस्वामिविरचितायां द्वादशस्कन्धे त्रयोदशो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Īśāvāsyabhāṣya,इशावास्यभाष्य,,Īśopaniṣadbhāṣya,,,,Īśopaniṣadbhāṣya,Q27658
Laukikaviṣayatāvāda,ळौकिकविषयतावाद,,,,Philosophical text,Q5996,,
Jaiminīyanyāyamālāvistara,जैमिनीयन्यायमालाविस्तर,,Nyāyamālāvistara,,,,Nyāyamālāvistara,Q27840
Kenopaniṣad,केनोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Darśana,दर्शन,,,,Picture book,Q76785,,
Kautukacintāmaṇi,कौतुकचिन्तामणि,,,,Medical text,Q20372,,
Gaṇeśāvatāravarṇana,गणेशावतारवर्णन,,Puranas,,,,Puranas,Q27588
Pretakalpa,प्रेतकल्प,,Puranas,,,,Puranas,Q27588
Kālacakra,कालचक्र,,,,Astronomical text,Q38381,,
Avayavagrantha,अवयवग्रन्थ,,Tattvacintāmaṇi,,,,Tattvacintāmaṇi,Q27786
Śiromaṇi,शिरोमणि,,Tattvacintāmaṇidīdhiti,,,,Tattvacintāmaṇidīdhiti,Q27835
Prauḍhamanoramā,प्रौढ्मनोरमा,,,,Prauḍhamanoramā,Q27572,,
Aśvatthodyāpanavidhi,अश्वत्थोद्यापनविधि,,,,Hindu ritual text,Q76765,,
Ucchiṣṭagaṇapatividhāna,उच्छिष्टगणपतिविधान,,,,Hindu religious text,Q76775,,
Karkaṭīvrata,कर्कटीव्रत,,Puranas,,,,Puranas,Q27588
Kālāgnirudropaniṣad,कालाग्निरुद्रोपनिषद्,,Puranas,,,,Puranas,Q27588
Siddhāntakaumudī,सिद्धान्तकौमुदी,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Ārṣeyarāmāyaṇa,आर्षेयरामायण,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Sāvitrīvrata,सावित्रीव्रत,,Vratārka,,,,Vratārka,Q27679
Advaitasiddhi,अद्वैतसिद्धि,,,,Advaitasiddhi,Q76786,,
Vibhaktivicāra,विभक्तिविचार,,,,Grammatical text,Q76787,,
Bhṛgūpaniṣadbhāṣyaṭippaṇa,भृगूपनिषद्भाष्यटिप्पण,,,,Commentary on Upanishads,Q76788,,
Upāṅgalalitāvrata,उपाङ्गललिताव्रत,,Puranas,,,,Puranas,Q27588
Svapnādhyāya,स्वप्नाध्याय,,,,Astrological text,Q20378,,
Navyamatavāda,नव्यमतवाद,,,,Philosophical text,Q5996,,
Anantavratakathā,अनन्तव्रतकथा,,Puranas,,,,Puranas,Q27588
Śvetāśvataropaniṣadvivaraṇa,श्वेताश्वतरोपनिषद्विवरण,,,,Upanishads,Q27188,,
Siddhāntabinduṭīkā,सिद्धान्तबिन्दुटीका,,Laghuvyākhyā,,,,Laghuvyākhyā,Q27769
Pañcakamaraṇavidhi,पञ्चकमरणविधि,,,,Hindu ritual text,Q76765,,
Saṃdhyāvandana,संध्यावन्दन,,,,Vedas,Q27715,,
Tithinirṇaya,तिथिनिर्णय,,,,Astronomical text,Q38381,,
Anekaprakarṇe,अनेकप्रकर्णे,,,,Hindu ritual text,Q76765,,
Siddhāntakaumudī,सिद्धान्तकौमुदी,,,,Siddhāntakaumudī,Q27632,,
Manīṣāpañcaka,मनीषापञ्चक,,,,Hindu text,Q76770,,
Mallārikavacastotra,मल्लारिकवचस्तोत्र,,Puranas,,,,Puranas,Q27588
Svātmānandaprakāśa,स्वात्मानन्दप्रकाश,,,,Philosophical text,Q5996,,
Śrībhāgavatabhāvārtharthadīpikāyāṃ Śrīdharasvāmīviracitāyāṃ prathamaskandhe ekonaviṃśatitamo'dhyāyaḥ,श्रीभागवतभावार्थदीपिकायां श्रीधरस्वामिविरचितायां प्रथमस्कन्धे एकोनविंशतितमो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Cintāmaṇiṭīkā,चिन्तामणिटीका,,,,Text on logic,Q20450,,
Athabhagavadgītāprārambhaḥ,अथभगवद्गीताप्रारम्भः,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Tattvabodhinī pūrvārdha,तत्त्वबोधिनी पूर्वार्ध,,,,Hindu commentary,Q76789,,
Anumitiparāmarśaya kāryakāraṇabhāvavicāra,अनुमितिपरामर्शय कार्यकारणभावविचार,,,,Text on logic,Q20450,,
Dvaitavivekaprakaraṇa,द्वैतविवेकप्रकरण,,Pañcadaśī,,,,Pañcadaśī,Q27684
Bhāgavatalakṣaṇa,भागवतलक्षण,,,,Bhāgavatalakṣaṇa,Q76790,,
Śuklakṛṣṇaikādaśīvrata,शुक्लकृष्णैकादशीव्रत,,,,Puranas,Q27588,,
Brahmānanda,ब्रह्मानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Navagrahayantravidhi,नवग्रहयन्त्रविधि,,,,Hindu religious manual,Q76774,,
Rāmagītā,रामगीता,,Puranas,,,,Puranas,Q27588
Pratyakṣakhaṇḍa,प्रत्यक्षखण्ड,,,,Philosophical text,Q5996,,
Mallārisahasranāma,मल्लारिसहस्रनाम,,Puranas,,,,Puranas,Q27588
Dhanyāṣṭakastotra,धन्याष्टकस्तोत्र,,,,Stotras,Q76780,,
Piṇḍaviśuddhivṛtti,पिण्डविशुद्धिवृत्ति,,,,Vṛtti,Q76767,,
Tristhalīsetu,त्रिस्थलीसेतु,,,,Tristhalīsetu,Q27781,,
Rudrasūktāni,रुद्रसूक्तानि,,,,Vedic text,Q76773,,
Sarvaprāyaścittaprayoga,सर्वप्रायश्चित्तप्रयोग,,,,Hindu ritual text,Q76765,,
Gaṇeśātharvaśīrṣaṃ,गणेशाथर्वशीर्षं,,,,Upanishads,Q27718,,
Sārakaumudī,सारकौमुदी,,,,Grammatical text,Q6010,,
Cāturmāsya,चातुर्मास्य,,,,Hindu ritual text,Q76765,,
Atmabodha,आत्मबोध,,,,Upanishads,Q27718,,
Saura,सौर,,,,Vedic text,Q76773,,
Gaṇeśārthavaśīrṣa,गणेशार्थवशीर्ष,,Upanishads,,,,Upanishads,Q27718
Śravaṇadvādaśīvrata,श्रवणद्वादशीव्रत,Q27588,,,Puranas,Q27588,,
Nyāyasiddhāntamañjarī,सिद्धान्तमञ्जरी,,,,Nyāyasiddhāntamañjarī,Q76791,,
Sarvānukramaṇī Vivaraṇa,,,,,Sarvānukramaṇī Vivaraṇa,Q76792,,
Hanumatsahasranāma,हनुमत्सहस्रनाम,,Rāmāyaṇa,,,,Ramayana,Q27562
Agnihotraprayoga,अग्निहोत्रप्रयोग,,,,Hindu ritual text,Q76765,,
Rāmagāyatrī,रामगायत्री,,,,Mantras,Q76777,,
MImāṃsāparibhāṣā,मीमांसापरिभाषा,,,,Philosophical text,Q5996,,
Pañcadaśī,पञ्चदशी,,,,Pañcadaśī,Q27684,,
Sarvamantrotkīlana,सर्वमन्त्रोत्कीलन,,,,Mantras,Q76777,,
Prādyupasarga,प्राद्युपसर्ग,,,,Grammatical text,Q6010,,
Prauḍhamanoramā,प्रौढमनोरमा,,,,Prauḍhamanoramā,Q27572,,
Rāmārcanacandrikā,,,,,,,,
Rudrākṣamantra,रुद्राक्षमन्त्र,,,,Hindu religious manual,Q76774,,
R̥gvedasamhitāṣṭaka 8,,,Vedas,,,,Vedas,Q27715
Muhūrtarāja,मुहूर्तराज,,,,Astrological text,Q20378,,
Saṃkrāntiprakaraṇa,संक्रान्तिप्रकरण,,,,Astrological text,Q20378,,
