place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Rome?, Italy",,,,Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080,Q123;Q134
"Toulouse?, France",,,,Toulouse;France,http://vocab.getty.edu/tgn/7008441;http://vocab.getty.edu/tgn/1000070,Q3659;Q122
"Bologna, Italy",,,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080,Q3087;Q134
Barga,,,,Barga,http://vocab.getty.edu/tgn/7006242,Q38151
"Macerata?, Italy",,,,Macerata;Italy,http://vocab.getty.edu/tgn/7004018;http://vocab.getty.edu/tgn/1000080,Q6977;Q134
"Valdenoceda?, Spain",,,,Valdenoceda;Spain,http://vocab.getty.edu/tgn/7299846;http://vocab.getty.edu/tgn/1000095,Q6978;Q129
Douai,,,,Douai,http://vocab.getty.edu/tgn/7008458,Q7793
Persia,,,,Persia,http://vocab.getty.edu/tgn/7024079,Q127
"Rettel, France",,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Upper Saxony,,,,Obersachsen,http://vocab.getty.edu/tgn/7114973,Q38271
Verona,,,,Verona,http://vocab.getty.edu/tgn/7003262,Q124
Arroya,,,,Castile-Leon,http://vocab.getty.edu/tgn/7001158,Q6992
Levington,,,,Levington,http://vocab.getty.edu/tgn/7463262,Q26525
Kraków and Malogoszcz,,,,Cracow;Świętokrzyskie Voivodeship,http://vocab.getty.edu/tgn/7007652;http://vocab.getty.edu/tgn/7024129,Q5004;Q4991
"Laon?, France",,,,Laon;France,http://vocab.getty.edu/tgn/7010220;http://vocab.getty.edu/tgn/1000070,Q4334;Q122
Fivizzano,,,,Fivizzano,http://vocab.getty.edu/tgn/1044626,Q6980
Mostburg,,,,,,
Volterra,,,,Volterra,http://vocab.getty.edu/tgn/7006305,Q5012
"Veneto?, Italy",,,,Veneto;Italy,http://vocab.getty.edu/tgn/7002997;http://vocab.getty.edu/tgn/1000080,Q811;Q134
between 1200 and 1399?,,,,,,
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Siena and Pavia,,,,Siena;Pavia,http://vocab.getty.edu/tgn/7011179;http://vocab.getty.edu/tgn/7006026,Q3651;Q4995
"Seville?, Spain",,,,Seville;Spain,http://vocab.getty.edu/tgn/7008676;http://vocab.getty.edu/tgn/1000095,Q3102;Q129
Castino,,,,Castino,http://vocab.getty.edu/tgn/7044382,Q7501
"Rovigo, Italy",,,,Rovigo;Italy,http://vocab.getty.edu/tgn/7003271;http://vocab.getty.edu/tgn/1000080,Q4989;Q134
France or Italy,,,,France;Italy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080,Q122;Q134
Gratz?,Graz,http://vocab.getty.edu/tgn/7003097,Q3650,,,
Toul,,,,Toul,http://vocab.getty.edu/tgn/7009506,Q8032
"Royaumont, France",,,,Royaumont;France,http://vocab.getty.edu/tgn/4009491;http://vocab.getty.edu/tgn/1000070,Q7510;Q122
Salamanca,,,,Salamanca,http://vocab.getty.edu/tgn/7008561,Q6987
"Bressanone, Italy",,,,Bressanone;Italy,http://vocab.getty.edu/tgn/7005433;http://vocab.getty.edu/tgn/1000080,Q6994;Q134
