File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-combined.csv,Gifts--France--History--14th century,0,a--z--x--y,,,,,Gifts;France;History;Fourteenth century,http://id.worldcat.org/fast/942628;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420,Q3614;Q152;Q6879;Q295
20250313-subjects-penn-marcxml-combined.csv,Gifts,fast,a,http://id.worldcat.org/fast/942628,,,,Gifts,http://id.worldcat.org/fast/942628,Q3614
20250313-subjects-penn-marcxml-combined.csv,France--History--14th century--Economic aspects,0,a--x--y--x,,,,,France;History;Fourteenth century,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420,Q152;Q6879;Q295
20250313-subjects-penn-marcxml-combined.csv,Pinerolo (Italy)--History,0,a--x,,,,,Italy--Pinerolo;History,http://id.worldcat.org/fast/1204926;http://id.worldcat.org/fast/958235,Q4911;Q6879
20250313-subjects-penn-marcxml-combined.csv,Dyes and dyeing--Early works to 1800,0,a--v,,,,,Dyes and dyeing;Early works,http://id.worldcat.org/fast/900233;http://id.worldcat.org/fast/1411636,Q270;Q300
20250313-subjects-penn-marcxml-combined.csv,Illumination of books and manuscripts--Early works to 1800,0,a--x,,,,,Illumination of books and manuscripts;Early works,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1411636,Q272;Q300
20250313-subjects-penn-marcxml-combined.csv,Illumination of books and manuscripts--Technique,0,a--x,http://id.loc.gov/authorities/subjects/sh2009126730,,,,Illumination of books and manuscripts--Technique,http://id.worldcat.org/fast/967242,Q4142
20250313-subjects-penn-marcxml-combined.csv,Illumination of books and manuscripts--Technique,fast,a--x,http://id.worldcat.org/fast/967242,,,,Illumination of books and manuscripts--Technique,http://id.worldcat.org/fast/967242,Q4142
20250313-subjects-penn-marcxml-combined.csv,Christian heresies--Early works to 1800,0,a--v,,,,,Christian heresies;Early works,http://id.worldcat.org/fast/1727964;http://id.worldcat.org/fast/1411636,Q4837;Q300
20250313-subjects-penn-marcxml-combined.csv,Waldenses--Early works to 1800,0,a--v,,,,,Waldenses;Early works,http://id.worldcat.org/fast/1170022;http://id.worldcat.org/fast/1411636,Q7396;Q300
20250313-subjects-penn-marcxml-combined.csv,Waldenses,fast,a,http://id.worldcat.org/fast/1170022,,,,Waldenses,http://id.worldcat.org/fast/1170022,Q7396
