File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-named-subjects-penn-marcxml-combined.csv,"Süleyman I, Sultan of the Turks, 1494 or 1495-1566",0,a;b;c;d,http://id.loc.gov/authorities/names/n80056904,,,,"Süleyman I, Sultan of the Turks, 1494 or 1495-1566",http://id.worldcat.org/fast/1849701,Q4311
20250313-named-subjects-penn-marcxml-combined.csv,"Süleyman I, Sultan of the Turks, 1494 or 1495-1566",fast,a;b;c;d,http://id.worldcat.org/fast/1849701,,,,"Süleyman I, Sultan of the Turks, 1494 or 1495-1566",http://id.worldcat.org/fast/1849701,Q4311
20250313-named-subjects-penn-marcxml-combined.csv,"Bible. John--Criticism, interpretation, etc.--Early works to 1800",0,a;p--x--v,,,,,Bible. John;Criticism and interpretation;Early works,http://id.worldcat.org/fast/1696638;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q4214;Q292;Q300
20250313-named-subjects-penn-marcxml-combined.csv,"Buondelmonti, Giovanni de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Fioravante, Francesco",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Gherardi, Bernardo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Gherardi, Gherardo, 1891-1949",0,a;d,http://id.loc.gov/authorities/names/no97034548,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Baldo, Vestro di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Baldo, Antonio di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Chimente, Andrea di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Piccolomini, Bonaventura d'Andrea Guiderne Blasii",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Pieri, Bartolomeo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Truffaldi, Branca",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Buonamici, Giovanni Francesco",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Guglielmo, Antonio di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Novi, Lisa di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Benedict, Saint, Abbot of Monte Cassino. Regula",0,a;c;t,http://id.loc.gov/authorities/names/n81026379,,,,"Regula (Benedict, Saint, Abbot of Monte Cassino)",http://id.worldcat.org/fast/1357012,Q7145
20250313-named-subjects-penn-marcxml-combined.csv,"Arbalet, Jean",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Foix, Pierre de, 1386-1464",0,a;d,http://id.loc.gov/authorities/names/n78001791,,,,"Foix, Pierre de, 1386-1464",http://id.worldcat.org/fast/21749,Q8021
20250313-named-subjects-penn-marcxml-combined.csv,"Foix, Pierre de, 1386-1464",fast,a;d,http://id.worldcat.org/fast/21749,,,,"Foix, Pierre de, 1386-1464",http://id.worldcat.org/fast/21749,Q8021
20250313-named-subjects-penn-marcxml-combined.csv,Catholic Church--Administration,0,a--x,,,,,Catholic Church;Administration,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1351613,Q310;Q6907
20250313-named-subjects-penn-marcxml-combined.csv,Catholic Church--Clergy,0,a--x,http://id.loc.gov/authorities/subjects/sh85021071,,,,Catholic Church;Clergy,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/864014,Q310;Q4141
20250313-named-subjects-penn-marcxml-combined.csv,"Alexander, the Great, 356 B.C.-323 B.C.--Romances",0,a;c;d--v,,,,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856,Q3018;Q4307
20250313-named-subjects-penn-marcxml-combined.csv,"Otto I, Holy Roman Emperor, 912-973",0,a;b;c;d,http://id.loc.gov/authorities/names/n82136785,,,,"Otto I, Holy Roman Emperor, 912-973",http://id.worldcat.org/fast/100265,Q8017
20250313-named-subjects-penn-marcxml-combined.csv,"Otto I, Holy Roman Emperor, 912-973",fast,a;b;c;d,http://id.worldcat.org/fast/100265,,,,"Otto I, Holy Roman Emperor, 912-973",http://id.worldcat.org/fast/100265,Q8017
20250313-named-subjects-penn-marcxml-combined.csv,"Aleramo, Marquis of Monferrato, -967",0,a;c;d,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Cueva y de Castilla, Beltrán III de la, Duke of Alburquerque, -1612",0,a;c;d,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Falcucci, Nastasia",0,a,,,,,,,
