title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Sefer Peliʾata le-Marḳah /,ספר פליאתה למרקה,Memar Marqa,,Hebrew text,Q75984,,
Seliḥot,,Seliḥot,,Seliḥot,Q76013,,
Writing exercise,,,,Writing exercise,Q3679,,
Sephardic Pentateuch,תורה ספרדית,Bible,"תנ""ך",Pentateuch,Q10847,,
"Business Letter to ʻArus ben Joseph, Fustat",,,,Letter,Q1454,,
"Commentary on the Torah, Genesis 41:8-23",,Perush Rashi `al ha-Torah,,Torah commentary,Q44107,,
Hilkhot sheḥiṭah [bediḳah u-ṭerefot,הלכות שחיטה בדיקה וטרפות,,,Hilkhot sheḥiṭah,Q76017,,
"Maḥazor, Erets Yiśreʾeli rite, Shemini ʹatseret",,Maḥzor (Palestinian rite),,Maḥzor,Q3712,,
Judeo-Arabic commentary on Daniel 9-12 ; Judeo-Arabic essay on messianic eras,,,,Torah commentary,Q44107,,
A Samaritan prayer book with special Sabbath prayers,,Siddur,,Siddur,Q40025,,
Radd 'ala al-Yahud,,,,Hebrew text,Q75984,,
"Dirges, part of a funeral service",,Zidduk ha-din,,Lamentations,Q75996,,
Azharah,,Azharot,,Hebrew text,Q75984,,
Marʼeh ha-ofanim] ... [etc.,,Sphaera mundi,,Sphaera mundi,Q366,,
"Sefer ha-Eshkol, Tefilin",,Menaḥot,,Hebrew text,Q75984,,
"Mishneh Torah, Sefer madaʻ, Hilkhot ʹavodah zarah, I (selections)",,Hilkhot ʹavodat kokhavim ṿe-ḥuḳotehem,,Mishneh Torah,Q39762,,
Part of the ʹArukh by Natan ben Jeḥiʾel of Rome,,ʹArukh,,ʹArukh,Q76597,,
Liturgical poems for mourners,,,,Liturgical poems,Q76594,,
Ḳeṭaʻa shel sefer ha-Yerushot,קטע של ספר הירושות,Kitāb al-muarit,,Legal text;Book of inheritance,Q8041;,,
Poetic supplement for Grace after meals,,Grace after meals,,Prayers,Q798,,
Samaritan prayer book for the seven month and holidays,,Siddur,,Siddur,Q40025,,
Instructions and texts for bethrothal and wedding ceremony in Judeo-Arabic,,Siddur (Sephardic),,Siddur,Q40025,,
Collected poems In Hebrew and Judeo-Arabic,,,,Poetry,Q1330,,
Collected liturgical poems in honor of the bridegroom,,,,Liturgical poems,Q76594,,
Samaritan manuscript,,,,Samaritan text,Q76593,,
"Mishnah, Nedarim 9:10-Nazir 3:2",,Mishnah,,Mishneh Torah,Q39762,,
Hymn,,,,Hymns,Q3715,,
Kitāb al-Kāfi /,,,,Hadith,Q76598,,
Commentary on Genesis 31:50-32:2,,,,Torah commentary,Q44107,,
Haggadah for Passover (an improvisational version),,Haggadah,,Haggadah,Q44103,,
"Torah Scroll, Leviticus 16:3-18:1",,Bible,,Torah,Q42434,,
Seliḥot; rite of Provence,סליחות,Seliḥot,סליחות,Seliḥot,Q76013,,
Psalms 106:5-107:37; Psalms 118:29-119:86,,Bible,,Psalms;Bible,Q5972;Q661,,
Medical and magical compilation,,,,Medical texts,Q817,,
Letter to a benefactor,,,,Letter,Q1454,,
"Letter to Abu Zikhri ben Abu'l-Faraj, Fustat and Qalyub",,,,Letter,Q1454,,
"Hilkhot Reʾu, Ḳidushin",,Halakhot pesuḳot,,Hebrew text,Q75984,,
Judeo-Arabic medical textbook,,,,Medical texts,Q817,,
Genealogical list from Ezra to Adam,,,,Bible genealogies,Q800,,
Samaritan prayer book for the feast of Pentecost,צלות לילת מועד חג הקציר ...,Maḥzor,,Maḥzor,Q3712,,
Dirges for the Ninth of Av,,Kinot,,Lamentations,Q75996,,
"Note to a Judge ʻAli, Nazir ha-maśkilim",,,,Hebrew text,Q75984,,
Memorial list of Fustat notables,,,,List of names,Q7419,,
Fragment of a Psalter with Kimhi's commentary,"קטע מתהלים עם פירוש רד""ק",Bible,"תנ""ך",Hebrew commentary,Q75988,,
Shesh kenafayim,,,,,,Shesh kenafayim,Q345
Account note page,,,,Accounts,Q7851,,
Astronomical anthology,,,,,,Astronomical texts,Q3129
Ketubah; Gibraltar,כתובה,,,Ketubah,Q76000,,
"Part of a code on Jewish ritual, includes various prayers with texts, and obligations pertaining to food",,Siddur (Saadia ben Joseph),,Siddur,Q40025,,
"Letter to Moses Abu-l'Ḥai, Fustat",,,,Letter,Q1454,,
Commentary on Ghazzālīs Maqāṣid al-falāsifah and Hebrew translation.,,,,Hebrew commentary,Q75988,,
Classified List of remedies,,,,Medical texts,Q817,,
Dirges,,,,Lamentations,Q75996,,
"Manuscript leaf of most of Deuteronomy XV, 6-XVI, 10, with Masorah",קטע דברים,Bible,,,,Bible,Q661
Part of the Hagadah for Passover,,Haggadah,,Haggadah,Q44103,,
"Mishnah, Avot 1:6-2:3",,Mishnah,,Mishneh Torah,Q39762,,
Ḳedushta for Shavuot,,,,Hebrew text,Q75984,,
"Part of Saʻadia Gaon's translation of the Pentateuch, Leviticus 26:34-44",,Bible,,Book of Leviticus;Torah,Q38395;Q42434,,
