subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Ninth of Av--Liturgy--Texts--Manuscripts,0,a--x--v--x,,Ninth of Av--Liturgy;Texts;Manuscripts,http://id.worldcat.org/fast/1037857;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1008230,Q75469;Q3066;Q38609,,,
Manuscripts,fast,a,http://id.worldcat.org/fast/1008230,,,,Manuscripts,http://id.worldcat.org/fast/1008230,Q38609
Dreams--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2009123574,,,,Dreams;Early works,http://id.worldcat.org/fast/1198490;http://id.worldcat.org/fast/1411636,Q74867;Q300
Dreams,fast,a,http://id.worldcat.org/fast/1198490,Dreams,http://id.worldcat.org/fast/1198490,Q74867,,,
Witnesses,fast,a,http://id.worldcat.org/fast/1176383,Witnesses,http://id.worldcat.org/fast/1176383,Q76491,,,
Czech Republic--Slavkov u Brna,fast,a--z,http://id.worldcat.org/fast/1268592,Czech Republic--Slavkov u Brna,http://id.worldcat.org/fast/1268592,Q76517,,,
Actions and defenses--18th century,0,a--y,,Actions and defenses;Eighteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/904058,Q7485;Q3024,,,
Witnesses--Religious aspects,0,a--x,,Witnesses,http://id.worldcat.org/fast/1176383,Q76491,,,
Jewish merchants--Germany--Berlin--18th century--Correspondence,0,a--z--z--y--v,,Jewish merchants;Germany--Berlin;Eighteenth century;Correspondence,http://id.worldcat.org/fast/982853;http://id.worldcat.org/fast/1204829;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/2003288,Q76370;Q75259;Q3024;Q5829,,,
Jewish merchants--Czech Republic--Slavkov u Brna--18th century--Correspondence,0,a--z--z--y--v,,Jewish merchants;Czech Republic--Slavkov u Brna;Eighteenth century;Correspondence,http://id.worldcat.org/fast/982853;http://id.worldcat.org/fast/1268592;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/2003288,Q76370;Q76517;Q3024;Q5829,,,
