language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Latin, with calendar in French (f. 1r-12v)",,,,,Latin;French,Q397;Q150,Q113;Q111
Provençal,,,,,Provençal,Q241243,Q7801
"Italian, with a short work in Latin (f. 26r-30v)",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"In Latin, with some documents in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
Old French,,,,,Old French,Q35222,Q3106
Italian; possibly in the Florentine vernacular,,,,,Italian;Florentine,Q652;Q5460907,Q116;Q7216
"Latin, with some rubrics and directions in French",,,,,Latin;French,Q397;Q150,Q113;Q111
ita,,,,,Italian,Q652,Q116
"Catalan, with prologue in Latin",,,,,Catalan;Latin,Q7026;Q397,Q1316;Q113
French,,,,,French,Q150,Q111
Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
"Latin, with occasional words in Greek",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
Hebrew; introduction in Italian,,,,,Hebrew;Italian,Q9288;Q652,Q117;Q116
"German, with Latin phrases",,,,,German;Latin,Q188;Q397,Q112;Q113
"Italian, with Greek on flyleaves",,Italian;Greek,Q652;Q9129,Q116;Q1318,,,
Italian with a short section in Latin (f. 49r-49v),,,,,Italian;Latin,Q652;Q397,Q116;Q113
In French,,,,,French,Q150,Q111
"In German, with Latin phrase",,,,,German;Latin,Q188;Q397,Q112;Q113
"Latin, with a poem in Middle English",,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
"In Italian, with first paragraph and notarial signature in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with some passages in German (f. 10v, 20v-21r, 40v-43v, 83v-84v, 91r-93v) and Czech (f. 11v, 26v-28v)",,,,,Latin;German;Czech,Q397;Q188;Q9056,Q113;Q112;Q3107
"Latin, with one inscription in Hebrew (f. 20r)",,,,,Latin;Hebrew,Q397;Q9288,Q113;Q117
Greek,,,,,Greek,Q9129,Q1318
Added notes in Italian (Volume 1),,,,,Italian,Q652,Q116
eng,,,,,English,Q1860,Q109
"Latin, with annotations in Latin and Greek",,,,,Latin;Latin;Greek,Q397;Q397;Q9129,Q113;Q113;Q1318
"Latin, with some Italian (f. 5r-7v, 13r-15v, 46r-51v) and Spanish (f. 9r-11v)",,,,,Latin;Italian;Spanish,Q397;Q652;Q1321,Q113;Q116;Q114
Italian and Spanish,,,,,Italian;Spanish,Q652;Q1321,Q116;Q114
"Hebrew, with occasional notes in Italian (f. 22r, 24v, 26v, 27v, 82v, 83v)",,,,,Hebrew;Italian,Q9288;Q652,Q117;Q116
"Latin, with some Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin with occasional words in Greek (f. 21r, 134v)",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
In Italian,,,,,Italian,Q652,Q116
"Middle French, with verses in Old French",,,,,Middle French;Old French,Q1473289;Q35222,Q110;Q3106
Ancient Greek,,,,,Ancient Greek,Q35497,Q3103
"Italian, with some Latin, most frequently for the openings and closings of documents",,,,,Italian;Latin,Q652;Q397,Q116;Q113
In Spanish,,,,,Spanish,Q1321,Q114
Low German,,,,,Low German,Q25433,Q5013
"Latin, with a few words in Middle English",,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
"Italian, with a few headings, etc. in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with two recipes in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"French, with citations and margin notes in Latin",,,,,French;Latin,Q150;Q397,Q111;Q113
"Latin, with words transcribed from Arabic",,,,,Latin;Arabic,Q397;Q13955,Q113;Q118
"Middle English, with some Latin notations",,,,,Middle English;Latin,Q36395;Q397,Q119;Q113
Ottoman Turkish with some Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
"Italian (Venetian dialect), with three recipes in Latin (f. 17r)",,,,,Italian;Venetian;Latin,Q652;Q32724;Q397,Q116;Q3662;Q113
"Italian, with a preface in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"In Italian, with some letters to Donato Acciaiuoli in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Middle French, with some sections in Latin (f. 77r-81v, 85v-87r, 93r-98r, 137v, 141r)",,,,,Middle French;Latin,Q1473289;Q397,Q110;Q113
"In Italian, Latin, and Spanish",,,,,Italian;Latin;Spanish,Q652;Q397;Q1321,Q116;Q113;Q114
"Latin, with occasional Greek terms. Blank spaces left for other Greek terms",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
Hebrew and Latin,,,,,Hebrew;Latin,Q9288;Q397,Q117;Q113
In German,,,,,German,Q188,Q112
Aramaic,,,,,Aramaic,Q28602,Q3663
"Latin, with a few words in Spanish (f. 7r)",,,,,Latin;Spanish,Q397;Q1321,Q113;Q114
"Italian, with a few items in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with one work in German (f. 167r-167v)",,,,,Latin;German,Q397;Q188,Q113;Q112
"Latin, with Middle French notations in margins",,,,,Latin;Middle French,Q397;Q1473289,Q113;Q110
"Italian, in the Venetian dialect; list of indulgences in Latin (f. 56r-61v)",,,,,Italian;Venetian;Latin,Q652;Q32724;Q397,Q116;Q3662;Q113
"Italian, with colophon in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with Low German prayers and interlinear translations interspersed throughout",,,,,Latin;Low German,Q397;Q25433,Q113;Q5013
"English, with some notes in Latin and occasional words in Greek",,,,,English;Latin;Greek,Q1860;Q397;Q9129,Q109;Q113;Q1318
"Italian, with first item and some titles in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
Dutch,,,,,Dutch,Q7411,Q793
"Latin, with some Greek",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Italian, with some Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with weekday devotions in Italian (f. 129-133)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
German with Latin calendar and colophon,,,,,German;Latin,Q188;Q397,Q112;Q113
"Latin, with a few words in Greek in notes and passages in Greek in printed text",,,,,Latin;Greek;Greek,Q397;Q9129;Q9129,Q113;Q1318;Q1318
Middle French and Latin,,,,,Middle French;Latin,Q1473289;Q397,Q110;Q113
"Mostly in German, with significant sections of the text in Latin. Some notations on the front and back end-leaves (dating from later than the text itself) are in Latin",,,,,German;Latin;Latin,Q188;Q397;Q397,Q112;Q113;Q113
"Spanish, with some Latin",,,,,Spanish;Latin,Q1321;Q397,Q114;Q113
Latin and Spanish,,,,,Latin;Spanish,Q397;Q1321,Q113;Q114
"In Italian, with a few lines in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
In Greek,,,,,Greek,Q9129,Q1318
"In Latin, with a few words in Middle English",,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
Middle English and Latin,,,,,Middle English;Latin,Q36395;Q397,Q119;Q113
ger,,,,,German,Q188,Q112
"Latin (f. 1r-56v), with some Spanish (f. 78r-169v) and sections of German",,,,,Latin;Spanish;German,Q397;Q1321;Q188,Q113;Q114;Q112
"Italian, with one note in Latin and Italian",,,,,Italian;Latin;Italian,Q652;Q397;Q652,Q116;Q113;Q116
"Italian, Latin, and Spanish",,,,,Italian;Latin;Spanish,Q652;Q397;Q1321,Q116;Q113;Q114
Latin with Spanish notes at the end,,,,,Latin;Spanish,Q397;Q1321,Q113;Q114
"Arabic, with some Persian",,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
"Italian, with headings and occasional marginal notes in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin and Italian, with a few words in Greek",,,,,Latin;Italian;Greek,Q397;Q652;Q9129,Q113;Q116;Q1318
"Latin, except for one document in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
Ethiopic,,,,,Ge'ez,Q35667,Q3664
"Latin, with a few notes in German",,,,,Latin;German,Q397;Q188,Q113;Q112
"Latin, with words and names in Ancient Greek and Hebrew",,,,,Latin;Ancient Greek;Hebrew,Q397;Q35497;Q9288,Q113;Q3103;Q117
"Italian, in the Northeastern (Venetian?) vernacular",,,,,Italian;Venetian,Q652;Q32724,Q116;Q3662
"Latin, with first item in Italian (f. 2r-68r)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with the final poem in Italian (f. 16v)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with title and final words in Greek and notes inside the covers in Greek and Italian",,,,,Latin;Greek;Greek;Italian,Q397;Q9129;Q9129;Q652,Q113;Q1318;Q1318;Q116
"German, with chapter and closing rubrics in Latin",,,,,German;Latin,Q188;Q397,Q112;Q113
Latin with rubrics in German and later additions in Latin and German,,,,,Latin;German;Latin;German,Q397;Q188;Q397;Q188,Q113;Q112;Q113;Q112
"Judeo-Arabic, with a brief work in Hebrew (f. 25r-39v); notes in Samaritan (f. 1v-7v, 21r-22v, 3 bifolia laid in after f. 22v, marginal notes as on f. 281v), Arabic (f. 1r, marginal notes on Samaritan bifolia), and Latin letters (f. 20v, 25v, 238r, 239v)",,,,,Judeo-Arabic;Hebrew;Samaritan Aramaic;Arabic;Latin,Q37733;Q9288;Q56612;Q13955;Q397,Q38106;Q117;Q6995;Q118;Q113
"Italian, with a few copies in Latin and Spanish",,,,,Italian;Latin;Spanish,Q652;Q397;Q1321,Q116;Q113;Q114
In Latin with extensive rubrics in German,,,,,Latin;German,Q397;Q188,Q113;Q112
Middle English,,,,,Middle English,Q36395,Q119
"Latin, with quotations in Greek",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
gmh,,,,,Middle High German,Q837985,Q115
"Latin, with a few sentences in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with a Hebrew alphabet and a few Hebrew words (f. 95v)",,,,,Latin;Hebrew;Hebrew,Q397;Q9288;Q9288,Q113;Q117;Q117
"Latin, with calendar (f. 1r-12v), the Fifteen joys (f. 72v-75r), and a suffrage of Saint Bernard (f. 106r-106v) in Middle French",,,,,Latin;Middle French,Q397;Q1473289,Q113;Q110
"Latin, with later additions in German",,,,,Latin;German,Q397;Q188,Q113;Q112
"In Latin, with some Hungarian and Turkish",,,,,Latin;Hungarian;Turkish,Q397;Q9067;Q256,Q113;Q4336;Q4337
"Latin, with table of contents and later additions in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Middle English, passages in Latin",,,,,Middle English;Latin,Q36395;Q397,Q119;Q113
cze,,,,,Czech,Q9056,Q3107
"English, with many works translated from Latin and retaining Latin titles",,,,,English;Latin;Latin,Q1860;Q397;Q397,Q109;Q113;Q113
French and German,,,,,French;German,Q150;Q188,Q111;Q112
"Provençal, Occitan (modern Provençal), and one document in Latin",,,,,Provençal;Occitan;Latin,Q241243;Q14185;Q397,Q7801;Q4338;Q113
"Latin, with French translation",,,,,Latin;French,Q397;Q150,Q113;Q111
"English, with a few words in Latin",,,,,English;Latin,Q1860;Q397,Q109;Q113
"Middle High German, with one prayer in Latin (f. 8r)",,,,,Middle High German;Latin,Q837985;Q397,Q115;Q113
"Greek, with Greek and Latin annotations",,,,,Greek;Greek;Latin,Q9129;Q9129;Q397,Q1318;Q1318;Q113
"Latin, with a few lines in German",,,,,Latin;German,Q397;Q188,Q113;Q112
"In Latin, with the words of the bride and groom and the note of the bride's brother in Middle English",,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
Armenian,,,,,Armenian,Q8785,Q792
"Latin, with some lines of Greek",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Latin, with many 16th- and 17th-century entries and marginalia in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with some Italian passages",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Italian, with short introduction in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Hebrew, with one interlinear glossed word in Latin (f. 54r)",,,,,Hebrew;Latin,Q9288;Q397,Q117;Q113
"Italian, with one prayer in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
heb,,,,,Hebrew,Q9288,Q117
Italian; mottoes or epitaphs in Latin,,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Italian, with occasional phrases in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with a few poems in Italian (f. 106r-108v)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"In Latin, with brief endorsements in Middle English",,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
"Latin, with 23 letters from Gregory XI in French",,,,,Latin;French,Q397;Q150,Q113;Q111
Ladino,,,,,Judaeo-Spanish,Q36196,Q7217
Middle High German,,,,,Middle High German,Q837985,Q115
"Latin, with Greek word ""telos"" (f. 24v)",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Italian, last item in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Mostly German, with benedictions in Latin (f. 22v-23r)",,,,,German;Latin,Q188;Q397,Q112;Q113
"Italian, with a few words in Greek",,,,,Italian;Greek,Q652;Q9129,Q116;Q1318
"Latin, with several items in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"In Italian, with some Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Arabic, with commentary in Ottoman Turkish",,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
"Italian, with short ""Missa"" text at end in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
In Hebrew,,,,,Hebrew,Q9288,Q117
"Latin, with chart of Greek letters and diphthongs (f. 11r)",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Latin, with a few marginal notes in French",,,,,Latin;French,Q397;Q150,Q113;Q111
In Latin and Middle French,,,,,Latin;Middle French,Q397;Q1473289,Q113;Q110
"Latin, with passages in Spanish, Italian, Sicilian dialect, and Catalan",,,,,Latin;Spanish;Italian;Sicilian;Catalan,Q397;Q1321;Q652;Q33973;Q7026,Q113;Q114;Q116;Q6996;Q1316
In Spanish with two quotations in Latin (f. 3v),,,,,Spanish;Latin,Q1321;Q397,Q114;Q113
"Spanish, with heading in Latin",,,,,Spanish;Latin,Q1321;Q397,Q114;Q113
enm,,,,,Middle English,Q36395,Q119
"In English, with endorsement in Latin",,,,,English;Latin,Q1860;Q397,Q109;Q113
"In Latin, with some Italian (f. 1r)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Middle High German, with some headings and sections in Latin",,,,,Middle High German;Latin,Q837985;Q397,Q115;Q113
"In Latin, with some documents in Italian and Spanish",,,,,Latin;Italian;Spanish,Q397;Q652;Q1321,Q113;Q116;Q114
Latin with some rubrics in Middle English,,,,,Latin;Middle English,Q397;Q36395,Q113;Q119
"German, with some letters in Latin",,,,,German;Latin,Q188;Q397,Q112;Q113
"In Latin, with a few words in Greek",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Plant names in Latin, with a few words in Italian (f. 2r-53v); texts about Morocco in English, Spanish, and Latin (54r-97v); glossary of words in Arabic, Spanish, and Latin (f. 98r-101r)",,,,,Latin;Italian;English;Spanish;Latin;Arabic;Spanish;Latin,Q397;Q652;Q1860;Q1321;Q397;Q13955;Q1321;Q397,Q113;Q116;Q109;Q114;Q113;Q118;Q114;Q113
"Predominant work in Hebrew (p. 19-234), with shorter works in Judeo-Arabic",,,,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106
"Italian, in the Tuscan dialect",,,,,Italian;Tuscan,Q652;Q1990745,Q116;Q3661
"Provençal (f. 1-13, 25-26) and Old French (f. 14-23)",,,,,Provençal;Old French,Q241243;Q35222,Q7801;Q3106
fre,,,,,French,Q150,Q111
"Latin, Middle French, and some words in Middle English (f. 214v)",,,,,Latin;Middle French;Middle English,Q397;Q1473289;Q36395,Q113;Q110;Q119
"Latin, with frequent Greek words",,,,,Latin;Greek,Q397;Q9129,Q113;Q1318
"Italian, with a few words in Friulian (northeastern Italian) dialect",,,,,Italian;Italian,Q652;Q652,Q116;Q116
Latin with German interlinear glosses and translations,,,,,Latin;German,Q397;Q188,Q113;Q112
In Old French,,,,,Old French,Q35222,Q3106
Middle English; some works in Latin,,,,,Middle English;Latin,Q36395;Q397,Q119;Q113
"German, with Latin and Hebrew",,,,,German;Latin;Hebrew,Q188;Q397;Q9288,Q112;Q113;Q117
Latin (f. 1r-5r) and Italian with rubrics in Latin (f. 5v-20r),,,,,Latin;Italian,Q397;Q652,Q113;Q116
Latin and Middle High German,,,,,Latin;Middle High German,Q397;Q837985,Q113;Q115
Latin and German (lower Alemannic with middle German idioms),,,,,Latin;German;Central German,Q397;Q188;Q704841,Q113;Q112;Q3105
"Latin, with one later page in Italian (pasted-in note following f. 66)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
In Catalan,,,,,Catalan,Q7026,Q1316
"In Italian, with two leaves in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"In Italian, with 1 document each in Latin and Spanish",,,,,Italian;Latin;Spanish,Q652;Q397;Q1321,Q116;Q113;Q114
"Italian, some of the letters are in Spanish",,,,,Italian;Spanish,Q652;Q1321,Q116;Q114
In Middle English,,,,,Middle English,Q36395,Q119
"English, with a fragment from a document in Latin (f. 76-78)",,,,,English;Latin,Q1860;Q397,Q109;Q113
"Latin, with articles and prayers in Polish",,,,,Latin;Polish,Q397;Q809,Q113;Q5014
"Latin, with one document in French",,,,,Latin;French,Q397;Q150,Q113;Q111
"Italian, with a few words in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin, with notes on original cover in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with a few leaves in German",,,,,Latin;German,Q397;Q188,Q113;Q112
"Old French, last section has some Latin",,,,,Old French;Latin,Q35222;Q397,Q3106;Q113
"Latin, with marginal notes and accounts in French",,,,,Latin;French,Q397;Q150,Q113;Q111
"Latin, with a few short sections in Italian (p. 169-174)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
In Valencian Catalan,,,,,Valencian,Q32641,Q8381
"Italian and Latin, with two documents in French",,,,,Italian;Latin;French,Q652;Q397;Q150,Q116;Q113;Q111
"Italian, with three documents in Latin (f.7-8 and f.37)",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"Latin (f. 1r-77r, and table of contents, f. 88v) and French (f. 77v-88v)",,,,,Latin;French,Q397;Q150,Q113;Q111
Latin and Old French,,,,,Latin;Old French,Q397;Q35222,Q113;Q3106
"Italian, with one letter in Spanish",,,,,Italian;Spanish,Q652;Q1321,Q116;Q114
"Condition in Middle English, obligation in Latin, and later summary in English",,,,,Middle English;Latin;English,Q36395;Q397;Q1860,Q119;Q113;Q109
