material_as_recorded,authorized_label,structured_value,ds_qid_uri
"""parchment, music, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, music""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, music (diastematic neumes)""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, orn, decorated initials""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, orn, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, orn, initial""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, orn: drawing: eagle""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, ornamented initial, penwork""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, orn initial""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, paper""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment (9 paper)""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment (framed)""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment and paper, color illustrations, music""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment and paper, color illustrations""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment and paper, ill""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment and paper, illustrations""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""parchment and paper""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q33;https://catalog.digital-scriptorium.org/entity/Q31
"""rag paper""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
