title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Zubdat al-Favāʼid,,,,,,Zubdat al-Favāʼid,Q51749
Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,,,,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,Q51750
Risālah dar karāmāt va manāqib-i Khvājah Aḥmad va Quṭb al-Dīn Mawdūd Chishtī,,,,,,Risālah dar karāmāt va manāqib-i Khvājah Aḥmad va Quṭb al-Dīn Mawdūd Chishtī,Q51751
Kifāyat al-taʻlīm dar ṣināʻat-i tanjīm,,,,,,Kifāyat al-taʻlīm dar ṣināʻat-i tanjīm,Q51752
Kanz al-lughāt,,,,,,Kanz al-lughāt,Q20030
Tārīkh-i Vaṣṣāf,,,,,,Tārīkh-i Vaṣṣāf,Q51704
Tārīkh-i Jahangushā-yi Nādirī,,Tārīkh-i Nādirī,,,,Tārīkh-i Nādirī,Q18592
Dīvān,,,,Dīwān,Q11912,,
Faz̤āʾil-i Madīnah-i munavvarah,,,,,,Faz̤āʾil-i Madīnah-i munavvarah,Q18432
Kitāb-i Mawlānā al-Rūmī,,,,,,Mawlānā,Q51753
al-Faraj baʻda al-shiddat va al-z̤īqah,,Faraj baʻda al-shiddah,,,,Faraj baʻda al-shiddah,Q18412
Muhaz̲z̲ab al-asmāʼ fī maʻrifat al-ashiyāʼ,,,,,,Muhaz̲z̲ab al-asmāʼ fī maʻrifat al-ashiyāʼ,Q51754
Ṣubḥat al-abrār,,Haft awrang,,,,Haft Awrang,Q27579
Surūr al-maḥbūsīn,,,,,,Surūr al-maḥbūsīn,Q51755
Tārīkh-i nigāristān,,,,,,Tārīkh-i nigāristān,Q51756
Dīvān,,Poems,,Dīwān,Q11912,,
Bāb-i namāz-i shab az Miftāḥ al-falāḥ,,Miftāḥ al-falāḥ,,,,Miftah al-falah,Q51757
Inshāʾ-i Mādhū Rām,,Correspondence,,,,Correspondence,Q38385
Zīj-i tāliʻ-i farzand-i Pīr Aḥmad Sānī,,,,,,Zīj-i tāliʻ-i farzand-i Pīr Aḥmad Sānī,Q51758
Taz̲kirat al-shuʻarāʼ,,,,,,Taz̲kirat al-shuʻarāʼ,Q51759
Irshād al-muʼminīn,,,,,,Irshād al-muʼminīn,Q51760
Dar bayān-i maṣāliḥ-i gulūlah va aqsām-i bārūt,,,,,,Dar bayān-i maṣāliḥ-i gulūlah va aqsām-i bārūt,Q18619
Mavāhib-i ʻalīyah,,,,,,Mavāhib-i ʻalīyah,Q51687
Zīj-i Ulūgh Bayg,,,,,,Zīj-i Ulūgh Bayg,Q51761
"Tuḥfat-i is̲nā ʻasharīyah; yā, Naṣīḥat al-muʼminīn va faz̤iḥat al-shayāṭīn",,,,,,Tuḥfat-i is̲nā ʻasharīyah,Q51762
Rawz̤at al-ṣafā,,,,,,Rawz̤at al-ṣafāʼ,Q48522
Fatḥ al-mujāhidīn,,,,,,Fatḥ al-mujāhidīn,Q18381
Anvār nāmah,,,,,,Anvār nāmah,Q39522
Risālah dar ādāb al-salāṭīn,,,,,,Risālah dar ādāb al-salāṭīn,Q51763
Majmūʻah-i risālāt,,Works,,,,Works,Q5989
Mudām-i jān fazā dar sharḥ-i Jām-i jahānʹnumā,,,,,,Mudām-i jān fazā dar sharḥ-i Jām-i jahānʹnumā,Q51764
Qiṣaṣ al-anbiyāʼ,,,,,,Qisas al-anbiya,Q27745
Ilāhī nāmah,,,,,,Ilāhī nāmah,Q51765
Ḥayāt-i jāvidānī,,Ḥirz al-amānī wa-wajh al-tahānī,,,,Ḥirz al-amānī wa-wajh al-tahānī,Q11666
Sharḥ-i asmāʼ al-ḥusná va asmāʼ al-aʼimmah al-maʻṣūmīn,,,,,,Sharḥ-i asmāʼ al-ḥusná va asmāʼ al-aʼimmah al-maʻṣūmīn,Q51766
Jadāvil-i maʻrifat-i aḥkām-i ṭāliʻ va sanavāt,,,,,,Jadāvil-i maʻrifat-i aḥkām-i ṭāliʻ va sanavāt,Q51767
Tarjamah-i Ṣiḥāḥ,,Ṣiḥāḥ,,,,Sihah,Q3117
Astrological tables,,,,,,Astrological text,Q20378
Muntakhab az Kitāb-i Ḥadīqat al-Shīʻah ... [etc.,منتخب از کتاب حدىقت الشىعة,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,Q6049
Hāz̲ā Kitāb-i Sirāj al-munīr ... [etc.,هذا کتاب سراج المنىر,Sirāj al-munīr,سراج المنىر,,,Sirāj al-munīr,Q51768
Tarjamah-i Mavāʻiẓ fī al-aḥādīs̲ al-Qudsīyah,ترجمه مواعظ فى الاحادىث القدسية,Mawāʻiẓ fī al-aḥādīth al-Qudsīyah,مواعظ في الاحاديث القدسية,,,Mawāʻiẓ fī al-aḥādīth al-Qudsīyah,Q51769
Hāz̲ā Kitāb-i Falak al-mashḥūn,هذا کتاب فلک المشحون,Falak al-mashḥūn,فلک المشحون,,,Falak al-mashḥūn,Q39978
Qiṣṣah dar kayd va nikūhish-i zanhā,قصه در کىد و نکوهش زنها,,,,,Qiṣṣah dar kayd va nikūhish-i zanhā,Q51770
