title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah] ... [etc.,تحفة الابرار الملتقط من آثار الائمة,,,,,Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah,Q51854
Hāz̲ā Kitāb-i Jamāl al-ṣāliḥīn,هذا کتاب جمال الصالحىن,Jamāl al-ṣāliḥīn,جمال الصالحىن,,,Jamāl al-ṣāliḥīn,Q51855
Hāz̲ā Kitāb-i Abvāb al-jinān,هذا کتاب ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,مفاتىح الاعجاز فى شرح گلشن راز,,,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,Q51750
(Hāz̲ā) Kitāb-i Sirāj al-munīr ... [etc.,هذا کتاب سراج المنىر,Sirāj al-munīr,سراج المنىر,,,Sirāj al-munīr,Q51768
Ṣarf-i Mīr,صرف مىر,,,,,Ṣarf-i Mīr,Q51792
Ḥadīqat al-Shīʻah,حديقة الشيعة,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,Q6049
Tārīkh-i Nādir Shāh,تارىخ نادر شاه,Tārīkh-i Nādirī,تارىخ نادرى,,,Tārīkh-i Nādirī,Q18592
Majālis al-muʼminīn,مجالس المؤمنين,,,,,Majalis al-muminin,Q51856
Ṭūfān al-bukāʾ,طوفان البکاء,,,,,Ṭūfān al-bukāʾ,Q51857
Kanz al-maṣāʼib fī bayān aḥwāl sādatinā al-aṭāʼib,كنز المصائب في بيان احوال سادتنا الاطائب,Kanz al-maṣāʼib,كنز المصائب,,,Kanz al-maṣāʼib,Q51858
Gawhar-i murād,گوهر مراد,,,,,Gawhar-i murād,Q39790
Khulāṣat al-tajārib,خلاصة التجارب,,,,,Khulāṣat al-tajārib,Q51859
Shiite prayers to be performed each month,,,,,,Prayers,Q798
Tārīkh-i nigāristān,تارىخ نگارستان,,,,,Tārīkh-i nigāristān,Q51756
Jild-i duvīm-i Rawz̤at al-ṣafāʾ,جلد دوىم روضت الصفاء,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tarjamah-i Miṣbāḥ-i Kafʻamī,ترجمه مصباح کفعمى,Miṣbāḥ al-Kafʻamī,مصباح الكفعمي,,,Miṣbāḥ al-Kafʿamī,Q51860
ʻAyn al-ḥayāt,عىن الحىاة,,,,,Essence of Life,Q27845
al-Daftar al-khāmis min dafātir Tawārīkh al-ʻālam /,الدفتر الخامس من دفاتر تواريخ العالم /,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Jāmiʻ al-favāyid ... [etc.,جامع الفواىد,,,,,Jāmiʻ al-favāyid,Q51861
Kitāb-i Bahār-i dānish,کتاب بهار دانش,Bahār-i dānish,بهار دانش,,,Bahar-i Danish,Q27519
Kullīyāt-i Ḥakīm Anvarī,کليات حکىم انورى,Poems,,,,Poetry,Q1330
Kitāb-i Ḥadīqah-i Ḥakīm,کتاب حدىقه حکىم,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,حديقة الحقيقة وشريعة الطريقة,,,Hadiqat al Haqiqa,Q39306
Jild-i duvīm-i Abvāb al-jinān /,جلد دوىم ابواب الجنان /,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
Jild-i panjum az tārīkh-i Muḥammad ibn Khāvandshāh kih shahīr bi-Tārīkh-i Rawz̤at al-ṣafāst,جلد پنجم از تارىخ محمد بن خاوندشاه که شهىر بتارىخ روضة الصفاست,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tanbīhāt al-munajjimīn] ... [etc.,تنبيهات المنجمين ... الخ,,,,,Tanbīhāt al-munajjimīn,Q51716
Tārīkh-i Ṣafavīyah,تارىخ صفوية,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Ṣaḥīfah-i duvvum az ʻĀlamʹārā-yi ʻAbbāsī,صحىفه دوم از عالم‌آراى عباسى,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Ikhtiyārāt-i Badīʻī,اختىارات بدىعى,,,,,Ikhtiyārāt-i Badīʻī,Q5058
Jalāʼ al-ʻuyūn,جلاء العيون,,,,,Jalāʼ al-ʻuyūn,Q51702
Zād al-musāfirīn ... [etc.,زاد المسافرين,,,,,Zād al-musāfirīn,Q51849
Third volume of the Mas̲navī,,Mas̲navī,مثنوى,,,Masnavi,Q27606
Selections from the Haft awrang] ...[etc.,,Haft awrang,هفت اورنگ,,,Haft Awrang,Q27579
Silsilat al-z̲ahab] ... [etc.,سلسلة الذهب,Haft awrang,هفت اورنگ,,,Haft Awrang,Q27579
Ṭibb-i qarābādīn-i chāpī,طب قرابادىن چاپى,,,,,Ṭibb-i qarābādīn-i chāpī,Q51862
Risālah dar hayʾat,رساله در هيئت,,,,,Risālah dar hayʾat,Q51709
Collection of stories and poems in Persian,,,,,,Stories;Poetry,Q52078;Q1330
Persian treatise on ethics,,,,,,Ethical treatise,Q12100
Kitāb-i Gulistān,کتاب گلستان,Gulistān,گلستان,Gulistān,Q3702,,
Sharḥ-i Mullā ʻAbd al-ʻAlī Birjandī bar Bīst bāb-i asṭurlāb-i Khvājah Naṣīr Ṭūsī,شرح ملا عبد العلى برجندى بر بىست باب اسطرلاب خواجه نصىر طوسى,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بىست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,Q27596
Hāz̲ā Sharḥ-i Sī faṣl ... [etc.,هذا شرح سى فصل,Sharḥ-i Sī faṣl,شرح سى فصل,,,Sharḥ-i Sī faṣl,Q51863
Zīj-i Muḥammad Shāhī,زىج محمد شاهى,,,,,Zīj-i Muḥammad Shāhī,Q51864
Manāsik-i ḥajj] ... [etc,مناسک حج ... الخ,,,,,Manāsik-i ḥajj,Q51865
Bāznāmah-i Nāṣirī ... [etc.,بازنامه ناصرى,,,,,Bāznāmah-i Nāṣirī,Q18457
Maṭlaʻ al-anvār /,مطلع الانوار /,,,,,Maṭlaʻ al-anvār,Q51866
Āyīnah-ʼi ʻAbbāsī dar namāyish-i ḥaqq shināsī /,آىىنۀ عباسى در نماىش حق شناسى /,,,,,Āyīnah-ʼi ʻAbbāsī dar namāyish-i ḥaqq shināsī,Q18454
Asrār al-ghuyūb,اسرار الغيوب,,,,,Asrār al-ghuyūb,Q20019
Tafsīr-i Manhaj al-ṣādiqīn,تفسىر منهج الصادقىن,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,منهج الصادقين في الزام المخالين,,,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,Q51867
7 risālah /,7 رساله /,Selections,,,,Selections,Q12769
Kitāb-i Kullīyāt /,کتاب کليات /,Poems,,,,Poetry,Q1330
Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah al-aṭhār,تحفة الابرار الملتقط من آثار الائمة الاطهار,,,,,Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah,Q51854
Kitāb-i Tārīkh-i Rawz̤at al-ṣafā,کتاب تارىخ روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Jild-i s̲ānī-i Abvāb al-jinān,جلد ثانى ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
Hāz̲ā Kitāb-i Minhāj al-ṣināʻah,هذا کتاب منهاج الصناعة,Minhāj al-ṣināʻah,منهاج الصناعة,,,Minhāj al-ṣināʻah,Q51868
Kifāyah-i Mujāhidīyah,كفايه مجاهديه,,,,,Kifāyah-i Mujāhidīyah,Q51694
Tarjamat al-Ḥusnīyah,ترجمة الحسنية,Ḥusnīyah,حسنية,,,Husniyah,Q5999
Dar sitāyash-i Tilimāk,در ستاىش تلماک,Aventures de Télémaque,,,,Aventures de Télémaque,Q27743
Ḥusnīyah-i khaṭṭī,حسنية خطى,Ḥasanīyah,حسنية,,,Husniyah,Q5999
Ḥadīqat al-muttaqīn fī maʻrifat aḥkām al-dīn li-irtiqāʾ maʻārij al-yaqīn,حديقة المتقين في معرفة احكام الدين لارتقاء معارج اليقين,Ḥadīqat al-muttaqīn,حدىقة المتقىن,,,Ḥadīqat al-muttaqīn,Q27795
Durj-i durar va ganj-i guhar; tārīkh-i ḥabīb al-siyar,درج درر و گنج گهر,Habīb al-siyar,حبىب السىر,,,Habib al-Siyar,Q39543
Chemistry notebook,,,,,,Chemistry notebook,Q3147
Ḥujjat al-Islām; wa-al-mulaqqab bi-Burhān al-millah /,حجة الاسلام,,,,,Hujjat al-Islam,Q51869
Intikhāb-i Kitāb-i Burhān al-kifāyah,انتخاب کتاب برهان الکفاىه,,,,,Intikhāb-i Kitāb-i Burhān al-kifāyah,Q51870
Sharḥ-i Bīst bāb,شرح بىست باب,Sharḥ-i Bīst bāb,شرح بىست باب,Sharḥ-i bīst bāb,Q27522,,
Sharḥ-i Bīst bāb,شرح بىست باب,,,Sharḥ-i bīst bāb,Q27522,,
Selections of poetry,,Poems,,,,Poetry,Q1330
al-Risālah Sipah Sālār,الرسالة سپه سالار,Risālah-ʾi Sipahsālār,رساله سپهسالار,,,Risālah-ʾi Sipahsālār,Q51871
Tafsīr lil-Fātiḥah wa-li-Sūrat al-Mulk ilá ākhir al-Kitāb ... [etc.,تفسير للفاتحة ولسورة الملك الى آخر الكتاب,,,,,Tafsīr lil-Fātiḥah wa-li-Sūrat al-Mulk ilá ākhir al-Kitāb,Q51872
Yūsuf va Zulaykhā,,,,Yūsuf va Zulaykhā,Q3708,,
Bishārat-i s̲āqib,بشارت ثاقب,,,,,Bishārat-i s̲āqib,Q18535
Dīvān-i Imāmī Hiravī ... [etc.,دىوان امامى هروى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Qiblat al-āfāq /,قبلة الافاق /,,,,,Qiblat al-āfāq,Q51873
Ḥall al-masāʼil,حل المسائل,,,,,Ḥall al-masāʼil,Q19967
Risālah dar mabdaʼ va maʻād ... [etc.,,,,,,Risālah dar mabdaʼ va maʻād,Q51874
Anwār al-qulūb,انوار القلوب,Anwār al-qulūb,انوار القلوب,,,Anwār al-qulūb,Q39925
Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,,,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,Q51875
Jāmiʻ al-shatāt; mashhūr bi-Ajvibat al-masāʼil,جامع الشتات,,,,,Jāmiʻ al-shatāt,Q51876
Tarjamah-i Makārim al-akhlāq /,ترجمه مکارم الاخلاق /,Makārim al-akhlāq,مكارم الاخلاق,,,Makārim al-Akhlāq,Q51797
Kitāb Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ /,كتاب بهجات الارواح وفرحات الاشباح /,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,بهجات الارواح وفرحات الاشباح,,,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,Q18437
Kitāb-i Baḥr al-maṣāʾib-i Gawharī /,کتاب بحر المصائب گوهرى /,Baḥr al-maṣāʾib,بحر المصائب,,,Baḥr al-maṣāʾib,Q20495
Jild-i avval-i Rawz̤at al-ṣafā,جلد اول روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Risālat Niṣāb al-ṣibyān ... [etc,رسالة نصاب الصبيان,Niṣāb al-ṣibyān,نصاب الصبىان,,,Niṣāb al-ṣibyān,Q48578
Sharḥ-i Bīst bāb /,شرح بىست باب /,,,,,Sharḥ-i bīst bāb,Q27522
Gawhar-i murād /,گوهر مراد /,,,,,Gawhar-i murād,Q39790
Kitāb al-Ḥudūd ... [etc.,كتاب الحدود,Ḥudūd,حدود,,,Hudud,Q7847
Kitāb-i Sī faṣl ... [etc.,کتاب سى فصل,Sī faṣl,سى فصل,,,Sī faṣl,Q27750
Risālah-ʾi maʻādīyah,رسالۀ معاديه,,,,,Risālah-ʾi maʻādīyah,Q51877
Ḥāshiyah-i Mīrzā ʻAlī Riz̤ā,حاشىه مىرزا على رضا,,,,,Ḥāshiyah-i Mīrzā ʻAlī Riz̤ā,Q51878
Lavāyiḥ al-qamar /,لواىح القمر /,,,,,Lavāyiḥ,Q48521
Risālah-ʼi Ādāb al-mashq /,رسالۀ آداب المشق /,Ādāb al-mashq,آداب المشق,,,Adab al-mashq,Q27621
Ḥirz al-amān-i Kāshifī /,حرز الامان کاشفى /,Ḥirz al-amān min fitan al-zamān,حرز الامان من فتن الزمان,,,Ḥirz al-amān min fitan al-zamān,Q12102
Dīvān-i Ḥājj Mullā Hādī Sabzavārī; mutakhalliṣ bih Asrār,دىوان حاج ملا هادى سبزوارى,Poems,,,,Diwan;Poetry,Q11912;Q1330
al-Wajīzah /,الوجيزة /,,,,,al-Wajīzah,Q27803
Dīvān-i qaṣāyid-i Mawlānā Arjāsb Umīdī Ṭihrānī,دىوان قصاىد مولانا ارجاسب امىدى طهرانى,,,,,Diwan,Q11912
Dīvān-i Bābā Faghānī Shīrāzī,دىوان بابا فغانى شىرازى,Poems,,,,Diwan;Poetry,Q11912;Q1330
al-Mazāhir,المزاهر,,,,,al-Maẓāhir,Q8296
Dīvān-i Riz̤vān,دىوان رضوان,Poems,,,,Diwan;Poetry,Q11912;Q1330
Ikhtiyārāt al-ayyām] ... [etc.,اختيارات الايام,,,,,Ikhtiyārāt al-ayyām,Q51879
Qiyāmatʹnāmah,قىامت‌نامه,,,,,Qiyāmatʹnāmah,Q51880
Sharḥ-i Bīst bāb-i Muẓaffar,شرح بىست باب مظفر,,,,,Sharḥ-i bīst bāb,Q27522
Sharḥ al-Ṣaḥīfah,شرح الصحيفة,,,,,Sharḥ al-Ṣaḥīfah,Q51881
Dar tawḥīd va ṣifāt-i thubūtīyah va salbīyah,در توحىد و صفات ثبوتيه و سلبيه,,,,,Dar tawḥīd va ṣifāt-i thubūtīyah va salbīyah,Q18529
Tarjamah-ʾi Muhaj al-daʻawāt /,ترجمۀ مهج الدعوات /,Muhaj al-daʻawāt wa-manhaj al-ʻibādāt,مهج الدعوات ومنهج العبادات,,,Muhaj al-da'awat wa manhaj al-'ibadat,Q51882
Qarābādīn-i Shifāyī ... [etc.,قرابادىن شفاىى,Qarābādīn-i Shifāʾī,قرابادىن شفائي,,,Qarābādīn-i Shifāʾī,Q51883
Tārīkh,تارىخ,,,,,Tarikh,Q51884
Risālah-i mawsūm bih Nūr al-anvār,رساله موسوم به نور الانوار,Nūr al-anvār,نور الانوار,,,Nūr al-anvār,Q51885
Kanz al-kaḥḥālīn va Rūshanʹnāmah,کنز الکحالىن و روشن‌نامه,,,,,Kanz al-kaḥḥālīn va Rūshanʹnāmah,Q51886
Bāb-i siyum az Kitāb-i Anīs al-qabr,باب سىم از کتاب انىس القبر,Anīs al-qabr,انىس القبر,,,Anīs al-qabr,Q39435
Saḥīfah-ʼi z̲awqīyah va maqālah-ʼi shawqīyah ... [etc.,سحىفۀ ذوقية و مقالۀ شوقية,,,,,Saḥīfah-ʼi z̲awqīyah va maqālah-ʼi shawqīyah,Q51887
Hāz̲ā Kitāb-i Riyāz̤ al-zāhidīn dar adʻiyah va az̲kār va aʻmāl-i sāl va khavāṣ bārah-i aʻmāl va ashyāʼī,هذا کتاب رىاض الزاهدىن در ادعىه و اذکار و اعمال سال و خواص باره اعمال و اشىائي,Riyāz̤ al-zāhidīn,رىاض الزاهدىن,,,Riyāz̤ al-zāhidīn,Q51888
Khamsah] ... [etc.,خمسه,,,,,Khamsah,Q18558
Hādhihi al-kitāb Ḥadīqat al-Shīʻah,هذه الكتاب حديقة الشيعة,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,Q6049
Jild-i duvvum-i Rawz̤at al-ṣafāʾ,جلد دوم روضة الصفاء,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Sharḥ-i Kitāb Man lā yaḥḍuruhu al-faqīh; al-musammá bi-Lavāmiʻ-i Ṣāḥibʹqirānī /,شرح کتاب من لا ىحضره الفقىه,Lavāmiʻ-i Ṣāḥibʹqirānī,لوامع صاحب‌قرانى,,,Lavāmiʻ-i Ṣāḥibʹqirānī,Q51889
al-Muntakhab /,المنتخب /,,,,,al-Muntakhab,Q10845
Sharḥ-i Uṣūl-i Kāfī /,شرح اصول کافى /,Ṣāfī fī sharḥ al-Kāfī. Kitāb al-ḥujjah,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,Q51890
al-Mujalladah al-thāniyah min al-mujalladatayn min tafsīr Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,المجلدة الثانية من المجلدتين من تفسير منهج الصادقين في الزام المخالين,Khulāṣat al-Manhaj,خلاصة المنهج,,,Khulāṣat al-Manhaj,Q51891
Risālah fī al-shakk wa-al-sahw,رسالة في الشك والسهو,,,,,Risālah fī al-shakk wa-al-sahw,Q51892
Kanz al-lughāt,كنز اللغات,,,,,Kanz al-lughāt,Q20030
Kitāb Ḥadāʼiq al-muqarrabīn /,کتاب حدائق المقربىن /,Ḥadāʼiq al-muqarrabīn,حدائق المقربين,,,Ḥadāʼiq al-muqarrabīn,Q20426
Hādhā Kitāb al-Mathnawī al-maʻnawī,هذا كتاب المثنوي المعنوي,Mas̲navī,مثنوى,,,Masnavi,Q27606
Mirʼāt al-hadāt fī kashf asrār al-ṣalāh,مرآت الهدات فى کشف اسرار الصلوة,,,,,Mirʼāt al-hadāt fī kashf asrār al-ṣalāh,Q51893
Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,تجزية الامصار وتزجية الاعصار,,,,,Tajzīyat al-amṣār wa-tazjīyat al-aʻṣār,Q51875
Zubdat al-ḥikmah ... [etc.,زبدة الحکمة,,,,,Zubdat al-ḥikmah,Q51894
Kunūz al-ʻārifīn fī irshād al-sālikīn ... [etc.,كنوز العارفين في ارشاد السالين,,,,,Kunūz al-ʻārifīn fī irshād al-sālikīn,Q51895
Vājibāt-i ḥasanīyah ... [etc.,واجبات حسنية,,,,,Vājibāt-i ḥasanīyah,Q51896
Hāz̲ā Kitāb-i Sī faṣl ... [etc.,هذا کتاب سى فصل ... الخ,,,,,Hāz̲ā Kitāb-i Sī faṣl,Q51897
History of Muḥammad and the Imāms,,,,,,Persian historical texts,Q51898
Kitāb Ḥadīqat al-Shīʻah /,کتاب حدىقة الشىعة /,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,Q6049
Laṭāyif al-kalām fī aḥkām al-[a]ʻvām,لطاىف الکلام فى احکام الاعوام,,,,,Laṭāʼif al-kalām fī aḥkām al-aʻwām,Q3706
Khazān va bahār dar akhlāq,خزان و بهار در اخلاق,Khazān va bahār,خزان و بهار,,,Khazān va bahār,Q51899
Muṣṭalaḥāt-i Vārastah,مصطلحات وارسته,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,فرهنگ مصطلحات الشعراء,,,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,Q18464
Commonplace book on the Prophet Muḥammad and the Imāms,,,,,,Commonplace book,Q7822
Tawḥīd-i Zunūzī va Ḥisāb-i Fārsī,توحىد زنوزى و حساب فارسى,,,,,Tawḥīd-i Zunūzī va Ḥisāb-i Fārsī,Q51900
Risālah dar bayān-i maʻrifat-i Allāh ... [etc,رساله در بىان معرفت الله,,,,,Risālah dar bayān-i maʻrifat-i Allāh,Q51901
Risālah dar asrār-i ṭarīqat bi-zabān-i Fārsī,رساله در اسرار طرىقت بزبان فارسى,,,,,Treatise on Farsi,Q51902
Dīwān Bāqī Afandī wa-baʻḍ ghazalīyāt wa-qaṣāyid,ديوان باقي افندي وبعض غزليات وقصايد,,,,,Diwan,Q11912
Risālah] bar qānūn-i niẓām,رساله بر قانون نظام,,,,,Risālah bar qānūn-i niẓām,Q51903
Hāz̲ā Kitāb-i Khuff-i ʻAlāʼī,هذا كتاب خف علائي,Khuffī-i ʻAlāʼī,خفى علائي,,,Khofi Alayee,Q51904
Hāz̲ā Kitāb-i Fārsī-i ḥisāb,هذا کتاب فارسى حساب,Fārsī-i ḥisāb,فارسى حساب,,,Fārsī-i ḥisāb,Q18475
Hāz̲ā Kitāb-i Khulāṣat al-az̲kār,هذا کتاب خلاصة الاذکار,Khulāṣat al-adhkār,خلاصة الاذكار,,,Khulāṣat al-adhkār,Q51905
Tarjumah-i Junnat al-vāqiyah,ترجمه جنة الواقىه,Junnah al-wāqiyah wa-al-jannah al-bāqiyah,جنة الواقية والجنة الباقية,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,Q27802
Lawāmiʻ al-anwār fī maʻrifat [al]-aʼimmah al-aṭhār ... [etc.,لوامع الانوار في معرفة الائمة الاطهار,,,,,Lawāmiʻ al-anwār fī maʻrifat al-aʼimmah al-aṭhār,Q51906
Anīs al-abrār fī faḍl al-aʼimmah al-aṭhār min ṭaraf al-jāhidīn wa-al-fujjār,انيس الابرار في فضل الائمة الاطهار من طرف الجاهدين والفجار,,,,,Anīs al-abrār fī faḍl al-aʼimmah al-aṭhār min ṭaraf al-jāhidīn wa-al-fujjār,Q19930
Kitāb-i Mihr va Mushtarī,کتاب مهر و مشترى,Mihr va Mushtarī,مهر و مشترى,,,Mihr and Mushtari,Q51907
Hāz̲ā kitāb Tafsīr-i Fārsī,هذا کتاب تفسىر فارسى,,,,,Persian interpretation text,Q51908
Kitāb-i Ḥilyat al-muttaqīn,كتاب حلية المتقين,Ḥilyat al-muttaqīn,حلية المتقين,,,Adornment of the Pious,Q6008
Kitāb-i Shīrīn-i Farhād ... [etc.,کتاب شىرىن فرهاد,,,,,Kitāb-i Shīrīn-i Farhād,Q51909
Sharḥ-i Uṣūl-i Kāfī,شرح اصول کافى,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,Q51890
Sharḥ-i Furūʻ-i Kāfī /,شرح فروع کافى /,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,Q51890
al-Ṣāfī sharḥ al-Kāfī /,الصافي شرح الكافي /,Ṣāfī fī sharḥ al-Kāfī,صافي في شرح الكافي,,,Ṣāfī fī sharḥ al-Kāfī,Q51890
Shamʻ al-yaqīn /,شمع اليقين /,,,,,Shamʻ al-yaqīn,Q51910
Rawz̤at al-shuhadāʼ,روضت الشهداء,,,,,Rawzat al-Shuhada,Q51700
Risālah-i Ḥudūd /,رساله حدود /,Ḥudūd,حدود,,,Hudud,Q7847
Risālah-i muʻammā /,رساله معما /,,,,,Risālah-i muʻammā,Q51911
Anthologie de poésie persane,,,,,,Persian poetry,Q18530
Kitāb-i Gulzār-i ḥāl; dar ʻirfān ast,کتاب گلزار حال,Prabodhachandrodaya,,,,Prabodhachandrodaya,Q51912
Ṣuḥuf-i Ibrāhīm,صحف ابراهىم,,,,,Scrolls of Abraham,Q51913
Selections of ghazalīyāt,,Poems. Selections,,,,Poetry,Q1330
Laylá va Majnūn /,لىلى و مجنون /,,,,,Layla and Majnun,Q18445
Min kalām Khayyām,من كلام خيام,Rubāʻīyāt,رباعيات,,,Rubaiyat,Q27770
Selections from Ḥadīqat al-ḥaqīqah with commentary,,,,,,Hadiqat al Haqiqa,Q39306
Dīvān-i Vaḥshī,دىوان وحشى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Commonplace book of Persian and Turkish poetry,,,,,,Persian poetry,Q18530
Jāmiʻ al-ḥikāyāt va lavāmiʻ al-rivāyāt,جامع الحکاىات و لوامع الرواىات,Javāmiʻ al-ḥikāyāt va lavāmiʻ al-rivāyāt,جوامع الحکاىات و لوامع الرواىات,,,Javāmiʻ al-ḥikāyāt va lavāmiʻ al-ravāyāt,Q48574
Sharḥ-i Fārsī-i Nahj al-balāghah,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah,شرح نهج البلاغة,,,Sharh Nahj al-Balagha,Q27661
Hāz̲ā Kitāb-i Nujūm-i Baṭlamyūs; Risālah-i Muʻīnīyah dar ʻilm-i hayʾat,هذا کتاب نجوم بطلمىوس,Sharḥ-i S̲amarah-i Baṭlamyūs,شرح ثمره بطلمىوس,,,Sharḥ-i S̲amarah-i Baṭlamyūs,Q51914
Kitāb-i Rāmāyana,کتاب راماىن,Rāmāyaṇa,,,,Ramayana,Q27562
Ṣad dar] ... [etc.,,,,,,Sad-dar,Q51915
Gulistān-i Saʻdī Shīrāzī,گلستان سعدى شىرازى,Gulistān,گلستان,,,Gulistan,Q3702
Hasht bihisht,هشت بهشت,,,,,Hasht-Bihisht,Q12765
Futūḥ al-ḥaramayn,فتوح الحرمين,,,Futūḥ al-Ḥaramayn,Q18613,,
Makhzan al-bukāʼ fī muṣībat Sayyid al-Shuhadāʼ,مخزن البكاء في مصيبة سيد الشهداء,Makhzan al-bukāʼ,مخزن البكاء,,,Makhzan al-bukāʼ,Q51916
Kitāb-i Jāmiʻ-i ʻAbbāsī,کتاب جامع عباسى,,,,,Kitāb-i Jāmiʻ-i ʻAbbāsī,Q51917
Rubāʻīyāt] ... [etc.,رباعيات,,,,,Rubaiyat,Q27770
Dīvān-i Ḥāfiẓ Shīrazī,دىوان حافظ شىرزى,Dīvān,دىوان,,,Diwan,Q11912
Ṣifāt al-ʻāshiqīn,صفات العاشقين,,,,,Ṣifāt al-ʻāshiqīn,Q51918
Gulistān] ... [etc.,گلستان,,,,,Gulistan,Q3702
Hāz̲ā Kitāb-i Ḥayāt al-salāṭīn /,هذا كتاب حيوة السلاطين /,Ḥayāt al-salāṭīn,حيوة السلاطىن,,,Ḥayāt al-salāṭīn,Q51919
Muntakhab-i Nafaḥāt al-uns li-Jāmī,منتخب نفحات الانس لجامى,,,,,Muntakhab-i Nafaḥāt al-uns li-Jāmī,Q51920
Aḥsan al-qarābādīn,احسن القرابادين,,,,,Aḥsan al-qarābādīn,Q27763
Sharḥ-i Dībāchah-ʾi Sikandarnāmah,شرح دىباچۀ سکندرنامه,,,,,Sharḥ-i Dībāchah-ʾi Sikandarnāmah,Q51921
Kitāb-i Khamsah /,کتاب خمسه /,Khamsah,خمسه,,,Khamsah,Q18558
Kitāb-i Khamsah,کتاب خمسه,,,,,Kitāb-i Khamsah,Q51922
Kitāb-i Aṭʻimah] ... [etc.,کتاب اطعمه,Poems,,,,Poetry,Q1330
Min manẓūmāt Sulṭān al-Shuʻarā,من منظومات سلطان الشعرا,Poems,,,,Poetry,Q1330
Khamsah-i Ashraf Marāghah,خمسه اشرف مراغه,,,,,Khamsah,Q18558
Dīvān-i Ahlī Shīrāzī,دىوان اهلى شىرازى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Rubāʻīyāt-i Shaykh Awḥad al-Dīn Kirmānī,رباعيات شىخ اوحد الدىن کرمانى,,,,,Rubāʻīyāt-i Shaykh Awḥad al-Dīn Kirmānī,Q51923
Haft awrang,هفت اورنگ,,,,,Haft Awrang,Q27579
