row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
64,Illuminated manuscripts--England--15th century,aat,,,,,illuminated manuscripts;England;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q4268;Q320;Q154
65,Calf bindings (Binding),rbbin,,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454,Q12556
66,Bookbinding (Binding)--La Vallière style,rbbin,,Bookbinding,http://id.worldcat.org/fast/836265,Q42537,,,
67,Minutes,aat,,,,,minutes (administrative records),http://vocab.getty.edu/aat/300027440,Q7950
68,Metal clasps (Binding),rbbin,,Metal clasps,http://id.loc.gov/vocabulary/rbmscv/cv00602,Q16297,,,
69,Flap bindings (Binding),rbbin,,,,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,Q5826
70,Decorated edges (Binding),rbbin,,,,,Decorated edges,http://id.loc.gov/vocabulary/rbmscv/cv00740,Q11215
71,Sacred books,fast,(OCoLC)fst01423905,,,,Sacred books,http://id.worldcat.org/fast/1423905,Q11188
72,Legends,fast,(OCoLC)fst01423803,,,,Legends,http://id.worldcat.org/fast/1423803,Q5895
73,Prayer books,rbgenr,,Prayer books,http://id.loc.gov/vocabulary/rbmscv/cv01759,Q38527,,,
74,Manuscripts--France--13th century,aat,,,,,manuscripts (documents);France;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q10789;Q152;Q245
75,Manuscripts--Iran,aat,,manuscripts (documents);Iran,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889,Q10789;Q16384,,,
76,Bullae (seals),aat,,,,,bullae (seals),http://vocab.getty.edu/aat/300266223,Q8139
77,Autobiographies,lcgft,,Autobiographies,http://id.worldcat.org/fast/1919894,Q42538,,,
78,Handbooks and manuals,fast,(OCoLC)fst01423877,,,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
79,Manuscripts--Spain--18th century,aat,,,,,manuscripts (documents);Spain;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,Q10789;Q343;Q3024
80,Specimens,fast,,,,,Specimens,http://id.worldcat.org/fast/1423861,Q239
81,Early works,fast,,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
82,Handbooks and manuals,fast,,,,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
83,"Criticism, interpretation, etc",fast,,,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635,Q177
84,sermons,aat,,,,,sermons,http://vocab.getty.edu/aat/300026669,Q3590
85,Sermons,fast,,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
86,Sermons,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026051,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
87,Unfinished works,rbgenr,,Unfinished works,http://id.loc.gov/vocabulary/rbmscv/cv02003,Q42539,,,
88,Sermons,rvmgf,,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
89,Biographies,fast,,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
90,Genealogy,fast,,,,,Genealogy,http://id.worldcat.org/fast/1423818,Q183
91,History,fast,,,,,History,http://id.worldcat.org/fast/1411628,Q279
92,Letters,rbgenr,,Correspondence,http://id.loc.gov/vocabulary/rbmscv/cv01184,Q17494,,,
93,Annotations (Provenance),rbprov,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
94,Account books,rbgenr,,,,,Account books,http://id.loc.gov/vocabulary/rbmscv/cv00027,Q17502
95,Manuscripts--Italy--15th century,aat,,,,,manuscripts (documents);Italy;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q10789;Q249;Q154
96,Illuminated manuscripts--Italy--15th century,aat,,,,,illuminated manuscripts;Italy;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q4268;Q249;Q154
97,Antiphonaries,rbgenr,,,,,Antiphonaries,http://id.loc.gov/vocabulary/rbmscv/cv00118,Q10815
98,Choir books,rbgenr,,Choir books,http://id.loc.gov/vocabulary/rbmscv/cv01100,Q42540,,,
99,Wooden boards (Binding),rbbin,,,,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,Q5870
100,Brass bosses (Binding),rbbin,,Brass bosses (Binding),http://id.loc.gov/vocabulary/rbmscv/cv00446,Q42541,,,
101,Centerpiece and cornerpiece bindings (Binding),rbbin,,,,,Centerpiece and cornerpiece bindings,http://id.loc.gov/vocabulary/rbmscv/cv00319,Q12618
102,Romances,fast,(OCoLC)fst01423856,,,,Romances,http://id.worldcat.org/fast/1423856,Q4307
103,Arthurian romances,lcgft,,Arthurian romances,http://id.worldcat.org/fast/1726527,Q42542,,,
104,Romances,lcgft,,,,,Romances,http://id.worldcat.org/fast/1423856,Q4307
105,Manuscripts--France--Rouen--15th century,aat,,manuscripts (documents);France--Rouen;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205659;http://id.worldcat.org/fast/923962,Q10789;Q2965;Q154,,,
106,Illuminated manuscripts--France--Rouen--15th century,aat,,,,,illuminated manuscripts;France--Rouen;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1205659;http://id.worldcat.org/fast/923962,Q4268;Q2965;Q154
107,Manuscripts--India--19th century,aat,,,,,manuscripts (documents);India;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841,Q10789;Q26595;Q3538
108,Manuscripts--France--14th century,aat,,,,,manuscripts (documents);France;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q10789;Q152;Q295
109,Bookbinding (Binding)--1568,rbbin,,Bookbinding,http://id.worldcat.org/fast/836265,Q42537,,,
110,Graduals,rbgenr,,,,,Graduals,http://id.loc.gov/vocabulary/rbmscv/cv01414,Q10816
111,Manuscripts--Spain--16th century,aat,,,,,manuscripts (documents);Spain;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q10789;Q343;Q335
112,Illuminated manuscripts--Spain--16th century,aat,,,,,illuminated manuscripts;Spain;Sixteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q4268;Q343;Q335
113,Contemporary bindings (Binding)--Spain--16th century,rbbin,,Contemporary bindings;Spain;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00480;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q5930;Q343;Q335,,,
114,Manuscripts--Spain--Pamplona--15th century,aat,,manuscripts (documents);Spain--Pamplona;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204969;http://id.worldcat.org/fast/923962,Q10789;Q42543;Q154,,,
115,Psalters--1150,rbgenr,,Psalters,http://id.loc.gov/vocabulary/rbmscv/cv01544,Q38532,,,
116,Manuscripts--Italy--14th century,aat,,,,,manuscripts (documents);Italy;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q10789;Q249;Q295
117,Contemporary bindings (Binding)--Italy--14th century,rbbin,,Contemporary bindings;Italy;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00480;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q5930;Q249;Q295,,,
118,Manuscripts--Germany--15th century,aat,,,,,manuscripts (documents);Germany;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,Q10789;Q3032;Q154
119,cartularies,aat,,,,,cartularies,http://vocab.getty.edu/aat/300027169,Q4136
120,Coats of arms,gmgpc,,Heraldry,http://id.worldcat.org/fast/955273,Q4275,,,
121,Manuscripts--England--16th century,aat,,manuscripts (documents);England;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,Q10789;Q320;Q335,,,
122,Manuscripts--Iran--15th century,aat,,manuscripts (documents);Iran;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/923962,Q10789;Q16384;Q154,,,
123,Manuscripts--Iran--16th century,aat,,,,,manuscripts (documents);Iran;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,Q10789;Q16384;Q335
124,contracts,aat,,,,,contracts,http://vocab.getty.edu/aat/300027649,Q4273
125,Contracts,fast,,Contracts,http://id.worldcat.org/fast/1774255,Q42544,,,
126,Contracts,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026168,Contracts,http://id.worldcat.org/fast/1774255,Q42544,,,
127,Contrats,rvmgf,,Contracts,http://id.worldcat.org/fast/876969,Q5905,,,
128,Record keeping works--Germany--16th century,rbgenr,,Record-keeping works;Germany;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00030;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q42545;Q3032;Q335,,,
129,Manuscripts--Germany--16th century,aat,,manuscripts (documents);Germany;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q10789;Q3032;Q335,,,
130,Record-keeping works--Germany--16th century,rbgenr,,Record-keeping works;Germany;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00030;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q42545;Q3032;Q335,,,
131,seals (artifacts),aat,,,,,seals (artifacts),http://vocab.getty.edu/aat/300028877,Q205
132,petitions,aat,,,,,petitions,http://vocab.getty.edu/aat/300027219,Q3594
133,Legal petitions,fast,(OCoLC)fst01774282,Legal petitions,http://id.worldcat.org/fast/1774282,Q42546,,,
134,Papal documents,fast,(OCoLC)fst01423838,,,,Papal documents,http://id.worldcat.org/fast/1423838,Q4217
135,Legal petitions,lcgft,,Legal petitions,http://id.worldcat.org/fast/1774282,Q42546,,,
136,Papal documents,lcgft,,,,,Papal documents,http://id.worldcat.org/fast/1423838,Q4217
137,Pétitions,rvmgf,,Legal petitions,http://id.worldcat.org/fast/1774282,Q42546,,,
138,Documents pontificaux,rvmgf,,Papal documents,http://id.worldcat.org/fast/1423838,Q4217,,,
139,"Letters, Papal",lcsh,,Papal encyclicals,http://id.worldcat.org/fast/1922497,Q42547,,,
140,notarial documents,aat,,,,,notarial documents,http://vocab.getty.edu/aat/300164785,Q2777
141,Notarial documents,aat,,,,,notarial documents,http://vocab.getty.edu/aat/300164785,Q2777
142,Manuscript waste (Binding)--16th century,rbbin,,,,,Manuscript waste;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01568;http://id.worldcat.org/fast/1119851,Q5892;Q335
143,Manuscripts--France--16th century,aat,,,,,manuscripts (documents);France;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q10789;Q152;Q335
144,Manuscripts--France--17th century,aat,,manuscripts (documents);France;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1113663,Q10789;Q152;Q2771,,,
145,Notarial documents--France--16th century,aat,,notarial documents;France;Sixteenth century,http://vocab.getty.edu/aat/300164785;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q2777;Q152;Q335,,,
146,Account books,fast,(OCoLC)fst01750150,Account books,http://id.worldcat.org/fast/1750150,Q42548,,,
147,Account books,lcgft,,Account books,http://id.worldcat.org/fast/1750150,Q42548,,,
148,Manuscript waste,rbbin,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
149,Legal instruments,fast,(OCoLC)fst01774279,Legal instruments,http://id.worldcat.org/fast/1774279,Q27390,,,
150,Legal instruments,lcgft,,,,,Legal instruments,http://id.worldcat.org/fast/1774279,Q27390
151,Actes instrumentaires,rvmgf,,Legal instruments,http://id.worldcat.org/fast/1774279,Q27390,,,
152,Notarial documents--Italy--15th century,aat,,notarial documents;Italy;Fifteenth century,http://vocab.getty.edu/aat/300164785;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q2777;Q249;Q154,,,
153,Manuscripts--Italy--16th century,aat,,,,,manuscripts (documents);Italy;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q10789;Q249;Q335
154,Hymns,fast,(OCoLC)fst01423701,,,,Hymns,http://id.worldcat.org/fast/1423701,Q6878
155,Liturgical books,fast,(OCoLC)fst01922455,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822,,,
156,Liturgical books,lcgft,,,,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822
157,Hymns,lcgft,,,,,Hymns,http://id.worldcat.org/fast/1423701,Q6878
158,Livres liturgiques,rvmgf,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822,,,
159,Liturgical books,rbgenr,,Liturgical books,http://id.loc.gov/vocabulary/rbmscv/cv00948,Q42549,,,
160,Manuscripts--Belgium--17th century,aat,,manuscripts (documents);Belgium;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/1113663,Q10789;Q16301;Q2771,,,
161,Account books--Belgium--17th century,aat,,account books;Belgium;Seventeenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/1113663,Q4178;Q16301;Q2771,,,
162,Manuscripts--Italy--13th century,aat,,,,,manuscripts (documents);Italy;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,Q10789;Q249;Q245
163,Translations,rbgenr,,,,,Translations,http://id.loc.gov/vocabulary/rbmscv/cv01983,Q38551
164,Manuscript waste (Binding)--13th century,rbbin,,Manuscript waste;Thirteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01568;http://id.worldcat.org/fast/1150138,Q5892;Q245,,,
165,Manuscripts--Italy--17th century,aat,,manuscripts (documents);Italy;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q10789;Q249;Q2771,,,
166,Bulls (papal records)--Italy--17th century,aat,,bulls (papal records);Italy;Seventeenth century,http://vocab.getty.edu/aat/300152044;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q4158;Q249;Q2771,,,
167,Accordion fold format (Binding)--19th century,rbbin,,Accordion fold format;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1037841,Q42550;Q3538,,,
168,Manuscripts--Indonesia--Bali (Province),aat,,manuscripts (documents);Indonesia--Bali (Province),http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1330607,Q10789;Q42551,,,
169,Accordion fold format (Binding)--Thailand--18th century,rbbin,,Accordion fold format;Thailand;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1205310;http://id.worldcat.org/fast/904058,Q42550;Q26903;Q3024,,,
170,"Manuscripts--Asia, Central--19th century",aat,,manuscripts (documents);Central Asia;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1240497;http://id.worldcat.org/fast/1037841,Q10789;Q42552;Q3538,,,
171,Satirical literature,fast,(OCoLC)fst01922539,Satirical literature,http://id.worldcat.org/fast/1922539,Q42553,,,
172,Translations,fast,(OCoLC)fst01423791,Translations,http://id.worldcat.org/fast/1423791,Q18303,,,
173,Satirical literature,lcgft.lcgft,,Satirical literature,http://id.worldcat.org/fast/1922539,Q42553,,,
174,Laudatory poetry,lcgft,,Laudatory poetry,http://id.worldcat.org/fast/1922448,Q42554,,,
175,Manuscripts--Italy--12th century,aat,,manuscripts (documents);Italy,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565,Q10789;Q249,,,
176,indentures,aat,,,,,indentures,http://vocab.getty.edu/aat/300027753,Q230
177,ordinals,aat,,,,,ordinals,http://vocab.getty.edu/aat/300211649,Q38513
178,liturgical texts,aat,,,,,liturgical texts,http://vocab.getty.edu/aat/300202991,Q38493
179,pontificals,aat,,,,,pontificals,http://vocab.getty.edu/aat/300202602,Q4843
180,processionals,aat,,processionals,http://vocab.getty.edu/aat/300395571,Q38530,,,
181,menologions,aat,,menologions,http://vocab.getty.edu/aat/300185338,Q42555,,,
182,passionals,aat,,passionals,http://vocab.getty.edu/aat/300026474,Q42556,,,
183,benedictionals,aat,,benedictionals,http://vocab.getty.edu/aat/300198389,Q42557,,,
184,Liturgical books,fast,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822,,,
185,Texts,fast,,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
186,Liturgical books,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026039,,,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822
187,Processionals (Service books),lcgft,http://id.loc.gov/authorities/genreForms/gf2014027014,,,,Processionals (Service books),http://id.worldcat.org/fast/1920299,Q16327
188,Processionnaux,rvmgf,,Processionals (Service books),http://id.worldcat.org/fast/1920299,Q16327,,,
189,Manuscript waste (Binding)--14th century,rbbin,,Manuscript waste;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01568;http://id.worldcat.org/fast/933420,Q5892;Q295,,,
190,Notarial documents--Italy--14th century,aat,,notarial documents;Italy,http://vocab.getty.edu/aat/300164785;http://id.worldcat.org/fast/1204565,Q2777;Q249,,,
191,breviaries,aat,,,,,breviaries,http://vocab.getty.edu/aat/300026459,Q4135
192,Bréviaires,rvmgf,,Breviaries,http://id.worldcat.org/fast/1922430,Q38440,,,
