subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Astrology--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100969,Astrology;Early works,http://id.worldcat.org/fast/819398;http://id.worldcat.org/fast/1411636,,
Astronomical instruments.,a,fast,http://id.worldcat.org/fast/819641,Astronomical instruments,http://id.worldcat.org/fast/819641,,
Astronomical instruments--Early works to 1800.,a--v,0,,Astronomical instruments;Early works,http://id.worldcat.org/fast/819641;http://id.worldcat.org/fast/1411636,,
"Astronomy, Arab.",a,fast,http://id.worldcat.org/fast/819764,"Astronomy, Arab",http://id.worldcat.org/fast/819764,,
"Astronomy, Arab--Early works to 1800.",a--v,0,http://id.loc.gov/authorities/subjects/sh2009116093,"Astronomy, Arab;Early works",http://id.worldcat.org/fast/819764;http://id.worldcat.org/fast/1411636,,
"Astronomy, Greek.",a,fast,http://id.worldcat.org/fast/819774,"Astronomy, Greek",http://id.worldcat.org/fast/819774,,
"Astronomy, Greek.",a,0,http://id.loc.gov/authorities/subjects/sh87000068,"Astronomy, Greek",http://id.worldcat.org/fast/819774,,
"Astronomy, Medieval.",a,0,http://id.loc.gov/authorities/subjects/sh85009022,"Astronomy, Medieval",http://id.worldcat.org/fast/819781,,
"Astronomy, Medieval.",a,fast,http://id.worldcat.org/fast/819781,"Astronomy, Medieval",http://id.worldcat.org/fast/819781,,
Astronomy.,a,fast,http://id.worldcat.org/fast/819673,Astronomy,http://id.worldcat.org/fast/819673,,
Astronomy--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007101548,Astronomy;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636,,
Astronomy--Germany--History--16th century.,a--z--x--y,0,,Astronomy;Germany;History;Sixteenth century,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Astronomy--Tables.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007101552,Astronomy--Tables,http://id.worldcat.org/fast/819745,,
Astronomy--Tables.,a--x,fast,http://id.worldcat.org/fast/819745,Astronomy--Tables,http://id.worldcat.org/fast/819745,,
Austria.,a,fast,http://id.worldcat.org/fast/1204901,Austria,http://id.worldcat.org/fast/1204901,,
Austria--History--1519-1740.,a--x--y,0,http://id.loc.gov/authorities/subjects/sh85009694,Austria;History,http://id.worldcat.org/fast/1204901;http://id.worldcat.org/fast/958235,,
Austria--Lambach (Upper Austria),a--z,fast,http://id.worldcat.org/fast/1319007,Austria--Lambach (Upper Austria),http://id.worldcat.org/fast/1319007,,
Austria--Vienna.,a--z,fast,http://id.worldcat.org/fast/1204516,Austria--Vienna,http://id.worldcat.org/fast/1204516,,
Autos-da-fé.,a,fast,http://id.worldcat.org/fast/824207,Autos-da-fé,http://id.worldcat.org/fast/824207,,
Autos-da-fé--Spain.,a--z,0,,Autos-da-fé;Spain,http://id.worldcat.org/fast/824207;http://id.worldcat.org/fast/1204303,,
Aveyron (France)--History--Sources.,a--x--v,0,,France--Aveyron;History;Sources,http://id.worldcat.org/fast/1202975;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Bakers.,a,fast,http://id.worldcat.org/fast/1431877,Bakers,http://id.worldcat.org/fast/1431877,,
Bakers--England--Early works to 1800.,a--z--v,0,,Bakers;England;Early works,http://id.worldcat.org/fast/1431877;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636,,
Bakers--France--Early works to 1800.,a--z--v,0,,Bakers;France;Early works,http://id.worldcat.org/fast/1431877;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,,
Balances (Weighing instruments),a,fast,http://id.worldcat.org/fast/825699,Balances (Weighing instruments),http://id.worldcat.org/fast/825699,,
Balances (Weighing instruments)--Early works to 1800.,a--v,0,,Balances (Weighing instruments);Early works,http://id.worldcat.org/fast/825699;http://id.worldcat.org/fast/1411636,,
Banks and banking.,a,fast,http://id.worldcat.org/fast/826867,Banks and banking,http://id.worldcat.org/fast/826867,,
Banks and banking--France--Lyon--Early works to 1800.,a--z--z--v,0,,Banks and banking;France--Lyon;Early works,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1214593;http://id.worldcat.org/fast/1411636,,
Banks and banking--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008117466,Banks and banking;Italy,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204565,,
Banks and banking--Italy--Florence--Early works to 1800.,a--z--z--v,0,,Banks and banking;Italy--Florence;Early works,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1411636,,
Banks and banking--Italy--Mantua.,a--z--z,0,,Banks and banking;Italy--Mantua,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204700,,
Banks and banking--Italy--Rome--Early works to 1800.,a--z--z--v,0,,Banks and banking;Italy--Rome;Rome (Empire);Early works,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1411636,,
Banks and banking--Italy--Siena--History.,a--z--z--x,0,,Banks and banking;Italy--Siena;History,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235,,
Baptism.,a,fast,http://id.worldcat.org/fast/827229,Baptism,http://id.worldcat.org/fast/827229,,
Baptism--Catholic Church.,a--x,0,http://id.loc.gov/authorities/subjects/sh2007101882,Baptism--Catholic Church,http://id.worldcat.org/fast/1766653,,
Baptism--Catholic Church.,a--x,fast,http://id.worldcat.org/fast/1766653,Baptism--Catholic Church,http://id.worldcat.org/fast/1766653,,
Baptism of Jesus Christ.,a,fast,http://id.worldcat.org/fast/1351993,Baptism of Jesus Christ,http://id.worldcat.org/fast/1351993,,
Barberino di Val d'Elsa (Italy)--History--15th century.,a--x--y,0,,Italy--Barberino di Val d'Elsa;History;Fifteenth century,http://id.worldcat.org/fast/1284815;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,,
"Barcelona (Spain)--Charters, grants, privileges--12th century.",a--x--y,0,,Spain--Barcelona;Twelfth century,http://id.worldcat.org/fast/1204531;http://id.worldcat.org/fast/1159791,,
Barga (Italy)--History.,a--x,0,,Italy--Barga;History,http://id.worldcat.org/fast/1235479;http://id.worldcat.org/fast/958235,,
Basel-Landschaft (Switzerland : Canton)--History.,a--x,0,,Switzerland--Basel-Landschaft (Canton);History,http://id.worldcat.org/fast/1336641;http://id.worldcat.org/fast/958235,,
Bavaria (Germany)--History--Sources.,a--x--v,0,,Germany--Bavaria;History;Sources,http://id.worldcat.org/fast/1211843;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Belgium--Liège.,a--z,fast,http://id.worldcat.org/fast/1207176,Belgium--Liège,http://id.worldcat.org/fast/1207176,,
Benedictine monasteries.,a,fast,http://id.worldcat.org/fast/830310,Benedictine monasteries,http://id.worldcat.org/fast/830310,,
Benedictine monasteries--France--Early works to 1800.,a--z--v,0,,,,Benedictine monasteries;France;Early works,http://id.worldcat.org/fast/830310;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636
Benedictine monasteries--Italy.,a--z,0,,Benedictine monasteries;Italy,http://id.worldcat.org/fast/830310;http://id.worldcat.org/fast/1204565,,
Biography.,a,fast,http://id.worldcat.org/fast/832149,Biographies,http://id.worldcat.org/fast/1919896,,
Biography--Early works to 1800.,a--v,0,,,,Biographies;Early works,http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636
Bishops.,a,0,http://id.loc.gov/authorities/subjects/sh85014419,Bishops,http://id.worldcat.org/fast/833378,,
Bishops.,a,fast,http://id.worldcat.org/fast/833378,Bishops,http://id.worldcat.org/fast/833378,,
"Bishops--Appointment, call, and election.",a--x,fast,http://id.worldcat.org/fast/833379,"Bishops--Appointment, call, and election",http://id.worldcat.org/fast/833379,,
"Bishops--Appointment, call, and election.",a--x,0,http://id.loc.gov/authorities/subjects/sh85014420,"Bishops--Appointment, call, and election",http://id.worldcat.org/fast/833379,,
"Bishops--Appointment, call, and election--Early works to 1800.",a--x--v,0,,"Bishops--Appointment, call, and election;Early works",http://id.worldcat.org/fast/833379;http://id.worldcat.org/fast/1411636,,
Bishops--Early works to 1800.,a--v,0,,Bishops;Early works,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636,,
Bishops--France--Lyon--History--To 1500.,a--z--z--x--y,0,,,,Bishops;France--Lyon;History,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1214593;http://id.worldcat.org/fast/958235
Bishops--Temporal power.,a--x,fast,http://id.worldcat.org/fast/833391,Bishops--Temporal power,http://id.worldcat.org/fast/833391,,
Bishops--Temporal power--Early works to 1800.,a--x--v,0,,Bishops--Temporal power;Early works,http://id.worldcat.org/fast/833391;http://id.worldcat.org/fast/1411636,,
Blois (France : County)--History.,a--x,0,,France--Blois (County);History,http://id.worldcat.org/fast/1335052;http://id.worldcat.org/fast/958235,,
Bohemia (Czech Republic)--Church history.,a--x,0,http://id.loc.gov/authorities/subjects/sh85015304,Czech Republic--Bohemia;Church history,http://id.worldcat.org/fast/1243096;http://id.worldcat.org/fast/1411629,,
Bologna (Italy),a,0,http://id.loc.gov/authorities/names/n79021394,Italy--Bologna,http://id.worldcat.org/fast/1204551,,
Books and reading.,a,fast,http://id.worldcat.org/fast/836454,Books and reading,http://id.worldcat.org/fast/836454,,
Books and reading--History--16th century.,a--x--y,0,,Books and reading;History;Sixteenth century,http://id.worldcat.org/fast/836454;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Booksellers and bookselling.,a,fast,http://id.worldcat.org/fast/836492,Booksellers and bookselling,http://id.worldcat.org/fast/836492,,
Booksellers and bookselling--Early works to 1800.,a--v,0,,Booksellers and bookselling;Early works,http://id.worldcat.org/fast/836492;http://id.worldcat.org/fast/1411636,,
Booksellers and bookselling--Italy.,a--z,0,,Booksellers and bookselling;Italy,http://id.worldcat.org/fast/836492;http://id.worldcat.org/fast/1204565,,
Books of hours--France--Early works to 1800.,a--z--v,0,,,,Books of hours;France;Early works,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636
Books of hours--Netherlands--Early works to 1800.,a--z--v,0,,,,Books of hours;Netherlands;Early works,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204034;http://id.worldcat.org/fast/1411636
Bosco Marengo (Italy)--History.,a--x,0,,Italy--Bosco Marengo;History,http://id.worldcat.org/fast/1235135;http://id.worldcat.org/fast/958235,,
Bosco Marengo (Italy)--Politics and government.,a--x,0,,Italy--Bosco Marengo;Politics and government,http://id.worldcat.org/fast/1235135;http://id.worldcat.org/fast/1919741,,
Bosco Marengo (Italy)--Statutes.,a--x,0,,Italy--Bosco Marengo;Statutes,http://id.worldcat.org/fast/1235135;http://id.worldcat.org/fast/1132185,,
"Botany, Medical.",a,fast,http://id.worldcat.org/fast/836961,"Botany, Medical",http://id.worldcat.org/fast/836961,,
