source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10227,Decretals,,s. XIII/XIV; 1290-1310,,,Latin,parchment,France,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 154"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10228,Decretalswith commentary,,s. XIII(1); 1200-1250,,,Latin,parchment,England?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 155"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10232,Memoriall to serve God,,s. XVI/XVII; 1590-1610,,,English,paper,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 159"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10233,Book of hours,,s. XV(in); 1400-1415,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 160"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10234,Book of hours,,s. XV(1/4); 1400-1425,,,Latin,parchment,Low Countries?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 161"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10235,Missal,,s. XIV/XV; 1390-1410,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 162"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10236,Gradual,,s. XV; 1400-1499,,,Latin,parchment,England?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 163"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10237,Processional,,s. XV; 1400-1499,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 164"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10238,Breviary for Sarum use,,s. XV(in); 1400-1415,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 165"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10239,Processional,,s. XIV/XV; 1390-1410,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 166"
