source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10050,"Ferial psalter, single leaves;Bible",,ca. 1490].,,,In Latin,"parchment, ill.",Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 055"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10051,"Commentary on the Koran (Arabic), 1276","Abdel Gawad, Mohammed",1859,,,In Arabic,paper,Egypt,"Slotkin, Stanley S;Saint Louis University, VFL MS 037"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10052,Gulistan,Saʻdī,1563,,,In Persian,paper,Iran,"Society of Foliophiles;Saint Louis University, VFL MS 038"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10053,"Qur'an, single leaf;Qurʼan",,ca. 16--,,,In Arabic,paper,Egypt,"Society of Foliophiles;Saint Louis University, VFL MS 039"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10054,"Biographies of noted Sufis and distinguised men in Islam, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 040)",,1478,,,In Persian,paper,Kandahār,"Society of Foliophiles;Saint Louis University, VFL MS 040"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10055,"Qur'an, single leaf;Qurʼan",,ca. 18--,,,In Arabic,paper,Nigeria?,"Society of Foliophiles;Saint Louis University, VFL MS 041"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10056,"Book of litanies, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 042)",,ca. 15--,,,In Arabic,paper,Turkey?,"Society of Foliophiles;Saint Louis University, VFL MS 042"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10058,"The history of Rama, single leaf;Râmâyaṇa (Old Javanese kakawin)",,18--].,,,"In modern Javanese, rendered from the original Kawi",paper,Indonesia,"Society of Foliophiles;Saint Louis University, VFL MS 048"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10059,"Bhagavadgītā, chapter 15, verses 12 to 16, single leaf;Bhagavadgītā",,18--].,,,In Sanskrit,paper,India,"Society of Foliophiles;Saint Louis University, VFL MS 045"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10060,"Book of prayers, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 043)",Church of the East,15--].,,,In Syriac,paper,Syria,"Society of Foliophiles;Saint Louis University, VFL MS 043"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10064,"Buddhist canon, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 047)",,17--].,,,In Pali,palm (taliput) leaf,Burma,"Society of Foliophiles;Saint Louis University, VFL MS 047"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10065,"Chinese Buddhist canon, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 049)",,14--].,,,In Japanese,paper,Japan,"Society of Foliophiles;Saint Louis University, VFL MS 049"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10066,Book of questions,"Grigor, Tatʻevatsʻi, Saint, 1346-1409",1741].,,,In Armenian,parchment,Armenia,"Society of Foliophiles;Saint Louis University, VFL MS 051"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10061,"Tamil Bible with commentary, single leaf;Bible",,17--].,,,In Tamil,palm (taliput) leaf,Sri Lanka,"Society of Foliophiles;Saint Louis University, VFL MS 046"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10062,"Ise Monogatari, single leaf;Ise monogatari",,16--].,,,In Japanese,paper,Japan,"Society of Foliophiles;Saint Louis University, VFL MS 050"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10063,"Astrological and religious text, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 044)",,17--].,,,In Sanskrit,paper,India,"Society of Foliophiles;Saint Louis University, VFL MS 044"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10068,"Psalms from a book of hours, single leaf;Book of hours",Catholic Church,ca. 1475].,,,In Latin,parchment,France,"Freudenheim, Betty;Ege, Otto F;Saint Louis University, VFL MS 062"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10069,"Book of hours, single leaf;Book of hours",Catholic Church,ca. 1450].,,,In Latin,parchment,Bruges,"Strouse, Norman H;Saint Louis University, VFL MS 063"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10070,"Antiphonary, single leaf;Antiphonary",Catholic Church,ca. 1460-70].,,,In Latin,parchment,Venice,"Strouse, Norman H;Saint Louis University, VFL MS 064"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10071,"Ferial Psalter, single leaf;Psalter",Catholic Church,ca. 1470].,,,In Latin,parchment,France,"Strouse, Norman H;Saint Louis University, VFL MS 065"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10034,"Carta ejecutoria de hidalguia, Juan de Gayferos de Eguiraum (Pius XII Memorial Library. Manuscript. VFL MS 026)",Spain. Sovereign (1556-1598 : Philip II),1587.,,,In Spanish,"parchment, illustrations",Valladolid,"Gayferos de Eguiraum, Juan de, active 1587;Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 026"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10035,Qur'an single leaf;Qurʼan,,ca. 18--,,,In Arabic,paper,Iran,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 025"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10036,"Antiphonary, imperfect;Antiphonary",Catholic Church,ca. 1550,,,Latin,parchment,Spain,"Dauphinais, Sarah;Saint Louis University, VFL MS 031"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10038,Canzioniere e Trionfi] /;Rime (Pius XII Memorial Library. Manuscript. VFL MS 029),"Petrarca, Francesco, 1304-1374",ca. 1450-1480,,,In Italian,"parchment, ill.",Florence,"Vernon, George John Warren, 1803-1866;Thomas, Sewell;Thomas, Marie;Saint Louis University, VFL MS 029"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10040,"Llangattock Breviary, single leaves;Breviary",Catholic Church,1441-1448,"Giorgio, d'Alemagna, active 1441-1479;Giraldi, Guglielmo, -approximately 1480;Benincà, Bartolomeo de;Pasti, Matteo de', approximately 1420-approximately 1467",,In Latin,parchment,Ferrara,"Llangattock, John Allan Rolls, Baron , 1837-1912;Fischmann, Milton, d. 1974;Fischmann, Gail;Este, Leonello d', 1407-1450;Saint Louis University, VFL MS 002"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10041,"Book of hours, single leaves;Book of hours",Catholic Church,ca. 1420].,,,In Latin; calendar in French,"parchment, ill.",Coutances,"St. Mary's College (Saint Marys, Kan.), 1848-1968;Saint Louis University, VFL MS 035"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10044,"Breviary, single leaf;Breviary",Catholic Church,13--].,,,In Latin,"parchment,",Italy,"Society of Foliophiles;Saint Louis University, VFL MS 052"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10046,De medicina equorum,"Ruffo, Giordano, -1256",ca. 1350].,,,In Latin,parchment,Italy,"Brambilla, Giovanni Alessandro, 1728-1800;Malacarne, Vincenzo, 1744-1816;Saint Louis University, VFL MS 061"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10008,"Bible, single leaves;Bible",,ca. 1270,,,Latin,parchment,France,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 001"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10009,"Book of hours, use of Rome;Book of hours (Pius XII Memorial Library. Manuscript. VFL MS 003)",Catholic Church,ca. 1460-1470,,,Latin,parchment,Ferrara,"Fischmann, Milton, d.1974;Fischmann, Gail;Saint Louis University, VFL MS 003"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10010,"Book of hours, single leaf;Book of hours",Catholic Church,ca. 1470,,,Latin,"parchment, illustrations",France,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 005"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10011,"Psalter, single leaves;Bible",,ca. 1260,,,Latin,"parchment, illustrations",France,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 006"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10012,"Book of hours, single leaves;Book of hours",Catholic Church,ca. 1470,,,Latin,"parchment, illustrations",France,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 004"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10013,"Corpus juris civilis, single leaf;Authenticum",,ca. 1280-1290,,,In Latin,"parchment, illustrations",Bologna,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 007"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10014,"Gradual, single leaves;Gradual",Catholic Church,ca. 1335,,,Latin,"parchment, music",France,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 008"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10015,"Antiphonary, single leaf;Antiphonary",Catholic Church,ca.1480,,,Latin,"parchment, illustrations",Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 009"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10016,"Gradual, single leaves;Gradual",Catholic Church,15--,,,Latin,"parchment, ill.",France,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 010"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10017,"Qur'an, single leaves;Qurʼan",,17th-18th century,,,In Arabic and Persian,paper,India,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 024"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10018,"Antiphonary, cutting;Antiphonary",Catholic Church,ca. 1420,,,Latin,"parchment, ill.",Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 023"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10020,Gradual single leaf;Gradual,Catholic Church,ca.1300,,,Latin,parchment,Italy,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 011"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10021,Missal single leaf;Missal,Catholic Church,ca. 1320,,,Latin,parchment,Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 016"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10022,Antiphonary single leaf;Antiphonary,Catholic Church,13--,,,Latin,parchment,Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 012"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10023,Antiphonary single leaf;Antiphonary,Catholic Church,13--,,,Latin,parchment,Italy,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 013"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10024,Antiphonary single leaf;Antiphonary,Catholic Church,13--,,,Latin,parchment,Italy,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 014"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10025,"Gradual, single leaves;Gradual",Catholic Church,ca. 1460,,,Latin,parchment,Italy,"Fischmann, Gail;Fischmann, Milton, d.1974;Saint Louis University, VFL MS 015"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10026,Antiphonary single leaf;Antiphonary,Catholic Church,ca. 1300,,,Latin,parchment,Bologna,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 017"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10027,"Antiphonary, single leaf;Antiphonary",Catholic Church,15--,,,Latin,parchment,Spain,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 019"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10028,"Breviary, single leaf;Breviary",Catholic Church,ca. 1460,,,Latin,parchment,Spain,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 018"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10029,"Antiphonary, single leaves;Antiphonary",Catholic Church,15--,,,Latin,parchment,Spain,"Fischmann, Gail;Fischmann, Milton, d. 1974;Saint Louis University, VFL MS 020"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10030,"Antiphonary, single leaf;Antiphonary",Catholic Church,16--,,,Latin,"parchment, illustrations",Spain,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 021"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10031,"Antiphonary, single leaf;Antiphonary",Catholic Church,ca. 1340,,,Latin,parchment,Italy,"Fischmann, Milton, d. 1974;Fischmann, Gail;Saint Louis University, VFL MS 022"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10032,"Antiphonary, fragment;Antiphonary",Catholic Church,17--].,,,In Latin,parchment,Spain,"Fischmann, Gail;Saint Louis University, VFL MS 027"
