holding_institution,shelfmark,url
gts,09 Western,https://archive.org/details/09Western_23
gts,10 Western,https://archive.org/details/10Western_23
gts,11 Western,https://archive.org/details/11Western_23
gts,12 Western,https://archive.org/details/12Western_23
gts,13 Western,https://archive.org/details/13Western_23
gts,14 Western,https://archive.org/details/14Western_23
gts,15 Western,https://archive.org/details/15Western_23
gts,16 Western,https://archive.org/details/16Western_23
gts,17 Western,https://archive.org/details/17Western_23
gts,18 Western,https://archive.org/details/18Western_23
gts,19 Western,https://archive.org/details/19Western_23
indiana,Adomeit 21,https://archive.org/details/Adomeit21_40
indiana,Adomeit 48,https://archive.org/details/Adomeit48_40
indiana,Adomeit 9,https://archive.org/details/Adomeit9_40
indiana,Allen 7,https://archive.org/details/Allen7_40
indiana,Ege 15,https://archive.org/details/Ege15_40
indiana,Gottfried Mss.,https://archive.org/details/GottfriedMss_40
indiana,Medieval and Renaissance 14,https://archive.org/details/MedievalandRenaissance14_40
indiana,Medieval and Renaissance 15,https://archive.org/details/MedievalandRenaissance15_40
indiana,Medieval and Renaissance 2,https://archive.org/details/MedievalandRenaissance2_40
indiana,Medieval and Renaissance 26,https://archive.org/details/MedievalandRenaissance26_40
indiana,Medieval and Renaissance 29,https://archive.org/details/MedievalandRenaissance29_40
indiana,Medieval and Renaissance 30,https://archive.org/details/MedievalandRenaissance30_40
indiana,Medieval and Renaissance 34,https://archive.org/details/MedievalandRenaissance34_40
indiana,Medieval and Renaissance 36,https://archive.org/details/MedievalandRenaissance36_40
indiana,Medieval and Renaissance 46,https://archive.org/details/MedievalandRenaissance46_40
indiana,Medieval and Renaissance 47,https://archive.org/details/MedievalandRenaissance47_40
indiana,Medieval and Renaissance 48,https://archive.org/details/MedievalandRenaissance48_40
indiana,Poole 102,https://archive.org/details/Poole102_40
indiana,Poole 11,https://archive.org/details/Poole11_40
indiana,Poole 133,https://archive.org/details/Poole133_40
indiana,Poole 136,https://archive.org/details/Poole136_40
indiana,Poole 13,https://archive.org/details/Poole13_40
indiana,Poole 14,https://archive.org/details/Poole14_40
indiana,Poole 16,https://archive.org/details/Poole16_40
indiana,Poole 17,https://archive.org/details/Poole17_40
indiana,Poole 18,https://archive.org/details/Poole18_40
indiana,Poole 19,https://archive.org/details/Poole19_40
indiana,Poole 20,https://archive.org/details/Poole20_40
indiana,Poole 24,https://archive.org/details/Poole24_40
indiana,Poole 27,https://archive.org/details/Poole27_40
indiana,Poole 30,https://archive.org/details/Poole30_40
indiana,Poole 32,https://archive.org/details/Poole32_40
indiana,Poole 38,https://archive.org/details/Poole38_40
indiana,Poole 39,https://archive.org/details/Poole39_40
indiana,Poole 40,https://archive.org/details/Poole40_40
indiana,Poole 41,https://archive.org/details/Poole41_40
indiana,Poole 70,https://archive.org/details/Poole70_40
indiana,Poole 82,https://archive.org/details/Poole82_40
indiana,Poole 8,https://archive.org/details/Poole8_40
indiana,Poole 98,https://archive.org/details/Poole98_40
indiana,Poole 9,https://archive.org/details/Poole9_40
indiana,Ricketts 101,https://archive.org/details/Ricketts101_40
indiana,Ricketts 107,https://archive.org/details/Ricketts107_40
indiana,Ricketts 108,https://archive.org/details/Ricketts108_40
indiana,Ricketts 117,https://archive.org/details/Ricketts117_40
indiana,Ricketts 118,https://archive.org/details/Ricketts118_40
indiana,Ricketts 120,https://archive.org/details/Ricketts120_40
indiana,Ricketts 12,https://archive.org/details/Ricketts12_40
indiana,Ricketts 133,https://archive.org/details/Ricketts133_40
indiana,Ricketts 136,https://archive.org/details/Ricketts136_40
indiana,Ricketts 140,https://archive.org/details/Ricketts140_40
indiana,Ricketts 141,https://archive.org/details/Ricketts141_40
indiana,Ricketts 144,https://archive.org/details/Ricketts144_40
indiana,Ricketts 148,https://archive.org/details/Ricketts148_40
indiana,Ricketts 155,https://archive.org/details/Ricketts155_40
indiana,Ricketts 157,https://archive.org/details/Ricketts157_40
indiana,Ricketts 15,https://archive.org/details/Ricketts15_40
indiana,Ricketts 162,https://archive.org/details/Ricketts162_40
