subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
Saints--Legends--Early works to 1800.,a--v--v,0,"",Saints;Legends;Early works,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/1423803;http://id.worldcat.org/fast/1411636
"Sermons, Latin--Early works to 1800.",a--v,0,"","Sermons, Latin;Early works",http://id.worldcat.org/fast/1113283;http://id.worldcat.org/fast/1411636
Sibyls--Early works to 1800.,a--v,0,"","",""
Sin--Christianity--Early works to 1800.,a--x--v,0,"","",""
Solar system--Early works to 1800.,a--v,0,"","",""
Spiritual life--Christianity--Early works to 1800.,a--x--v,0,"",Spiritual life--Christianity;Christianity;Early works,http://id.worldcat.org/fast/1130113;http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636
Spirituality--Christianity--Early works to 1800.,a--x--v,0,"","",""
Sun--Early works to 1800.,a--v,0,"","",""
"Theology, Doctrinal--Early works to 1800.",a--v,0,"","Theology, Doctrinal;Early works",http://id.worldcat.org/fast/1149617;http://id.worldcat.org/fast/1411636
Theology--Early works to 1800.,a--v,0,"",Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636
Trojan War--Early works to 1800.,a--v,0,"",Trojan War;Early works,http://id.worldcat.org/fast/1157294;http://id.worldcat.org/fast/1411636
Trojans--History--Early works to 1800.,a--x--v,0,"","",""
Troy (Extinct city)--History--Early works to 1800.,a--x--v,0,"","",""
Troy (Extinct city)--Legends.,a--v,0,"",Turkey--Troy (Extinct city);Legends,http://id.worldcat.org/fast/1896842;http://id.worldcat.org/fast/1423803
Uther Pendragon (Legendary character)--Early works to 1800.,a--v,0,"","",""
Vices--Early works to 1800.,a--v,0,"",Vices;Early works,http://id.worldcat.org/fast/1166263;http://id.worldcat.org/fast/1411636
Virtues--Early works to 1800.,a--v,0,"",Virtues;Early works,http://id.worldcat.org/fast/1167724;http://id.worldcat.org/fast/1411636
Visions in literature.,a,0,"","",""
Voyages and travels--Early works to 1800.,a--v,0,"","",""
World history--Early works to 1800.,a--v,0,"",World history;Early works,http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636
Zodiac--Early works to 1800.,a--v,0,"",Zodiac;Early works,http://id.worldcat.org/fast/1184573;http://id.worldcat.org/fast/1411636
