signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Athens, Ohio, Ohio University, ege-45","manuscript containing Ege leaf 45: Book of hours, France, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,"Ege leaf 45: Book of hours, France, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30527,ege_45_france_book-hours,ege-45,https://media.library.ohio.edu/iiif/2/p15808coll19:163/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114854,https://search.digital-scriptorium.org/catalog/DS30527,http://media.library.ohio.edu/digital/collection/p15808coll19/id/163,https://catalog.digital-scriptorium.org/entity/Q114853
"Athens, Ohio, Ohio University, ege-47","manuscript containing Ege leaf 47: Book of hours, Netherlands, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Gothic,Q397,"Ege leaf 47: Book of hours, Netherlands, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30528,ege_47_netherlands_book-hours,ege-47,https://media.library.ohio.edu/iiif/2/p15808coll19:195/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114857,https://search.digital-scriptorium.org/catalog/DS30528,http://media.library.ohio.edu/digital/collection/p15808coll19/id/195,https://catalog.digital-scriptorium.org/entity/Q114856
"Athens, Ohio, Ohio University, ege-48","manuscript containing Ege leaf 48: Book of hours, Netherlands, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Gothic,Q397,"Ege leaf 48: Book of hours, Netherlands, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30529,ege_48_netherlands_book-hours,ege-48,https://media.library.ohio.edu/iiif/2/p15808coll19:179/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114860,https://search.digital-scriptorium.org/catalog/DS30529,http://media.library.ohio.edu/digital/collection/p15808coll19/id/179,https://catalog.digital-scriptorium.org/entity/Q114859
"Athens, Ohio, Ohio University, ege-49","manuscript containing Ege leaf 49: Missal, Germany, 1500s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1599,https://catalog.digital-scriptorium.org/entity/Q131,,,Script: bastarda,Q397,"Ege leaf 49: Missal, Germany, 1500s",Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q7109575,Q1075339,DS30530,ege_49_germany_missal,ege-49,https://media.library.ohio.edu/iiif/2/p15808coll19:191/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114863,https://search.digital-scriptorium.org/catalog/DS30530,http://media.library.ohio.edu/digital/collection/p15808coll19/id/191,https://catalog.digital-scriptorium.org/entity/Q114862
"Athens, Ohio, Ohio University, ege-50","manuscript containing Ege leaf 50: Book of hours, France, circa 1535",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1515,1555,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic cursive,Q397,"Ege leaf 50: Book of hours, France, circa 1535",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30531,ege_50_france_book-hours,ege-50,https://media.library.ohio.edu/iiif/2/p15808coll19:167/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114866,https://search.digital-scriptorium.org/catalog/DS30531,http://media.library.ohio.edu/digital/collection/p15808coll19/id/167,https://catalog.digital-scriptorium.org/entity/Q114865
"Athens, Ohio, Ohio University, ege-05","manuscript containing Ege leaf 05: Vulgate Bible, France, 1200s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,"Ege leaf 05: Vulgate Bible, France, 1200s",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q1075339,DS30482,ege_05_france_bible,ege-05,https://media.library.ohio.edu/iiif/2/p15808coll19:11/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114719,https://search.digital-scriptorium.org/catalog/DS30482,http://media.library.ohio.edu/digital/collection/p15808coll19/id/11,https://catalog.digital-scriptorium.org/entity/Q114718
"Athens, Ohio, Ohio University, ege-06","manuscript containing Ege leaf 06: Vulgate Bible, England, 1200s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q38162,,,Script: Gothic,Q397,"Ege leaf 06: Vulgate Bible, England, 1200s",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q1075339,DS30483,ege_06_england_cambridge,ege-06,https://media.library.ohio.edu/iiif/2/p15808coll19:19/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114722,https://search.digital-scriptorium.org/catalog/DS30483,http://media.library.ohio.edu/digital/collection/p15808coll19/id/19,https://catalog.digital-scriptorium.org/entity/Q114721
"Athens, Ohio, Ohio University, ege-09","manuscript containing Ege leaf 09: Vulgate Bible, France, circa 1535",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1515,1555,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,,Script: Gothic,Q397,"Ege leaf 09: Vulgate Bible, France, circa 1535",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q1075339,DS30484,ege_09_france_bible,ege-09,https://media.library.ohio.edu/iiif/2/p15808coll19:35/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114725,https://search.digital-scriptorium.org/catalog/DS30484,http://media.library.ohio.edu/digital/collection/p15808coll19/id/35,https://catalog.digital-scriptorium.org/entity/Q114724
"Athens, Ohio, Ohio University, ege-11","manuscript containing Ege leaf 11: Vulgate Bible, Italy, 1200s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic,Q397,"Ege leaf 11: Vulgate Bible, Italy, 1200s",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q1075339,DS30485,ege_11_italy_bible,ege-11,https://media.library.ohio.edu/iiif/2/p15808coll19:47/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114728,https://search.digital-scriptorium.org/catalog/DS30485,http://media.library.ohio.edu/digital/collection/p15808coll19/id/47,https://catalog.digital-scriptorium.org/entity/Q114727
"Athens, Ohio, Ohio University, ege-13","manuscript containing Ege leaf 13: Vulgate Bible, England, 1200s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q3654,,,Script: Gothic,Q397,"Ege leaf 13: Vulgate Bible, England, 1200s",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q1075339,DS30486,ege_13_england_oxford-bible,ege-13,https://media.library.ohio.edu/iiif/2/p15808coll19:59/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114731,https://search.digital-scriptorium.org/catalog/DS30486,http://media.library.ohio.edu/digital/collection/p15808coll19/id/59,https://catalog.digital-scriptorium.org/entity/Q114730
