signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link,dsItemID
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-28",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1450,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16490,cc20190605_28,PORTFOLIO BOX 2-28,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~64~2394/manifest,https://catalog.digital-scriptorium.org/entity/Q69163,https://digitalcollections.rit.edu/luna/servlet/s/u95wp2,https://catalog.digital-scriptorium.org/entity/Q69162
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-29",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16491,cc20190605_29,PORTFOLIO BOX 2-29,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~65~2395/manifest,https://catalog.digital-scriptorium.org/entity/Q69166,https://digitalcollections.rit.edu/luna/servlet/s/ofr593,https://catalog.digital-scriptorium.org/entity/Q69165
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-30",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1450,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic script in black ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16492,cc20190605_30,PORTFOLIO BOX 2-30,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~66~2439/manifest,https://catalog.digital-scriptorium.org/entity/Q69169,https://digitalcollections.rit.edu/luna/servlet/s/xc3zrl,https://catalog.digital-scriptorium.org/entity/Q69168
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-36",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1450,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in a Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16493,cc20190605_36,PORTFOLIO BOX 2-36,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~72~2445/manifest,https://catalog.digital-scriptorium.org/entity/Q69172,https://digitalcollections.rit.edu/luna/servlet/s/2sah5c,https://catalog.digital-scriptorium.org/entity/Q69171
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-43",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1475,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Written in an angular Gothic script in black ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16494,cc20190605_43,PORTFOLIO BOX 2-43,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~80~2470/manifest,https://catalog.digital-scriptorium.org/entity/Q69175,https://digitalcollections.rit.edu/luna/servlet/s/2m431s,https://catalog.digital-scriptorium.org/entity/Q69174
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-45",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic textualis script in black ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16495,cc20190605_45,PORTFOLIO BOX 2-45,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~82~2472/manifest,https://catalog.digital-scriptorium.org/entity/Q69178,https://digitalcollections.rit.edu/luna/servlet/s/7r42pu,https://catalog.digital-scriptorium.org/entity/Q69177
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-46",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1475,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q126,,,Script: Written in an angular Gothic script in black ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16496,cc20190605_46,PORTFOLIO BOX 2-46,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~83~2473/manifest,https://catalog.digital-scriptorium.org/entity/Q69181,https://digitalcollections.rit.edu/luna/servlet/s/d935ku,https://catalog.digital-scriptorium.org/entity/Q69180
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-47",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1475,https://catalog.digital-scriptorium.org/entity/Q126,,,Script: Written in an angular Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16497,cc20190605_47,PORTFOLIO BOX 2-47,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~84~2474/manifest,https://catalog.digital-scriptorium.org/entity/Q69184,https://digitalcollections.rit.edu/luna/servlet/s/4zcwpc,https://catalog.digital-scriptorium.org/entity/Q69183
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-48",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1480,1480,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16498,cc20190605_48,PORTFOLIO BOX 2-48,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~85~2475/manifest,https://catalog.digital-scriptorium.org/entity/Q69187,https://digitalcollections.rit.edu/luna/servlet/s/78vt11,https://catalog.digital-scriptorium.org/entity/Q69186
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-50",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1500,1500,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in a bastarde Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16499,cc20190605_50,PORTFOLIO BOX 2-50,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~87~2477/manifest,https://catalog.digital-scriptorium.org/entity/Q69190,https://digitalcollections.rit.edu/luna/servlet/s/h37dl9,https://catalog.digital-scriptorium.org/entity/Q69189
