signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 32","manuscript containing Portolan atlas, Spanish; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1585,1599,https://catalog.digital-scriptorium.org/entity/Q38239,,,,Q1321,"Portolan atlas, Spanish; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q124380429,,Q1400558,DS9776,.b18620061,mssHM 32,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46101/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43332,https://search.digital-scriptorium.org/catalog/DS9776,https://catalog.huntington.org/record=b1862006,Q43331
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 33","manuscript containing Portolan atlas, Italian; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1575,1599,https://catalog.digital-scriptorium.org/entity/Q38247,,,,Q652,"Portolan atlas, Italian; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q18814556,,Q1400558,DS9777,.b18620073,mssHM 33,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46182/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43335,https://search.digital-scriptorium.org/catalog/DS9777,https://catalog.huntington.org/record=b1862007,Q43334
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 35","manuscript containing Portolan atlas, Portuguese; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1546,1546,https://catalog.digital-scriptorium.org/entity/Q19906,,,,Q397,"Portolan atlas, Portuguese; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q10311528,,Q1400558,DS9779,.b18620097,mssHM 35,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46255/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43341,https://search.digital-scriptorium.org/catalog/DS9779,https://catalog.huntington.org/record=b1862009,Q43340
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 36",manuscript containing Book of privileges of Columbus,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1502,1502,https://catalog.digital-scriptorium.org/entity/Q3102,,,Script: Secretary.,Q1321,Book of privileges of Columbus,Privileges,https://catalog.digital-scriptorium.org/entity/Q4353,Q45859|Q12860|Q29,,Q1400558,DS9780,.b18620103,mssHM 36,,https://catalog.digital-scriptorium.org/entity/Q43344,https://search.digital-scriptorium.org/catalog/DS9780,https://catalog.huntington.org/record=b1862010,Q43343
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 40","manuscript containing Portolan atlas, Italian; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1602,1602,https://catalog.digital-scriptorium.org/entity/Q3099,,,,Q397,"Portolan atlas, Italian; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q112428342,,Q1400558,DS9784,.b18620140,mssHM 40,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48056/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43356,https://search.digital-scriptorium.org/catalog/DS9784,https://catalog.huntington.org/record=b1862014,Q43355
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 41","manuscript containing Portolan atlas, Portuguese; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1550,1575,https://catalog.digital-scriptorium.org/entity/Q38204,,,,Q397,"Portolan atlas, Portuguese; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q2349261,,Q1400558,DS9785,.b18620152,mssHM 41,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46241/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43359,https://search.digital-scriptorium.org/catalog/DS9785,https://catalog.huntington.org/record=b1862015,Q43358
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 37","manuscript containing Portolan atlas, Italian; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1661,1661,https://catalog.digital-scriptorium.org/entity/Q2823,,,,Q397,"Portolan atlas, Italian; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q3165870,,Q1400558,DS9781,.b18620115,mssHM 37,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46285/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43347,https://search.digital-scriptorium.org/catalog/DS9781,https://catalog.huntington.org/record=b1862011,Q43346
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 38","manuscript containing Portolan atlas, Italian; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1677,1677,https://catalog.digital-scriptorium.org/entity/Q7213,,,,Q397,"Portolan atlas, Italian; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q124364123,,Q1400558,DS9782,.b18620127,mssHM 38,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46190/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43350,https://search.digital-scriptorium.org/catalog/DS9782,https://catalog.huntington.org/record=b1862012,Q43349
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 43","manuscript containing Portolan chart, English; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1650,1675,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Portolan chart, English; cartographic material",Portolan chart,https://catalog.digital-scriptorium.org/entity/Q38411,Q124380447,,Q1400558,DS9787,.b18620176,mssHM 43,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48323/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43365,https://search.digital-scriptorium.org/catalog/DS9787,https://catalog.huntington.org/record=b1862017,Q43364
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 44","manuscript containing Portolan atlas, Portuguese; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1550,1599,https://catalog.digital-scriptorium.org/entity/Q19906,,,,Q397,"Portolan atlas, Portuguese; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q265633,,Q1400558,DS9788,.b18620188,mssHM 44,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46336/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43368,https://search.digital-scriptorium.org/catalog/DS9788,https://catalog.huntington.org/record=b1862018,Q43367
