signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Cambridge, Massachusetts, Harvard University, MS Arab 240",manuscript containing Kitāb baʻḍ shurūḥāt dīnīyah fī al-sharīʻah al-Islāmīyah,Q87167,,https://catalog.digital-scriptorium.org/entity/Q95,1216,1216,,,,,Q13955,Kitāb baʻḍ shurūḥāt dīnīyah fī al-sharīʻah al-Islāmīyah,Kitāb baʻḍ shurūḥāt dīnīyah fī al-sharīʻah al-Islāmīyah,https://catalog.digital-scriptorium.org/entity/Q39484,,,Q13371,DS11306,990073442460203941,MS Arab 240,,https://catalog.digital-scriptorium.org/entity/Q48020,https://search.digital-scriptorium.org/catalog/DS11306,https://id.lib.harvard.edu/alma/990073442460203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48019
"Cambridge, Massachusetts, Harvard University, MS Arab 94",manuscript containing Hādhā al-kitāb yabḥath fī al-lughah /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1508,1508,,,,,Q13955,Hādhā al-kitāb yabḥath fī al-lughah /,Hādhā al-kitāb yabḥath fī al-lughah,https://catalog.digital-scriptorium.org/entity/Q39414,Q124566991,,Q13371,DS11307,990073442190203941,MS Arab 94,,https://catalog.digital-scriptorium.org/entity/Q48023,https://search.digital-scriptorium.org/catalog/DS11307,https://id.lib.harvard.edu/alma/990073442190203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48022
"Cambridge, Massachusetts, Harvard University, MS Arab 191",manuscript containing al-Najm al-wahhāj fī sharḥ al-Minhāj,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1461,1461,,,,,Q13955,al-Najm al-wahhāj fī sharḥ al-Minhāj,Najm al-wahhāj fī sharḥ al-Minhāj,https://catalog.digital-scriptorium.org/entity/Q39189,Q330616,,Q13371,DS11308,990073450940203941,MS Arab 191,,https://catalog.digital-scriptorium.org/entity/Q48026,https://search.digital-scriptorium.org/catalog/DS11308,https://id.lib.harvard.edu/alma/990073450940203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48025
"Cambridge, Massachusetts, Harvard University, MS Arab 324",manuscript containing Masālik al-afhām fī sharāʾiʻ al-Islām,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1554,1554,,,,,Q13955,Masālik al-afhām fī sharāʾiʻ al-Islām,Masālik al-afhām,https://catalog.digital-scriptorium.org/entity/Q39980,Q4120058,,Q13371,DS11309,990073441200203941,MS Arab 324,,https://catalog.digital-scriptorium.org/entity/Q48029,https://search.digital-scriptorium.org/catalog/DS11309,https://id.lib.harvard.edu/alma/990073441200203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48028
"Cambridge, Massachusetts, Harvard University, MS Arab 345",manuscript containing Kitāb dalīl al-bayān,Q87167,,https://catalog.digital-scriptorium.org/entity/Q95,1266,1266,,,,,Q13955,Kitāb dalīl al-bayān,Dalīl al-bayān,https://catalog.digital-scriptorium.org/entity/Q39485,Q2743660,,Q13371,DS11310,990073460100203941,MS Arab 345,,https://catalog.digital-scriptorium.org/entity/Q48032,https://search.digital-scriptorium.org/catalog/DS11310,https://id.lib.harvard.edu/alma/990073460100203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48031
"Cambridge, Massachusetts, Harvard University, MS Arab 80",manuscript containing Kitāb muqaddimat ibn al-Ḥājib fī al-ṣarf wa-al-naḥw maʻa sharḥihimā,Q87167,,https://catalog.digital-scriptorium.org/entity/Q90,744,744,,,,,Q13955,Kitāb muqaddimat ibn al-Ḥājib fī al-ṣarf wa-al-naḥw maʻa sharḥihimā,Muqaddimat ibn al-Ḥājib,https://catalog.digital-scriptorium.org/entity/Q39504,Q124566986,,Q13371,DS11311,990073435170203941,MS Arab 80,,https://catalog.digital-scriptorium.org/entity/Q48035,https://search.digital-scriptorium.org/catalog/DS11311,https://id.lib.harvard.edu/alma/990073435170203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48034
"Cambridge, Massachusetts, Harvard University, MS Arab 328",manuscript containing Masālik al-afhām,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1556,1556,,,,,Q13955,Masālik al-afhām,Masālik al-afhām,https://catalog.digital-scriptorium.org/entity/Q39980,Q4120058,,Q13371,DS11312,990073441300203941,MS Arab 328,,https://catalog.digital-scriptorium.org/entity/Q48038,https://search.digital-scriptorium.org/catalog/DS11312,https://id.lib.harvard.edu/alma/990073441300203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48037
"Cambridge, Massachusetts, Harvard University, MS Arab 234",manuscript containing Kitāb ṣalawāt ḥasaba al-sharīʻah al-Islāmīyah fī Ramaḍān wa-ghayrihi wa-uṣūl al-dīn,Q87167,,https://catalog.digital-scriptorium.org/entity/Q90,726,726,,,,,Q13955,Kitāb ṣalawāt ḥasaba al-sharīʻah al-Islāmīyah fī Ramaḍān wa-ghayrihi wa-uṣūl al-dīn,Kitāb ṣalawāt ḥasaba al-sharīʻah al-Islāmīyah fī Ramaḍān wa-ghayrihi wa-uṣūl al-dīn,https://catalog.digital-scriptorium.org/entity/Q39510,Q124566850,,Q13371,DS11313,990073435210203941,MS Arab 234,,https://catalog.digital-scriptorium.org/entity/Q48041,https://search.digital-scriptorium.org/catalog/DS11313,https://id.lib.harvard.edu/alma/990073435210203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48040
"Cambridge, Massachusetts, Harvard University, MS Arab 143",manuscript containing Kitāb mafātīḥ sharāʾiʻ al-Islām /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q90,750,750,,,,,Q13955,Kitāb mafātīḥ sharāʾiʻ al-Islām /,Mafātīḥ sharāʾiʻ al-Islām,https://catalog.digital-scriptorium.org/entity/Q39498,Q124566799,,Q13371,DS11314,990073435230203941,MS Arab 143,,https://catalog.digital-scriptorium.org/entity/Q48044,https://search.digital-scriptorium.org/catalog/DS11314,https://id.lib.harvard.edu/alma/990073435230203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48043
"Cambridge, Massachusetts, Harvard University, MS Arab 101",manuscript containing Kitāb rasāʾil ʻilm al-uṣūl /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q92,931,931,,,,,Q13955,Kitāb rasāʾil ʻilm al-uṣūl /,Kitāb rasāʾil ʻilm al-uṣūl,https://catalog.digital-scriptorium.org/entity/Q39509,Q124566994,,Q13371,DS11315,990073440760203941,MS Arab 101,,https://catalog.digital-scriptorium.org/entity/Q48047,https://search.digital-scriptorium.org/catalog/DS11315,https://id.lib.harvard.edu/alma/990073440760203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48046
