language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Arabic, with colophon in Arabic and Ottoman Turkish (in Arabic script, f. 8v)",,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with a few words in Coptic,,Arabic;Coptic,Q13955;Q36155,Q118;Q4335,,,
Dakhini,,Dakhanī,Q669431,Q48680,,,
Coptic and Arabic,,,,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118
Arabic with some marginalia in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
"Arabic headwords, Ottoman definitions",,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic; some notes in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
"Italian, with one section in Latin (f. 18v)",,Italian;Latin,Q652;Q397,Q116;Q113,,,
"Latin, with later title and instructions for one later prayer in Italian (f.226r-226v)",,Latin;Italian,Q397;Q652,Q113;Q116,,,
"Hebrew (Biblical quotes) and introductions to books in Judeo-German and Latin (in Hebrew characters; Exodus, f. 3r; Numbers, f. 7v; Deuteronomy, f. 10v); astronomical/astrological portion with Judeo-German and Latin (in Hebrew characters; f. 57v-58v)",,Hebrew;Yiddish;Latin,Q9288;Q8641;Q397,Q117;Q74791;Q113,,,
Chinese,,,,,Chinese,Q7850,Q12715
Japanese,,,,,Japanese,Q5287,Q12711
In Pali,,,,,Pali,Q36727,Q27511
"Arabic, with a few annotations in Hebrew (f. 50r-50v)",,Arabic;Hebrew,Q13955;Q9288,Q118;Q117,,,
"Italian, with Latin headings, and Petrarch's letter about Laura both in Latin (f. 14r-15r) and Italian (f. 15r-15v)",,Italian;Latin,Q652;Q397,Q116;Q113,,,
lat,,,,,Latin,Q397,Q113
"Persian, with final pages in Hindi and using Sanskrit words",,Persian;Hindi;Sanskrit,Q9168;Q1568;Q11059,Q120;Q18354;Q27494,,,
Ottoman Turkish and Persian with some Arabic,,Ottoman Turkish;Persian;Arabic,Q36730;Q9168;Q13955,Q3104;Q120;Q118,,,
Persian with some Arabic,,Persian;Arabic,Q9168;Q13955,Q120;Q118,,,
Arabic with some Coptic,,Arabic;Coptic,Q13955;Q36155,Q118;Q4335,,,
Ottoman Turkish with some terminology and examples in Arabic,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
Coptic with some Arabic,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118,,,
Coptic with headings in Arabic,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118,,,
Coptic,,,,,Coptic,Q36155,Q4335
Tashelhit / Shilha,,,,,Tachelhit,Q34152,Q38120
Ottoman Turkish with titles in Arabic,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
Persian with source-text in Arabic; some glosses and notes in Chinese,,,,,Persian;Arabic;Chinese,Q9168;Q13955;Q7850,Q120;Q118;Q12715
Coptic with some headings and words in Arabic,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118,,,
Coptic with Arabic translation,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118,,,
Ottoman Turkish with source text in Arabic,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"Text in Hebrew, with sentences of instruction in Judeo-Arabic",,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
In Thai,,Thai,Q9217,Q27515,,,
Naxi,,Naxi,Q2478711,Q110646,,,
Ethiopic,,,,,Ge'ez,Q35667,Q3664
Greek numerals,,Greek,Q9129,Q1318,,,
"Latin, with some German glosses",,Latin;German,Q397;Q188,Q113;Q112,,,
"Spanish, with 2 poems by Camões in Portuguese",,Spanish;Portuguese,Q1321;Q5146,Q114;Q38114,,,
Italian,,,,,Italian,Q652,Q116
German,,,,,German,Q188,Q112
Latin and German,,,,,Latin;German,Q397;Q188,Q113;Q112
In Laotian-influenced Thai,,Lao;Thai,Q9211;Q9217,Q42446;Q27515,,,
"In Thai, with the first line in Khom (f. A01 lower)",,Thai;Khom Thai,Q9217;Q13023788,Q27515;Q110647,,,
In Thai and Pali,,,,,Thai;Pali,Q9217;Q36727,Q27515;Q27511
In Pali (Dhammasaṅgaṇi) and Thai (Phra Malai),,Pali;Thai,Q36727;Q9217,Q27511;Q27515,,,
In Pali (Abhidhamma chet kamphi) and Thai (Phra Malai),,Pali;Thai,Q36727;Q9217,Q27511;Q27515,,,
In Urdu,,Urdu,Q1617,Q27496,,,
In Sanskrit and Marathi,,,,,Sanskrit;Marathi,Q11059;Q1571,Q27494;Q27508
