row_index,workflow_history,place_as_recorded,authorized_label,structured_value
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Diocese of Treviso, Montello, Italy",Treviso;Volpago del Montello;Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Engalnd,England,http://vocab.getty.edu/tgn/7002445
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",England,England,http://vocab.getty.edu/tgn/7002445
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",England and Spain,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England,  Leicestershire and Staffordshire",England;Leicestershire;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Dorset",England;Dorset,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, East Anglia",England;East Anglia,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Kent",England;Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Leicestershire and Rutland",England;Leicestershire;Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Norfolk",England;Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Staffordshire",England;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Sussex",England;Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Warwickshire",England;Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","England, Worcestershire",England;Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",England?,England,http://vocab.getty.edu/tgn/7002445
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.454Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.481Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",England? France?,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070
