row_index,workflow_history,material_as_recorded,authorized_label,structured_value
21,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment :,parchment,http://vocab.getty.edu/aat/300011851
22,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
23,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","parchment, illuminations in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
24,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","parchment, penwork initials throughout",parchment,http://vocab.getty.edu/aat/300011851
25,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","parchment, penwork initials throughout, added s. xiv",parchment,http://vocab.getty.edu/aat/300011851
26,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
27,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
28,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
29,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment|paper and parchment,parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
30,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment|paper|paper and parchment,parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
31,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchment|silk,parchment|silk,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300243428
32,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",parchmetn,parchment,http://vocab.getty.edu/aat/300011851
33,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",stone,stone,http://vocab.getty.edu/aat/300011176
34,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
35,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",vellum,parchment,http://vocab.getty.edu/aat/300011851
36,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",vellum and paper,parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
37,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","vellum, col. ill ",parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","vellum, col. ill.;",parchment,http://vocab.getty.edu/aat/300011851
39,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","vellum, color illustrations",parchment,http://vocab.getty.edu/aat/300011851
40,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z","vellum, illuminated in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
41,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-06T14:27:30.915152900Z | MATERIAL RECON, STEP 3: FINALIZED 2022-12-06T21:45:05.000308900Z",wood,wood,http://vocab.getty.edu/aat/300011914
