row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
11,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Codices (bound manuscripts),aat,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
12,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Commentaries,aat,,commentaries,http://vocab.getty.edu/aat/300026098
13,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z","Criticism, interpretation, etc",fast,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635
14,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Decretals,aat,,decretals,http://vocab.getty.edu/aat/300026927
15,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Deeds,aat,,deeds,http://vocab.getty.edu/aat/300027249
16,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Diagrams,aat,,diagrams,http://vocab.getty.edu/aat/300015387
17,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Dialogues,aat,,dialogues,http://vocab.getty.edu/aat/300026185
18,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Drawings (visual works),aat,,drawings (visual works),http://vocab.getty.edu/aat/300033973
19,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Early works,fast,,Early works,http://id.worldcat.org/fast/1411636
20,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Encyclopedias,aat,,encyclopedias,http://vocab.getty.edu/aat/300129439
21,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Etymological dictionaries,aat,,etymological dictionaries,http://vocab.getty.edu/aat/300026200
22,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Excerpts,aat,,excerpts,http://vocab.getty.edu/aat/300026939
23,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Facsimiles,aat,,facsimiles (reproductions),http://vocab.getty.edu/aat/300121391
24,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Family histories,fast,,Family histories,http://id.worldcat.org/fast/1919924
25,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Family histories,lcgft,,Family histories,http://id.worldcat.org/fast/1919924
26,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Finding tabs,,,,
27,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Fragments (object portions),aat,,fragments (object portions),http://vocab.getty.edu/aat/300117130
28,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Genealogies (histories),aat,,genealogies (histories),http://vocab.getty.edu/aat/300027015
29,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Genealogy,fast,,Genealogy,http://id.worldcat.org/fast/1423818
30,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Glossaries,aat,,glossaries,http://vocab.getty.edu/aat/300026189
31,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Handbooks and manuals,lcgft,,Handbooks and manuals,http://id.worldcat.org/fast/1423877
32,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Handbooks and manuals,fast,,Handbooks and manuals,http://id.worldcat.org/fast/1423877
33,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Herbals (reference sources),aat,,herbals (reference sources),http://vocab.getty.edu/aat/300185352
34,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Histories,aat,,histories (literary works),http://vocab.getty.edu/aat/300026358
35,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Hybrid books,,,,
36,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Illuminations,aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
37,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Illuminations (painting),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
38,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Illuminations (visual works),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
39,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Illustrated works,fast,,Illustrated works,http://id.worldcat.org/fast/1423873
40,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Illustrated works,lcgft,,Illustrated works,http://id.worldcat.org/fast/1423873
41,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Indentures,aat,,indentures,http://vocab.getty.edu/aat/300027753
42,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Laws (documents),aat,,laws (documents),http://vocab.getty.edu/aat/300027894
43,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Legal documents,aat,,legal documents,http://vocab.getty.edu/aat/300027590
44,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.360752500Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.169759Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.134274200Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.417335800Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.913192200Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.653120700Z",Letters patent,aat,,letters patent,http://vocab.getty.edu/aat/300027820
