row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
117,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343172Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317798Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025078Z",eng;ita,eng;ita,English|Italian,Q1860|Q652
118,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343187Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317806Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025088Z",eng;ita;lat,eng;ita;lat,English|Italian|Latin,Q1860|Q652|Q397
119,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343201Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317823Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025095Z",eng;lat,eng;lat,English|Latin,Q1860|Q397
120,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343221Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317831Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025101Z",eng;lat;spa,eng;lat;spa,English|Latin|Spanish,Q1860|Q397|Q1321
121,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343235Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317839Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025114Z",eng;spa,eng;spa,English|Spanish,Q1860|Q1321
122,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343249Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317851Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025121Z",enm,enm,Middle English,Q36395
123,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343267Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317860Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025128Z",fre,fre,French,Q150
124,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343308Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317868Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025141Z",frm,frm,Middle French,Q1473289
125,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343323Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317880Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025148Z",frm;lat,frm;lat,Middle French|Latin,Q1473289|Q397
126,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343348Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317888Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025154Z",fro,fro,Old French,Q35222
127,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343363Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317898Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025167Z",ger,ger,German,Q188
128,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343376Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317907Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025174Z",gmh,gmh,Middle High German,Q837985
129,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343396Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317916Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025184Z",gre,gre,Greek,Q9129
130,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343411Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317930Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025192Z",heb,heb,Hebrew,Q9288
131,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343429Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317940Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025199Z",ice,ice,Icelandic,Q294
132,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343444Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317948Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025217Z",ita,ita,Italian,Q652
133,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343458Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317960Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025225Z",lat,lat,Latin,Q397
134,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343476Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317968Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025232Z",lat;eng,lat;eng,Latin|English,Q397|Q1860
135,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343491Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317976Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025242Z",lat;frm,lat;frm,Latin|Middle French,Q397|Q1473289
136,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343505Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317988Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025249Z",lat;ita,lat;ita,Latin|Italian,Q397|Q652
137,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317996Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025256Z",lat;xno;frm,lat;xno;frm,Latin|Anglo-Norman|Middle French,Q397|Q35214|Q1473289
138,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343544Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318004Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025271Z",non,non,Old Norse,Q35505
139,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343557Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318016Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025278Z",ota,ota,Ottoman Turkish,Q36730
140,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343577Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318024Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025285Z",per,per,Persian,Q9168
141,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343592Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318032Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025295Z",san,san,Sanskrit,Q11059
142,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343625Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318048Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025302Z",spa,spa,Spanish,Q1321
143,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343661Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318056Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025310Z",und,und,undetermined language,Q22282914
144,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343678Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318076Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025329Z",und;eng,und;eng,undetermined language|English,Q22282914|Q1860
145,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343697Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318090Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025336Z",xno,xno,Anglo-Norman,Q35214
146,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343712Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.318098Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025343Z",zxx,zxx,no linguistic content,Q22282939
