row_index,workflow_history,place_as_recorded,authorized_label,structured_value
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bescaran,,
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bohemia,Bohemia,http://vocab.getty.edu/tgn/7006470
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bologna,Bologna,http://vocab.getty.edu/tgn/7004847
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Bologna, Italy",Bologna|Italy,http://vocab.getty.edu/tgn/7004847|http://vocab.getty.edu/tgn/1000080
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bordeaux,Bordeaux,http://vocab.getty.edu/tgn/7008161
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Brescia,Brescia,http://vocab.getty.edu/tgn/7005764
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Bressanone, Italy",Bressanone;Italy,http://vocab.getty.edu/tgn/7005433;http://vocab.getty.edu/tgn/1000080
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Buchau, Germany",Buchau|Germany,http://vocab.getty.edu/tgn/7201751|http://vocab.getty.edu/tgn/7000084
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Burgundy (France),Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Cairo,Cairo,http://vocab.getty.edu/tgn/7001215
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Cancon,Cancon,http://vocab.getty.edu/tgn/1032406
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Castello,,
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Castello di Romena,Pratovecchio,http://vocab.getty.edu/tgn/5002845
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Castino,Castino,http://vocab.getty.edu/tgn/7044382
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Catania,Catania,http://vocab.getty.edu/tgn/7003947
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Città di Castello (Italy),Città di Castello;Italy,http://vocab.getty.edu/tgn/7005039;http://vocab.getty.edu/tgn/1000080
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Città di Castello, Italy",Città di Castello;Italy,http://vocab.getty.edu/tgn/7005039;http://vocab.getty.edu/tgn/1000080
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Cologne,Cologne,http://vocab.getty.edu/tgn/7004446
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Cologne?, Germany",Cologne;Germany,http://vocab.getty.edu/tgn/7004446;http://vocab.getty.edu/tgn/7000084
51,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Crema?, Italy",Crema|Italy,http://vocab.getty.edu/tgn/7005874|http://vocab.getty.edu/tgn/1000080
52,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Cremona,Cremona,http://vocab.getty.edu/tgn/7005868
