title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
"Beschreibung des Lanndtags welcher von dem durchleuchtigen hochgebornnen Fürsten und Herrn, Herrn Wilhelmen Pfaltzgrauen bei Rhein, Herzogen in Obern unnd Nidern Bairn auf den 27 Tag Novembers geen Münnchen aufgeschriben, auch daselbs gehallten unnd was damals auf irer f. ge. Proposition durch gemijne Stennd dazemal versambleter Lanndschafft von Tag zu Tag gehanndlet unnd enntlich beschlossen worden ist, anno 1583, volgt hochermellts unnsers ge. f. unnd Herrns genedig Erforderung an alle Lanndsessen auffganngen ... etc",,,,,
Beschreibung dess Lanndtags der auff Absterben weillendt des durchleuchtigen hochgebornnen Fürstenn und Herrn Herzog Albrechts in Bayrn hochloblicher Gedechtnus von seiner f.g. Son dem auch durchleuchtigen hochgebornnen Fürsten und Herrn Hertzog Wilhelmen alss angehendem ainigem regierenden Lanndsfürsten auf den dritten Tag Decembris geen Minchen ausgeschriben,,,,,
Bet Elohim,,,,,
Betta Giubbettari power of attorney,,,,Power of attorney,Power of attorney
Bible,,Bible.,,Bible,Bible
Bible leaf,,Bible.,,Bible,Bible
Biblia,,Bible.,,Bible,Bible
Biblia sacra,,Bible.,,Bible,Bible
Biblia sacra manuscripta,,Bible.,,Bible,Bible
Bifolium from Liber completus in iudiciis stellarum,,Bāriʻ fī aḥkām al-nujūm.,,Bāriʻ fī aḥkām al-nujūm,Bāriʻ fī aḥkām al-nujūm
Bill of exchange dispute,,,,,
Bill of sale of land,,,,,
Bill of sale of vineyard land,,,,,
Bishop Pietro Flores document,,,,,
Bishop of Osma legal instrument,,,,Legal documents,Legal documents
Blancandin et l'Orgueilleuse d'Amour,,Blancandin.,,Blancandin,Blancandin
Book of Hours,,,,Book of hours,Book of hours
Book of deeds to various territorial acquisitions,,,,Deed,Deed
Book of hours,,,,Book of hours,Book of hours
Book of hours bifolium,,,,Book of hours,Book of hours
Book of hours leaf,,,,Book of hours,Book of hours
Book on the configuration of the orb,,,,,
Books II-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Books III-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Boundary dispute,,,,,
Brancacci family documents,,,,Family documents,Family documents
Breviary,,,,Breviary,Breviary
Breviary collages,,,,Breviary,Breviary
Breviary fragments,,,,Breviary,Breviary
Breviary fragments,,Breviary (Salisbury),,Breviary,Breviary
Breviary leaf,,,,Breviary,Breviary
Bruno Burelli power of attorney,,,,Power of attorney,Power of attorney
Buch von den probierten Künsten,,,,Buch von den probierten Künsten,Buch von den probierten Künsten
Bulla Leonis X cum insertis Eugenii in Concilio Florentino,,,,Bull,Bull
Bullae Sanctorum Pontificum,,,,Bull,Bull
Bullarium Augustinianum,,,,Bull,Bull
Buonanno de' Malecarni power of attorney,,,,Power of attorney,Power of attorney
Cacciacomes family conditions for peace,,,,,
Calendarium and ephemerides,,,,,
Camera Apostolica document,,,,,
Camera della Biccherna legal document,,,,Legal documents,Legal documents
Camera della Biccherna license,,,,,
Canon law miscellany,,,,Canon law,Canon law
Canones vel operationes in operando quadrante,,,,,
Canzoniere,,,,Canzoniere,Canzoniere
Capitolario de le parte et ordeni del officio di magistri signori tre savii areveder le raxon dela Illustrissima Signoria per conto del cancello de le 30 e 40 per cento,,,,,
"Capitoli della Compagnia della gloriosa Vergine Maria, et di Santo Egidio advocati et protectori delli huominj del Castello di Romena, nuovamente fatti et ordinati per gli prudenti huomini, cioè Francesco di San Giovanni, priore di dicta Compagnia, Bidoro d'Antonio, Camarlingo in essa ... etc. /",,,,,
"Capitoli, esentioni, et privilegii delli huomini et commune di Montedoglio ... dalli gran duchi di Toscana confirmati",,,,,
Capitula Mirabelle,,,,,
Cardinal Philippus record of sale,,,,,
Cardinal Pietro Lodovico Borgia license,,,,,
Carlo de Piccolomini land petitions,,,,,
Carmen paschale,,Paschale carmen,,Paschale carmen,Paschale carmen
Carmine alla Beata Vergine Maria,,,,,
Carretto family papers,,,,Family documents,Family documents
Carta executoria de hidalguia a pedimiento,,,,Carta executoria de hidalguia,Carta executoria de hidalguia
"Carta executoria de hidalguia a pedimiento de Rrodrigo Calera, vezino de Villarrobledo",,,,Carta executoria de hidalguia,Carta executoria de hidalguia
Cartas nupciales,,,,,
Cartolarii /,,,,Cartulary,Cartulary
Cartulary,,,,Cartulary,Cartulary
Caterina Buonaventura power of attorney,,,,Power of attorney,Power of attorney
Causae juridicae,,,,,
Cecco di Nardo deed,,,,Deed,Deed
Cenni Pagliaiolo power of attorney,,,,Power of attorney,Power of attorney
Chant book,,,,Chant book,Chant book
Charles VIII decree,,,,,
Charter granting a dowry to his daughter,,,,,
Charter granting seigneurial rights to Raimundus Berengarius and his wife Dulcia,,,,,
Checca Serotini power of attorney,,,,Power of attorney,Power of attorney
Chiarini correspondence,,,,,
Choir psalter gatherings,,,,Psalter,Psalter
Chrestomathy of Latin authors,,,,,
Chronica de la edificatione et destructione del Cassaro Anconitano...etc. /,,,,,
Chronicle,,,,Chronicle,Chronicle
Cistercian liturgical psalter,,,,Psalter,Psalter
Città di Castello authorization of sale,,,,,
Ciulla Casini power of attorney,,,,Power of attorney,Power of attorney
Collation of L'ethica d'Aristotile ridotta in compendio,,,,Nicomachean Ethics,Nicomachean Ethics
Collectanea opusculorum eruditorum et historicorum,,,,,
Collection of French poetry,,,,,
Collection of administrative documents,,,,,
Collection of alphabets and encoded correspondence,,,,,
Collection of astronomical texts,,,,Astronomy,Astronomy
Collection of documents,,,,,
Collection of documents concerning inheritance,,,,,
Collection of hymns and antiphons,,,,,
Collection of laws for the use of the Podestà di Rovigo,,,,,
"Collection of laws, edicts, and proclamations",,,,,
Collection of notarial documents,,,,Notarial documents,Notarial documents
Collection of texts on the calendar,,,,,
Comitis Gabutii de Montealbodio juveniles & amatoriae epistolae,,,,,
Commentaria ad Rhetoricam Ciceronis,,,,Explanationes in Ciceronis Rhetoricam,Explanationes in Ciceronis Rhetoricam
Commentaries on Aristotle,,,,Commentary on Aristotle,Commentary on Aristotle
Commentaries on De generatione et corruptione and Meteorologica,,,,"Commentary on De generatione et corruptione; Commentary on Meteorologica
","Commentary on De generatione et corruptione; Commentary on Meteorologica
"
Commentaries on canon law,,Corpus juris canonici,,Corpus juris canonici,Corpus juris canonici
Commentaries on the De generatione et corruptione and Analytica,,,,Commentary on De generatione et corruptione; Commentary on Analytica,Commentary on De generatione et corruptione; Commentary on Analytica
Commentarius cum quaestionibus in universam Aristotelis philosophiam naturalem,,,,,
Commentary on Andria and Eunuch,,,,Commentary on Andria; Commentary on Eunuch,Commentary on Andria; Commentary on Eunuch
Commentary on the Clementines,,,,Commentary on Corpus Juris Canonici,Commentary on Corpus Juris Canonici
Commentary on the Doctrinale puerorum,,,,,
Commentary on the Ethica Nicomachea,,,,Commentary on Nichomachean Ethics,Commentary on Nichomachean Ethics
Commentary on the Sentences of Peter Lombard,,,,Commentary on the Sentences,Commentary on the Sentences
Commission,,,,,
Commonplace book and recipe book,,,,,
Compendio delle istorie di Pisa,,,,,
Compendium iuris canonici,,,,,
Compendium of legal texts,,,,,
Compendium religiosi vivendi,,,,,
Compte des biens rentes et revenues de le livree du commun des chapellains de l'eglise Saint Ame en Douay,,,,,
Comptes Adrien de le Borve,,,,,
Concini family papers,,,,Family documents,Family documents
Confessione generale,,,,Confessione generale,Confessione generale
"Confutatio libelli Philippi Melanchtonis cuius titulus est De officio principum, quod mandatum dei praecipiat eis tollere abusus ecclesiasticos /",,,,,
Consejo de Inquisición (Spain) genealogy for Bartholome Escola,,,,Spanish Inquisition,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Marçal Traveria,,,,Spanish Inquisition,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Miguel Ros Pelayre,,,,Spanish Inquisition,Spanish Inquisition
Consilium generale decision,,,,,
Consilium generale grant of plenary power,,,,,
Consilium generale legal document,,,,Legal documents,Legal documents
Consilium notarial document,,,,Notarial documents,Notarial documents
Constitutiones nonnullae magnificae communitatis Parmae /,,,,,
Contemplations of the dread and love of God ... etc,,Contemplations of the dread and love of God.,,Contemplations of the dread and love of God,Contemplations of the dread and love of God
Contra impedimiam,,,,,
Contract,,,,,
Contracti inter particulas personas,,,,,
Contratti de beni di Firenze della famiglia Concini,,,,,
Conventio inter rectores ospitalis civitatis placentie et D. Antonium Francescum Finellum,,,,,
Cookery book,,De re coquinaria.,,,
Copia schedula,,,,,
Copies of documents pertaining to the Ospedale della Misericordia in Lucca,,,,,
Copies of documents relating to water rights in Milan,,,,,
Coppetto Coppetti power of attorney,,,,Power of attorney,Power of attorney
Copy of Pope Pius II bull,,,,Bull,Bull
Correspondence of Wilhelm IV,,,,,
Cose di geometria /,,"Summa de arithmetica, geometria, proportioni et proportionalità.",,"Summa de arithmetica, geometria, proportioni et proportionalità","Summa de arithmetica, geometria, proportioni et proportionalità"
Cosmographia /,,De chorographia,,De chorographia,De chorographia
Cosmographies,,,,De chorographia,De chorographia
Council notarial document,,,,Notarial documents,Notarial documents
Court record of proceedings in a lawsuit against Isabel Garcia,,,,,
Crestomazia di poeti italiani del Cinquecento,,,,,
Crispi Sallustii de Catheline conjuracione liber,,Bellum Catilinae,,De coniuratione Catilinae,De coniuratione Catilinae
Cristoforo di Guidantonio de Piccolomini rental agreement,,,,,
Cronica de origine et situ oppidi Montalbodi,,,,,
"Cronica di tutti li Dogi di Venetia sino á quello che hora vive, con le armi loro",,,,,
"Cronica dopo la morte del Duca Alessandro de' Medici, fino al 1555",,,,,
Curia Romana proclamation,,,,,
Curia episcopalis notarial document,,,,Notarial documents,Notarial documents
Davanzato di Fagno power of attorney,,,,Power of attorney,Power of attorney
De Canticis canticorum,,,,Cantica Canticorum,Cantica Canticorum
De Merles,,,,,
De accidentibus animae rationalis,,,,,
"De amore et dilectione dei et proximi, ac de forma vitae ... etc",,,,Liber de amore et dilectione dei et proximi et aliarum rerum et de forma vitae,Liber de amore et dilectione dei et proximi et aliarum rerum et de forma vitae
De casibus conscientiae ... etc,,,,Summa de casibus conscientiae,Summa de casibus conscientiae
De coloribus urinae ... etc,,,,De coloribus urinae,De coloribus urinae
De consolatione philosophiae,,,,De consolatione philosophiae,De consolatione philosophiae
De consolatione philosophiae,,De consolatione philosophiae,,De consolatione philosophiae,De consolatione philosophiae
De decem praeceptis decalogi,,,,De decem praeceptis decalogi,De decem praeceptis decalogi
De descriptione terre sancte ... etc,,,,De descriptione terre sancte,De descriptione terre sancte
De educatione liberorum et eorum claris morbis,,,,De educatione liberorum et eorum claris moribus,De educatione liberorum et eorum claris moribus
De improbatione concentricorum et epicyclorum ... etc,,,,De improbatione concentricorum et epicyclorum,De improbatione concentricorum et epicyclorum
De institutione musica,,,,De institutione musica,De institutione musica
De la rapina di Proserpina,,De raptu Proserpinae.,,De raptu Proserpinae,De raptu Proserpinae
De las doze cargas,,Aqui se contiene una disputa o controversia.,,Aqui se contiene una disputa o controversia,Aqui se contiene una disputa o controversia
De misericordia,,,,De misericordia,De misericordia
De philosophia mundi ... etc,,Philosophia mundi,,Philosophia mundi,Philosophia mundi
De philosophia naturali,,,,,
De planctu naturae,,,,De planctu naturae,De planctu naturae
De re medicina,,Circa instans,,Circa instans,Circa instans
De regimine principium ... etc,,Secretum secretorum.,,Secretum secretorum,Secretum secretorum
De reparatione lapsi hominis,,,,De reparatione lapsi hominis,De reparatione lapsi hominis
De republica Veneta /,,,,De republica Veneta,De republica Veneta
De sacramentis ... etc,,,,,
De sacro bello contra Turcos commentarius,,,,,
De secretis mulierum,,De secretis mulierum.,,De secretis mulierum,De secretis mulierum
De spiritu et anima ... etc,,,,Liber de spiritu et anima,Liber de spiritu et anima
De urinarum judiciis,,,,Carmina de urinarum iudiciis et de pulsibus,Carmina de urinarum iudiciis et de pulsibus
De venatione divini amoris,,,,De venatione divini amoris,De venatione divini amoris
De vita christiana,,,,De vita christiana,De vita christiana
De vita xii Caesarum ... etc. /,,,,De vita Caesarum,De vita Caesarum
Decameron,,Decamerone.,,Decameron,Decameron
Declaration of receipt of dowry,,,,,
Declaration of receipt of ox,,,,,
Declaratorio sopra la regola del padre nostro sancto Benedetto ... etc,,,,,
Decretales Gregorii IX,,Decretales Gregorii IX,,Decretales Gregorii IX,Decretales Gregorii IX
Decretales abbreviate,,Decretales Gregorii IX.,,Decretales Gregorii IX,Decretales Gregorii IX
Decreto di banco feneratitio,,,,,
"Deed of a dowry of 250,000 ducats to Maria de Urria",,,,Deed,Deed
Deed of confiscated property,,,,Deed,Deed
Del Pero family deed,,,,Deed,Deed
"Del estatuto Toledano, i çierta apologia",,,,,
"Der Bischoff zue Cöllen, den Maleuolis vnd bellenden Hundtenn herwieder... etc",,,,,
Descriptio Terrae Sanctae,,,,Descriptio Terrae Sanctae,Descriptio Terrae Sanctae
Detti family papers,,,,Family documents,Family documents
Devotional book,,,,Devotional book,Devotional book
Devotional roll,,,,Devotional book,Devotional book
"Diaria Pii Papae IV, Pii Papae V, Gregorii Papae XIII",,,,,
Diario historico de successi del concilio di Trento,,,,,
Dictionary leaves,,,,Dictionary,Dictionary
Dictionary of synonyms,,,,Dictionary,Dictionary
Didactic poem on surveying and measurement of areas (taksīr),,,,,
Die Klag vom Wolf am Hage,,,,,
Dieudonné Cabanier homage,,,,,
Diocese of Arezzo nomination,,,,,
Diocese of Siena legal decision,,,,Legal documents,Legal documents
"Diploma issued to Adam, son of Teutio",,,,,
"Discrittione delle cose di Cipro, con le ragioni in favore, ò contra diverse openioni , et delle provisioni, che erano necessarie per quel Regno",,,,"Discrittione delle cose di Cipro, con le ragioni in favore, o contra diverse openioni, et delle provisioni, che erano necessarie per quel Regno","Discrittione delle cose di Cipro, con le ragioni in favore, o contra diverse openioni, et delle provisioni, che erano necessarie per quel Regno"
"Disputations on the Physics, Metaphysics and De anima of Aristotle",,,,,
Distribution of property,,,,,
Dits moraux des philosophes,,Dicta philosophorum.,,Dicta philosophorum,Dicta philosophorum
Doctrinale,,,,,
Document concerning property rights dispute,,,,,
Documents concerning Genoa and Finale Ligure,,,,,
Documents concerning land ownership in Pixerécourt,,,,,
Documents concerning the governance of Passau,,,,,
Documents of the town of Châtenois,,,,,
"Dogale issued by Doge Alvise Mocenigo to Girolamo Pruli, podestà of Brescia",,,,Dogale,Dogale
"Dogale issued by Doge Leonardo Loredan to Paolo Nani, podestà and capitaneus of Treviso",,,,Dogale,Dogale
Domenico Duti power of attorney,,,,Power of attorney,Power of attorney
Domenico Ruffaldi and Jacopo de Buralis power of attorney,,,,Power of attorney,Power of attorney
Domenico Taparelli testament,,,,Will,Will
Domenico di Bardo power of attorney,,,,Power of attorney,Power of attorney
Dominican prayer book,,,,Prayerbook,Prayerbook
Don Antonio Bartoli petition,,,,,
Don Giovanni di Bartolo inheritance acknowledgment,,,,,
Don Matteo Zati deed of gift,,,,Deed,Deed
Donation to the convent of Santa Giulia,,,,,
Dos discursos de la cifra,,,,,
Dowry arrangements,,,,,
Dowry receipt,,,,,
Dowry record,,,,,
"Draft of a dispatch to Ramon de Cordova, Viceroy of Sicily",,,,,
Dubia,,,,,
Duo dialogi de philosophia morali,,,,,
Duo libri contemplationis ... etc,,Scale of perfection,,Scale of perfection,Scale of perfection
Ḍawʼ al-sirāj,ضوء السراج.,,,Ḍawʼ al-sirāj,Ḍawʼ al-sirāj
Edict against reforming tendencies,,,,,
Edict concerning Jews in Livorno and Pisa,,,,,
Edicts concerning Jews in Mantua,,,,,
Ein Gedicht darinn angezaigt wirt wie frum Herzog Heinrich zu Braunschweig unnd wie böss die Luterischen sein,,,,,
"Einn schönn neu Liedt vonn dem abgefallnenn unnd ubell erweldenn Bischoff von Collnn, im Thonn wie mann denn armenn Judas singt",,,,,
Eis ta Harmonika Ptolemaiou hypomnēma,,,,Commentarius in Claudii Ptolemaei Harmonica,Commentarius in Claudii Ptolemaei Harmonica
Emperor Sigismund appointment,,,,,
"Encyclopaedia historica et filosophica, latine et italice",,,,,
English religious poems,,,,Poetry,Poetry
Epistola Mahomethi Turchiae Graeciaeque Imperatoris ad Ferdinandum Regem Siciliae de expugnatione Negropontis. Responsio dicti Ferdinandi Regis Siciliae de eadem re,,,,Epistles,Epistles
Epistolae latinae,,,,Epistles,Epistles
Epithoma,,,,,
Epithome artis epistolaris ... etc,,,,,
Erbario,,,,Herbarium,Herbarium
Erotopaignion /,,,,Erotopaegnion,Erotopaegnion
Ethica Nicomachea,,Nicomachean ethics.,,Nicomachean Ethics,Nicomachean Ethics
Ethica secondo la dottrina d'Aristotile,,,,Nicomachean Ethics,Nicomachean Ethics
Ex libris Paris de Grassis Bononiensis,,,,,
Ex quo vocabularii autentici varii,,,,,
Ex quo vocabularii varii et autentici,,,,,
Examination of witnesses,,,,,
Excerpt from the book of civil cases of the court of San Miniato,,,,,
Excerpt from the book of statutes of San Genino(?),,,,,
Excerpt from the book of the Uffizio della mercanzia of Florence,,,,,
Executoria a pedimiento,,,,,
Explanatio librorum physicorum,,,,Commentary on Aristotle's Physics,Commentary on Aristotle's Physics
Expositio super regulam beati Augustini episcopi,,,,Expositio in regulam beati Augustini,Expositio in regulam beati Augustini
Expositiones difficiliorum vocabulorum de bibliotheca per ordinem alphabeti,,,,,
Extract from Secretum secretorum,,Secretum secretorum.,,Secretum secretorum,Secretum secretorum
Extracts from and commentaries on Liber bellorum Domini,,,,,
Extratto da un libro de razza da cavalli del re Ferrante vechio de Aragona,,,,,
Fabrizio Celleri will,,,,Will,Will
Fasciculus temporum,,,,Fasciculus temporum,Fasciculus temporum
Fawāʼid al-ḥabīb. Zinjār al-ḥukamāʼ,فوائد الحبيب. زنجار الحكماء.,,,,
Fazio de Piccolomini claim,,,,,
Ferdinand I privileges,,,,,
Ferial psalter,,,,Psalter,Psalter
Ferial psalter bifolium,,Bible.,,Psalter,Psalter
Feudal rents,,,,,
Feudal sentence,,,,,
Feuer Buech,,,,,
Feuerwerkbuch,,,,Feuerwerkbuch,Feuerwerkbuch
Fifteenth-century miscellany,,,,Miscellany,Miscellany
Filippo della Casa power of attorney,,,,Power of attorney,Power of attorney
Filofistea /,,,,Filofistea,Filofistea
Filza LII: segnata: F.3 Gondi et altri,,,,,
"Filza XV segnata con la lettera P, come appare all'estratto sotto, n. 441",,,,,
Filza Xma segnata con la lettera K: come apparisce al suo estratto sotto: n. 344,,,,,
Filza di scritture de signori Medici,,,,,
Filza di scritture dell'Arrigucci,,,,,
Financial agreement,,,,,
Financial document excerpt,,,,,
Financial recommendations for Francis I,,,,,
Financial records,,,,,
Fiorecti del libro de Sancto Francesco ... etc,,Fioretti di San Francesco.,,Fioretti di San Francesco,Fioretti di San Francesco
Florilegium,,,,Florilegium,Florilegium
Forme romane curie super beneficiis et questionibus... etc,,,,Forme Romane curie super beneficiis et questionibus,Forme Romane curie super beneficiis et questionibus
Four English devotional works,,,,,
Four treatises on astrolabes and astronomy,,,,,
Fragment from De mysteriis,,De mysteriis.,,De mysteriis,De mysteriis
Fragment of Canon medicinae,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
"Fragment of Joshua, chapters IV, 18-VIII, 6",,Bible.,,Bible,Bible
Fragment of a choral antiphonary ?,,Antiphonary,,Antiphonary,Antiphonary
Fragment of manuscript bifolium from the Liber ad Almansorem,,Kitāb al-Manṣūrī.,,Kitāb al-Manṣūrī,Kitāb al-Manṣūrī
Fragments from Books III-V of Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
"Fragments of accounts rendered to Mahaut d'Artois, Countess of Burgundy",,,,,
"Fragments of the Digests of Justinian, Book 37, Titles 7-9",,Corpus juris civilis.,,Corpus juris civilis,Corpus juris civilis
Francesca Massi power of attorney,,,,Power of attorney,Power of attorney
Francesco Armaiolo power of attorney,,,,Power of attorney,Power of attorney
Francesco Bernardo indulgence,,,,,
Francesco Bertini deed,,,,Deed,Deed
Francesco Cosci appointment,,,,,
Francesco Fazio will,,,,Will,Will
Francesco Soderini indulgence,,,,,
Francesco di Sigismondo will,,,,Will,Will
Francis I brevet,,,,,
Franciscan miscellany,,,,Miscellany,Miscellany
Franciscans of Metz,,,,,
Fraternità di Santa Maria petition,,,,,
Gathering from Ikhtiṣār lil-maqālāt min kitāb Uqlīdis,,Elements.,,Elements,Elements
Gathering from glossed Second Corinthians,,Bible.,,Bible,Bible
Genealogical chronicle fragment of the kings of England to Kimbelinus and Arvigarus,,,,,
Genealogical chronicle of the kings of England to Edward IV,,,,,
Genelogies of the Erles of Lecestre and Chester,,,,,
Generale consilium partis Guelforum decision,,,,,
German religious and literary miscellany,,,,,
Ghilo di Francesco legal decision,,,,Legal documents,Legal documents
Ghita Gabrielli power of attorney,,,,Power of attorney,Power of attorney
Giacoma di Ugo conveyance,,,,,
Giacomo Tornieri letter to Bernardo Giunta,,,,,
Giannino Minuzio deed of sale,,,,Deed,Deed
Giovanni Battista di Lorenzo power of attorney,,,,Power of attorney,Power of attorney
Giovanni Piccolomini guardianship agreement,,,,,
Giovanni Piccolomini petition,,,,,
Giovanni Scala profession of faith excerpt,,,,,
Giovanni Stafileo legal decision,,,,Legal documents,Legal documents
Giovanni d'Andrea di Nanni Todeschini Piccolomini grant of legitimation,,,,,
Giovanni de' Medici power of attorney,,,,Power of attorney,Power of attorney
Giovanni de' Rossi power of attorney,,,,Power of attorney,Power of attorney
Giovanni di Bernardo deed,,,,Deed,Deed
Giovanni di Fatio Piccolomini deed,,,,Deed,Deed
Giovanni di Urbano Piccolomini del Testa estate arbitration,,,,,
Giovenco de' Medici election,,,,,
Girolamo Piccolomini appointment,,,,,
Girolamo Piccolomini notarial document,,,,Notarial documents,Notarial documents
