row_index,workflow_history,place_as_recorded,authorized_label,structured_value
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Austria or Germany (?)",Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Flanders or Holland",Austria|Germany|Flanders|Holland,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7024097|http://vocab.getty.edu/tgn/1003759
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Germany",Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Germany or Austria",Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Southeastern Germany or Austria",Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria; Germany, Southern Germany or Austria",Austria|Germany|South Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/4004316
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Austria; Germany?,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z",Belgium (Meuse Valley) or Germany,Belgium|Meuse|Germany,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/1034373|http://vocab.getty.edu/tgn/7000084
