row_index,workflow_history,place_as_recorded,authorized_label,structured_value
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England,  Leicestershire and Staffordshire",England|Leicestershire|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Dorset",England|Dorset,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, East Anglia",England|East Anglia,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Kent",England|Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Leicestershire and Rutland",England|Leicestershire|Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Norfolk",England|Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Staffordshire",England|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Sussex",England|Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","England, Warwickshire",England|Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
