row_index,ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_tgn,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_wikidata,author_instance_of,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language_iso_639-3,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
11,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 18,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 290 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132332.xml
12,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 20,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Collectarium,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 295 x 92 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132333.xml
13,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 21,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XIII, 1200-1299",1200^1299,13,http://vocab.getty.edu/aat/300404505,false,,,,Psalter,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 270 x 179 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132334.xml
14,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 22,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 271 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132335.xml
15,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 23,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 280 x 201 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132336.xml
16,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 26,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 218 x 151 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132337.xml
17,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 28,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 309 x 194 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132338.xml
18,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 29,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 312 x 218 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132339.xml
19,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 30,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 298 x 211 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132340.xml
20,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 31,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 297 x 220 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132341.xml
21,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 33,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Hymnary,,,,,,,,,,,,,,,,,Latin,lat,,"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",,,,parchment,Extent: f. 1r-v; 413 x 278 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132342.xml
22,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 34,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,De vita contemplativa,,,,,,,,,,,,,,,,,Latin,lat,,"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",,,,paper,Extent: f. 1r-v; 340 x 236 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132343.xml
23,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 03,,,?,,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Psalter,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 160 x 135 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132344.xml
24,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 04,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. IX/X, 890-910",890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,,,,Lectionary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 278 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132345.xml
25,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 05,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. IX/X, 890-910",890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,,,,Lectionary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 248 x 177 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132346.xml
26,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 06,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. XI, 1000-1099",1000^1099,11,http://vocab.getty.edu/aat/300404503,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 298 x 188 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132347.xml
27,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 07,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. XI, 1000-1099",1000^1099,11,http://vocab.getty.edu/aat/300404503,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 298 x 199 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132348.xml
28,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 08,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. XI, 1000-1099",1000^1099,11,http://vocab.getty.edu/aat/300404503,false,,,,Sacramentary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 283 x 210 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132349.xml
29,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 09,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 165 x 253 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132350.xml
30,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 11,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Sacramentary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 306 x 208 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132351.xml
31,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 24,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XI/XII, 1090-1110",1090^1110,11;12,http://vocab.getty.edu/aat/300404503;http://vocab.getty.edu/aat/300404504,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,,,,,parchment,Extent: ff. 1-2v; 335 x 258 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132352.xml
32,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 10,,,Germany?,http://vocab.getty.edu/tgn/7000084,,"s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Monastic life,,,,,,,,,,,,,,,,,Latin,lat,,,,,,parchment,Extent: f. 1r-v; 160 x 840 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132353.xml
33,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 36,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. XVI, 1500-1599",1500^1599,16,http://vocab.getty.edu/aat/300404510,false,,,,Document,,,,,,,,,,,,,,,,,French,fra,,,,,,parchment,Extent: f. 1r-v; 81 x 285 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132354.xml
34,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 38,,,Spain,http://vocab.getty.edu/tgn/1000095,,"s. XVII, 1600-1699",1600^1699,17,http://vocab.getty.edu/aat/300404511,false,,,,Choir psalter,,,,,,,,,,,,,,,,,Latin,lat,,,,,,parchment,Extent: ff. 1-5v; 827 x 578 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132355.xml
35,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 39,,,Spain?,http://vocab.getty.edu/tgn/1000095,,"s. XVIII, 1700-1799",1700^1799,18,http://vocab.getty.edu/aat/300404512,false,,,,Choir psalter,,,,,,,,,,,,,,,,,Latin,lat,,,,,,parchment,Extent: f. 1r-v; 817 x 565 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132356.xml
36,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 40,,,Spain,http://vocab.getty.edu/tgn/1000095,,"s. XVII, 1600-1699",1600^1699,17,http://vocab.getty.edu/aat/300404511,false,,,,Choir psalter,,,,,,,,,,,,,,,,,Latin,lat,,,,,,parchment,Extent: ff. 1-5v; 820 x 580 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132357.xml
37,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 41,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Antiphonal,,,,,,,,,,,,,,,,,Latin,lat,,"Price in English pounds on the recto, suggesting that the leaf may have been a gift to Conception Abbey from Dr. Charles D. Humberd (1876-1966) of Bernard, Missouri (buried in West Union, Indiana).",,,,parchment,Extent: f. 1r-v; 527 x 402 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132358.xml
38,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 42,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,"Bible, N.T., John",,,,,,,,,,,,,,,,,Latin,lat,,"Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.",,,,parchment,"Extent: One item, recto & verso; 167 x 242 mm.",We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132359.xml
39,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 43,,,Netherlands,http://vocab.getty.edu/tgn/7016845,,"s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Psalter,,,,,,,,,,,,,,,,,Latin,lat,,Purchased ca. 2000 from a book dealer.,,,,parchment,Extent: f. 1r-v; 168 x 124 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132360.xml
40,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 37,,,Germany,http://vocab.getty.edu/tgn/7000084,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,"Bible, O.T.",,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,"Extent: One fragment, recto & verso; ? x ? mm.",We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132361.xml
