subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Criminal law--Italy--Early works to 1800,0,a--z--v,,Criminal law;Italy;Early works,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,Q4291;Q249;Q300,,,
Criminal law,fast,a,(OCoLC)fst00883328,,,,Criminal law,http://id.worldcat.org/fast/883328,Q4291
Jesus Christ--Biography--Early works to 1800,0,a--v--x,,Jesus Christ;Biographies;Early works,http://id.worldcat.org/fast/40116;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q338;Q3051;Q300,,,
Monophysites,0,a,,Monophysites,http://id.worldcat.org/fast/1025665,Q39922,,,
Monophysites,fast,a,(OCoLC)fst01025665,Monophysites,http://id.worldcat.org/fast/1025665,Q39922,,,
Books of hours--France,0,a--z,,,,,Books of hours;France,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204289,Q5889;Q152
France,fast,a,(OCoLC)fst01204289,,,,France,http://id.worldcat.org/fast/1204289,Q152
Encyclopedias and dictionaries--Early works to 1600,0,a--v,,,,,Encyclopedias and dictionaries;Early works,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636,Q175;Q300
Monastic and religious life,0,a,,Monastic and religious life,http://id.worldcat.org/fast/1025101,Q2981,,,
Monastic and religious life,fast,a,(OCoLC)fst01025101,,,,Monastic and religious life,http://id.worldcat.org/fast/1025101,Q2981
Ethics--Early works to 1800,0,a--v,,,,,Ethics;Early works,http://id.worldcat.org/fast/915833;http://id.worldcat.org/fast/1411636,Q312;Q300
Mameluke illumination of books and manuscripts--Specimens,0,a--v,,Mameluke illumination of books and manuscripts;Specimens,http://id.worldcat.org/fast/1731301;http://id.worldcat.org/fast/1423861,Q48338;Q239,,,
Mameluke illumination of books and manuscripts,fast,a,(OCoLC)fst01731301,Mameluke illumination of books and manuscripts,http://id.worldcat.org/fast/1731301,Q48338,,,
Sacred vocal music--Early works to 1800,0,a--v,,Sacred vocal music;Early works,http://id.worldcat.org/fast/1103213;http://id.worldcat.org/fast/1411636,Q26678;Q300,,,
Sacred vocal music--12th century,0,a--y,,Sacred vocal music;Twelfth century,http://id.worldcat.org/fast/1103213;http://id.worldcat.org/fast/1159791,Q26678;Q304,,,
Epiphany music,0,a,,Epiphany music,http://id.worldcat.org/fast/914265,Q48161,,,
Accounts--England,0,a--z,,Accounts;England,http://id.worldcat.org/fast/1207534;http://id.worldcat.org/fast/1219920,Q6895;Q320,,,
Accounts,fast,a,(OCoLC)fst00795510,Accounts,http://id.worldcat.org/fast/795510,Q6895,,,
England,fast,a,(OCoLC)fst01219920,,,,England,http://id.worldcat.org/fast/1219920,Q320
"Sermons, Latin",0,a,,,,,"Sermons, Latin",http://id.worldcat.org/fast/1113283,Q3563
"Sermons, Medieval",0,a,,,,,"Sermons, Medieval",http://id.worldcat.org/fast/1113290,Q16261
"Sermons, Latin",fast,a,(OCoLC)fst01113283,,,,"Sermons, Latin",http://id.worldcat.org/fast/1113283,Q3563
"Sermons, Medieval",fast,a,(OCoLC)fst01113290,"Sermons, Medieval",http://id.worldcat.org/fast/1113290,Q16261,,,
Damages (Jewish law),0,a,,Damages (Jewish law),http://id.worldcat.org/fast/887279,Q27397,,,
Damages (Jewish law),fast,a,(OCoLC)fst00887279,Damages (Jewish law),http://id.worldcat.org/fast/887279,Q27397,,,
Christian saints--Prayers and devotions,0,a--v,,,,,Christian saints;Prayers and devotions,http://id.worldcat.org/fast/859491;http://id.worldcat.org/fast/1423909,Q10812;Q3052
"Love poetry, Classical--Rome",0,a--z,,"Love poetry, Classical;Rome (Empire)",http://id.worldcat.org/fast/1002845;http://id.worldcat.org/fast/1204885,Q48928;Q3038,,,
1300-1350,fast,a,,,,,,,
Books of hours--Italy,0,a--z,,Books of hours;Italy,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204565,Q5889;Q249,,,
Sacred vocal music--Italy--15th century,0,a--z--y,,Sacred vocal music;Italy;Fifteenth century,http://id.worldcat.org/fast/1103213;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q26678;Q249;Q154,,,
"History, Universal--Early works to 1800",0,a--x,,World history;Early works,http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636,Q189;Q300,,,
Curiosities and wonders,0,a,,,,,Curiosities and wonders,http://id.worldcat.org/fast/885285,Q48867
Curiosities and wonders,fast,a,(OCoLC)fst00885285,Curiosities and wonders,http://id.worldcat.org/fast/885285,Q48867,,,
