title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Īn Risālah fī bayān al-ṣabr va al-shukr ... [etc.,اين رساله فى بىان الصبر و الشکر,,,,,Īn Risālah fī bayān al-ṣabr va al-shukr,
Hāz̲ā al-majmūʻah musammá bih Naqd-i ḥaqāyiq,هذا المجموعه مسمى به نقد حقايق,Naqd-i ḥaqāyiq,نقد حقايق,,,Naqd-i ḥaqāyiq,
Sufi poem,,,,,,Sufi poems,
Risālah-i Khvājah Muḥammad Dihdār Sūratī quddisa sirruhu; sulūk va sayr,رساله خواجه محمد دهدار سورتى قدس سره,Sulūk va sayr,سلوک و سىر,,,Sulūk va sayr,
Majmūʻah-i rasāʼil ...,مجموعه رسائل ...,,,,,Majmūʻah,Q18453
Intikhāb-i Kitāb-i Sirr al-asrār,انتخاب کتاب سر الاسرار,Upanishads,,,,Upanishads,Q27718
Nafaḥāt-i uns /,نفحات انس /,Nafaḥāt al-uns min ḥaḍarāt al-quds,نفحات الانس من حضرات القدس,,,Nafaḥāt al-uns min haḍarāt al-quds,
ʻIshqīyah /,عاشقية /,,,,,ʻIshqīyah,
Bahāristān /,بهارستان /,,,,,Bahāristān,Q39215
"Chihil ḥadīs̲ dar faz̤īlāt-i darvīshān, va, Ādāb al-ṣāliḥīn",چهل حدىث در فضىلات دروىشان، و، آداب الصالحىن,,,,,"Chihil ḥadīs̲ dar faz̤īlāt-i darvīshān, va, Ādāb al-ṣāliḥīn",
Translation of al-Durr al-naẓīm and selections from the Qurʾān,,,,,,Translation of al-Durr al-naẓīm and selections from the Qurʾān,
Mawlūd-i surūr-i kāyināt khulāṣah-i mawjūdāt ... [etc.,مولود سرور کاينات خلاصه موجودات ... الخ,,,,,Mawlūd-i surūr-i kāyināt khulāṣah-i mawjūdāt,
Rubʻ-i avval-i Tafsīr-i Ḥusaynī,ربع اول تفسىر حسىنى,Mavāhib-i ʻalīyah,مواهب علية,,,Mavāhib-i ʻalīyah,
Khavāṣṣ va manāfiʻ-i navad va nuh nām-i ḥaqq-i subḥānahu va taʻālá,خواص و منافع نود و نه نام حق سبحانه و تعالى,,,,,Khavāṣṣ va manāfiʻ-i navad va nuh nām-i ḥaqq-i subḥānahu va taʻālá,
Kulliyāt-i Saʻdī,کلىات سعدى,Works,,,,Works,Q5989
Gulistān,گلستان,,,Gulistān,Q3702,,
Būstān,بوستان,,,Būstān,Q18625,,
Subḥat al-abrār,سبحة الابرار,Haft awrang,,Haft awrang,Q27579,,
Mas̲navī-i maʻnavī,مثنوى معنوى,,,,,Mas̲navī,Q27606
Dīvān,دىوان,,,Dīwān,Q11912,,
Ẓafarnāmah-i Tīmūr,ظفرنامه تىمور,,,,,Ẓafarnāmah,
Dīvān,دىوان,Poems,,Dīwān,Q11912,,
Collection of Persian poetry,,,,Persian poetry,Q18530,,
Pandnāmah,پندنامه,,,,,Pandnāmah,
Lubb-i lubāb-i Maʻnavī,لب لباب معنوى,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Collection of Persian letters,,,,,,Letters,Q5068
Fragment from the Sharafnāmah,,Sharafnāmah,شرفنامه,,,Sharafnāmah,Q18605
Inshā-i Abū al-Faz̤l,انشا ابو الفضل,,,,,Inshā-i Abū al-Faz̤l,
Ṭibb-i Akbar,طب اکبر,,,,,Ṭibb-i Akbar,
ʻIlm-i ṭibb,علم طب,,,,,Medical texts,Q817
Tuḥfat al-muʼminīn,تحفة المؤمنين,,,,,Tuḥfat al-muʼminīn,
Tuḥfat al-mulūk,تحفة الملوك,,,Tuḥfat al-mulūk,Q27775,,
ʻIlāj al-amrāz̤,علاج الامراض,,,,,Medical texts,Q817
Mujarrabāt-i Akbarī,مجربات اکبرى,,,,,Mujarrabāt-i Akbarī,
Kifāyah-i Mujāhidīyah,کفاىه مجاهدية,,,,,Kifāyah-i Mujāhidīyah,
Mufarriḥ al-qulūb,مفرح القلوب,,,,,Mufarriḥ al-qulūb,
Collection of Persian medical texts,,,,,,Medical texts,Q817
Persian treatise on astronomy,,,,,,Astronomical text,Q38381
Persian treatise on astrology,,,,,,Astrological text,Q20378
Collection of religious anecdotes,,,,,,Religious texts,Q5037
Persian treatise on arithmetic,,,,,,Arithmetic,Q39203
Persian treatise on logic,,,,,,Treatise on logic,Q20506
Jamʻ-i mukhtaṣar ... [etc.,جمع مختصر,,,,,Jamʻ-i mukhtaṣar,
Niṣāb al-ṣibyān,نصاب الصبىان,,,,,Niṣāb al-ṣibyān,Q48578
Nahr al-faṣāḥah; Chār sharbat,نهر الفصاحه,Works,,,,Works,Q5989
ʻIqd-i gawhar ... [etc.,عقد گوهر,,,,,ʻIqd-i gawhar,
Fragments from Qavāʻid al-Qurʼān] ... [etc,,,,,,Qavāʻid al-Qurʼān,
"Arabic, Persian, and Turkish miscellany",,,,,,Miscellany,Q3673
"Fragments of Persian, Arabic, and Turkish prose and poetry",,,,,,Persian texts;Arabic texts;Turkish texts,Q7568;Q12258;
Khulāṣat al-Islām,خلاصة الاسلام,,,,,Khulāṣat al-Islām,
Persian theological treatise,,,,,,Theological text,Q5950
Second volume of a treatise on Islamic law,,,,,,Legal texts,Q6030
Abvāb al-jinān,ابواب الجنان,,,,,Abvāb al-jinān,
Collection of moral precepts,,,,,,Morality texts,Q39260
Rawz̤at al-shuhadāʼ,روضة الشهداء,,,,,Rawz̤at al-shuhadāʼ,
Riyāz̤ al-shahādah,رىاض الشهاده,,,,,Riyāz̤ al-shahādah,
Jalāʼ al-ʻuyūn,جلاء العىون,,,,,Jalāʼ al-ʻuyūn,
Rashaḥāt-i ʻayn al-ḥayāt,رشحات عىن الحىات,,,,,Rashaḥāt-i ʻayn al-ḥayāt,
Tārīkh-i Vaṣṣāf,تارىخ وصاف,,,,,Tārīkh-i Vaṣṣāf,
Rawz̤at al-ṣafā,روضة الصفا,,,,,Rawz̤at al-ṣafāʼ,Q48522
Tārīkh-i Hindī,تارىخ هندى,,,,,Tārīkh-i Hindī,
Anvār-i Suhaylī,انوار سهىلى,Kalīlah wa-Dimnah,كليلة ودمنة,Anvār-i Suhaylī,Q18469,,
Collection of Arabic texts on grammar and other topics,,,,,,Grammatical texts,Q38407
Collection of Persian and Arabic texts on astronomy,,,,,,Astronomical texts,Q3129
Akhlāq-i Nāṣirī,اخلاق ناصرى,,,,,Akhlāq-i Nāṣirī,
Collection of Sufi poems,,,,,,Sufi poems,
Tuḥfat al-ʻIrāqayn; al-maqālah al-ūlá wa-hiya al-musammá bi-ʻArāʼis al-fikr wa-majālis al-dhikr,تحفة العراقين,Tuḥfat al-ʻIrāqayn,تحفة العراقين,,,Tuḥfat al-ʻIrāqayn,
ʻAsl-i muṣaffá; bā risālah-i Farsīyah [va] Risālah-i ʻamalīyah,عسل مصفى,,,,,ʻAsl-i muṣaffá,
Kullīyāt-i Saʻdī,کليات سعدى,Works,,,,Works,Q5989
Three texts on Qurʼān recitation,,,,,,Texts on Qurʼān recitation,
Daftar-i munshaʾāt,دفتر منشئات,,,,,Notebook,Q5488
Kitāb-i ʻIlm-i nujūm,کتاب عالم نجوم,Risālah dar hayʾat,رساله در هيئت,,,Risālah dar hayʾat,
Jung dar nujūm va sharʻīyāt,جنگ در نجوم و شرعيات,,,,,Jung dar nujūm va sharʻīyāt,
Ghazalīyāt va tarkīb band,غزليات و ترکىب بند,Dīvān,دىوان,,,Dīwān,Q11912
"Commonplace book of poetry, prose, and prayers",,,,,,"Commonplace book of poetry, prose, and prayers",
First volume of the Mas̲navī,,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
al-Kitāb al-Fārsī,الکتاب الفارسى,,,,,al-Kitāb al-Fārsī,
Sharḥ-i ḥall-i Ḥāfiẓ va baʻz̤ī adʻiyah va Yikṣad kalimah /,شرح حل حافظ و بعضى ادعيه و يکصد کلمه /,,,,,Sharḥ-i ḥall-i Ḥāfiẓ va baʻz̤ī adʻiyah va Yikṣad kalimah,
Sharḥ-i Makhzan al-asrār,شرح مخزن الاسرار,,,,,Sharḥ-i Makhzan al-asrār,
Maqālāt-i ʻAbd Allāh Anṣārī,مقالات عبد الله انصارى,Munājāt,مناجات,,,Munājāt,Q48516
Mas̲navī-i maʻnavī-i Mawlavī,مثنوى معنوى مولوى,,,,,Mas̲navī,Q27606
Kitāb-i Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,کتاب متلع سعدىن و مجمع بحرىن,Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,متلع سعدىن و مجمع بحرىن,,,Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,
Kitāb-i muʻammā az taʼlīfāt-i Muḥammad ibn ʻAlī al-Navandākī va jild-i dīgar-i māl-i Jāmī,کتاب معما از تألىفات محمد بن على النونداکى و جلد دىگر مال جامى,,,,,Persian miscellany,
Zubdat al-alvāḥ,زبدة الالواح,,,,,Zubdat al-alvāḥ,
Tanbīhāt al-munajjimīn,تنبيهات المنجمين,,,,,Tanbīhāt al-munajjimīn,
Khulāṣah-i kalām /,خلاصه کلام /,,,,,Khulāṣah-i kalām,
Tuḥfah-i Ḥātimī ... [etc.,تحفه حاتمى,,,,,Tuḥfah-i Ḥātimī,
Faṣl al-khiṭāb li-waṣl al-aḥbāb ... [etc.,فصل الخطاب لوصل الاحباب,Faṣl al-khiṭāb,فصل الخطاب,,,Faṣl al-khiṭāb,
Kitāb-i Nuzhat al-qulūb,کتاب نزهة القلوب,Nuzhat al-qulūb,نزهة القلوب,,,Nuzʹhat al-qulūb,
Sarmāyah-i īmān /,سرماىه ايمان /,,,,,Sarmāyah-i īmān,
Māʾidah-i samāvīyah,مائدة سماوية,,,,,Māʾidah-i samāvīyah,
Collection of four Ṣūfī texts,,,,,,Sufi texts,
Ṣaḥīfah-i Shāhī,,,,,,Ṣaḥīfah-i Shāhī,
Kitāb-i Sharḥ-i Bīst bāb dar maʻrifat-i qavāʻid-i fann-i asṭurlāb ... [etc.,کتاب شرح بىست باب در معرفت قواعد فن اسطرلاب,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بىست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,
Mursalāt va makātīb-i Yaghmā Jandaqī ... [etc.,مرسلات و مکاتىب ىغما جندقى,,,,,Mursalāt va makātīb-i Yaghmā Jandaqī,
Ḥadīdah-i muḥammmāt /,حدىده محمات /,Ḥadīdah-i muḥammmāt fī ajvibah baʻz̤ al-maqālāt,حدىده محماة في اجوبة بعض المقالات,,,Ḥadīdah-i muḥammmāt fī ajvibah baʻz̤ al-maqālāt,
Dīvān-i Naẓīrī ... [etc.,دىوان نظىرى,Poems,,,,Poems,Q1455
Ḥayāt al-nufūs,حيوة النفوس,,,,,Ḥayāt al-nufūs,
Madārij al-nubūvah va darajāt al-futūvah,مدارج النبوة ودرجات الفتوة,,,,,Madārij al-nubūvah va darajāt al-futūvah,
ʻAqāyid al-muttaqīn,عقايد المتقين,,,,,ʻAqāyid al-muttaqīn,
Shāhanshāhʹnāmah,شاهنشاه‌نامه,,,,,Shāhanshāhʹnāmah,
Ṭūṭīʹnāmah /,طوطى‌نامه /,,,,,Ṭūṭīʹnāmah,Q48573
Burhān-i qāṭiʻ,برهان قاطع,,,,,Burhān-i qāṭiʻ,
Farhang-i Surūrī Kāshī,فرهنگ سرورى کاشى,,,,,Farhang-i Surūrī Kāshī,
Jūg Bāshist,جوگ باشست,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
ʻArūz̤-i Mawlānā Vaḥīd Tabrīzī,عروض مولانا وحىد تبرىزى,,,,,ʻArūz̤-i Mawlānā Vaḥīd Tabrīzī,
Tarjamah-i Mishkāt,ترجمه مشکات,,,,,Tarjamah-i Mishkāt,
Kitāb-i Ḥaqq al-yaqīn /,کتاب حق الىقىن /,Ḥaqq al-yaqīn,حق الىقىن,,,Ḥaqq al-yaqīn,
Sharḥ-i Dīvān-i Anvarī /,شرح دىوان انورى /,,,,,Sharḥ-i Dīvān-i Anvarī,
Z̲ākhirah-i Khvārazm-shāhī,ذاخره خوارزم شاهى,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Z̲ākhirah-i Khvārazmshāhī,
Kitāb-i Zubdat al-taṣānīf,کتاب زبدة التصانىف,Zubdat al-taṣānīf,زبدة التصانيف,,,Zubdat al-taṣānīf,
Kitāb-i Khulāṣat al-akhbār /,کتاب خلاصة الاخبار /,Khulāṣat al-akhbār,خلاصة الاخبار,,,Khulāṣat al-akhbār,
al-Tuḥfah al-Shāhīyah,التحفه الشاهيه,,,,,al-Tuḥfah al-Shāhīyah,
Silsilah-ʾi nāmah-ʾi khvājagān-i Naqshabandīyah,سلسلۀ نامۀ خواجگان نقشبنديه,,,,,Letters,Q5068
Nafāyis al-funūn fī ʻarāyis al-ʻuyūn,نفاىس الفنون فى عراىس العىون,,,,,Nafāyis al-funūn fī ʻarāyis al-ʻuyūn,
Dīvān-i Shāhī maʻa Dīvān-i Āṣafī,دىوان شاهى مع دىوان آصفى,Poems,,,,Poems,Q1455
Bāb-i panjum dar ḥajj,باب پنجم در حج,,,,,Bāb-i panjum dar ḥajj,
Kitāb-i Yūsuf Zulaykhā,کتاب ىوسف و زلىخا,Yūsuf va Zulaykhā,ىوسف و زلىخا,,,Yūsuf va Zulaykhā,Q3708
Daqāyiq al-ṭibb /,دقايق الطب /,,,,,Medical text,Q20372
Dīvān-i ashʻār-i Mawlānā Sayf al-Dīn,دىوان اشعار مولانا سىف الدىن,Poems,,,,Poems,Q1455
Ḥadīqah-ʾi Ḥakīm Sanāʾī,حدىقۀ حکىم سنائي,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,حديقة الحقيقة وشريعة الطريقة,,,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,
Suʾāl dar maʻād va ʻawd-i arvāḥ bi-ajsād va ʻālam-i barzakh va baʻz̤ī mutaʻalliqāt-i ū,سؤال در معاد و عود ارواح باجساد و عالم برزخ و بعضى متعلقات او,,,,,Suʾāl dar maʻād va ʻawd-i arvāḥ bi-ajsād va ʻālam-i barzakh va baʻz̤ī mutaʻalliqāt-i ū,
Tarjamah-ʼi Tārīkh-i Qum /,ترجمۀ تارىخ قم /,Tārīkh Qum,تارىخ قم,,,Tārīkh Qum,
Jāmiʻ al-qavānīn /,جامع القوانىن /,Correspondence,,,,Correspondence,Q38385
Sharḥ-i Khāqānī,شرح خاقانى,,,,,Sharḥ-i Khāqānī,
Gulshan-i adab /,گلشن ادب /,,,,,Gulshan-i adab,
ʻAbbāsnāmah,عباسنامه,,,,,ʻAbbāsnāmah,
Faṣl al-khiṭāb,فصل الخطاب,,,,,Faṣl al-khiṭāb,
Part of a Qurʼān commentary,,,,,,Qur'an commentary,Q39258
Mavāhib-i ʻalīyah,مواهب علية,,,,,Mavāhib-i ʻalīyah,
Volume 3 of the Ashiʻʻat al-lamaʻāt,,Ashiʻʻat al-lamaʻāt,اشعة اللمعات,,,Ashiʻʻat al-lamaʻāt,
Kīmiyā-i saʻādat,کىمىا سعادت,Kīmiyā-yi saʻādat,کىمىاى سعادت,,,Kīmiyā-yi saʻādat,
Taysīr al-qārī dar sharḥ-i Ṣaḥīḥ al-Bukhārī,تىسىر القارى در شرح صحىح البخارى,,,,,Taysīr al-qārī dar sharḥ-i Ṣaḥīḥ al-Bukhārī,
Sharḥ-i Dīvān-i Amīr al-Muʼminīn,شرح دىوان امىر المؤمنىن,,,,,Sharḥ-i Dīvān-i Amīr al-Muʼminīn,
Majālis-i abrār,مجالس ابرار,,,,,Majālis-i abrār,
Mulakhkhaṣ,ملخص,,,,,Mulakhkhaṣ,
Laylá Majnūn ... [etc.,لىلى مجنون,,,,,Laylá va Majnūn,Q18445
Silsalat al-z̲ahab,سلسلت الذهب,,,,,Silsalat al-z̲ahab,
Makātīb,مکاتىب,Correspondence,,,,Correspondence,Q38385
Muṣṭalaḥāt al-shuʻarāʼ,مصطلحات الشعراء,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,فرهنگ مصطلحات الشعراء,,,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,
Nuskhah-i Qiṣaṣ al-anbiyāʾ,نسخه قصص الانبىاء,Qiṣaṣ al-anbiyāʾ,قصص الانبىاء,,,Qiṣaṣ al-anbiyāʼ,Q27745
Mujarrabāt-i Akbarī ... [etc.,مجربات اکبرى,,,,,Mujarrabāt-i Akbarī,
Mukhtār al-ikhtiyār ʻalá al-maz̲hab al-mukhtār,مختار الاختىار على المذهب المختار,,,,,Mukhtār al-ikhtiyār ʻalá al-maz̲hab al-mukhtār,
Treatise on prayers for various times and days,,,,,,Treatise on prayer,
Jild-i chahārum-i Hidāyah,جلد چهارم هداىه,Hidāyah,هداية,,,Hidāyah,Q39473
Īz̤āḥ al-ḥaqq al-ṣarīḥ fī aḥkām al-mayyit va al-farīḥ ... [etc.,ايضاح الحق الصريح فى احکام الميت و الفريح ... الخ,,,,,Īz̤āḥ al-ḥaqq al-ṣarīḥ fī aḥkām al-mayyit va al-farīḥ,
Daftar al-s̲ālis̲ min Sharḥ-i Shaykh Ḥusayn Khvārazmī,دفتر الثالث من شرح شىخ حسىن خوارزمى,Javāhir al-asrār va zavāhir al-anvār,جواهر الاسرار و زواهر الانوار,,,Javāhir al-asrār va zavāhir al-anvār,
Sih nas̲r] ... [etc.,سه نثر,,,,,Sih nas̲r,
Sharḥ-i Sikandarnāmah,شرح سکندرنامه,,,,,Sharḥ-i Sikandarnāmah,
Dīvān-i Shāhidī ... [etc,دىوان شاهدى ... الخ,Works,,,,Works,Q5989
Three treatises on logic,,,,,,Treatise on logic,Q20506
Zubdat al-Favāʼid,,,,,,Zubdat al-Favāʼid,
Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,,,,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,
Risālah dar karāmāt va manāqib-i Khvājah Aḥmad va Quṭb al-Dīn Mawdūd Chishtī,,,,,,Risālah dar karāmāt va manāqib-i Khvājah Aḥmad va Quṭb al-Dīn Mawdūd Chishtī,
Kifāyat al-taʻlīm dar ṣināʻat-i tanjīm,,,,,,Kifāyat al-taʻlīm dar ṣināʻat-i tanjīm,
Kanz al-lughāt,,,,,,Kanz al-lughāt,
Tārīkh-i Vaṣṣāf,,,,,,Tārīkh-i Vaṣṣāf,
Tārīkh-i Jahangushā-yi Nādirī,,Tārīkh-i Nādirī,,,,Tārīkh-i Nādirī,Q18592
Dīvān,,,,Dīwān,Q11912,,
Faz̤āʾil-i Madīnah-i munavvarah,,,,,,Faz̤āʾil-i Madīnah-i munavvarah,
Kitāb-i Mawlānā al-Rūmī,,,,,,Mawlānā,
al-Faraj baʻda al-shiddat va al-z̤īqah,,Faraj baʻda al-shiddah,,,,Faraj baʻda al-shiddah,
Muhaz̲z̲ab al-asmāʼ fī maʻrifat al-ashiyāʼ,,,,,,Muhaz̲z̲ab al-asmāʼ fī maʻrifat al-ashiyāʼ,
Ṣubḥat al-abrār,,Haft awrang,,,,Haft awrang,Q27579
Surūr al-maḥbūsīn,,,,,,Surūr al-maḥbūsīn,
Tārīkh-i nigāristān,,,,,,Tārīkh-i nigāristān,
Dīvān,,Poems,,Dīwān,Q11912,,
Bāb-i namāz-i shab az Miftāḥ al-falāḥ,,Miftāḥ al-falāḥ,,,,Miftāḥ al-falāḥ,
Inshāʾ-i Mādhū Rām,,Correspondence,,,,Correspondence,Q38385
Zīj-i tāliʻ-i farzand-i Pīr Aḥmad Sānī,,,,,,Zīj-i tāliʻ-i farzand-i Pīr Aḥmad Sānī,
Taz̲kirat al-shuʻarāʼ,,,,,,Taz̲kirat al-shuʻarāʼ,
Irshād al-muʼminīn,,,,,,Irshād al-muʼminīn,
Dar bayān-i maṣāliḥ-i gulūlah va aqsām-i bārūt,,,,,,Dar bayān-i maṣāliḥ-i gulūlah va aqsām-i bārūt,
Mavāhib-i ʻalīyah,,,,,,Mavāhib-i ʻalīyah,
Zīj-i Ulūgh Bayg,,,,,,Zīj-i Ulūgh Bayg,
"Tuḥfat-i is̲nā ʻasharīyah; yā, Naṣīḥat al-muʼminīn va faz̤iḥat al-shayāṭīn",,,,,,Tuḥfat-i is̲nā ʻasharīyah,
Rawz̤at al-ṣafā,,,,,,Rawz̤at al-ṣafāʼ,Q48522
Fatḥ al-mujāhidīn,,,,,,Fatḥ al-mujāhidīn,
Anvār nāmah,,,,,,Anvār nāmah,
Risālah dar ādāb al-salāṭīn,,,,,,Risālah dar ādāb al-salāṭīn,
Majmūʻah-i risālāt,,Works,,,,Works,Q5989
Mudām-i jān fazā dar sharḥ-i Jām-i jahānʹnumā,,,,,,Mudām-i jān fazā dar sharḥ-i Jām-i jahānʹnumā,
Qiṣaṣ al-anbiyāʼ,,,,,,Qiṣaṣ al-anbiyāʼ,Q27745
Ilāhī nāmah,,,,,,Ilāhī nāmah,
Ḥayāt-i jāvidānī,,Ḥirz al-amānī wa-wajh al-tahānī,,,,Ḥirz al-amānī wa-wajh al-tahānī,Q11666
Sharḥ-i asmāʼ al-ḥusná va asmāʼ al-aʼimmah al-maʻṣūmīn,,,,,,Sharḥ-i asmāʼ al-ḥusná va asmāʼ al-aʼimmah al-maʻṣūmīn,
Jadāvil-i maʻrifat-i aḥkām-i ṭāliʻ va sanavāt,,,,,,Jadāvil-i maʻrifat-i aḥkām-i ṭāliʻ va sanavāt,
Tarjamah-i Ṣiḥāḥ,,Ṣiḥāḥ,,,,Ṣiḥāḥ,Q3117
Astrological tables,,,,,,Astrological tables,
Muntakhab az Kitāb-i Ḥadīqat al-Shīʻah ... [etc.,منتخب از کتاب حدىقت الشىعة,Ḥadīqat al-Shīʻah,حديقة الشيعة,,,Ḥadīqat al-Shīʻah,
Hāz̲ā Kitāb-i Sirāj al-munīr ... [etc.,هذا کتاب سراج المنىر,Sirāj al-munīr,سراج المنىر,,,Sirāj al-munīr,
Tarjamah-i Mavāʻiẓ fī al-aḥādīs̲ al-Qudsīyah,ترجمه مواعظ فى الاحادىث القدسية,Mawāʻiẓ fī al-aḥādīth al-Qudsīyah,مواعظ في الاحاديث القدسية,,,Mawāʻiẓ fī al-aḥādīth al-Qudsīyah,
Hāz̲ā Kitāb-i Falak al-mashḥūn,هذا کتاب فلک المشحون,Falak al-mashḥūn,فلک المشحون,,,Falak al-mashḥūn,
Qiṣṣah dar kayd va nikūhish-i zanhā,قصه در کىد و نکوهش زنها,,,,,Qiṣṣah dar kayd va nikūhish-i zanhā,
Hāz̲ā kitāb Risālah-i Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn ... [etc.,هذا کتاب رساله قطب المحققىن و عمدة المدققىن,Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn,قطب المحققين و عمدة المدققين,,,Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn,
Selections from the Mas̲navī,,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Javāhir al-tafsīr,جواهر التفسىر,,,,,Javāhir al-tafsīr,
Dīvān-i Ḥakīm Sūzanī Samarqandī,دىوان حکىم سوزنى سمرقندى,Poems,,,,Poems,Q1455
Dīvān-i Shams-i Tabrīzī,دىوان شمس تبرىزى,,,,,Dīwān,Q11912
Rabīʻ al-asābīʻ,ربيع الاسابيع,,,,,Rabīʻ al-asābīʻ,
Selections of Persian poetry,,,,,,Persian poetry,Q18530
Rajʻat,رجعت,,,,,Rajʻat,
Kitāb-i Nūr al-ʻuyūn,کتاب نور العىون,Nūr al-ʻuyūn,نور العيون,,,Nūr al-ʻuyūn,
Akhlāq-i Muḥsinī,اخلاق محسنى,,,,,Akhlāq-i Muḥsinī,
Surūr al-muʼminīn,سرور المؤمنين,,,,,Surūr al-muʼminīn,
Section from a Shiʻite tafsīr,,,,,,Shiʻite tafsīr,
Volume 1 of Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī] ... etc,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,
