row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
56,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032455Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613375Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698354Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146063Z","Sakkākī, Yūsuf ibn Abī Bakr, 1160-",author,,,Yūsuf ibn Abī Bakr Sakkākī,human,Q719328,DSNAME6527,Q54158,,,,
57,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032460Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613385Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698357Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146068Z","Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389",author,,,,,,,,human,Taftazani,Q764947,Q12298
58,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032465Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613392Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698361Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146076Z","Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
59,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032473Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613398Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698366Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146080Z","Muṣannifak, ʻAlī ibn Majd al-Dīn Muḥammad, 1400 or 1401-1470 or 1471",author,,,,,,,,human,Ali al-Bistami,Q42343964,Q12332
60,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032479Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613410Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698369Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146130Z","Ṭāshkubrīʹzādah, Aḥmad ibn Muṣṭafá, 1495-1561",author,,,Taşköprüzade,human,Q12221519,DSNAME6528,Q54159,,,,
61,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032483Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613416Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698372Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146139Z","Ghulāmak, Muḥammad ibn Mūsá, -1635 or 1636",author,,,Muḥammad ibn Mūsá Ghulāmak,human,Q129951504,DSNAME6529,Q54160,,,,
62,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032490Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613423Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698380Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146143Z","Shaykhʹzādah, Muḥammad ibn Muṣṭafá, -1544 or 1545",author,,,Muḥammad ibn Muṣṭafá Shaykhʹzādah,human,Q129951506,DSNAME6530,Q54161,,,,
63,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032495Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613441Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698383Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146148Z","Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 1268-1338",author,,,,,,,,human,Jalal al-Din al-Qazwini,Q12187054,Q12375
64,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032500Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613447Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698386Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146158Z","Khawāfī, ḥaydar ibn Muḥammad, d. 1450",author,,,ḥaydar ibn Muḥammad Khawāfī,human,Q129951508,DSNAME6531,Q54162,,,,
65,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032511Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613454Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698396Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146163Z","Ḥusāmʹzādah, Muṣṭafá, 15th cent",author,,,Muṣṭafá Ḥusāmʹzādah,human,Q129951510,DSNAME6532,Q54163,,,,
