row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
282,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425112Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093849Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124464Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594099Z","Ṭabāṭabāʾī, ʻAlī Naqī",former owner,طباطبائي، علي نقي,,ʻAlī Naqī Ṭabāṭabāʾī,human,Q129453262,,,,
283,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425129Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093858Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124469Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594104Z","Nūrī, Faz̤l Allāh, -1909",former owner,نورى، فضل الله، d. 1909,,Sheikh Fazlollah Nuri,human,Q1399191,,,,
284,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425142Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093865Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124472Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594122Z","Bahman Mīrzā, 1810-1883 or 1884",former owner,بهمن مىرزا، 1810-1883 or 1884,,Bahman Mirza Qajar,human,Q2061781,,,,
285,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425153Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093882Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124474Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594127Z","Sharīf Ḥusaynī, Abū Ṭālib, active 18th century",author,شرىف حسىنى، ابو طالب، active 18th century,,Abū Ṭālib Sharīf Ḥusaynī,human,Q129453265,,,,
286,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425172Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093891Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124479Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594131Z","Fénelon, François de Salignac de La Mothe-, 1651-1715",author,,,François Fénelon,human,Q310002,,,,
287,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425184Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093965Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124481Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594140Z","Majlisī, Muḥammad Taqī ibn Maqṣūd ʻAlī, 1594 or 1595-1659 or 1660",author,مجلسي، محمد تقي بن مقصود علي، 1594 or 5-1659 or 60,,Muḥammad Taqī ibn Maqṣūd ʻAlī Majlisī,human,Q129453266,,,,
288,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425196Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.093994Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124484Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594144Z","Sayyāḥ, Muḥammad Bāqir ibn Muḥammad Ḥusayn, active 19th century",author,سياح، محمد باقر بن محمد حسىن، active 19th century,,Muḥammad Bāqir ibn Muḥammad Ḥusayn Sayyāḥ,human,Q129453268,,,,
289,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425212Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094003Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124488Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594149Z","Nūrī, ʻAlī ibn Jamshīd, -1830 or 1831",author,نوري، علي بن جمشيد، d. 1830 or 31,,ʻAlī ibn Jamshīd Nūrī,human,Q129453270,,,,
290,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425224Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094018Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124491Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594157Z","Sipahsālār, Farīdūn ibn Aḥmad",author,سپهسالار، فريدون بن احمد,,Farīdūn ibn Aḥmad Sipahsālār,human,Q129453272,,,,
291,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425235Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094037Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124494Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594163Z","Charkhī, Yaʻqūb, -1447",author,چرخى، ىعقوب، d. 1447,,Ya'qub al-Jarkhi,human,Q16723182,,,,
292,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425266Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094046Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124500Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594168Z","Imāmī Hiravī, Muḥammad ibn Abī Bakr, -1287 or 1288",author,امامى هروى، محمد بن ابى بکر، -1287 or 1288,,Imami Heravi,human,Q30303658,,,,
293,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425279Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094061Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124503Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594176Z","Aghā Raḍī al-Dīn, Muḥammad ibn al-Ḥasan, -1685",author,اغا رضي الدين، محمد بن الحسن، d. 1685,,Muḥammad ibn al-Ḥasan Aghā Raḍī al-Dīn,human,Q129453273,,,,
294,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425290Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094076Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124506Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594181Z","Lārī, Quṭb al-Dīn ibn ʻAbd al-Ḥayy, active 17th century",author,لارى، قطب الدىن بن عبد الحي، active 17th century,,Quṭb al-Dīn ibn ʻAbd al-Ḥayy Lārī,human,Q129453277,,,,
295,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425307Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094084Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124510Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594185Z","Mullā Bāshī, Muḥammad Bāqir ibn Muḥammad, -1824 or 1825",author,ملا باشي، محمد باقر بن محمد، -1824 or 1825,,Muḥammad Bāqir ibn Muḥammad Mullā Bāshī,human,Q129453279,,,,
296,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425319Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094099Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124512Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594202Z","Vaṣṣāf al-Ḥaz̤rat, ʻAbd Allāh ibn Faz̤l Allāh, 1264 or 1265-1329",author,وصاف الحضرت، عبد الله بن فضل الله، 1264 or 5-1329,,Wassaf,human,Q2915197,,,,
297,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425330Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094113Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124516Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594207Z","Qummī, Abū al-Qāsim, -1816",author,قمي، ابو القاسم، -1816,,Abu al-Qasim Qomi,human,Q6400246,,,,
298,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425347Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094132Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124518Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594216Z","Naṣīr al-Islām, Muḥammad ʻAlī ibn Ḥusayn",author,نصير الاسلام، محمد علي بن حسين,,Muḥammad ʻAlī ibn Ḥusayn Naṣīr al-Islām,human,Q129453282,,,,
299,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425358Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094141Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124521Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594220Z","Parvīn, Muḥammad Riz̤ā ibn ʻAbd al-Muḥammad, 19th cent",author,پروىن، محمد رضا بن عبد المحمد، 19th cent,,Muḥammad Riz̤ā ibn ʻAbd al-Muḥammad Parvīn,human,Q129453284,,,,
300,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425369Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094154Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124524Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594224Z","Shaykh al-Islām, Ḥasan",author,شيخ الاسلام، حسن,,Ḥasan Shaykh al-Islām,human,Q129453286,,,,
301,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425386Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094165Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124527Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594232Z","Tajallī Shīrāzī, ʻAlī Riz̤ā ibn Ḥusayn, -1674 or 1675",author,تجلى شىرازى، علىرضا بن حسىن، -1674 or 1675,,ʻAlī Riz̤ā ibn Ḥusayn Tajallī Shīrāzī,human,Q129453287,,,,
302,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425397Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094174Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124529Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594236Z","Ḥusaynī, ʻImād, active 17th century",author,حسىنى، عاماد، active 17th century,,ʻImād Ḥusaynī,human,Q129453289,,,,
303,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425409Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094195Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124534Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594240Z","Ṣafī, ʻAlī ibn Ḥusayn Kāshifī, 1463-1532 or 1533",author,صفي، علي بن حسين كاشفي، 1463-1532 or 3,,ʻAlī ibn Ḥusayn Kāshifī Ṣafī,human,Q120598988,,,,
304,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425433Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094209Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124537Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594248Z","Sabzavārī, Hādī ibn Mahdī, 1797 or 1798-",author,سبزوارى، هادى بن مهدى، 1797 or 1798-,,Hadi Sabzavari,human,Q3660738,,,,
305,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425444Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094217Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124539Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594252Z","Fārsī, Muḥammad Jaʻfar ibn Muḥammad Ṣafī, active 19th century",author,فارسي، محمد جعفر بن محمد صفي، active 19th century,,Muḥammad Jaʻfar ibn Muḥammad Ṣafī Fārsī,human,Q129453162,,,,
306,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425456Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094230Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124543Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594258Z","Umīdī al-Ṭihrānī, Arjāsp, -1519",author,امىدى الطهرانى، ارجاسپ، -1519,,Arjāsp Umīdī al-Ṭihrānī,human,Q129453291,,,,
307,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425473Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094242Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124545Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594272Z","Bābā Faghānī Shīrāzī, -1519",author,بابا فغانى شىرازى، d. 1519,,Baba Feghani,human,Q4481652,,,,
308,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425484Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094250Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124547Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594304Z",ʻAbd al-Laṭīf ibn Firishtah,author,عبد اللطىف بن فرشته,,ʻAbd al-Laṭīf ibn Firishtah,human,Q129453292,,,,
309,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425500Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094261Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124551Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594309Z","Riz̤vān Jān, Aḥmad",author,رضوان جان، احمد,,Aḥmad Riz̤vān Jān,human,Q129453295,,,,
310,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425512Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094280Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124554Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594318Z","ʻĀlī Qalandar, -1425 or 1426",author,عالى قلندر، -1425 or 1426,,Q5910769,human,Q5910769,,,,
311,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425523Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094288Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124557Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594323Z","Bisṭāmī, Muḥammad Ḥusayn ibn Ismāʻīl",author,بسطامى، محمد حسىن بن اسماعىل,,Muḥammad Ḥusayn ibn Ismāʻīl Bisṭāmī,human,Q129453297,,,,
312,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425538Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094300Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124561Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594327Z","Ibn Ṭāwūs, ʻAlī ibn Mūsá, 1193-1266",author,ابن طاوس، علي بن موسى، 1193-1266,,Sayyed Ibn Tawus,human,Q10296786,,,,
313,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425551Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094312Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124563Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594335Z","Shifāʼī, Muẓaffar ibn Muḥammad, -1555 or 1556",author,شفائي، مظفر بن محمد، -1555 or 1556,,Muẓaffar ibn Muḥammad Shifāʼī,human,Q129453300,,,,
314,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425562Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094335Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124565Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594340Z","Majz̲ūb Tabrīzī, Muḥammad ibn Muḥammad Riz̤ā, -1682 or 1683",author,مجذوب تبرىزى، محمد بن محمد رضا، -1682 or 1683,,Muḥammad ibn Muḥammad Riz̤ā Majz̲ūb Tabrīzī,human,Q10858055,,,,
315,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425582Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094344Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124572Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594344Z","Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,نظامى گنجوى، 1140 or 41-1202 or 3,,,,,human,Nizami Ganjavi,Q234908,Q16480
316,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425643Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094359Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124574Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594352Z","Majlisī, Muḥammad Taqī ibn Maqṣūd ʻAlī, 1594 or 1595-1659 or 1660",author,مجلسي، محمد تقي بن مقصود علي، 1594 or 1595-1659 or 1660,,Muḥammad Taqī ibn Maqṣūd ʻAlī Majlisī,human,Q129453266,,,,
317,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425654Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094373Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124577Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594356Z","ʻĀmulī, Muḥammad Ṣādiq ibn Muḥammad, active 17th century",author,عاملي، محمد صادق بن محمد، active 17th century,,Muḥammad Ṣādiq ibn Muḥammad ʻĀmulī,human,Q129453302,,,,
318,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425664Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094382Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124580Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594361Z","Qazwīnī, Khalīl ibn al-Ghāzī, 1592 or 1593-1678 or 1679",author,قزويني، خليل بن الغازي، 1592 or 3-1678 or 9,,Khalīl ibn al-Ghāzī Qazwīnī,human,Q129453305,,,,
319,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425671Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094404Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124583Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594375Z","Shīrwānī, Muḥammad ibn al-Ḥasan, -1687",author,شيرواني، محمد بن الحسن، d. 1687,,Muḥammad ibn al-Ḥasan Shīrwānī,human,Q129453306,,,,
320,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425777Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094420Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124586Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594379Z","Ibn Maʻrūf, Muḥammad ibn ʻAbd al-Khāliq, active 15th century",author,ابن معروف، محمد بن عبد الخالق، active 15th century,,Muḥammad ibn ʻAbd al-Khāliq Ibn Maʻrūf,human,Q129453417,,,,
321,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425787Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094428Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124589Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594384Z","Khātūnʹābādī, Muḥammad Ṣāliḥ ibn ʻAbd al-Wāsiʻ, -1704 or 1705",author,خاتون‌ابادي، محمد صالح بن عبد الواسع، -1704 or 1705,,Muḥammad Ṣāliḥ ibn ʻAbd al-Wāsiʻ Khātūnʹābādī,human,Q129453308,,,,
322,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425793Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094446Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124592Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594392Z","Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,"جلال الدىن رومى، مولانا, 1207-1273",,,,,human,Rumi,Q43347,Q27901
323,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425799Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094461Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124594Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594397Z","Hamadānī, ʻAlī Naqī, active 19th century",author,همداني، علي نقي، active 19th century,,ʻAlī Naqī Hamadānī,human,Q129453310,,,,
324,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425807Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094469Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124598Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594402Z","Polak, Jakob Eduard, 1818-1891",author,,,Jakob Eduard Polak,human,Q113768,,,,
325,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425812Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094481Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124600Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594410Z","Āmulī, ʻIzz al-Dīn ibn Jaʻfar, active 16th century",author,آملي، عز الدين بن جعفر، active 16th century,,ʻIzz al-Dīn ibn Jaʻfar Āmulī,human,Q129453312,,,,
326,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425818Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094500Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124603Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594414Z","Ḥusaynī, Muḥammad, active 14th century-15th century",author,حسيني، محمد، active 14th century-15th century,,,,,human,Muḥammad Ḥusaynī,Q116378848,Q3724
327,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425831Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094509Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124611Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594423Z","Kāshif, Muḥammad Sharīf",author,کاشف، محمد شرىف,,Muḥammad Sharīf Kāshif,human,Q129453314,,,,
328,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425837Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094523Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124613Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594428Z","Qūshjī, ʻAlī ibn Muḥammad, -1474 or 1475",author,قوشجي، علي بن محمد، d. 1474 or 5,http://id.loc.gov/authorities/names/nr90029107,,,,human,Ali Qushji,Q423644,Q3203
329,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425844Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094537Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124616Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594433Z","Fayḍ al-Kāshī, Muḥammad ibn Murtaḍá, 1598 or 1599-1680 or 1681",author,فيض الكاشي، محمد بن مرتضى، 1598 or 9-1680 or 81,,Mohsen Fayz Kashani,human,Q4119490,,,,
330,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425851Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094545Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124620Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594444Z","Zavvārī, ʻAlī ibn Ḥasan, active 16th century",author,زوارى، على بن حسن، active 16th century,,ʻAlī ibn Ḥasan Zavvārī,human,Q129453316,,,,
331,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425856Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094564Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124622Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594449Z","Iṣfahānī, Zayn al-ʻĀbidīn ibn Muḥammad ʻAlī, active 19th century",author,اصفهاني، زين العابدين بن محمد علي، active 19th century,,Zayn al-ʻĀbidīn ibn Muḥammad ʻAlī Iṣfahānī,human,Q129453319,,,,
332,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425864Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094574Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124625Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594454Z","ʻAṣṣār Tabrīzī, Muḥammad, -1382 or 1383",author,عصار تبرىزى، محمد، -1382 or 1383,,Assar Tabrizi,human,Q612075,,,,
333,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.425870Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.094581Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124631Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.594462Z","Zavvāraʼī, ʻAlī ibn Ḥusayn, active 1531",author,زوارى، على بن حسن، active 16th century,,ʻAlī ibn Ḥusayn Zavvāraʼī,human,Q129456030,,,,
