row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
224,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414723Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090212Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124275Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593608Z","Ṣāʼib Tabrīzī, Muḥammad ʻAlī, -approximately 1670",author,صائب تبريزي، محمد علي,,Muḥammad ʻAlī Ṣāʼib Tabrīzī,human,Q129453071,,,,
225,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414731Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090228Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124277Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593626Z","Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجانى، على بن محمد، السيد الشرىف,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
226,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414742Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090241Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124279Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593634Z","Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسى، نصير الدين محمد بن محمد,http://id.loc.gov/authorities/names/n82136884,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
227,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414749Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090248Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124283Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593641Z","Rāzī, Fakhr al-Dīn Muḥammad ibn ʻUmar, 1149 or 1150-1210",author,رازي، فخر الدين محمد بن عمر,,,,,human,Fakhr al-Din al-Razi,Q333703,Q3207
228,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414759Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090260Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124285Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593667Z","Hindī, ʻAzīz Allāh ibn ʻAṭāʼ Allah",author,هندى، عزيز الله بن عطاء الله,,ʻAzīz Allāh ibn ʻAṭāʼ Allah Hindī,human,Q129453226,,,,
229,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414767Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090280Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124288Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593674Z","Fattāḥī, -approximately 1448",author,فتاحى,,Fattāḥī,human,Q5856887,,,,
230,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414775Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090292Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124292Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593681Z","Bīdil, ʻAbd al-Qādir, 1644 or 1645-1720 or 1721",author,بىدل، عبد القادر,,,,,human,Abdul-Qādir Bēdil,Q2355593,Q42623
231,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414785Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090300Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124294Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593693Z","Muḥammad al-Sharīf ibn Muḥammad, 1593-",author,محمد الشريف بن محمد، b. 1593,,Muhammad ibn Sharif,human,Q2706072,,,,
232,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414793Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090316Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124296Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593700Z","Maḥmūd Gāwān̲, 1411?-1481",author,,,Mahmud Gavan,human,Q2151490,,,,
233,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414800Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090332Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124305Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593707Z","ʻAṭṭār, Farīd al-Dīn, -approximately 1230",author,عطار، فريد الدين,,,,,human,Attar of Nishapur,Q194091,Q18697
