row_index,workflow_history,name_as_recorded,recon-name,name,role,authorized_label_add,instance_of_add,structured_value_add,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184763Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694426Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851865Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147120Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940043Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318128Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658901Z","Augustine, of Hippo, Saint, 354-430",,,author,,,,,,human,Augustine of Hippo,Q8018
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184767Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694433Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851873Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147126Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940049Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318144Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658906Z",Augustinerkloster Ramsau,,,former owner,Ramsau Monastery,organization,Q1321580,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184772Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694443Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851878Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147131Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940055Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318159Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658909Z",Baker & Leigh,,,former owner,Leigh Baker,human,Q22003280,,,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184779Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694450Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851882Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147141Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940066Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318169Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658916Z","Ball, John Brayfield","Ball, John Brayfield",John Brayfield Ball,former owner,"Ball, John Brayfield",human,Q123274725,,,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184783Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694457Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851891Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147149Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940073Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318200Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658920Z","Ball, John Henry",,,former owner,Henry John Ball,human,Q17512924,,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184788Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694475Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851897Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147155Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940078Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318222Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658923Z","Barbaro, Francesco, 1390-1454",,,author,Francesco Barbaro,human,Q712032,,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184794Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694481Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851900Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147168Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940090Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318233Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658930Z","Barbaro, Francesco, 1390-1454",,,former owner,Francesco Barbaro,human,Q712032,,,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184799Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694488Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851908Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147177Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940210Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318255Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658934Z","Barrois, Joseph, approximately 1785-1855",,,former owner,,,,,,human,Joseph Barrois,Q97783947
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184804Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694507Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851914Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147183Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940224Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318265Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658938Z","Bartlett, F. W., Mrs","Bartlett, F. W., Mrs",Mrs. F. W. Bartlett,former owner,"Bartlett, F. W., Mrs",human,Q123274726,,,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184814Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694514Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851919Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147192Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940230Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318285Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658945Z","Bartolomeus, de Zachariis","Bartolomeus, de Zachariis",Bartolomeus de Zachariis,scribe,"Bartolomeus, de Zachariis",human,Q123274727,,,,,
