row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",ara,ara,,,Arabic,Q13955
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",arm,arm,,,Armenian,Q8785
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",chu,chu,,,Church Slavonic,Q33251
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",dum,dum,,,Middle Dutch,Q178806
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",dut,dut,,,Dutch,Q7411
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",eng,eng,,,English,Q1860
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",enm,enm,,,Middle English,Q36395
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",fre,fre,,,French,Q150
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",fre;lat,fre;lat,French;Latin,Q150;Q397,,
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",frm,frm,,,Middle French,Q1473289
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",ger,ger,,,German,Q188
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",grc,grc,,,Ancient Greek,Q35497
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",gre,gre,,,Greek,Q9129
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",heb,heb,,,Hebrew,Q9288
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",it,it,Italian,Q652,,
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",ita,ita,,,Italian,Q652
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",ita;lat,ita;lat,Italian;Latin,Q652;Q397,,
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat,lat,,,Latin,Q397
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;dum,lat;dum,,,Latin;Middle Dutch,Q397;Q178806
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;dut,lat;dut,,,Latin;Dutch,Q397;Q7411
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;eng,lat;eng,,,Latin;English,Q397;Q1860
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;fre,lat;fre,Latin;French,Q397;Q150,,
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;ger,lat;ger,,,Latin;German,Q397;Q188
34,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;ita,lat;ita,,,Latin;Italian,Q397;Q652
35,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",lat;spa,lat;spa,Latin;Spanish,Q397;Q1321,,
36,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",mul,mul,,,multiple languages,Q20923490
37,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",per,per,,,Persian,Q9168
38,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",spa,spa,,,Spanish,Q1321
39,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",spa;lat,spa;lat,,,Spanish;Latin,Q1321;Q397
40,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",zxx,zxx,,,no linguistic content,Q22282939
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",|||,|||,,,,
