row_index,workflow_history,name_as_recorded,role,name_agr,authorized_label_add,instance_of_add,structured_value_add,source_authority_uri,org,instance_of,authorized_label,structured_value
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901447Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894741Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316296Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662791Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156592Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802395Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366254Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253359Z",Brunner Library,former owner,,,,,,,organization,Northwich Library,Q26454778
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901451Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894745Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316308Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662806Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156597Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802402Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366257Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253367Z","Budé, Guillaume",former owner,,Guillaume Budé,human,Q353668,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901454Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894749Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316315Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662813Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156601Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802405Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366272Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253372Z","Burns, John William",former owner,,"Burns, John William",human,Q123378464,,,human,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901457Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894756Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316318Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662815Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156619Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802408Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366277Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253377Z","C., I",former owner,,"C., I",human,Q123378465,,,human,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901461Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894760Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316331Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662825Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156623Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802412Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366280Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253385Z","Canal, Abbe",former owner,,,,,,,human,Abbe Canal,Q113818373
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901464Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894763Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316343Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662832Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156626Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802493Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366289Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253390Z","Carter, A. C. R",former owner,,,,,,,human,Albert Charles Robinson Carter,Q15627125
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901467Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894776Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316347Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662836Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156637Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802496Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366295Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253394Z","Carter, John W., 1905-1975",former owner,,John Carter,human,Q6225343,,,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901474Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894779Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316350Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662841Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156640Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802504Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366298Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253404Z",Carthusian Charterhouse (Erfurt),former owner,,Kartause Erfurt,organization,Q1734672,,org,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901477Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894783Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316360Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662853Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156644Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802506Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366303Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253409Z","Cavanaugh, Anna",former owner,,"Cavanaugh, Anna",human,Q123378466,,,human,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901480Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894791Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316375Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662860Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156649Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802508Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366311Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253413Z","Celotti, Luigi, approximately 1768-approximately 1846",former owner,,,,,,,human,Luigi Celotti,Q113774991
