row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",enm,enm,,,Middle English,Q36395
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",fre,fre,,,French,Q150
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",ger,ger,,,German,Q188
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",gre,gre,,,Greek,Q9129
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",heb,heb,,,Hebrew,Q9288
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",ita,ita,,,Italian,Q652
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",ita;lat,ita;lat,Italian;Latin,Q652;Q397,,
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",lat,lat,,,Latin,Q397
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",lat;spa,lat;spa,Latin;Spanish,Q397;Q1321,,
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",spa,spa,,,Spanish,Q1321
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",und,und,,,undetermined language,Q22282914
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",und;eng,und;eng,,,undetermined language;English,Q22282914;Q1860
