row_index,workflow_history,place_as_recorded,authorized_label,structured_value
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[England] :,England,http://vocab.getty.edu/tgn/7002445
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",Venice :,Venice,http://vocab.getty.edu/tgn/7018159
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany]:,Germany,http://vocab.getty.edu/tgn/7000084
