title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_titles,standard_title
Calligraphic manual,,,,Calligraphy,Calligraphy
Canon law,,,,Canon law,Canon law
Canon law (?),,,,Canon law,Canon law
Canon super almanach; De 12 signis et eorum naturis in generali,,,,"Canon super almanach; De 12 signis et eorum naturis in generali
","Canon super almanach; De 12 signis et eorum naturis in generali
"
Canonical Epistles,,,,Epistles,Epistles
Canonziere,,,,Canzoniere,Canzoniere
Capitoli della Scuola di Purificatone della Vergine e di Sancto Zenobiot,,,,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio
Carmen saeculare,,,,Carmen saeculare,Carmen saeculare
"Carta ejecutoria de Hidalguia granted in favor of Diego de Alarcón Quintana de la Villa de la Torre and his sons, unnamed",,,,Carta executoria de hidalguia,Carta executoria de hidalguia
Carta executoria de hidalguia a pedimiento,,,,Carta executoria de hidalguia,Carta executoria de hidalguia
Cato maior vel de senectute,,,,Cato maior,Cato maior
Cato maior vel de senectute Paradoxa,,,,Cato maior; Paradoxa,Cato maior; Paradoxa
Certain astrological and astronomical figures,,,,Astronomy,Astronomy
"Choir Book, Gradual",,,,Choir book; Gradual,Choir book; Gradual
Choir psalter,,,,Psalter,Psalter
Choirbook leaf with hymn dedicated to Saint Hilarion,,,,Choir book,Choir book
"Chomincia lo libro di lamore di troiolo & da chriseida, Capitulum primum,",,,,Filostrato,Filostrato
Chronicle,,,,Chronicle,Chronicle
"Chronicle, Dominican",,,,Chronicle,Chronicle
Chy commenchent les eures de la crois,,,,Book of hours,Book of hours
Claves sacre scripture,,,,Claves sacre scripture,Claves sacre scripture
Codex,,,,Codex,Codex
"Codex, Liber Sextus",,,,Codex,Codex
Collationes patrum,,,,Lives of the Fathers,Lives of the Fathers
Collectarium,,,,Collectarium,Collectarium
Collection of prayers and selections from the Qurʼān,,,,Qurʼan,Qurʼan
Commentaria super praedicamenta Aristotelis,,,,"Commentary on Aristotle, Categories; Categories","Commentary on Aristotle, Categories; Categories"
Commentaries on Acts of the Apostles,,,,Commentary on Acts; Acts,Commentary on Acts; Acts
Commentaries on Aristotle and Porphyry,,,,Commentary on Aristotle; Commentary on Porphyry,Commentary on Aristotle; Commentary on Porphyry
Commentarii in Politicorum Aristotelis libris,,,,"Commentary on Aristotle, Politics; Politics","Commentary on Aristotle, Politics; Politics"
Commentariorum in Matthaeum Libri Octo,,,,Commentary on Matthew; Gospel of Matthew,Commentary on Matthew; Gospel of Matthew
Commentarius in Ezechielem prophetam,,,,Commentary on Ezekiel; Ezekiel,Commentary on Ezekiel; Ezekiel
Commentary,,,,Commentary,Commentary
"Commentary on Aristotle, Analytica Priora (?)",,,,"Commentary on Aristotle, Prior Analytics; Prior Analytics","Commentary on Aristotle, Prior Analytics; Prior Analytics"
Commentary on Genesis and 1-2 Kings,,,,Commentary on Genesis; Commentary on Kings; Genesis; Kings,Commentary on Genesis; Commentary on Kings; Genesis; Kings
Commentary on the Ephemerides of Regiomontanus,,,,Commentary on the Ephemerides; Ephemerides,Commentary on the Ephemerides; Ephemerides
Commentary on the Pauline Epistles,,,,Commentary on Epistles; Epistles,Commentary on Epistles; Epistles
Compendium historiae in genealogia Christi,,,,Compendium historiae in genealogia Christi,Compendium historiae in genealogia Christi
Compendium in Cantica canticorum,,,,Compendium in Cantica canticorum,Compendium in Cantica canticorum
Compendium theologicae veritatis,,,,Compendium theologicae veritatis,Compendium theologicae veritatis
Computus Cirometralis,,Ars computistica,,Ars computistica,Ars computistica
Confirmation of grants,,,,Grant,Grant
Constitution and rules,,,,Constitution and rules,Constitution and rules
Contra Appionem,,,,Against Apion,Against Apion
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt... etc,دلائل الخيرات... إلخ.,,,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Das Amtbuch,,,,Office book,Office book
De Amore Dei,,,,De Amore Dei,De Amore Dei
De Bello Catilinae and De Bello Jugurthinum,,,,De Bello Catilinae; De Bello Jugurthinum,De Bello Catilinae; De Bello Jugurthinum
De Consideratione,,,,De consideratione,De consideratione
De Emendacione Vite sive Regula Vivendi,,,,Emendatio Vitae,Emendatio Vitae
De Officiis,,,,De officiis,De officiis
De Oratore,,,,De oratore,De oratore
De Trinitate,,,,De Trinitate,De Trinitate
De Viribus Herbarum /,,,,De Viribus Herbarum /,De Viribus Herbarum /
De Virtutibus S. Martini,,,,De virtutibus sancti Martini,De virtutibus sancti Martini
De Vita Imperatorum,,,,De Vita imperatorum,De Vita imperatorum
De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),,,,De amore Dei; Liber de doctrina dicendi et tacendi; De ritu et moribus Indorum; Historia de preliis Alexandri Magni; Sibylline Oracles; Sermons,De amore Dei; Liber de doctrina dicendi et tacendi; De ritu et moribus Indorum; Historia de preliis Alexandri Magni; Sibylline Oracles; Sermons
De arca Noe morali et mystica,,,,De arca Noe,De arca Noe
De arte metrica,,,,De arte metrica,De arte metrica
De casu diaboli (On the Fall of the Devil),,,,De casu diaboli,De casu diaboli
De censuris ecclesiasticis; Three papal bulls,,,,Tractatus de censuris ecclesiasticis; Bull,Tractatus de censuris ecclesiasticis; Bull
De civitate Dei,,,,De civitate Dei,De civitate Dei
De claustro animae,,,,De claustro animae,De claustro animae
De conceptu virginali et de originali peccatu,,,,De conceptu virginali et originali peccato,De conceptu virginali et originali peccato
De conscientia aedificandi,,,,De conscientia aedificandi,De conscientia aedificandi
De consideratione (On Consideration),,,,De consideratione,De consideratione
De consolatione philosophiae,,,,De consolatione philosophiae,De consolatione philosophiae
De consolatione philosophiae / Boetius,,De consolatione philosohiae,,De consolatione philosophiae,De consolatione philosophiae
