name_as_recorded,role,instance_of,authorized_label,structured_value
"Guarini, Battista, 1538-1612.",author,human,Giovanni Battista Guarini,Q542039
"Guichardus, Archbishop of Lyon, -1180",associated name,human,Guichard of Pontigny,Q386451
"Guillaume, de Lanicia, -approximately 1310.",author,human,Guillaume de Lanicia,Q64032846
"Guillermus, Altissiodorensis, -1231.",associated name,human,William of Auxerre,Q931898
Gwenllian,author,human,Gwenllian,Q120442563
H.P. Kraus (Firm),former owner,organization,H. P. Kraus (firm),Q113864096
"Hakesalt, Henry",author,human,Henry Hakesalt,Q113864323
"Heber, Richard, 1773-1833",former owner,human,Richard Heber,Q4502479
"Heberle, Johann Matthias, 1775-1840",former owner,human,Johann Matthias Heberle,Q95757981
"Henry, of Ghent, 1217?-1293.",associated name,human,Henry of Ghent,Q707637
"Henry III, King of England, 1207-1272",associated name,human,Henry III of England,Q160311
"Herbertus, Altissiodorensis, -approximately 1252.",author,human,Altissiodorensis Herbertus,Q120442564
"Hessus, Helius Eobanus, 1488-1540.",associated name,human,Helius Eobanus Hessus,Q532384
"Hieronymus, de Canonicis, active 1472",scribe,human,Hieronymus de Canonicis ,Q120442565
"Hieronymus, Johannis, de Florentia, ca. 1387 - 1454.",author,human,Johannis Hieronymus,Q120442566
Hieronymus.,associated name,human,Jerome,Q44248
Hofmann & Freeman Antiquarian Booksellers,former owner,organization,Hofmann & Freeman Antiquarian Booksellers,Q120442748
"Howard, Peter B.",former owner,human,Peter B. Howard,Q120442567
"Hugh, of Balma, active 13th century.",author,human,Hugh of Balma,Q15090859
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",author,human,Hugh of Saint-Cher,Q1365254
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263.",associated name,human,Hugh of Saint-Cher,Q1365254
"Hugh, of Saint-Victor, 1096?-1141",author,human,Hugh of Saint Victor,Q317554
"Hugh, of Saint-Victor, 1096?-1141.",associated name,human,Hugh of Saint Victor,Q317554
"Hugo, Argentinensis, approximately 1210-approximately 1270.",author,human,Hugo Argentinensis,Q113866261
"Humbert, de Baugé, Archbishop of Lyon, active 1140-1152",associated name,human,Humbert de Baugé,Q27508095
"Humbert, de Romans, 1194?-1277.",associated name,human,Humbert of Romans,Q2623954
"Innocent III, Pope, 1160 or 1161-1216.",author,human,Innocent III,Q128076
Internationaal Antiquariaat (Menno Hertzberger & Co.),former owner,organization,Internationaal Antiquariaat Menno Hertzberger,Q73897767
"Isidore, of Seville, Saint, -636.",author,human,Isidore of Seville,Q166876
J. & J. Leighton,former owner,organization,J. & J. Leighton,Q113850145
"Jacobus, de Benevento, active 1255-1271",author,human,Iacopo da Benevento,Q3791438
"Jacobus, de Burgo Sancti Sepulcri, active 1380.",author,human,Jacobus de Burgo,Q120442568
"Jacobus de Lausanne, active 1303-1322.",author,human,James of Lausanne,Q19663889
"Jacomo Veronese, active approximately 1400",author,human,Jacomo Veronese,Q120442569
"Jacopone, da Todi, 1230-1306.",associated name,human,Jacopone da Todi,Q317267
Jacques Rosenthal (Firm),former owner,organization,Jacques Rosenthal,Q114667678
"Jennings, Kenneth J. ""Bud"", 1930-2019",former owner,human,"Kenneth J. ""Bud"" Jennings",Q120442570
"Jerome, Saint, -419 or 420.",author,human,Jerome,Q44248
"John, Climacus, Saint, active 6th century.",associated name,human,John Climacus,Q317072
"John Chrysostom, Saint, -407.",author,human,John Chrysostom,Q43706
John P. Gray & Son,associated name,organization,John P. Gray & Son,Q120442749
Joseph Rubinstein (Firm),former owner,organization,Joseph Rubinstein (Firm),Q120442750
Karl & Faber,former owner,organization,Karl & Faber Kunstauktionen,Q53596640
Kölner Kartause,former owner,organization,Cologne Charterhouse,Q291014
"Kraus, Hans Peter, 1907-1988",former owner,human,Hans P. Kraus,Q85506
"Labitte, Alphonse, 1853-",former owner,human,Alphonse Labitte,Q114242418
"Lactantius, approximately 240-approximately 320.",author,human,Lactantius,Q209102
"Lancaster, Edmund, Earl of, 1245-1296",author,human,Edmund Crouchback,Q447802
"Laurentius, Pisanus, approximately 1391-1465.",associated name,human,Pisanus Laurentius,Q120442571
"Legrand, Jacques, approximately 1365-1415.",author,human,Jacques Legrand,Q56320064
"Lena, suor active 1500",scribe,human,Lena suor,Q120442572
Leo S. Olschki (Firm),former owner,organization,Leo S. Olschki Editore,Q3229594
Libreria antiquaria Mediolanum,former owner,organization,Libreria antiquaria Mediolanum,Q120442751
Ludwig Rosenthal's Antiquariaat,former owner,organization,Ludwig Rosenthal's Antiquariaat,Q120442752
Maggs Bros.,former owner,organization,Maggs Bros Ltd,Q15067374
"Malatesta Novello, Domenico, 1418-1465",associated name,human,Malatesta Novello,Q1169529
"Mandeville, John, Sir.",author,human,John Mandeville,Q24766
"Manfred, King of Naples and Sicily, approximately 1232-1266",associated name,human,"Manfred, King of Sicily",Q164889
"Marcilleti, Stephanus.",associated name,human,Stefano Marcilleti,Q41616923
Martial.,author,human,Martial,Q2098
"Martin Breslauer, Inc.",former owner,organization,"Martin Breslauer, Inc.",Q67087667
"Martini, Giuseppe, 1870-1944",former owner,human,Giuseppe Martini,Q98834332
"Martinus, Polonus, -1279.",associated name,human,Martin of Opava,Q431054
"Mateusz, z Krakowa, Cardinal, approximately 1330-1410.",associated name,human,Matthew of Kraków,Q553218
"Meckenlocher, Fridericus, de Wendelstein.",associated name,human,Fridericus Meckenlocher,Q120442573
"Modestus, Saint, -approximately 300.",associated name,human,Modestus,Q1942111
"Nepos, Cornelius.",associated name,human,Cornelius Nepos,Q109594
"Niccoli, Niccolò, approximately 1364-1437",associated name,human,Niccolò de' Niccoli,Q730505
"Nicoluccio, di Ascoli.",author,human,Nicoluccio di Ascoli,Q120442574
"Nider, Johannes, approximately 1380-1438.",author,human,Johannes Nider,Q66836
"North, Frederick, Earl of Guilford, 1766-1827",former owner,human,Frederick North,Q333623
"Ochino, Bernardino, 1487-1564.",author,human,Bernardino Ochino,Q822924
"Odino, di Fossano.",associated name,human,Odino di Fossano,Q120442575
Origen.,associated name,human,Origen,Q170472
"Orosius, Paulus.",associated name,human,Orosius,Q311456
"Osbern, Claudianus, active 1148.",author,human,Osbern of Gloucester,Q680829
"Owens, Alpha Loretta, 1877-1965",former owner,human,Alpha Loretta Owens,Q120442576
Payne and Foss,former owner,organization,Payne and Foss,Q113847193
