name_as_recorded,role,instance_of,authorized_label,structured_value
"Peter, of Poitiers, approximately 1130-1205.",author,human,Peter of Poitiers,Q3387668
"Peter Lombard, Bishop of Paris, approximately 1100-1160",author,human,Peter Lombard,Q315347
"Peter Lombard, Bishop of Paris, approximately 1100-1160.",associated name,human,Peter Lombard,Q315347
"Peter Riga, approximately 1140-1209.",author,human,Petrus Riga,Q556117
"Petrarca, Francesco, 1304-1374.",associated name,human,Petrarch,Q1401
"Petrus, de Isolella",author,human,Petrus de Isolella,Q120442577
"Phillipps, Thomas, Sir, 1792-1872",former owner,human,Thomas Phillipps,Q2147709
"Pliny, the Elder",author,human,Pliny the Elder,Q82778
"Pliny, the Younger",author,human,Pliny the Younger,Q168707
"Pliny, the Younger.",associated name,human,Pliny the Younger,Q168707
"Ponchier, Étienne, 1446-1524",author,human,Étienne de Poncher,Q3592337
"Porphyry, approximately 234-approximately 305",author,human,Porphyry,Q203445
"Porphyry, approximately 234-approximately 305.",associated name,human,Porphyry,Q203445
"Prediger (Schwäbisch Gmünd, Germany)",former owner,organization,Prediger (Schwäbisch Gmünd),Q1751370
Pseudo-Abdias,author,human,Abdias of Babylon,Q2821315
Pseudo-Phalaris.,author,human,Pseudo-Phalaris,Q101173400
"Putnam, Samuel H. 1834?-",former owner,human,Samuel H. Putnam,Q120442578
"Ranshaw, Robert, 1836-1924",former owner,human,Robert Ranshaw,Q120442579
"Regnier, Élie, active 1483-1494.",associated name,human,Élie Régnier,Q41617754
Reichskartause Buxheim,former owner,organization,Buxheim Charterhouse,Q460224
"Révérend du Mesnil, E. 1832-1895",former owner,human,Edmond Révérend Du Mesnil,Q55672340
"Richard, of St. Victor, -1173.",associated name,human,Richard of Saint Victor,Q1344799
"Ridolfini, Rinaldo",former owner,human,Rinaldo Ridolfini,Q120442581
"Rolevinck, Werner, 1425-1502.",associated name,human,Werner Rolevinck,Q75631
"Rosenthal, Bernard M.",former owner,human,Bernard M. Rosenthal,Q94805275
"Rosenthal, Jacques, 1854-1937",former owner,human,Jacques Rosenthal,Q1293460
Roy Vernon Sowers (Firm),former owner,organization,Roy Vernon Sowers (Firm),Q120442753
"Rubinstein, Joseph, 1918-1973",former owner,human,Joseph Rubinstein,Q120442582
"Ruffo, Giordano, -1256.",author,human,Giordano Ruffo,Q3106874
"Rufinus, of Aquileia, 345-410",associated name,human,Tyrannius Rufinus,Q365835
"Saibante, Giovanni, of Verona, active 18th century",associated name,human,Giovanni Saibante,Q114438164
"Saint-Germain-des-Prés (Abbey : Paris, France)",former owner,organization,Abbey of Saint-Germain-des-Prés,Q334186
"Salvi, Carlo, active 19th century",former owner,human,Carlo Salvi,Q120442583
"San Francesco della Croce (Monastery : Venice, Italy)",former owner,organization,San Francesco della Croce,Q120442754
Sangorski & Sutcliffe,associated name,organization,Sangorski & Sutcliffe,Q7418081
"Schab, William H.",former owner,human,William H. Schab,Q94865055
"Schatzki, Walter, 1899-1983",former owner,human,Walter Schatzki,Q2546077
"Scheerenberg, Rudolph von, Bishop of Wurzburg, -1495.",associated name,human,Rudolf von Scherenberg,Q109784
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D..",author,human,Seneca,Q2054
Serendipity Books (Firm),former owner,organization,Serendipity Books,Q120442755
"Sextus, Pythagoreus.",author,human,Sextus the Pythagorean,Q11949632
"Simon, de Cremona, -1390",author,human,Simon de Cremona,Q120442584
"Sorio, Bartolomeo, 1805-1867",associated name,human,Bartolomeo Sorio,Q15635633
"Sotheby, Wilkinson & Hodge",former owner,organization,"Sotheby, Wilkinson & Hodge",Q120442756
"Sotheby & Co. (London, England)",former owner,organization,Sotheby's,Q654762
"Staccoli, Agostino, active 1480",author,human,Agostino Staccoli,Q45535876
"Stephanus, de Vilars, active twelfth century",associated name,human,Stephanus de Vilars,Q120442585
"Taylor, Virginia, 1898-1983",former owner,human,Virginia Taylor,Q120442586
"Thomas, Aquinas, Saint, 1225?-1274",author,human,Thomas Aquinas,Q9438
"Thomas, ‡c Aquinas, Saint, 1225?-1274",author,human,Thomas Aquinas,Q9438
"Thorpe, Thomas, 1791-1851",former owner,human,Thomas Thorpe,Q94353688
"Tiraboschi, Jacopo, active 1470-1479",scribe,human,Jacopo Tiraboschi,Q120442587
"Tresham, Thomas, Sir",former owner,human,Thomas Tresham II,Q7794558
"Turazza, Domenico, 1813-1892",former owner,human,Domenico Turazza,Q3713276
"Ugurgieri, Perna degli",associated name,human,Perna degli Ugurgieri,Q120442588
"Valla, Lorenzo, 1407-1457",associated name,human,Lorenzo Valla,Q214115
"Versor, Johannes, -approximately 1485.",author,human,John Versor,Q1698538
"Victor, Sextus Aurelius",author,human,Aurelius Victor,Q275606
Virgil.,author,human,Virgil,Q1398
"Vitus, Saint, -approximately 300.",associated name,human,Vitus,Q212850
Walerand ap Adam,author,human,Walerand ap Adam,Q114242491
"Walterus de Valle, active 15th century",scribe,human,Walterus de Valle,Q120442589
"Wandel, Gudrun, 1882-1976",former owner,human,Gudrun Wandel,Q120442590
"Wandel, Sigurd, 1875-1947",former owner,human,Sigurd Wandel,Q18716256
"William, de Montibus, approximately 1140-1213",author,human,William de Montibus,Q18535021
William Salloch (Firm),former owner,organization,William Salloch (Firm),Q120442757
Xenophon.,author,human,Xenophon,Q129772
"Zonaras, Joannes, active 12th century.",author,human,John Zonaras,Q32052
